"state","year","quarter","HPI_not_seasonally_adjusted","HPI_seasonally_adjusted"
"AK",2000,1,132.19,132.78
"AK",2000,2,136.82,135.43
"AK",2000,3,137.79,136.41
"AK",2000,4,136.43,137.1
"AK",2001,1,139.45,139.98
"AK",2001,2,143.79,142.6
"AK",2001,3,146.39,144.78
"AK",2001,4,147.71,148.41
"AK",2002,1,148.51,148.91
"AK",2002,2,152.39,151.44
"AK",2002,3,157.31,155.52
"AK",2002,4,156.01,156.61
"AK",2003,1,160.51,160.91
"AK",2003,2,162.8,161.94
"AK",2003,3,166.94,165
"AK",2003,4,170.12,170.75
"AK",2004,1,173.28,173.74
"AK",2004,2,178,176.99
"AK",2004,3,184.98,182.86
"AK",2004,4,187.52,188.2
"AK",2005,1,192.65,193.44
"AK",2005,2,197.98,196.43
"AK",2005,3,206.28,203.97
"AK",2005,4,207.02,207.98
"AK",2006,1,211.3,212.42
"AK",2006,2,218.65,216.35
"AK",2006,3,219.42,217.07
"AK",2006,4,218.65,219.88
"AK",2007,1,221.09,222.55
"AK",2007,2,228.24,225.24
"AK",2007,3,227.01,224.64
"AK",2007,4,222.53,224.1
"AK",2008,1,219.35,220.87
"AK",2008,2,226.04,222.7
"AK",2008,3,226.03,223.75
"AK",2008,4,223.06,224.79
"AK",2009,1,229.8,231.45
"AL",2000,1,140.09,139.66
"AL",2000,2,141.56,140.43
"AL",2000,3,141.85,141.13
"AL",2000,4,141.69,141.41
"AL",2001,1,143.68,143.28
"AL",2001,2,145.61,144.49
"AL",2001,3,146.04,145.19
"AL",2001,4,146.6,146.33
"AL",2002,1,147.8,147.45
"AL",2002,2,149.66,148.55
"AL",2002,3,150.56,149.55
"AL",2002,4,152.55,152.3
"AL",2003,1,153.3,153
"AL",2003,2,155.8,154.67
"AL",2003,3,158.45,157.27
"AL",2003,4,158,157.78
"AL",2004,1,159.17,158.93
"AL",2004,2,162.65,161.45
"AL",2004,3,166.16,164.85
"AL",2004,4,166.97,166.76
"AL",2005,1,170.16,170.01
"AL",2005,2,173.89,172.51
"AL",2005,3,177.29,175.83
"AL",2005,4,181.05,180.91
"AL",2006,1,185.79,185.72
"AL",2006,2,190.62,188.95
"AL",2006,3,193.39,191.77
"AL",2006,4,194.77,194.72
"AL",2007,1,196.36,196.37
"AL",2007,2,200.87,198.96
"AL",2007,3,200.43,198.73
"AL",2007,4,198.78,198.83
"AL",2008,1,197.75,197.83
"AL",2008,2,199.48,197.47
"AL",2008,3,197.71,195.98
"AL",2008,4,192.85,192.98
"AL",2009,1,193.07,193.2
"AR",2000,1,136.84,137.02
"AR",2000,2,139.72,139.18
"AR",2000,3,140.27,139.81
"AR",2000,4,140.67,140.74
"AR",2001,1,142.34,142.57
"AR",2001,2,143.67,143.16
"AR",2001,3,145.27,144.73
"AR",2001,4,145.76,145.78
"AR",2002,1,146.65,147
"AR",2002,2,150.1,149.57
"AR",2002,3,151.2,150.56
"AR",2002,4,152.38,152.37
"AR",2003,1,154.44,154.94
"AR",2003,2,156.88,156.29
"AR",2003,3,159.89,159.16
"AR",2003,4,160.9,160.86
"AR",2004,1,164.02,164.65
"AR",2004,2,166.97,166.32
"AR",2004,3,169.99,169.16
"AR",2004,4,172.31,172.23
"AR",2005,1,174.37,175.15
"AR",2005,2,177.56,176.85
"AR",2005,3,181.76,180.83
"AR",2005,4,184.52,184.39
"AR",2006,1,185.63,186.57
"AR",2006,2,190.12,189.35
"AR",2006,3,191.86,190.84
"AR",2006,4,192.22,192.02
"AR",2007,1,191.65,192.75
"AR",2007,2,195.85,195.02
"AR",2007,3,196.26,195.19
"AR",2007,4,194.73,194.46
"AR",2008,1,189.98,191.2
"AR",2008,2,192.02,191.15
"AR",2008,3,189.99,188.94
"AR",2008,4,188.42,188.1
"AR",2009,1,186.5,187.85
"AZ",2000,1,148.73,149.13
"AZ",2000,2,151.17,150.79
"AZ",2000,3,152.05,152.11
"AZ",2000,4,154.68,154.89
"AZ",2001,1,156.76,157.22
"AZ",2001,2,160.19,159.79
"AZ",2001,3,161.88,162.03
"AZ",2001,4,164.56,164.63
"AZ",2002,1,165.68,166.28
"AZ",2002,2,169.31,168.91
"AZ",2002,3,172.1,172.09
"AZ",2002,4,175.41,175.54
"AZ",2003,1,178.84,179.69
"AZ",2003,2,183.27,182.83
"AZ",2003,3,186.44,185.99
"AZ",2003,4,192.12,192.6
"AZ",2004,1,197.59,198.74
"AZ",2004,2,206.01,205.39
"AZ",2004,3,216.99,215.84
"AZ",2004,4,226.88,228.17
"AZ",2005,1,241.66,243.24
"AZ",2005,2,266.48,265.25
"AZ",2005,3,287.72,285.5
"AZ",2005,4,297.43,300.41
"AZ",2006,1,309.81,311.59
"AZ",2006,2,317.44,315.38
"AZ",2006,3,314.19,311.41
"AZ",2006,4,316.1,320.62
"AZ",2007,1,315.38,316.82
"AZ",2007,2,314.95,312.24
"AZ",2007,3,309.18,306.33
"AZ",2007,4,289.15,294.34
"AZ",2008,1,279.88,280.79
"AZ",2008,2,268.9,266.1
"AZ",2008,3,251.77,249.55
"AZ",2008,4,229.77,234.36
"AZ",2009,1,225.44,226.02
"CA",2000,1,110.73,110.74
"CA",2000,2,114.85,113.94
"CA",2000,3,118.56,117.69
"CA",2000,4,122.26,122.23
"CA",2001,1,126.38,126.39
"CA",2001,2,130.9,129.93
"CA",2001,3,133.9,132.83
"CA",2001,4,136.34,136.3
"CA",2002,1,140.87,140.93
"CA",2002,2,147.74,146.71
"CA",2002,3,154.64,153.26
"CA",2002,4,159.22,159.19
"CA",2003,1,165.12,165.31
"CA",2003,2,172.2,170.98
"CA",2003,3,179.83,178.09
"CA",2003,4,187.63,187.67
"CA",2004,1,196.66,197.03
"CA",2004,2,209.98,208.36
"CA",2004,3,224.21,221.95
"CA",2004,4,232.27,232.39
"CA",2005,1,243.71,244.38
"CA",2005,2,257.93,255.73
"CA",2005,3,269.67,266.84
"CA",2005,4,273.74,274.03
"CA",2006,1,276,276.95
"CA",2006,2,278.92,276.32
"CA",2006,3,273.58,270.59
"CA",2006,4,267.18,267.59
"CA",2007,1,263.94,265.02
"CA",2007,2,261.5,258.89
"CA",2007,3,249.03,246.21
"CA",2007,4,229.83,230.32
"CA",2008,1,210.14,211.07
"CA",2008,2,195.5,193.47
"CA",2008,3,183.99,181.85
"CA",2008,4,170.89,171.29
"CA",2009,1,163.6,164.38
"CO",2000,1,199.82,199.51
"CO",2000,2,206.52,204.67
"CO",2000,3,212.58,210.63
"CO",2000,4,216.49,216.39
"CO",2001,1,222.57,222.32
"CO",2001,2,228.03,225.88
"CO",2001,3,229.93,227.81
"CO",2001,4,229.18,229.06
"CO",2002,1,233.6,233.55
"CO",2002,2,236.63,234.21
"CO",2002,3,238.75,236.5
"CO",2002,4,239.39,239.24
"CO",2003,1,240.06,240.34
"CO",2003,2,243.42,240.68
"CO",2003,3,244.67,242.29
"CO",2003,4,245.12,244.95
"CO",2004,1,246.45,247.13
"CO",2004,2,254.25,251.1
"CO",2004,3,256.15,253.47
"CO",2004,4,255.11,255.02
"CO",2005,1,259.8,261.02
"CO",2005,2,266.14,262.42
"CO",2005,3,267.82,264.75
"CO",2005,4,270.92,271.12
"CO",2006,1,270.76,272.51
"CO",2006,2,277.8,273.37
"CO",2006,3,278.76,275.28
"CO",2006,4,278.17,278.83
"CO",2007,1,277.19,279.36
"CO",2007,2,283.78,278.7
"CO",2007,3,281.9,278.15
"CO",2007,4,274.32,275.43
"CO",2008,1,270.67,273.01
"CO",2008,2,279.17,273.77
"CO",2008,3,275.02,271.18
"CO",2008,4,265.09,266.51
"CO",2009,1,265.96,268.38
"CT",2000,1,109.69,110.55
"CT",2000,2,114.25,113.57
"CT",2000,3,116.29,115.02
"CT",2000,4,117.9,117.85
"CT",2001,1,119.79,120.83
"CT",2001,2,124.5,123.75
"CT",2001,3,128.82,127.31
"CT",2001,4,129.91,129.83
"CT",2002,1,131.79,133.11
"CT",2002,2,138.36,137.45
"CT",2002,3,143.01,141.26
"CT",2002,4,146.46,146.41
"CT",2003,1,148.41,149.97
"CT",2003,2,153.3,152.26
"CT",2003,3,158.38,156.3
"CT",2003,4,159.83,159.99
"CT",2004,1,162.3,164
"CT",2004,2,170.82,169.45
"CT",2004,3,177.42,175.1
"CT",2004,4,178.6,179.16
"CT",2005,1,182.09,183.73
"CT",2005,2,189.57,187.85
"CT",2005,3,194.25,191.86
"CT",2005,4,194.37,195.34
"CT",2006,1,195.49,196.98
"CT",2006,2,199.85,197.71
"CT",2006,3,199.15,196.94
"CT",2006,4,196.02,197.36
"CT",2007,1,197.83,198.99
"CT",2007,2,200.12,197.81
"CT",2007,3,199.7,197.64
"CT",2007,4,196.26,197.8
"CT",2008,1,191.2,192.21
"CT",2008,2,194.38,191.98
"CT",2008,3,190.51,188.59
"CT",2008,4,183.18,184.81
"CT",2009,1,182.59,183.45
"DC",2000,1,130.35,129.92
"DC",2000,2,135.83,133.81
"DC",2000,3,138.62,135.43
"DC",2000,4,136.34,137.7
"DC",2001,1,146.04,145.63
"DC",2001,2,151.08,148.78
"DC",2001,3,161.19,157.44
"DC",2001,4,164.18,165.67
"DC",2002,1,171.47,171.31
"DC",2002,2,184.52,181.59
"DC",2002,3,192.9,188.45
"DC",2002,4,197.08,198.54
"DC",2003,1,196.78,196.89
"DC",2003,2,214.67,211.39
"DC",2003,3,222.58,217.31
"DC",2003,4,227.43,228.79
"DC",2004,1,248.58,248.91
"DC",2004,2,260.84,257.39
"DC",2004,3,265.16,258.24
"DC",2004,4,292.5,294.73
"DC",2005,1,285.56,285.15
"DC",2005,2,314.49,311.43
"DC",2005,3,342.79,333.24
"DC",2005,4,332.4,335.32
"DC",2006,1,332.32,330.72
"DC",2006,2,334.99,333.12
"DC",2006,3,351.36,341.24
"DC",2006,4,340.69,343.44
"DC",2007,1,358.72,356.22
"DC",2007,2,361.59,360.76
"DC",2007,3,364.45,354.08
"DC",2007,4,345.75,347.68
"DC",2008,1,352.24,349.79
"DC",2008,2,336.19,335.79
"DC",2008,3,340.21,330.97
"DC",2008,4,339.65,340.82
"DC",2009,1,298.41,296.32
"DE",2000,1,115.37,114.9
"DE",2000,2,116.3,116.14
"DE",2000,3,118.78,117.58
"DE",2000,4,121.7,121.18
"DE",2001,1,124.42,124.06
"DE",2001,2,125.97,125.76
"DE",2001,3,129.29,128.03
"DE",2001,4,132.16,131.43
"DE",2002,1,133.52,133.32
"DE",2002,2,138.04,137.74
"DE",2002,3,143.39,142
"DE",2002,4,145.23,144.34
"DE",2003,1,147.41,147.3
"DE",2003,2,151.74,151.44
"DE",2003,3,156.2,154.6
"DE",2003,4,160.79,159.78
"DE",2004,1,166.08,166.05
"DE",2004,2,171.45,171.06
"DE",2004,3,180.09,178.22
"DE",2004,4,184.28,183.25
"DE",2005,1,187.53,187.33
"DE",2005,2,196.52,196.13
"DE",2005,3,203.62,201.53
"DE",2005,4,209.15,208.18
"DE",2006,1,214.5,213.98
"DE",2006,2,214.44,213.98
"DE",2006,3,219.43,217.31
"DE",2006,4,220.14,219.37
"DE",2007,1,216.19,215.23
"DE",2007,2,221.56,221.16
"DE",2007,3,222.39,220.34
"DE",2007,4,218.12,217.55
"DE",2008,1,216.95,215.71
"DE",2008,2,211.4,211.05
"DE",2008,3,208.03,206.18
"DE",2008,4,202.38,201.92
"DE",2009,1,209.96,208.59
"FL",2000,1,131.56,131.13
"FL",2000,2,133.96,133.5
"FL",2000,3,136.88,136.27
"FL",2000,4,139.62,139.39
"FL",2001,1,143.27,142.9
"FL",2001,2,146.96,146.43
"FL",2001,3,151.3,150.59
"FL",2001,4,154.65,154.35
"FL",2002,1,158.34,158.04
"FL",2002,2,163.33,162.71
"FL",2002,3,167.97,167.13
"FL",2002,4,172.85,172.48
"FL",2003,1,178.04,177.8
"FL",2003,2,183.56,182.84
"FL",2003,3,189.45,188.48
"FL",2003,4,195.62,195.18
"FL",2004,1,203.25,203.04
"FL",2004,2,213.83,212.96
"FL",2004,3,225.77,224.64
"FL",2004,4,236.23,235.63
"FL",2005,1,250.13,249.88
"FL",2005,2,267.31,266.27
"FL",2005,3,283.52,282.13
"FL",2005,4,294.41,293.61
"FL",2006,1,302.37,301.95
"FL",2006,2,306.25,305.26
"FL",2006,3,307.02,305.5
"FL",2006,4,306.87,305.99
"FL",2007,1,304.63,304.03
"FL",2007,2,302.13,301.38
"FL",2007,3,289.75,288.3
"FL",2007,4,278.03,277.22
"FL",2008,1,259.99,259.32
"FL",2008,2,241.67,241.23
"FL",2008,3,227.78,226.65
"FL",2008,4,209.82,209.18
"FL",2009,1,201.66,201.08
"GA",2000,1,144.26,144.27
"GA",2000,2,147.39,146.76
"GA",2000,3,149.43,148.81
"GA",2000,4,151.21,150.93
"GA",2001,1,153.16,153.16
"GA",2001,2,155.77,155.11
"GA",2001,3,157.27,156.62
"GA",2001,4,158.78,158.44
"GA",2002,1,160.72,160.79
"GA",2002,2,161.48,160.8
"GA",2002,3,163.93,163.19
"GA",2002,4,165.73,165.37
"GA",2003,1,166.93,167.11
"GA",2003,2,168.62,167.87
"GA",2003,3,170.23,169.33
"GA",2003,4,170.57,170.24
"GA",2004,1,171.4,171.8
"GA",2004,2,174.71,173.76
"GA",2004,3,176.77,175.72
"GA",2004,4,178.02,177.8
"GA",2005,1,179.48,180.15
"GA",2005,2,184.49,183.12
"GA",2005,3,187.5,186.34
"GA",2005,4,190.22,190.23
"GA",2006,1,191.43,192.41
"GA",2006,2,195.22,193.26
"GA",2006,3,196.91,195.46
"GA",2006,4,197.02,197.82
"GA",2007,1,197.74,198.66
"GA",2007,2,201.97,199.45
"GA",2007,3,199.32,197.57
"GA",2007,4,195.31,197.11
"GA",2008,1,192.21,192.73
"GA",2008,2,194.16,191.49
"GA",2008,3,189.1,187.08
"GA",2008,4,175.1,177.72
"GA",2009,1,176.93,176.82
"HI",2000,1,89.71,89.44
"HI",2000,2,89.12,89.1
"HI",2000,3,91.06,91.05
"HI",2000,4,93.72,93.88
"HI",2001,1,96.79,96.65
"HI",2001,2,99.64,99.76
"HI",2001,3,100.35,100.1
"HI",2001,4,103.65,103.73
"HI",2002,1,103.8,103.96
"HI",2002,2,108.64,108.8
"HI",2002,3,113.15,112.54
"HI",2002,4,114.02,114.12
"HI",2003,1,120.4,120.94
"HI",2003,2,120.7,120.79
"HI",2003,3,130.95,129.86
"HI",2003,4,138.12,138.59
"HI",2004,1,143.48,144.16
"HI",2004,2,154.46,154.44
"HI",2004,3,165.91,164.44
"HI",2004,4,168.07,168.9
"HI",2005,1,179.09,179.84
"HI",2005,2,192.74,192.47
"HI",2005,3,203.51,201.89
"HI",2005,4,209.02,210.29
