"city","state","fips_msa","year","quarter","hpi","error"
"Abilene","TX","10180",2000,1,112.12,2.63
"Abilene","TX","10180",2000,2,112.46,2.44
"Abilene","TX","10180",2000,3,114.13,2.47
"Abilene","TX","10180",2000,4,116.72,2.7
"Abilene","TX","10180",2001,1,116.79,2.64
"Abilene","TX","10180",2001,2,117.65,2.55
"Abilene","TX","10180",2001,3,117.01,2.52
"Abilene","TX","10180",2001,4,122.11,2.59
"Abilene","TX","10180",2002,1,120.31,2.58
"Abilene","TX","10180",2002,2,119.75,2.55
"Abilene","TX","10180",2002,3,121.83,2.59
"Abilene","TX","10180",2002,4,125.15,2.63
"Abilene","TX","10180",2003,1,123.77,2.63
"Abilene","TX","10180",2003,2,124.93,2.56
"Abilene","TX","10180",2003,3,125.85,2.58
"Abilene","TX","10180",2003,4,124,2.78
"Abilene","TX","10180",2004,1,128.9,2.85
"Abilene","TX","10180",2004,2,129.57,2.79
"Abilene","TX","10180",2004,3,130.7,2.87
"Abilene","TX","10180",2004,4,132.63,2.97
"Abilene","TX","10180",2005,1,134.8,3.05
"Abilene","TX","10180",2005,2,139.37,3.11
"Abilene","TX","10180",2005,3,140.93,3.04
"Abilene","TX","10180",2005,4,142.67,3.26
"Abilene","TX","10180",2006,1,149.25,3.29
"Abilene","TX","10180",2006,2,148.6,3.24
"Abilene","TX","10180",2006,3,154.51,3.35
"Abilene","TX","10180",2006,4,155.99,3.47
"Abilene","TX","10180",2007,1,161.62,3.77
"Abilene","TX","10180",2007,2,163.79,3.54
"Abilene","TX","10180",2007,3,163.7,3.56
"Abilene","TX","10180",2007,4,164.03,3.82
"Abilene","TX","10180",2008,1,165.22,3.71
"Abilene","TX","10180",2008,2,164.78,3.74
"Abilene","TX","10180",2008,3,166.07,4
"Abilene","TX","10180",2008,4,174.19,4.59
"Abilene","TX","10180",2009,1,169.49,3.81
"Akron","OH","10420",2000,1,124.14,0.69
"Akron","OH","10420",2000,2,125.76,0.66
"Akron","OH","10420",2000,3,127.99,0.67
"Akron","OH","10420",2000,4,129.35,0.68
"Akron","OH","10420",2001,1,132.25,0.67
"Akron","OH","10420",2001,2,133.63,0.66
"Akron","OH","10420",2001,3,134.54,0.67
"Akron","OH","10420",2001,4,136.51,0.67
"Akron","OH","10420",2002,1,137.09,0.68
"Akron","OH","10420",2002,2,137.21,0.69
"Akron","OH","10420",2002,3,139.11,0.69
"Akron","OH","10420",2002,4,140.19,0.68
"Akron","OH","10420",2003,1,141.02,0.69
"Akron","OH","10420",2003,2,142.04,0.69
"Akron","OH","10420",2003,3,143.51,0.7
"Akron","OH","10420",2003,4,143.72,0.76
"Akron","OH","10420",2004,1,144.99,0.76
"Akron","OH","10420",2004,2,145.64,0.76
"Akron","OH","10420",2004,3,146.63,0.81
"Akron","OH","10420",2004,4,148.47,0.83
"Akron","OH","10420",2005,1,149.5,0.86
"Akron","OH","10420",2005,2,151.39,0.86
"Akron","OH","10420",2005,3,152.21,0.85
"Akron","OH","10420",2005,4,152.67,0.9
