"cbsa","cbsaname","intptlon","intptlat","pop2k","afact"
"cbsa","CBSA Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","cbsa to cbsa alloc factor"
" "," ",-90.984558,38.711639,19190644,1 
"10020","Abbeville, LA Micropolitan Statistical Area",-92.174303,29.984629,53807,1 
"10100","Aberdeen, SD Micropolitan Statistical Area",-98.526062,45.477781,39827,1 
"10140","Aberdeen, WA Micropolitan Statistical Area",-123.763184,46.995579,67194,1 
"10180","Abilene, TX Metropolitan Statistical Area",-99.749932,32.458902,160245,1 
"10220","Ada, OK Micropolitan Statistical Area",-96.670736,34.773416,35143,1 
"10300","Adrian, MI Micropolitan Statistical Area",-84.05286,41.92302,98890,1 
"10420","Akron, OH Metropolitan Statistical Area",-81.459275,41.123598,694960,1 
"10460","Alamogordo, NM Micropolitan Statistical Area",-105.959318,32.869209,62298,1 
"10500","Albany, GA Metropolitan Statistical Area",-84.145921,31.592437,157833,1 
"10540","Albany-Lebanon, OR Micropolitan Statistical Area",-122.952549,44.552049,103069,1 
"10580","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",-73.82052,42.784631,825875,1 
"10620","Albemarle, NC Micropolitan Statistical Area",-80.244066,35.321823,58100,1 
"10660","Albert Lea, MN Micropolitan Statistical Area",-93.361793,43.662104,32584,1 
"10700","Albertville, AL Micropolitan Statistical Area",-86.296816,34.315395,82231,1 
"10740","Albuquerque, NM Metropolitan Statistical Area",-106.607279,35.098561,729649,1 
"10760","Alexander City, AL Micropolitan Statistical Area",-85.928173,32.884829,53677,1 
"10780","Alexandria, LA Metropolitan Statistical Area",-92.472916,31.318111,145035,1 
"10820","Alexandria, MN Micropolitan Statistical Area",-95.394861,45.909622,32821,1 
"10860","Alice, TX Micropolitan Statistical Area",-98.067926,27.743394,39326,1 
"10880","Allegan, MI Micropolitan Statistical Area",-85.880968,42.599837,105665,1 
"10900","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",-75.388403,40.685114,740395,1 
"10940","Alma, MI Micropolitan Statistical Area",-84.629605,43.341767,42285,1 
"10980","Alpena, MI Micropolitan Statistical Area",-83.502062,45.051064,31314,1 
"11020","Altoona, PA Metropolitan Statistical Area",-78.37746,40.487307,129144,1 
"11060","Altus, OK Micropolitan Statistical Area",-99.333207,34.652691,28439,1 
"11100","Amarillo, TX Metropolitan Statistical Area",-101.840437,35.178626,226522,1 
"11140","Americus, GA Micropolitan Statistical Area",-84.228803,32.078134,36966,1 
"11180","Ames, IA Metropolitan Statistical Area",-93.594756,42.027888,79981,1 
"11220","Amsterdam, NY Micropolitan Statistical Area",-74.341958,42.933637,49708,1 
"11260","Anchorage, AK Metropolitan Statistical Area",-149.724822,61.272167,319605,1 
"11300","Anderson, IN Metropolitan Statistical Area",-85.703998,40.123519,133358,1 
"11340","Anderson, SC Metropolitan Statistical Area",-82.619108,34.549686,165740,1 
"11380","Andrews, TX Micropolitan Statistical Area",-102.541839,32.320471,13004,1 
