"cbsa","cbsaname","pop2k","afact"
"cbsa","CBSA Name","Total Pop, 2000 census","cbsa to cbsa alloc factor"
" "," ",19190644,1 
"10020","Abbeville, LA Micropolitan Statistical Area",53807,1 
"10100","Aberdeen, SD Micropolitan Statistical Area",39827,1 
"10140","Aberdeen, WA Micropolitan Statistical Area",67194,1 
"10180","Abilene, TX Metropolitan Statistical Area",160245,1 
"10220","Ada, OK Micropolitan Statistical Area",35143,1 
"10300","Adrian, MI Micropolitan Statistical Area",98890,1 
"10420","Akron, OH Metropolitan Statistical Area",694960,1 
"10460","Alamogordo, NM Micropolitan Statistical Area",62298,1 
"10500","Albany, GA Metropolitan Statistical Area",157833,1 
"10540","Albany-Lebanon, OR Micropolitan Statistical Area",103069,1 
"10580","Albany-Schenectady-Troy, NY Metropolitan Statistical Area",825875,1 
"10620","Albemarle, NC Micropolitan Statistical Area",58100,1 
"10660","Albert Lea, MN Micropolitan Statistical Area",32584,1 
"10700","Albertville, AL Micropolitan Statistical Area",82231,1 
"10740","Albuquerque, NM Metropolitan Statistical Area",729649,1 
"10760","Alexander City, AL Micropolitan Statistical Area",53677,1 
"10780","Alexandria, LA Metropolitan Statistical Area",145035,1 
"10820","Alexandria, MN Micropolitan Statistical Area",32821,1 
"10860","Alice, TX Micropolitan Statistical Area",39326,1 
"10880","Allegan, MI Micropolitan Statistical Area",105665,1 
"10900","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",740395,1 
"10940","Alma, MI Micropolitan Statistical Area",42285,1 
"10980","Alpena, MI Micropolitan Statistical Area",31314,1 
"11020","Altoona, PA Metropolitan Statistical Area",129144,1 
"11060","Altus, OK Micropolitan Statistical Area",28439,1 
"11100","Amarillo, TX Metropolitan Statistical Area",226522,1 
"11140","Americus, GA Micropolitan Statistical Area",36966,1 
"11180","Ames, IA Metropolitan Statistical Area",79981,1 
"11220","Amsterdam, NY Micropolitan Statistical Area",49708,1 
"11260","Anchorage, AK Metropolitan Statistical Area",319605,1 
"11300","Anderson, IN Metropolitan Statistical Area",133358,1 
"11340","Anderson, SC Metropolitan Statistical Area",165740,1 
"11380","Andrews, TX Micropolitan Statistical Area",13004,1 
"11420","Angola, IN Micropolitan Statistical Area",33214,1 
"11460","Ann Arbor, MI Metropolitan Statistical Area",322895,1 
"11500","Anniston-Oxford, AL Metropolitan Statistical Area",112249,1 
"11540","Appleton, WI Metropolitan Statistical Area",201602,1 
"11580","Arcadia, FL Micropolitan Statistical Area",32209,1 
"11620","Ardmore, OK Micropolitan Statistical Area",54452,1 
"11660","Arkadelphia, AR Micropolitan Statistical Area",23546,1 
