fips_state,fips_county,mcd,name,acs_state,puma
01,001,,Autauga County,001,01990
01,003,,Baldwin County,001,02400
01,005,,Barbour County,001,01800
01,007,,Bibb County,001,01500
01,009,,Blount County,001,00800
01,011,,Bullock County,001,01800
01,013,,Butler County,001,01800
01,015,,Calhoun County,001,01200
01,017,,Chambers County,001,01600
01,019,,Cherokee County,001,01100
01,021,,Chilton County,001,01600
01,023,,Choctaw County,001,02100
01,025,,Clarke County,001,02100
01,027,,Clay County,001,01100
01,029,,Cleburne County,001,01100
01,031,,Coffee County,001,02500
01,033,,Colbert County,001,00100
01,035,,Conecuh County,001,02100
01,037,,Coosa County,001,01600
01,039,,Covington County,001,02500
01,041,,Crenshaw County,001,01800
01,043,,Cullman County,001,00500
01,045,,Dale County,001,02600
01,047,,Dallas County,001,01500
01,049,,DeKalb County,001,00400
01,051,,Elmore County,001,01990
01,053,,Escambia County,001,02100
01,055,,Etowah County,001,01000
01,057,,Fayette County,001,00700
01,059,,Franklin County,001,00700
01,061,,Geneva County,001,02500
01,063,,Greene County,001,01500
01,065,,Hale County,001,01500
01,067,,Henry County,001,01800
01,069,,Houston County,001,02600
01,071,,Jackson County,001,00400
01,073,,Jefferson County,001,00900
01,075,,Lamar County,001,00700
01,077,,Lauderdale County,001,00100
01,079,,Lawrence County,001,00600
01,081,,Lee County,001,01700
01,083,,Limestone County,001,00290
01,085,,Lowndes County,001,02100
01,087,,Macon County,001,01800
01,089,,Madison County,001,00290
01,091,,Marengo County,001,01500
01,093,,Marion County,001,00700
01,095,,Marshall County,001,00500
01,097,,Mobile County,001,02290
01,099,,Monroe County,001,02100
01,101,,Montgomery County,001,01990
01,103,,Morgan County,001,00600
01,105,,Perry County,001,01500
01,107,,Pickens County,001,00700
01,109,,Pike County,001,01800
01,111,,Randolph County,001,01100
01,113,,Russell County,001,01800
01,115,,St. Clair County,001,00800
01,117,,Shelby County,001,01300
01,119,,Sumter County,001,00700
01,121,,Talladega County,001,01100
01,123,,Tallapoosa County,001,01600
01,125,,Tuscaloosa County,001,01400
01,127,,Walker County,001,00800
01,129,,Washington County,001,02100
01,131,,Wilcox County,001,02100
01,133,,Winston County,001,00500
02,013,,Aleutians East Borough,002,00400
02,016,,Aleutians West Census Area,002,00400
02,020,,Anchorage Municipality,002,00100
02,050,,Bethel Census Area,002,00400
02,060,,Bristol Bay Borough,002,00400
02,068,,Denali Borough,002,00300
02,070,,Dillingham Census Area,002,00400
02,090,,Fairbanks North Star Borough,002,00300
02,100,,Haines Borough,002,00300
02,110,,Juneau City and Borough,002,00300
02,122,,Kenai Peninsula Borough,002,00200
02,130,,Ketchikan Gateway Borough,002,00300
02,150,,Kodiak Island Borough,002,00400
02,164,,Lake and Peninsula Borough,002,00400
02,170,,Matanuska-Susitna Borough,002,00200
02,180,,Nome Census Area,002,00400
02,185,,North Slope Borough,002,00400
02,188,,Northwest Arctic Borough,002,00400
02,201,,Prince of Wales-Outer Ketchikan Census Area,002,00400
02,220,,Sitka City and Borough,002,00300
