"fips_st","fips_puma","owner_occ","total","per_owner","year"
1,100,481,612,78.59477124183,2005
5,100,489,649,75.346687211094,2005
6,100,535,694,77.0893371757925,2005
9,100,756,911,82.9857299670692,2005
13,100,484,610,79.344262295082,2005
15,100,542,771,70.2983138780804,2005
16,100,626,787,79.5425667090216,2005
18,100,173,282,61.3475177304965,2005
19,100,647,780,82.948717948718,2005
20,100,522,655,79.6946564885496,2005
21,100,660,850,77.6470588235294,2005
23,100,440,553,79.5660036166365,2005
24,100,455,580,78.448275862069,2005
25,100,460,605,76.0330578512397,2005
26,100,570,676,84.319526627219,2005
27,100,761,898,84.7438752783964,2005
28,100,448,537,83.4264432029795,2005
29,100,701,911,76.9484083424808,2005
30,100,431,533,80.8630393996248,2005
31,100,500,672,74.404761904762,2005
32,100,605,760,79.6052631578947,2005
33,100,549,671,81.8181818181818,2005
35,100,269,329,81.7629179331307,2005
36,100,545,690,78.9855072463768,2005
37,100,625,782,79.923273657289,2005
38,100,414,515,80.3883495145631,2005
39,100,449,545,82.3853211009174,2005
40,100,593,714,83.0532212885154,2005
41,100,526,690,76.231884057971,2005
42,100,197,316,62.3417721518987,2005
44,100,254,544,46.6911764705882,2005
45,100,631,781,80.7938540332907,2005
46,100,255,348,73.2758620689655,2005
47,100,674,889,75.8155230596175,2005
48,100,833,1057,78.8079470198676,2005
49,100,645,810,79.6296296296296,2005
50,100,476,620,76.7741935483871,2005
51,100,453,848,53.4198113207547,2005
53,100,481,693,69.4083694083694,2005
54,100,593,766,77.4151436031332,2005
55,100,1248,1447,86.247408431237,2005
56,100,389,494,78.744939271255,2005
2,101,181,307,58.957654723127,2005
4,101,774,871,88.8633754305396,2005
8,101,366,466,78.5407725321888,2005
10,101,384,557,68.9407540394973,2005
11,101,299,495,60.4040404040404,2005
12,101,569,795,71.5723270440252,2005
17,101,591,709,83.3568406205924,2005
22,101,364,534,68.1647940074906,2005
34,101,290,442,65.6108597285068,2005
2,102,278,389,71.46529562982,2005
4,102,428,509,84.0864440078585,2005
8,102,466,562,82.9181494661922,2005
10,102,381,459,83.0065359477124,2005
11,102,247,432,57.1759259259259,2005
12,102,362,459,78.8671023965142,2005
17,102,486,583,83.3619210977701,2005
22,102,323,434,74.4239631336406,2005
34,102,518,626,82.7476038338658,2005
4,103,597,772,77.3316062176166,2005
8,103,407,533,76.3602251407129,2005
10,103,262,378,69.3121693121693,2005
11,103,340,570,59.6491228070175,2005
17,103,321,433,74.1339491916859,2005
4,104,631,807,78.19083023544,2005
10,104,341,399,85.4636591478697,2005
11,104,194,521,37.2360844529750,2005
4,105,606,721,84.0499306518724,2005
11,105,206,571,36.077057793345,2005
4,106,360,489,73.6196319018405,2005
4,107,434,596,72.8187919463087,2005
4,108,363,481,75.4677754677755,2005
4,109,344,498,69.0763052208835,2005
4,110,648,783,82.7586206896552,2005
4,111,359,514,69.8443579766537,2005
4,112,326,617,52.8363047001621,2005
4,113,257,443,58.0135440180587,2005
4,114,741,897,82.6086956521739,2005
4,115,315,566,55.6537102473498,2005
4,116,389,651,59.7542242703533,2005
4,117,245,454,53.9647577092511,2005
4,118,263,418,62.9186602870813,2005
4,119,377,502,75.0996015936255,2005
4,120,752,956,78.6610878661088,2005
4,121,705,800,88.125,2005
4,122,447,552,80.9782608695652,2005
1,200,451,651,69.2780337941628,2005
2,200,419,534,78.4644194756554,2005
5,200,445,673,66.1218424962853,2005
6,200,459,697,65.8536585365854,2005
8,200,322,505,63.7623762376238,2005
9,200,557,649,85.824345146379,2005
10,200,398,524,75.9541984732824,2005
12,200,440,537,81.9366852886406,2005
13,200,546,711,76.7932489451477,2005
15,200,496,678,73.1563421828909,2005
16,200,433,568,76.2323943661972,2005
17,200,619,767,80.7040417209909,2005
19,200,553,668,82.7844311377245,2005
20,200,495,617,80.226904376013,2005
21,200,413,515,80.1941747572816,2005
22,200,434,598,72.5752508361204,2005
23,200,188,328,57.3170731707317,2005
24,200,459,629,72.972972972973,2005
25,200,924,1107,83.4688346883469,2005
26,200,525,637,82.4175824175824,2005
27,200,600,699,85.8369098712446,2005
28,200,304,393,77.35368956743,2005
29,200,348,461,75.4880694143167,2005
30,200,452,600,75.3333333333333,2005
31,200,798,1000,79.8,2005
32,200,467,858,54.4289044289044,2005
33,200,406,489,83.0265848670757,2005
34,200,443,536,82.6492537313433,2005
35,200,399,519,76.878612716763,2005
36,200,859,1076,79.8327137546468,2005
38,200,639,811,78.7916152897657,2005
40,200,510,651,78.3410138248848,2005
41,200,439,586,74.9146757679181,2005
42,200,622,756,82.2751322751323,2005
44,200,455,629,72.3370429252782,2005
46,200,250,355,70.4225352112676,2005
47,200,526,655,80.3053435114504,2005
48,200,320,480,66.6666666666667,2005
49,200,569,705,80.709219858156,2005
50,200,554,702,78.917378917379,2005
51,200,336,623,53.9325842696629,2005
53,200,971,1256,77.3089171974522,2005
54,200,567,713,79.523141654979,2005
55,200,168,262,64.1221374045801,2005
56,200,424,542,78.2287822878229,2005
4,201,260,444,58.5585585585586,2005
18,201,256,389,65.8097686375321,2005
37,201,441,548,80.4744525547445,2005
39,201,582,699,83.2618025751073,2005
45,201,720,1017,70.7964601769911,2005
4,202,338,493,68.5598377281947,2005
18,202,500,601,83.1946755407654,2005
37,202,364,541,67.28280961183,2005
39,202,529,675,78.3703703703704,2005
45,202,550,637,86.342229199372,2005
4,203,460,590,77.9661016949153,2005
18,203,355,402,88.3084577114428,2005
4,204,307,638,48.1191222570533,2005
4,205,445,556,80.0359712230216,2005
4,206,440,566,77.7385159010601,2005
4,207,709,847,83.70720188902,2005
1,300,679,806,84.2431761786601,2005
2,300,331,497,66.5995975855131,2005
4,300,397,504,78.7698412698413,2005
5,300,591,725,81.5172413793103,2005
6,300,610,810,75.3086419753086,2005
8,300,717,888,80.7432432432432,2005
9,300,306,449,68.15144766147,2005
10,300,789,942,83.7579617834395,2005
12,300,618,849,72.791519434629,2005
13,300,606,791,76.6118836915297,2005
16,300,581,736,78.9402173913043,2005
17,300,528,651,81.1059907834101,2005
18,300,493,589,83.7011884550085,2005
19,300,823,1008,81.6468253968254,2005
20,300,480,674,71.2166172106825,2005
21,300,292,423,69.0307328605201,2005
22,300,927,1239,74.818401937046,2005
23,300,328,390,84.1025641025641,2005
24,300,683,842,81.1163895486936,2005
25,300,406,553,73.4177215189873,2005
26,300,565,673,83.9524517087667,2005
27,300,575,643,89.4245723172628,2005
28,300,362,457,79.2122538293217,2005
29,300,525,701,74.8930099857347,2005
30,300,586,769,76.2028608582575,2005
31,300,419,542,77.3062730627306,2005
32,300,520,681,76.3582966226138,2005
33,300,313,426,73.4741784037559,2005
35,300,406,542,74.9077490774908,2005
36,300,549,696,78.8793103448276,2005
37,300,431,525,82.0952380952381,2005
38,300,478,600,79.6666666666667,2005
40,300,378,498,75.9036144578313,2005
41,300,377,523,72.0841300191205,2005
42,300,863,1031,83.7051406401552,2005
44,300,343,489,70.1431492842536,2005
46,300,451,576,78.2986111111111,2005
47,300,381,530,71.8867924528302,2005
48,300,406,509,79.7642436149312,2005
50,300,460,571,80.5604203152364,2005
53,300,574,806,71.2158808933002,2005
54,300,347,482,71.9917012448133,2005
55,300,356,448,79.4642857142857,2005
56,300,522,668,78.1437125748503,2005
15,301,212,368,57.6086956521739,2005
34,301,225,368,61.1413043478261,2005
39,301,248,378,65.6084656084656,2005
45,301,299,449,66.5924276169265,2005
49,301,372,446,83.408071748879,2005
51,301,578,772,74.8704663212435,2005
15,302,293,404,72.5247524752475,2005
34,302,276,410,67.3170731707317,2005
39,302,304,409,74.3276283618582,2005
45,302,511,620,82.4193548387097,2005
49,302,327,378,86.5079365079365,2005
51,302,526,725,72.551724137931,2005
15,303,303,407,74.4471744471744,2005
34,303,269,449,59.9109131403118,2005
39,303,194,348,55.7471264367816,2005
51,303,614,725,84.6896551724138,2005
15,304,216,482,44.8132780082988,2005
34,304,501,697,71.8794835007174,2005
51,304,473,570,82.9824561403509,2005
15,305,180,355,50.7042253521127,2005
34,305,588,677,86.8537666174298,2005
51,305,833,1049,79.4089609151573,2005
15,306,269,443,60.7223476297968,2005
34,306,505,567,89.0652557319224,2005
15,307,419,551,76.043557168784,2005
