"fips_st","fips_puma","owner_occ","total","per_owner"
1,100,492,633,77.7251184834123
1,200,445,661,67.32223903177
1,300,706,831,84.9578820697954
1,400,448,565,79.2920353982301
1,500,591,751,78.6950732356858
1,600,496,613,80.9135399673736
1,700,435,552,78.804347826087
1,800,680,826,82.3244552058111
1,901,199,346,57.514450867052
1,902,212,356,59.5505617977528
1,903,437,608,71.875
1,904,610,712,85.6741573033708
1,905,363,439,82.6879271070615
1,1000,370,472,78.3898305084746
1,1100,483,612,78.921568627451
1,1200,345,457,75.492341356674
1,1300,642,752,85.3723404255319
1,1400,519,714,72.689075630252
1,1500,343,455,75.3846153846154
1,1600,473,573,82.5479930191972
1,1700,458,730,62.7397260273973
1,1800,611,847,72.1369539551358
1,1900,475,707,67.1852899575672
1,2000,531,643,82.5816485225505
1,2100,455,582,78.1786941580756
1,2200,481,726,66.2534435261708
1,2300,599,733,81.718963165075
1,2400,474,569,83.3040421792619
1,2500,439,568,77.2887323943662
1,2600,1010,1386,72.8715728715729
2,101,168,298,56.3758389261745
2,102,283,381,74.2782152230971
2,200,458,584,78.4246575342466
2,300,338,506,66.798418972332
2,400,307,505,60.7920792079208
4,101,707,798,88.5964912280702
4,102,441,515,85.6310679611651
4,103,703,872,80.6192660550459
4,104,633,813,77.859778597786
4,105,615,736,83.5597826086957
4,106,361,485,74.4329896907217
4,107,447,598,74.7491638795987
4,108,340,459,74.0740740740741
4,109,319,480,66.4583333333333
4,110,775,985,78.6802030456853
4,111,326,480,67.9166666666667
4,112,311,598,52.0066889632107
4,113,227,406,55.9113300492611
4,114,693,871,79.5637198622273
4,115,307,546,56.2271062271062
4,116,335,614,54.5602605863192
4,117,240,472,50.8474576271186
4,118,264,424,62.2641509433962
4,119,414,534,77.5280898876404
4,120,755,979,77.1195097037794
4,121,763,908,84.0308370044053
4,122,467,588,79.421768707483
4,201,244,436,55.9633027522936
4,202,310,453,68.4326710816777
4,203,432,569,75.9226713532513
4,204,280,584,47.945205479452
4,205,405,501,80.8383233532934
4,206,470,591,79.5262267343486
4,207,684,863,79.2584009269988
4,300,570,722,78.9473684210526
4,400,353,495,71.3131313131313
4,500,631,829,76.1158021712907
4,600,624,817,76.3769889840881
4,700,530,679,78.0559646539028
4,800,1038,1263,82.1852731591449
4,900,664,896,74.1071428571429
5,100,558,727,76.7537826685007
5,200,467,701,66.6191155492154
5,300,570,716,79.608938547486
5,400,494,633,78.0410742496051
5,500,611,835,73.1736526946108
5,600,257,388,66.2371134020619
5,700,312,448,69.6428571428571
5,800,404,561,72.0142602495544
5,900,422,643,65.6298600311042
5,1000,470,663,70.8898944193062
5,1100,830,1055,78.6729857819905
5,1200,474,609,77.832512315271
5,1300,472,664,71.0843373493976
5,1400,373,469,79.5309168443497
5,1500,518,677,76.5140324963072
5,1600,371,490,75.7142857142857
5,1700,294,405,72.5925925925926
5,1800,387,506,76.4822134387352
5,1900,342,464,73.7068965517241
6,100,524,698,75.0716332378224
6,200,434,657,66.0578386605784
6,300,584,775,75.3548387096774
6,400,405,560,72.3214285714286
6,500,446,612,72.875816993464
6,600,640,940,68.0851063829787
6,700,404,500,80.8
6,800,394,590,66.7796610169491
6,900,415,681,60.9397944199706
6,1000,358,509,70.3339882121807
6,1101,642,864,74.3055555555556
6,1102,346,507,68.2445759368836
6,1103,390,654,59.6330275229358
6,1201,307,413,74.3341404358354
6,1202,393,579,67.8756476683938
6,1301,391,548,71.3503649635037
6,1302,319,450,70.8888888888889
6,1303,313,438,71.4611872146119
6,1401,318,677,46.9719350073855
6,1402,259,438,59.1324200913242
6,1403,422,630,66.984126984127
6,1501,326,457,71.3347921225383
6,1502,293,435,67.3563218390805
6,1503,525,661,79.4251134644478
6,1504,446,731,61.0123119015048
6,1505,401,544,73.7132352941177
6,1506,442,575,76.8695652173913
6,1601,657,783,83.9080459770115
6,1602,446,620,71.9354838709677
6,1700,580,718,80.7799442896936
6,1800,579,746,77.6139410187668
6,1901,234,370,63.2432432432432
6,1902,296,500,59.2
6,2001,505,654,77.217125382263
6,2002,471,633,74.4075829383886
6,2101,221,372,59.4086021505376
6,2102,370,474,78.0590717299578
6,2103,270,386,69.9481865284974
6,2104,527,660,79.8484848484848
6,2105,420,482,87.136929460581
6,2106,328,442,74.2081447963801
6,2107,222,327,67.8899082568807
6,2108,377,438,86.0730593607306
6,2201,198,566,34.982332155477
6,2202,124,513,24.1715399610136
6,2203,111,483,22.9813664596273
6,2204,212,497,42.6559356136821
6,2205,215,377,57.0291777188329
6,2206,238,359,66.2952646239554
6,2207,188,299,62.876254180602
6,2301,290,439,66.0592255125285
6,2302,269,402,66.9154228855721
6,2303,261,405,64.4444444444444
6,2304,338,501,67.4650698602794
6,2305,335,503,66.6003976143141
6,2306,280,394,71.0659898477157
6,2401,297,590,50.3389830508475
6,2402,201,634,31.7034700315457
6,2403,425,594,71.5488215488216
6,2404,180,344,52.3255813953488
6,2405,367,611,60.0654664484452
6,2406,293,441,66.4399092970522
6,2407,272,398,68.3417085427136
6,2408,319,403,79.1563275434243
6,2409,433,611,70.8674304418985
6,2410,545,732,74.4535519125683
6,2500,435,659,66.0091047040971
6,2601,346,499,69.3386773547094
6,2602,329,454,72.4669603524229
6,2701,533,871,61.1940298507463
6,2702,305,554,55.0541516245487
6,2703,227,432,52.5462962962963
6,2704,310,409,75.7946210268949
6,2705,260,322,80.7453416149068
6,2706,264,332,79.5180722891566
6,2707,383,524,73.0916030534351
6,2708,282,492,57.3170731707317
6,2709,172,410,41.9512195121951
6,2710,334,511,65.3620352250489
6,2711,280,389,71.9794344473008
6,2712,321,395,81.2658227848101
6,2713,262,322,81.3664596273292
6,2714,121,215,56.2790697674419
6,2801,294,514,57.1984435797665
6,2802,375,504,74.404761904762
6,2900,201,376,53.4574468085106
6,3001,281,546,51.4652014652015
6,3002,413,590,70
6,3100,466,742,62.8032345013477
6,3200,309,450,68.6666666666667
6,3301,456,895,50.9497206703911
6,3302,391,586,66.7235494880546
6,3401,308,507,60.7495069033531
6,3402,703,940,74.7872340425532
6,3501,291,425,68.4705882352941
6,3502,312,488,63.9344262295082
6,3503,380,604,62.9139072847682
6,3600,289,440,65.6818181818182
6,3701,377,514,73.3463035019455
6,3702,303,477,63.5220125786163
6,3800,698,1030,67.7669902912621
6,3901,255,396,64.3939393939394
6,3902,381,524,72.7099236641221
6,3903,400,567,70.5467372134039
6,4000,244,392,62.2448979591837
6,4100,325,436,74.5412844036697
6,4200,301,390,77.1794871794872
6,4300,321,548,58.5766423357664
6,4401,345,427,80.7962529274005
6,4402,203,324,62.6543209876543
6,4403,380,532,71.4285714285714
6,4404,473,678,69.76401179941
6,4405,357,551,64.7912885662432
6,4406,525,667,78.7106446776612
6,4407,269,379,70.976253298153
6,4500,292,438,66.6666666666667
6,4600,269,364,73.9010989010989
6,4700,450,582,77.319587628866
6,4800,192,382,50.261780104712
6,4900,277,644,43.0124223602485
6,5000,283,520,54.4230769230769
6,5100,135,279,48.3870967741936
6,5200,215,364,59.0659340659341
6,5300,119,311,38.2636655948553
6,5401,409,572,71.5034965034965
6,5402,318,399,79.6992481203008
6,5403,207,298,69.4630872483222
6,5404,277,408,67.8921568627451
6,5405,185,349,53.0085959885387
6,5406,157,461,34.0563991323210
6,5407,198,523,37.8585086042065
6,5408,373,583,63.9794168096055
6,5409,346,535,64.6728971962617
6,5410,501,747,67.0682730923695
6,5411,315,851,37.0152761457109
6,5412,195,676,28.8461538461538
6,5413,216,909,23.7623762376238
6,5414,22,383,5.74412532637076
6,5415,138,644,21.4285714285714
6,5416,376,730,51.5068493150685
6,5417,91,441,20.6349206349206
6,5418,72,310,23.2258064516129
6,5419,243,550,44.1818181818182
6,5420,270,529,51.0396975425331
6,5421,204,461,44.2516268980477
6,5422,90,279,32.258064516129
6,5423,141,346,40.7514450867052
6,5424,287,593,48.397976391231
6,5500,141,329,42.8571428571429
6,5600,360,556,64.7482014388489
6,5701,226,413,54.7215496368039
6,5702,159,567,28.0423280423280
6,5703,364,561,64.8841354723708
6,5800,221,298,74.1610738255034
6,5900,161,263,61.2167300380228
6,6000,202,275,73.4545454545455
6,6101,420,523,80.3059273422562
6,6102,398,533,74.671669793621
6,6103,188,402,46.7661691542289
6,6104,443,637,69.5447409733124
6,6105,321,465,69.0322580645161
6,6106,450,586,76.7918088737201
6,6107,264,337,78.3382789317507
