CONTROL,SMSA,RCARP,RCLOT,RCOST,RGROC,RKIDC,RMEDI,RUTIL
'000000000001','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000001','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000001','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000002','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000002','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000002','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000002','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000002','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000002','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000003','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000003','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000004','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000004','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000004','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000004','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000005','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000005','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000005','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000005','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000005','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000006','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000006','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000006','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000006','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000008','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000008','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000008','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000008','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000009','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000009','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000009','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000009','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000010','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000010','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000011','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000012','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000012','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000012','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000012','7160','1','-9','1','1','-9','1','-9'
'000000000012','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000013','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000013','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000013','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000013','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000014','5680','-9','-9','-9','1','-9','-9','-9'
'000000000014','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000015','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000015','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000015','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000017','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000017','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000018','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000019','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000019','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000020','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000020','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000020','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000020','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000021','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000021','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000021','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000022','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000022','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000023','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000023','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000023','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000024','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000024','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000024','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000025','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000025','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000025','7160','-9','-9','-9','-9','-9','-9','-9'
