CONTROL,SMSA,RMOV,XUNIT,XTEN,XCOND,XCOOP,XPER,XHEAD,XREL,XCOST,XINUS,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000001','1000',1,'1','1','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000001','1120',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000001','3360',1,'-8','2','3','-6',-8,'-8','-6','3','-9','1','-9','1','-9','-9','-9'
'000000000001','5120',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000001','7360',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000002','0720',1,'1','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000002','1000',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000002','1120',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000002','3360',1,'1','1','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000002','5775',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000002','6840',1,'2','2','3','-6',4,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000002','6840',2,'2','2','3','-6',4,'1','-6','3','-9','2','-9','-9','-9','-9','-9'
'000000000002','7160',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000003','1000',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000003','6480',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000003','6840',1,'-7','2','3','-6',2,'1','-6','4','-9','1','-9','1','-9','-9','-9'
'000000000003','7400',1,'1','2','3','-6',6,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000004','1000',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000004','1120',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000004','5775',1,'2','2','2','-6',-7,'1','-6','3','-9','1','-9','-9','-9','1','-9'
'000000000004','6840',1,'2','2','4','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000004','7160',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000004','7400',1,'1','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
