CONTROL,SMSA,PWT,WEIGHT
'000000000001','0720',223.5291,230.92493557
'000000000001','1000',120.09585,128.46772712
'000000000001','1120',305.76015,362.74563205
'000000000001','1640',130.8343,140.75243041
'000000000001','3360',375.99243233,431.15561464
'000000000001','5120',246.0386,277.04511405
'000000000001','5680',131.9648,132.11083865
'000000000001','5775',188.917,0
'000000000001','6480',90.5129,95.789484474
'000000000001','6840',96.7736,97.934221488
'000000000001','7160',69.156380025,0
'000000000001','7360',200.82604589,242.49415108
'000000000001','7400',410.40656256,424.60876561
'000000000001','8280',477.794,476.33988026
'000000000001','8840',385.0634,407.46596637
'000000000002','0720',223.5291,284.34786842
'000000000002','1000',120.09585,137.35027207
'000000000002','1120',305.76015,362.74563205
'000000000002','1640',130.8343,0
'000000000002','3360',698.26245233,777.43781567
'000000000002','5120',246.0386,0
'000000000002','5680',131.9648,132.11083865
'000000000002','5775',188.917,210.68868732
'000000000002','6480',90.5129,122.6267054
'000000000002','6840',96.7736,107.36974449
'000000000002','7160',138.31276005,141.64487673
'000000000002','7360',200.82604589,242.49415108
'000000000002','7400',225.72176256,0
'000000000002','8280',238.897,0
'000000000002','8840',385.0634,407.46596637
'000000000003','0720',223.5291,230.92493557
'000000000003','1000',80.0639,87.150710167
'000000000003','1640',130.8343,141.02818703
'000000000003','5120',246.0386,281.50585757
'000000000003','5680',131.9648,132.11083865
'000000000003','5775',188.917,0
'000000000003','6480',90.5129,95.789484474
'000000000003','6840',96.7736,107.36974449
'000000000003','7160',69.156380025,0
'000000000003','7360',150.6233,0
'000000000003','7400',410.40656256,499.97295456
'000000000003','8280',477.794,0
'000000000003','8840',385.0634,407.46596637
'000000000004','0720',223.5291,268.66951133
'000000000004','1000',120.09585,128.46772712
'000000000004','1120',305.76015,347.15191566
'000000000004','1640',130.8343,0
'000000000004','3360',590.81762767,609.30780493
'000000000004','5120',246.0386,355.31635791
'000000000004','5680',131.9648,144.90681721
'000000000004','5775',188.917,228.3622246
'000000000004','6480',90.5129,0
'000000000004','6840',96.7736,107.36974449
'000000000004','7160',92.2085067,98.699619679
'000000000004','7360',200.82604589,242.49415108
'000000000004','7400',225.72176256,274.98287511
'000000000004','8280',238.897,270.29015479
'000000000004','8840',385.0634,437.03383946
'000000000005','0720',223.5291,249.38588021
'000000000005','1000',120.09585,137.35027207
'000000000005','1120',305.76015,0
'000000000005','1640',130.8343,141.02818703
'000000000005','5120',246.0386,281.50585757
'000000000005','5680',131.9648,138.37698342
'000000000005','5775',188.917,236.84880644
'000000000005','6480',90.5129,95.789484474
'000000000005','6840',96.7736,107.36974449
'000000000005','7160',138.31276005,141.64487673
'000000000005','7360',150.6233,0
'000000000005','7400',410.40656256,0
'000000000005','8280',477.794,563.0053431
'000000000005','8840',385.0634,399.231542
'000000000006','0720',167.646825,167.59058491
'000000000006','1000',80.0639,87.150710167
'000000000006','1120',305.76015,362.74563205
