CONTROL,SMSA,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000001','1840',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000001','5000',1,'3','-6','1','2','-9',6,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000002','5000',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000002','5000',2,'-6','-6','-6','-6','1',-6,'-6','-6','-6','2','-9','-9','-9','1','-9'
'000000000003','1520',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000003','1520',2,'3','-6','1','1','-9',4,'-6','3','1','2','-9','-9','-9','-9','-9'
'000000000003','1520',3,'3','-6','2','1','-9',2,'-6','2','2','3','-9','-9','-9','-9','-9'
'000000000003','1840',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000003','3760',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000004','1840',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000004','3760',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000004','5000',1,'2','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000004','5000',2,'-6','-6','-6','-6','1',-6,'-6','-6','-6','2','-9','-9','-9','1','-9'
'000000000004','5000',3,'-6','-6','-6','-6','1',-6,'-6','-6','-6','3','-9','-9','-9','1','-9'
'000000000005','1520',1,'3','-6','3','2','-9',4,'2','1','1','1','-9','-9','-9','-9','-9'
'000000000005','1520',2,'2','-6','3','2','-9',4,'2','1','1','2','-9','-9','-9','-9','-9'
'000000000006','3760',1,'3','-6','2','2','-9',3,'1','2','2','1','-9','-9','-9','-9','-9'
'000000000007','1520',1,'3','-6','3','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000000008','1520',1,'3','-6','2','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000008','5000',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000009','5000',-9,'-9','-6','-9','-9','-9',-7,'-6','3','-9','1','1','1','-9','1','-9'
'000000000010','1520',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000010','6440',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000011','6440',1,'3','-6','3','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000012','1520',1,'3','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000012','1520',2,'3','-6','1','2','-9',2,'2','2','1','2','-9','-9','-9','-9','-9'
'000000000012','5000',1,'3','-6','3','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000013','1520',1,'4','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000013','1520',2,'4','-6','3','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'000000000014','5000',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000014','6440',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000015','6440',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000016','1520',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000016','5000',1,'3','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000016','5000',2,'-6','-6','-6','-6','1',-6,'-6','-6','-6','2','-9','-9','-9','1','-9'
'000000000016','6440',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000017','1520',1,'2','-6','1','2','-9',4,'2','2','2','1','-9','-9','-9','-9','-9'
'000000000018','5000',1,'3','-6','2','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000019','1840',1,'4','-6','-7','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000019','3760',1,'3','-6','3','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000019','3760',2,'3','-6','3','1','-9',4,'-6','1','1','2','-9','-9','-9','-9','-9'
'000000000020','1840',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000020','6440',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000021','1520',1,'3','-6','2','1','-9',3,'-6','2','3','1','-9','-9','-9','-9','-9'
'000000000021','6440',1,'3','-6','1','1','-9',5,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000025','1520',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000025','1840',1,'3','-6','1','2','-9',3,'1','2','1','1','-9','-9','-9','-9','-9'
'000000000026','6440',1,'2','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000026','6440',2,'3','-6','1','1','-9',4,'-6','2','1','2','-9','-9','-9','-9','-9'
'000000000027','1840',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000027','5000',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000028','1520',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000029','1520',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000000029','1840',1,'3','-6','2','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000000030','1840',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000030','5000',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000000030','6440',1,'3','-6','1','1','-9',-7,'-6','2','1','1','-9','-9','-9','1','-9'
'000000000032','1520',1,'3','-6','-7','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000032','5000',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000000032','6440',1,'3','-6','3','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000033','6440',1,'3','-6','1','2','-9',3,'1','2','2','1','-9','-9','-9','-9','-9'
'000000000033','6440',2,'3','-6','1','2','-9',4,'1','1','1','2','-9','-9','-9','-9','-9'
'000000000036','3760',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000037','1520',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000037','1840',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000038','1520',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000039','1520',1,'2','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000039','6440',1,'3','-6','1','2','-9',4,'2','3','2','1','-9','-9','-9','-9','-9'
'000000000040','1520',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000041','1520',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000041','6440',1,'3','-6','3','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000042','6440',1,'3','-6','1','1','-9',5,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000043','1520',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000046','5000',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000047','1840',1,'3','-6','1','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'000000000047','5000',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000048','3760',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000000048','6440',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000049','1840',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000050','1520',1,'2','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000000050','1840',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
