CONTROL,SMSA,RAS,RAH,RAD,JRAS
'000000000004','0720','57','2',4500,'-9'
'000000000004','0720','65','2',5000,'-9'
'000000000004','8840','01','2',-7,'-9'
'000000000004','8840','65','2',85,'-9'
'000000000004','8840','70','2',85,'-9'
'000000000007','5120','02','1',-7,'-9'
'000000000007','5120','03','1',-7,'-9'
'000000000007','5120','05','1',-7,'-9'
'000000000007','5120','40','1',-7,'-9'
'000000000007','5120','42','1',-7,'-9'
'000000000007','5120','47','1',-7,'-9'
'000000000007','5120','53','1',-7,'-9'
'000000000007','5120','62','1',-7,'-9'
'000000000007','5120','65','1',-7,'-9'
'000000000007','5120','69','1',-7,'-9'
'000000000007','5120','52','1',-7,'-9'
'000000000007','5120','55','1',-7,'-9'
'000000000009','5120','62','1',375,'-9'
'000000000009','5120','52','2',2500,'-9'
'000000000009','8840','53','1',-7,'-9'
'000000000010','1120','58','2',2000,'-9'
'000000000010','1120','62','2',1100,'-9'
'000000000010','1120','66','2',5000,'-9'
'000000000010','1120','70','2',8000,'-9'
'000000000011','0720','62','1',350,'-9'
'000000000011','0720','52','2',5000,'-9'
'000000000011','5000','01','1',2500,'-9'
'000000000011','5000','53','2',1500,'-9'
'000000000011','5000','61','2',600,'-9'
'000000000012','0720','53','2',3000,'-9'
'000000000012','0720','62','2',500,'-9'
'000000000012','0720','63','2',250,'-9'
'000000000012','0720','52','2',700,'-9'
'000000000013','8840','37','2',100,'-9'
'000000000013','8840','57','2',3500,'-9'
'000000000013','8840','58','2',0,'-9'
'000000000014','8840','47','2',380,'-9'
'000000000014','8840','66','1',130,'-9'
'000000000016','5120','58','1',1500,'-9'
'000000000017','0720','53','1',6000,'-9'
'000000000017','0720','62','2',800,'-9'
'000000000017','5120','37','1',1700,'-9'
'000000000017','5120','58','2',1000,'-9'
'000000000017','5120','62','2',600,'-9'
'000000000018','5000','52','2',358,'-9'
'000000000020','5000','62','2',450,'-9'
'000000000021','0720','57','2',6000,'-9'
'000000000021','0720','58','2',2000,'-9'
'000000000021','0720','61','2',500,'-9'
'000000000021','0720','62','1',600,'-9'
'000000000021','0720','63','1',100,'-9'
'000000000021','0720','66','1',500,'-9'
'000000000021','5120','52','2',2700,'-9'
