CONTROL,SMSA,PERSON,PASS,TRAN,TIMEJ,DISTJ,WHHRW,WHHRB,AMPM,HJOB,VEHCL,WHDY,WHOME,WINUS,WTIME,JTRAN,JVEHCL,JPASS,JTIMEJ,JDISTJ,JWTIME,JWHHRW,JWHHRB,JWHDY
'000000000001','8280',1,-6,1,20,11,5,0,'1','1','1','0','1','-9','0645','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000001','8840',1,-6,1,60,25,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000001','8840',2,-6,5,30,15,-6,0,'1','1','-6','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000004','0720',1,-6,1,22,18,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000004','0720',2,-6,1,5,3,-6,0,'2','1','1','-6','2','-9','0200','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000004','1120',1,-6,2,120,60,-6,0,'1','1','1','-6','2','-9','0530','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000004','1120',2,-6,1,45,35,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000005','0720',1,-6,1,20,15,2,0,'1','1','1','0','1','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000005','0720',2,-6,1,15,10,-6,2,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000006','0720',2,-6,2,20,20,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000007','0720',1,-6,1,45,35,-6,0,'1','1','1','-6','2','-9','0715','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000007','5120',1,-6,2,25,17,-6,0,'1','1','1','-6','2','-9','0530','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000007','5120',2,-6,11,1,0,5,38,'1','1','-6','1','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000008','8840',1,-6,5,25,9,-6,0,'1','1','-6','-6','2','-9','0710','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000009','5120',1,-6,1,45,40,-6,0,'2','1','1','-6','2','-9','0400','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000009','5120',2,-6,1,45,40,-6,0,'2','1','1','-6','2','-9','0400','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000009','5120',3,-6,1,3,2,-6,0,'1','1','1','-6','2','-9','1000','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000009','8840',1,-6,1,2,1,-6,0,'1','1','1','-6','2','-9','0620','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000009','8840',2,-6,1,40,30,-6,0,'1','1','1','-6','2','-9','0745','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000009','8840',3,-6,1,5,4,-6,0,'1','1','1','-6','2','-9','-7','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000000010','0720',1,-6,2,45,45,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000010','1120',1,-6,1,60,28,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000011','0720',1,-6,1,20,10,-6,0,'1','1','1','-6','2','-9','0620','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000011','5000',1,-6,1,20,8,2,0,'1','1','1','0','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000011','8280',1,-6,1,30,15,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000014','8840',1,-6,12,996,996,25,25,'-6','1','-6','4','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000000014','8840',2,-6,1,15,15,-6,0,'1','2','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000015','5120',1,-6,2,2,0,-6,0,'2','1','1','-6','2','-9','0200','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000015','5120',2,-6,1,25,23,-6,2,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000016','5120',1,-6,2,5,2,-6,0,'1','1','1','-6','2','-9','0901','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000016','5120',2,-6,1,25,15,-6,0,'1','2','1','-6','2','-9','0530','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000017','0720',1,-6,1,25,20,8,8,'1','1','1','1','1','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000017','5120',1,-6,1,40,30,-6,0,'1','1','1','-6','2','-9','0400','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000017','5120',2,-6,1,15,15,-6,2,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000017','5120',3,-6,1,30,25,-6,2,'1','2','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000018','0720',1,-6,1,25,20,-6,50,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000018','0720',2,-6,1,25,20,-6,0,'1','1','1','-6','2','-9','1100','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000018','5000',1,-6,1,30,23,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000018','5000',2,-6,1,25,20,-6,5,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000020','5000',1,-6,1,20,15,-6,56,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000020','5000',2,-6,1,20,15,-6,40,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000020','5000',3,-6,1,2,1,-6,0,'2','1','1','-6','2','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000020','8280',1,-6,1,45,18,-6,2,'1','1','1','-6','2','-9','0615','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000021','0720',1,-6,1,50,25,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000021','0720',2,-6,1,15,12,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000021','5120',1,-6,1,12,8,4,0,'2','1','1','0','1','-9','0230','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000021','8840',1,-6,1,5,2,10,0,'1','1','1','2','1','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000023','1120',1,-6,6,60,30,-6,0,'1','1','-6','-6','2','-9','0500','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000023','1120',2,-6,6,60,30,-6,0,'1','1','-6','-6','2','-9','0700','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000023','8280',1,-6,1,20,20,-6,2,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000023','8280',2,-6,1,5,3,-6,2,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000023','8280',3,2,1,5,3,-6,2,'1','1','2','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000024','0720',1,-6,1,15,14,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000024','0720',2,-6,1,30,25,-6,0,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000024','5120',1,-6,2,20,10,-6,0,'1','1','1','-6','2','-9','0710','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000024','5120',2,-6,1,15,5,-6,0,'1','1','1','-6','2','-9','0640','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000024','8840',1,-6,2,30,15,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000024','8840',2,-6,3,10,2,-6,2,'1','2','1','-6','2','-9','0715','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000025','1120',2,-6,1,45,20,5,0,'1','1','1','5','1','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
