CONTROL,SMSA,OWNHERE,JWNHER
'000000000001','5120','2','-9'
'000000000001','8280','1','-9'
'000000000005','0720','-6','-9'
'000000000010','0720','-6','-9'
'000000000013','5000','1','2'
'000000000015','0720','2','-9'
'000000000015','5120','1','-9'
'000000000020','8280','2','-9'
'000000000020','8840','2','-9'
'000000000023','8280','1','-9'
'000000000023','8840','-6','-9'
'000000000024','0720','2','2'
'000000000025','5000','-6','-9'
'000000000029','8840','1','-9'
'000000000034','5120','-6','-9'
'000000000043','5120','1','-9'
'000000000045','5120','-6','-9'
'000000000046','8840','2','-9'
'000000000047','5120','-6','-9'
'000000000047','8280','2','-9'
'000000000055','0720','-6','-9'
'000000000055','8840','2','-9'
'000000000057','5000','-6','-9'
'000000000058','0720','1','-9'
'000000000060','5000','-6','-9'
'000000000065','8280','1','-9'
'000000000067','0720','1','-9'
'000000000071','5120','1','-9'
'000000000074','5000','2','-9'
'000000000077','5120','2','-9'
'000000000077','8840','-6','-9'
'000000000085','1120','1','-9'
'000000000085','8280','2','-9'
'000000000088','0720','-6','-9'
'000000000092','5000','1','-9'
'000000000094','5000','-6','-9'
'000000000098','5000','1','-9'
'000000000103','1120','2','-9'
'000000000105','8840','2','-9'
'000000000109','8280','1','2'
'000000000111','3360','-6','-9'
'000000000113','8280','2','-9'
'000000000115','8840','2','-9'
'000000000116','0720','-6','-9'
'000000000117','8280','2','-9'
'000000000117','8840','2','-9'
'000000000118','1120','2','-9'
'000000000121','8280','2','-9'
'000000000123','8280','2','-9'
'000000000123','8840','-6','-9'
'000000000125','3360','2','-9'
'000000000125','5000','2','-9'
'000000000131','1120','2','-9'
'000000000136','8840','-6','-9'
'000000000138','5000','2','-9'
'000000000139','5000','-6','-9'
'000000000140','1120','-6','-9'
'000000000140','5000','2','-9'
'000000000141','1120','2','-9'
'000000000149','1120','2','-9'
'000000000150','0720','2','-9'
'000000000150','1120','2','-9'
'000000000152','3360','2','2'
'000000000152','8840','-6','-9'
'000000000155','0720','-6','-9'
'000000000155','3360','1','2'
'000000000160','0720','-6','-9'
'000000000161','8280','2','-9'
'000000000164','5120','1','-9'
'000000000165','5120','2','2'
'000000000167','8280','2','-9'
'000000000182','5000','1','-9'
'000000000185','0720','2','-9'
'000000000198','0720','-6','-9'
'000000000198','5000','-6','-9'
'000000000200','5000','-6','-9'
'000000000200','5120','2','-9'
'000000000201','1120','-6','-9'
'000000000202','8280','2','-9'
'000000000203','0720','-6','-9'
'000000000206','8280','1','-9'
'000000000207','8840','-6','-9'
'000000000209','3360','1','-9'
'000000000213','8280','-6','-9'
'000000000221','8280','-6','-9'
'000000000222','1120','-6','-9'
'000000000227','8280','-6','-9'
'000000000228','8840','1','2'
'000000000232','5000','-6','-9'
'000000000235','8840','-6','-9'
'000000000240','3360','2','-9'
'000000000241','8840','2','-9'
'000000000242','5000','-6','-9'
'000000000243','3360','-6','-9'
'000000000244','8840','1','2'
'000000000252','8840','2','-9'
'000000000254','5120','-6','-9'
'000000000257','5120','2','-9'
'000000000257','8840','-6','-9'
'000000000261','5120','1','-9'
'000000000264','8840','-6','-9'
'000000000268','5000','2','-9'
'000000000274','5000','1','-9'
'000000000275','1120','2','-9'
'000000000278','5000','-6','-9'
'000000000279','5000','1','2'
'000000000283','8840','2','-9'
'000000000285','8840','-6','-9'
'000000000292','8840','-6','-9'
'000000000301','3360','1','2'
'000000000301','5000','2','-9'
'000000000301','8280','2','-9'
'000000000306','5000','-6','-9'
'000000000310','8840','2','-9'
'000000000311','1120','2','-9'
'000000000314','5000','1','-9'
'000000000321','8280','2','-9'
'000000000321','8840','2','-9'
'000000000325','5000','2','2'
'000000000325','8840','2','-9'
'000000000327','8280','2','-9'
'000000000328','8280','2','-9'
'000000000328','8840','-6','-9'
'000000000336','0720','2','-9'
'000000000336','5000','-6','-9'
'000000000340','5120','-6','-9'
'000000000341','8280','2','-9'
'000000000342','8280','2','-9'
'000000000347','3360','2','-9'
'000000000350','5120','1','-9'
'000000000351','5120','1','-9'
'000000000353','3360','-6','-9'
'000000000354','0720','2','-9'
'000000000359','8840','-6','-9'
'000000000360','5000','2','-9'
'000000000361','0720','-6','-9'
'000000000361','5000','2','-9'
'000000000362','5000','2','-9'
'000000000368','5000','2','-9'
'000000000368','8840','-6','-9'
'000000000372','5120','2','-9'
'000000000376','1120','1','-9'
'000000000376','8280','1','-9'
'000000000384','5000','2','-9'
'000000000385','1120','2','-9'
'000000000385','8280','2','-9'
'000000000387','8280','1','-9'
'000000000388','1120','2','-9'
'000000000388','8280','2','-9'
'000000000389','3360','2','-9'
'000000000390','8280','-6','-9'
'000000000393','1120','2','-9'
'000000000395','0720','2','-9'
'000000000395','3360','-6','-9'
'000000000395','8280','2','-9'
'000000000403','8840','-6','-9'
'000000000407','8280','-6','-9'
'000000000408','0720','1','-9'
'000000000410','5000','2','-9'
'000000000411','5000','2','-9'
'000000000413','5000','-6','-9'
'000000000414','5000','-6','-9'
'000000000415','0720','2','-9'
'000000000415','5000','2','2'
'000000000417','5120','-6','-9'
'000000000424','8280','1','-9'
'000000000424','8840','-6','-9'
'000000000427','5120','-6','-9'
'000000000430','8280','1','-9'
'000000000431','8280','1','2'
'000000000433','0720','2','2'
'000000000433','5000','2','-9'
'000000000438','5000','2','-9'
'000000000440','5000','2','-9'
'000000000440','8280','2','-9'
'000000000440','8840','-6','-9'
'000000000441','8840','-6','-9'
'000000000443','1120','2','2'
'000000000445','1120','2','-9'
'000000000447','1120','-6','-9'
'000000000447','8840','2','-9'
'000000000449','3360','2','-9'
'000000000454','1120','1','2'
'000000000457','1120','2','-9'
'000000000458','1120','2','-9'
'000000000459','8840','-6','-9'
'000000000460','3360','2','-9'
'000000000460','8280','2','2'
'000000000469','1120','2','-9'
'000000000470','5000','2','-9'
'000000000471','0720','-6','-9'
'000000000471','5000','2','-9'
'000000000472','5000','2','-9'
'000000000478','0720','-6','-9'
'000000000480','8280','2','-9'
'000000000485','1120','-6','-9'
'000000000490','5000','2','-9'
'000000000492','8280','2','-9'
'000000000498','0720','2','-9'
'000000000498','5000','2','-9'
'000000000501','5000','2','-9'
'000000000509','0720','-6','-9'
'000000000509','5120','-6','-9'
'000000000512','8840','2','-9'
'000000000515','0720','-6','-9'
'000000000515','5120','-6','-9'
'000000000517','0720','2','-9'
'000000000517','1120','2','-9'
'000000000519','1120','2','-9'
'000000000521','8280','1','-9'
'000000000523','5120','2','-9'
'000000000525','8840','-6','-9'
'000000000533','3360','2','2'
'000000000534','8840','-6','-9'
'000000000535','0720','2','-9'
'000000000536','0720','-6','-9'
'000000000537','8280','-6','-9'
'000000000538','8280','2','-9'
'000000000540','5000','2','-9'
'000000000542','5000','-6','-9'
'000000000543','1120','2','-9'
'000000000543','8840','2','-9'
'000000000544','5000','2','-9'
'000000000544','5120','-6','-9'
'000000000550','8840','-6','-9'
'000000000558','8280','-6','-9'
'000000000560','3360','-6','-9'
'000000000562','0720','2','-9'
'000000000562','5000','2','-9'
'000000000563','8840','1','-9'
'000000000565','0720','-6','-9'
'000000000566','0720','-6','-9'
'000000000566','5000','2','2'
'000000000566','5120','-6','-9'
'000000000568','3360','1','-9'
'000000000570','8280','-6','-9'
'000000000572','8280','1','-9'
'000000000574','0720','-6','-9'
'000000000575','0720','1','-9'
'000000000576','8280','2','-9'
'000000000578','8280','1','-9'
'000000000582','0720','2','2'
'000000000583','0720','-6','-9'
'000000000583','3360','1','2'
'000000000584','8840','-6','-9'
'000000000587','8280','1','-9'
'000000000587','8840','2','-9'
'000000000588','3360','1','2'
'000000000589','8840','2','-9'
'000000000590','8280','2','-9'
'000000000592','8280','-6','-9'
'000000000593','0720','2','-9'
'000000000594','8280','-6','-9'
'000000000595','8840','2','-9'
'000000000598','1120','2','-9'
'000000000600','5000','2','-9'
'000000000603','0720','2','-9'
'000000000603','1120','2','-9'
'000000000603','3360','2','-9'
'000000000604','3360','1','-9'
'000000000606','1120','2','2'
'000000000606','8280','2','-9'
'000000000608','0720','-6','-9'
'000000000612','8280','-6','-9'
'000000000613','1120','2','-9'
