CONTROL,SMSA,XINUS,XPER,XCOND,XCOOP,XCOST,XHEAD,XREL,XTEN,XUNIT,RMOV,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000005','0720','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000008','8840','-9',1,'2','-6','2','1','-6','1','2',1,'1','-9','-9','-9','-9','1'
'000000000009','0720','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000009','5120','-9',3,'3','-6','4','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000011','5000','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000013','5000','-9',-7,'-9','-6','-9','-9','-6','3','-9',-9,'1','1','1','-9','1','-9'
'000000000015','5120','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000020','8280','-9',6,'3','-6','1','2','1','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000020','8840','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000021','0720','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000023','1120','-9',3,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000023','8840','-9',-7,'-9','-6','-9','-9','-6','1','1',-9,'1','1','1','1','1','-9'
'000000000024','0720','-9',2,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000027','5000','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000028','5120','-9',-7,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','1','-9'
'000000000028','5120','-9',1,'3','-6','1','1','-6','1','1',2,'2','-9','-9','-9','-9','1'
'000000000029','8280','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000029','8840','-9',5,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000035','5120','-9',2,'1','1','4','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000045','5120','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000000046','5000','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000046','8840','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000046','8840','-9',4,'3','-6','3','1','-6','3','1',2,'2','-9','-9','-9','-9','-9'
'000000000051','8280','-9',1,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'000000000057','5000','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000058','0720','-9',4,'3','-6','1','2','1','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000058','8840','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000060','5000','-9',2,'2','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000063','5120','-9',4,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000065','5120','-9',4,'4','-6','1','1','-6','3','1',1,'1','-9','-9','-9','-9','-9'
'000000000065','8280','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000066','5000','-9',4,'3','-6','4','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000067','0720','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000067','8840','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000068','5120','-9',2,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000068','5120','-9',6,'3','-6','1','2','1','1','1',2,'2','-9','-9','-9','-9','-9'
'000000000068','5120','-9',2,'3','-6','1','1','-6','2','2',3,'3','-9','-9','-9','-9','-9'
'000000000069','8280','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000070','5000','-9',3,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000071','5120','-9',6,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000074','5000','-9',3,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000076','5000','-9',-7,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','1','-9'
'000000000077','8840','-9',4,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000085','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000092','5000','-9',2,'4','-6','1','1','-6','3','2',1,'1','-9','-9','-9','-9','-9'
'000000000094','5000','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000094','5000','-9',3,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000000094','8840','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000102','8280','-9',2,'3','-6','-7','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000103','1120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000103','8840','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000104','0720','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000104','5120','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000105','8840','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000106','8840','-9',-8,'2','-6','-8','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000111','3360','-9',3,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000112','5000','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000112','5000','-9',3,'2','-6','1','1','-6','1','2',2,'2','-9','-9','-9','-9','-9'
'000000000113','8280','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000115','8840','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000000116','0720','-9',1,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000118','5000','-9',2,'3','-6','1','1','-6','1','2',1,'1','-9','-9','-9','-9','-9'
'000000000119','5000','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000119','8280','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000119','8840','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000121','0720','-9',5,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000121','8280','-9',4,'3','-6','2','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000123','8280','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000123','8840','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000125','3360','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000125','5000','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000126','1120','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000132','1120','-9',3,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000132','8280','-9',2,'2','-6','2','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000132','8840','-9',2,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000136','8840','-9',5,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000136','8840','1',-6,'-6','-6','-6','-6','-6','-6','-6',2,'2','-9','-9','-9','1','-9'
'000000000136','8840','-9',4,'3','-6','2','1','-6','1','1',3,'3','-9','-9','-9','-9','-9'
'000000000138','1120','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000139','5000','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000139','5120','-9',7,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000140','1120','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000141','0720','-9',-7,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','1','-9'
'000000000141','1120','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000144','3360','-9',3,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000149','1120','-9',-7,'3','-6','2','-9','-6','1','1',1,'1','-9','-9','-9','1','-9'
'000000000150','1120','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000152','3360','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000000155','3360','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000155','3360','-9',2,'3','-6','1','1','-6','2','1',2,'2','-9','-9','-9','-9','-9'
'000000000157','8840','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000160','0720','-9',2,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000160','0720','-9',4,'3','-6','3','2','1','1','1',2,'2','-9','-9','-9','-9','-9'
'000000000165','5120','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000166','0720','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000166','5000','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000175','1120','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000176','5120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000179','5120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000180','5120','-9',5,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000180','5120','-9',-7,'2','-6','1','1','-6','1','3',2,'2','-9','-9','-9','1','-9'
'000000000182','5000','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000192','5120','-9',-7,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','1','-9'
'000000000193','8280','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000195','8280','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000197','0720','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000198','5000','-9',6,'4','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000198','8280','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000200','8840','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000200','8840','-9',3,'3','-6','1','1','-6','1','1',2,'2','-9','-9','-9','-9','-9'
'000000000203','0720','-9',3,'3','-6','3','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000203','0720','-9',3,'3','-6','4','1','-6','2','1',2,'2','-9','-9','-9','-9','-9'
'000000000206','0720','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000206','8280','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000207','8840','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000208','0720','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000208','8280','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000209','3360','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000211','5120','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000212','8840','-9',5,'3','-6','2','1','-6','2','3',1,'1','-9','-9','-9','-9','-9'
'000000000217','5000','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000217','5000','-9',4,'4','-6','-7','2','-7','2','1',2,'2','-9','1','-9','-9','-9'
'000000000218','5120','-9',-7,'3','-6','4','1','-6','1','1',1,'1','-9','1','1','-9','-9'
'000000000219','8840','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000221','0720','-9',6,'4','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000221','8280','-9',2,'4','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000225','8280','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000000225','8840','-9',3,'3','-6','3','1','-6','3','1',1,'1','-9','-9','-9','-9','-9'
'000000000228','8280','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000228','8840','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000232','5000','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000235','8840','-9',3,'2','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000236','8280','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000242','5000','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000000243','3360','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000243','8280','-9',4,'2','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000244','8840','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000245','0720','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000247','0720','-9',5,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000248','8840','-9',-7,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','1','-9'
'000000000249','5000','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000251','1120','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000252','8840','-9',-7,'4','-6','2','-9','-6','2','2',1,'1','-9','-9','-9','1','-9'
'000000000253','8280','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000255','0720','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000000257','5120','-9',2,'2','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000000260','1120','-9',2,'3','-6','1','1','-6','1','2',1,'1','-9','-9','-9','-9','-9'
'000000000262','8280','-9',4,'3','-6','4','2','1','3','1',1,'1','-9','-9','-9','-9','-9'
'000000000264','8280','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000268','5000','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000270','0720','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000000270','5000','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000275','1120','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000276','8280','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000278','1120','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000279','5000','-9',2,'2','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000281','5120','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000285','8840','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000287','0720','-9',2,'2','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000292','8840','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000000292','8840','-9',2,'3','-6','3','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000000292','8840','-9',1,'3','-6','3','1','-6','2','2',3,'3','-9','-9','-9','-9','1'
'000000000294','0720','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000298','8840','-9',2,'2','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000299','8840','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000301','3360','-9',4,'2','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000301','5000','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000000301','5000','-9',2,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000000301','5120','-9',8,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000305','0720','-9',4,'2','-6','1','1','-6','1','2',1,'1','-9','-9','-9','-9','-9'
'000000000306','5000','-9',3,'-9','-6','1','1','-6','2','-7',1,'1','-9','-9','-9','-9','-9'
'000000000307','1120','-9',6,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000310','8840','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000312','5120','-9',6,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000314','5000','-9',2,'3','-6','2','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000319','0720','-9',-8,'-8','-6','-8','-8','-6','2','-8',1,'1','-9','1','-9','-9','-9'
'000000000319','0720','-9',-8,'-8','-6','-8','-8','-6','2','-8',2,'2','-9','1','-9','-9','-9'
'000000000320','8280','-9',6,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000000321','8280','-9',7,'3','-6','1','2','1','3','1',1,'1','-9','-9','-9','-9','-9'
'000000000322','0720','-9',-7,'-9','-6','-9','-9','-6','1','1',-9,'1','1','1','1','1','-9'
