"abbr","date","spcsi","state","city"
"atxr",1991-01-15,69.61,"GA","Atlanta"
"atxr",1991-02-15,69.17,"GA","Atlanta"
"atxr",1991-03-15,69.05,"GA","Atlanta"
"atxr",1991-04-15,69.4,"GA","Atlanta"
"atxr",1991-05-15,69.69,"GA","Atlanta"
"atxr",1991-06-15,70.14,"GA","Atlanta"
"atxr",1991-07-15,70.12,"GA","Atlanta"
"atxr",1991-08-15,70.48,"GA","Atlanta"
"atxr",1991-09-15,70.35,"GA","Atlanta"
"atxr",1991-10-15,70.29,"GA","Atlanta"
"atxr",1991-11-15,70.09,"GA","Atlanta"
"atxr",1991-12-15,69.9,"GA","Atlanta"
"atxr",1992-01-15,70.05,"GA","Atlanta"
"atxr",1992-02-15,69.88,"GA","Atlanta"
"atxr",1992-03-15,69.96,"GA","Atlanta"
"atxr",1992-04-15,69.91,"GA","Atlanta"
"atxr",1992-05-15,70.28,"GA","Atlanta"
"atxr",1992-06-15,70.59,"GA","Atlanta"
"atxr",1992-07-15,71.29,"GA","Atlanta"
"atxr",1992-08-15,71.51,"GA","Atlanta"
"atxr",1992-09-15,71.59,"GA","Atlanta"
"atxr",1992-10-15,71.17,"GA","Atlanta"
"atxr",1992-11-15,71.33,"GA","Atlanta"
"atxr",1992-12-15,71.33,"GA","Atlanta"
"atxr",1993-01-15,71.5,"GA","Atlanta"
"atxr",1993-02-15,71.26,"GA","Atlanta"
"atxr",1993-03-15,71.49,"GA","Atlanta"
"atxr",1993-04-15,71.94,"GA","Atlanta"
"atxr",1993-05-15,72.53,"GA","Atlanta"
"atxr",1993-06-15,72.92,"GA","Atlanta"
"atxr",1993-07-15,73.33,"GA","Atlanta"
"atxr",1993-08-15,73.61,"GA","Atlanta"
"atxr",1993-09-15,73.87,"GA","Atlanta"
"atxr",1993-10-15,73.91,"GA","Atlanta"
"atxr",1993-11-15,73.97,"GA","Atlanta"
"atxr",1993-12-15,74.27,"GA","Atlanta"
"atxr",1994-01-15,74.72,"GA","Atlanta"
"atxr",1994-02-15,75.08,"GA","Atlanta"
"atxr",1994-03-15,75.21,"GA","Atlanta"
"atxr",1994-04-15,75.26,"GA","Atlanta"
"atxr",1994-05-15,75.71,"GA","Atlanta"
"atxr",1994-06-15,76.15,"GA","Atlanta"
"atxr",1994-07-15,76.6,"GA","Atlanta"
"atxr",1994-08-15,76.88,"GA","Atlanta"
"atxr",1994-09-15,76.95,"GA","Atlanta"
"atxr",1994-10-15,77.25,"GA","Atlanta"
"atxr",1994-11-15,77.56,"GA","Atlanta"
"atxr",1994-12-15,77.95,"GA","Atlanta"
"atxr",1995-01-15,78.16,"GA","Atlanta"
"atxr",1995-02-15,78.26,"GA","Atlanta"
"atxr",1995-03-15,78.32,"GA","Atlanta"
"atxr",1995-04-15,78.4,"GA","Atlanta"
"atxr",1995-05-15,78.55,"GA","Atlanta"
"atxr",1995-06-15,78.76,"GA","Atlanta"
"atxr",1995-07-15,79.14,"GA","Atlanta"
"atxr",1995-08-15,79.57,"GA","Atlanta"
"atxr",1995-09-15,79.9,"GA","Atlanta"
"atxr",1995-10-15,80.1,"GA","Atlanta"
"atxr",1995-11-15,80.18,"GA","Atlanta"
"atxr",1995-12-15,80.38,"GA","Atlanta"
"atxr",1996-01-15,80.7,"GA","Atlanta"
"atxr",1996-02-15,80.97,"GA","Atlanta"
"atxr",1996-03-15,81.1,"GA","Atlanta"
"atxr",1996-04-15,81.49,"GA","Atlanta"
"atxr",1996-05-15,81.85,"GA","Atlanta"
"atxr",1996-06-15,82.26,"GA","Atlanta"
"atxr",1996-07-15,82.3,"GA","Atlanta"
"atxr",1996-08-15,82.61,"GA","Atlanta"
"atxr",1996-09-15,82.93,"GA","Atlanta"
"atxr",1996-10-15,83.14,"GA","Atlanta"
"atxr",1996-11-15,83.36,"GA","Atlanta"
"atxr",1996-12-15,83.33,"GA","Atlanta"
"atxr",1997-01-15,83.54,"GA","Atlanta"
"atxr",1997-02-15,83.54,"GA","Atlanta"
"atxr",1997-03-15,83.78,"GA","Atlanta"
"atxr",1997-04-15,84.37,"GA","Atlanta"
"atxr",1997-05-15,85.03,"GA","Atlanta"
"atxr",1997-06-15,85.38,"GA","Atlanta"
"atxr",1997-07-15,85.61,"GA","Atlanta"
"atxr",1997-08-15,85.75,"GA","Atlanta"
"atxr",1997-09-15,86.26,"GA","Atlanta"
"atxr",1997-10-15,86.52,"GA","Atlanta"
"atxr",1997-11-15,86.95,"GA","Atlanta"
"atxr",1997-12-15,87.09,"GA","Atlanta"
"atxr",1998-01-15,87.4,"GA","Atlanta"
"atxr",1998-02-15,87.6,"GA","Atlanta"
"atxr",1998-03-15,88.2,"GA","Atlanta"
"atxr",1998-04-15,89.03,"GA","Atlanta"
"atxr",1998-05-15,89.86,"GA","Atlanta"
"atxr",1998-06-15,90.49,"GA","Atlanta"
"atxr",1998-07-15,90.76,"GA","Atlanta"
"atxr",1998-08-15,90.99,"GA","Atlanta"
"atxr",1998-09-15,91.28,"GA","Atlanta"
"atxr",1998-10-15,91.95,"GA","Atlanta"
"atxr",1998-11-15,92.55,"GA","Atlanta"
"atxr",1998-12-15,92.95,"GA","Atlanta"
"atxr",1999-01-15,93.29,"GA","Atlanta"
"atxr",1999-02-15,93.64,"GA","Atlanta"
"atxr",1999-03-15,94.34,"GA","Atlanta"
"atxr",1999-04-15,94.98,"GA","Atlanta"
"atxr",1999-05-15,95.91,"GA","Atlanta"
"atxr",1999-06-15,96.66,"GA","Atlanta"
"atxr",1999-07-15,97.32,"GA","Atlanta"
"atxr",1999-08-15,97.62,"GA","Atlanta"
"atxr",1999-09-15,98.01,"GA","Atlanta"
"atxr",1999-10-15,98.59,"GA","Atlanta"
"atxr",1999-11-15,99.12,"GA","Atlanta"
"atxr",1999-12-15,99.76,"GA","Atlanta"
"atxr",2000-01-15,100,"GA","Atlanta"
"atxr",2000-02-15,100.8,"GA","Atlanta"
"atxr",2000-03-15,101.18,"GA","Atlanta"
"atxr",2000-04-15,102.5,"GA","Atlanta"
"atxr",2000-05-15,103.38,"GA","Atlanta"
"atxr",2000-06-15,104.58,"GA","Atlanta"
"atxr",2000-07-15,104.81,"GA","Atlanta"
"atxr",2000-08-15,105.09,"GA","Atlanta"
"atxr",2000-09-15,105.08,"GA","Atlanta"
"atxr",2000-10-15,105.56,"GA","Atlanta"
"atxr",2000-11-15,106.04,"GA","Atlanta"
"atxr",2000-12-15,106.35,"GA","Atlanta"
"atxr",2001-01-15,106.63,"GA","Atlanta"
"atxr",2001-02-15,106.9,"GA","Atlanta"
"atxr",2001-03-15,107.24,"GA","Atlanta"
"atxr",2001-04-15,108.08,"GA","Atlanta"
"atxr",2001-05-15,108.74,"GA","Atlanta"
"atxr",2001-06-15,109.77,"GA","Atlanta"
"atxr",2001-07-15,110.24,"GA","Atlanta"
"atxr",2001-08-15,110.71,"GA","Atlanta"
"atxr",2001-09-15,111.09,"GA","Atlanta"
"atxr",2001-10-15,111.24,"GA","Atlanta"
"atxr",2001-11-15,111.17,"GA","Atlanta"
"atxr",2001-12-15,111.01,"GA","Atlanta"
"atxr",2002-01-15,111.18,"GA","Atlanta"
"atxr",2002-02-15,111.67,"GA","Atlanta"
"atxr",2002-03-15,112.02,"GA","Atlanta"
"atxr",2002-04-15,112.39,"GA","Atlanta"
"atxr",2002-05-15,113.01,"GA","Atlanta"
"atxr",2002-06-15,113.75,"GA","Atlanta"
"atxr",2002-07-15,114.31,"GA","Atlanta"
"atxr",2002-08-15,114.68,"GA","Atlanta"
"atxr",2002-09-15,114.76,"GA","Atlanta"
"atxr",2002-10-15,114.86,"GA","Atlanta"
"atxr",2002-11-15,114.91,"GA","Atlanta"
"atxr",2002-12-15,114.91,"GA","Atlanta"
"atxr",2003-01-15,115.12,"GA","Atlanta"
"atxr",2003-02-15,115.23,"GA","Atlanta"
"atxr",2003-03-15,115.84,"GA","Atlanta"
"atxr",2003-04-15,116.06,"GA","Atlanta"
"atxr",2003-05-15,116.88,"GA","Atlanta"
"atxr",2003-06-15,117.35,"GA","Atlanta"
"atxr",2003-07-15,117.79,"GA","Atlanta"
"atxr",2003-08-15,118.17,"GA","Atlanta"
"atxr",2003-09-15,118.53,"GA","Atlanta"
"atxr",2003-10-15,118.4,"GA","Atlanta"
"atxr",2003-11-15,118.45,"GA","Atlanta"
"atxr",2003-12-15,118.31,"GA","Atlanta"
"atxr",2004-01-15,118.67,"GA","Atlanta"
"atxr",2004-02-15,118.65,"GA","Atlanta"
"atxr",2004-03-15,119.06,"GA","Atlanta"
"atxr",2004-04-15,120.1,"GA","Atlanta"
"atxr",2004-05-15,120.88,"GA","Atlanta"
"atxr",2004-06-15,121.49,"GA","Atlanta"
"atxr",2004-07-15,122.23,"GA","Atlanta"
