SUMLEV,STATE,COUNTY,CTYNAME,HUCENSUS2000,HUESTBASE2000,HUEST_2000,HUEST_2001,HUEST_2002,HUEST_2003,HUEST_2004,HUEST_2005,HUEST_2006,HUEST_2007
50,1,1,Autauga County,17662,17662,17733,18062,18444,18693,18955,19254,19527,19801
50,1,3,Baldwin County,74285,74285,74939,77690,79674,81701,85389,89911,96402,101791
50,1,5,Barbour County,12461,12461,12501,12696,12739,12758,12775,12768,12788,12788
50,1,7,Bibb County,8345,8345,8369,8493,8531,8552,8576,8573,8587,8597
50,1,9,Blount County,21158,21157,21202,21445,21483,21494,21631,21674,21721,21773
50,1,11,Bullock County,4727,4684,4695,4756,4770,4779,4797,4788,4786,4813
50,1,13,Butler County,9957,9957,10001,10203,10232,10249,10278,10273,10315,10312
50,1,15,Calhoun County,51322,51321,51458,52092,52379,52602,52785,52888,53086,53229
50,1,17,Chambers County,16256,16256,16282,16414,16451,16468,16484,16469,16459,16440
50,1,19,Cherokee County,14025,14025,14066,14277,14353,14413,14476,14469,14490,14602
50,1,21,Chilton County,17651,17651,17706,17979,18131,18203,18276,18337,18476,18575
50,1,23,Choctaw County,7839,7839,7861,7973,8006,8023,8048,8034,8037,8025
50,1,25,Clarke County,12631,12631,12660,12809,12855,12886,12957,12948,12951,12959
50,1,27,Clay County,6612,6612,6627,6705,6728,6739,6759,6783,6782,6770
50,1,29,Cleburne County,6189,6189,6211,6319,6345,6359,6378,6370,6400,6420
50,1,31,Coffee County,19837,19837,19885,20110,20256,20422,20630,20950,21437,21728
50,1,33,Colbert County,24980,24980,25037,25292,25472,25638,25811,25899,26038,26205
50,1,35,Conecuh County,7265,7265,7283,7373,7397,7413,7433,7419,7415,7403
50,1,37,Coosa County,6142,6138,6155,6241,6267,6281,6300,6287,6327,6312
50,1,39,Covington County,18578,18579,18612,18782,18833,18864,18898,18922,18947,18936
50,1,41,Crenshaw County,6644,6644,6660,6741,6767,6781,6806,6795,6832,6825
50,1,43,Cullman County,35233,35233,35322,35757,35900,36126,36269,36291,36363,36377
50,1,45,Dale County,21779,21779,21827,22065,22156,22217,22323,22391,22493,22577
50,1,47,Dallas County,20450,20450,20496,20719,20760,20778,20862,20821,20876,20888
50,1,49,DeKalb County,28051,28051,28125,28490,28643,28752,28870,28910,28983,29055
50,1,51,Elmore County,25733,25733,25842,26326,26712,27161,27599,28038,28548,28823
50,1,53,Escambia County,16544,16544,16576,16745,16787,16817,16853,16836,16912,16890
50,1,55,Etowah County,45959,45959,46054,46495,46796,47084,47389,47597,47926,48210
50,1,57,Fayette County,8472,8472,8492,8590,8634,8656,8683,8681,8696,8734
50,1,59,Franklin County,13749,13749,13774,13900,13954,13993,14030,14022,14037,14042
50,1,61,Geneva County,12115,12117,12144,12284,12319,12341,12372,12366,12384,12389
50,1,63,Greene County,5117,5117,5131,5203,5228,5236,5248,5240,5249,5241
50,1,65,Hale County,7756,7756,7783,7920,7974,8016,8067,8083,8139,8189
50,1,67,Henry County,8037,8037,8057,8156,8197,8226,8276,8289,8332,8322
50,1,69,Houston County,39571,39569,39760,40585,40941,41268,41639,42216,42776,43336
50,1,71,Jackson County,24168,24168,24241,24593,24701,24785,24883,24899,24978,25026
50,1,73,Jefferson County,288162,288163,288807,291493,293328,295408,298439,301762,304766,308372
50,1,75,Lamar County,7517,7517,7533,7615,7640,7658,7681,7675,7676,7666
