"state","county","year","births","deaths","domesticmig","gqestimates","internationalmig","naturalinc","netmig","npopchg_","popestimate","rbirth","rdeath","rdomesticmig","residual","rinternationalmig","rnaturalinc","rnetmig"
1,0,2001,62358,45163,-8850,116446,4806,17195,-4044,11145,4462832,13.990210801,10.132459194,-1.985524962,-2006,1.0782410133,3.8577516072,-0.907283949
1,0,2002,59529,45754,-8616,115651,3871,13775,-4745,7074,4469906,13.32827628,10.244115522,-1.929083781,-1956,0.8666995495,3.0841607579,-1.062384232
1,0,2003,58571,45883,4821,118109,2080,12688,6901,16692,4486598,13.078987069,10.245738739,1.0765361128,-2897,0.4644669393,2.8332483299,1.5410030521
1,0,2004,59547,46913,5123,116744,4483,12634,9606,19976,4506574,13.242713472,10.4330263,1.1393088001,-2264,0.9969785967,2.8096871716,2.1362873967
1,0,2005,60076,46549,16248,117725,3558,13527,19806,30725,4537299,13.285458564,10.29404106,3.5931508547,-2608,0.7868310402,2.9914175044,4.3799818949
1,0,2006,61332,47004,32945,119152,4286,14328,37231,50265,4587564,13.442831964,10.302401252,7.2209303307,-1294,0.9394113643,3.1404307111,8.160341695
1,0,2007,63046,46516,18496,120244,3366,16530,21862,39031,4626595,13.68459129,10.096634972,4.0146908687,639,0.7306146985,3.5879563181,4.7453055672
1,0,2008,62940,47057,15118,120244,3460,15883,18578,35305,4661900,13.552249315,10.132319606,3.2552098052,844,0.7450076681,3.4199297087,4.0002174733
1,1,2001,635,354,318,260,5,281,323,563,44437,14.38099444,8.0171213099,7.2018208377,-41,0.1132361767,6.3638731302,7.3150570144
1,1,2002,593,367,549,260,-24,226,525,723,45160,13.237050348,8.1922385794,12.254874605,-28,-0.535732223,5.0448117683,11.719142382
1,1,2003,613,401,499,260,-72,212,427,606,45766,13.48349207,8.8203594131,10.975958472,-33,-1.583705431,4.6631326573,9.3922530409
1,1,2004,635,396,956,260,39,239,995,1175,46941,13.699073425,8.5430442146,20.624116841,-59,0.8413604151,5.1560292103,21.465477256
