"pop08","pop00_est","pop_change_perc","pop_change","pop00","pop_under5","pop_under5_perc","pop_under18","pop_under18_perc","pop_over65","pop_over65_perc","pop_female","pop_white","pop_black","pop_indian","pop_asian","pop_pi","pop_multiracial","pop_hispanic","pop_nonhispanic","pop_white_perc","pop_black_perc","pop_indian_perc","pop_asian_perc","pop_pi_perc","pop_multiracial_perc","pop_hispanic_perc","pop_nothispanic_perc","births","deaths","deaths_infact","same_house_perc","foreign_born_perc","foreign_lang_perc","gse_perc","bachelor_perc","disabled","travel_time","houses07","houses_change","houses_change_perc","owner_occupied","value00","units_in_structure","household","household_size","income_percap_99","income_hhold_07","poverty_perc","income_personal_06","income_percap_06","laborforce","unemploy","unemploy_rate","employ_all","employ_change","employ_govt","earnings","earnings_job","employers","employ_private","employ_private_change","nonemployer","hospitality","firms","firms_black_perc","firms_indian_perc","firms_asian_perc","firms_hispanic_perc","firms_pi_perc","firms_female_perc","manufact","trade_wholesale","trade_retail","trade_retail_percap","houses_new","houses_new_value","farms","govt_exp","govt_exp_percap","area","popdens","state","county"
50364,43671,15.3,6693,43671,3504,7,13332,26.7,11,5509,51.4,39941,8988,223,294,13,501,962,39067,79.9,18,0.4,0.6,0,1,1.9,78.2,644,454,8,55.1,1.2,2.8,78.7,18,8581,26.5,19801,2139,12.1,80.8,94800,4.6,16003,2.71,18518,50375,10.4,1414,28794,24662,720,2.9,18670,2381,2445,538131,28823,877,10621,16.5,3114,52718,2943,0,0,0,0,0,14.3,0,0,516308,11326,260,43452,118468,579558,11600,595.97,73.3,1,1
174439,140415,24.2,34024,140415,10945,6.4,40367,23.5,16.3,27995,51.1,151247,17230,841,885,40,1526,4621,146952,88.1,10,0.5,0.5,0,0.9,2.7,85.6,2099,1576,19,53.2,2.1,4,82,23.1,28693,25.9,101791,27506,37,79.5,122500,18.9,55336,2.5,20826,49163,10.3,5525,32839,83102,2278,2.7,88090,17843,9324,2672232,30335,4816,54793,23.2,14464,274788,14563,3.2,1.3,0.9,1.1,0,22.9,1171949,979646,1820932,12297,2271,358763,181337,1106705,6443,1596.35,88,1,3
29309,29038,0.9,271,29038,1675,6,6401,22.9,13,3645,47.1,14338,13152,136,87,8,220,1036,13424,51.3,47.1,0.5,0.3,0,0.8,3.7,48,376,326,0,60.5,1.5,3.6,64.7,10.9,6650,23.1,12788,327,2.6,73.1,68600,10.6,10409,2.53,13316,30370,26.1,672,23910,10438,579,5.5,14703,-494,2120,482345,32806,556,9434,-13.8,1347,22470,1676,8.4,0,0,0,0,23.7,663458,0,187191,6460,25,3663,190815,193397,6922,884.9,32.8,1,5
21629,19889,8.7,1740,20826,1290,6,5121,23.8,12.9,2787,48.2,16560,4774,64,19,2,116,282,16324,76.9,22.2,0.3,0.1,0,0.5,1.3,75.8,275,234,0,64.3,0.4,1.8,63.2,7.1,4750,31.6,8597,252,3,80.2,74600,6.3,7421,2.64,14105,38907,18.2,477,22367,8878,320,3.6,6605,507,1419,194698,29477,304,3132,-8,1170,5352,1338,0,0,0,0,0,38.7,0,37335,79243,3763,11,1502,44893,138390,6426,623.03,33.4,1,7
57441,51023,12.6,6418,51024,3583,6.3,13692,24.2,13.9,7897,50.2,54585,1147,304,134,11,433,3877,50837,96.4,2,0.5,0.2,0,0.8,6.8,89.8,708,531,0,59.4,3.1,5.6,70.4,9.6,11675,34.7,21773,616,2.9,83.4,86800,4.2,19265,2.62,16325,43266,13.1,1344,24079,26909,760,2.8,19056,2553,2320,449406,23583,707,6629,-15.7,3600,16961,3383,0,0,0,0,0,18.9,119664,0,247103,4656,36,4920,143232,272029,4805,645.59,79,1,9
10796,11626,-7.1,-830,11714,785,7.3,2578,23.9,11.6,1254,45.8,3079,7559,44,27,2,70,808,2391,28.6,70.1,0.4,0.3,0,0.6,7.5,22.2,186,140,0,59.4,3.1,6.1,60.5,7.7,2795,26,4813,129,2.8,74.5,56600,7.9,3986,2.56,10163,24969,34,220,20487,3642,308,8.5,4463,-94,832,130561,29254,123,2065,-12.4,345,2629,396,29.5,0,0,0,0,38.1,0,0,34140,3013,0,0,146248,88007,8163,625.01,18.7,1,11
20090,21399,-6.1,-1309,21399,1368,6.8,4901,24.3,15.9,3215,52.9,11490,8446,47,85,0,89,183,11383,57,41.9,0.2,0.4,0,0.4,0.9,56.5,267,293,0,62.2,0.4,2.2,67.8,10.4,5775,26.3,10312,355,3.6,76.2,57700,9.2,8398,2.52,15715,30460,23.2,516,25545,9107,503,5.5,10100,629,1203,295362,29244,497,6226,17.8,1208,22160,1299,0,0,0,0,0,16.1,202300,0,174487,8386,31,5017,83408,170656,8466,776.87,27.5,1,13
113419,112243,1,1176,112249,7505,6.6,26315,23.3,14.8,16719,52.1,88187,22428,487,831,65,1105,2573,85827,78,19.8,0.4,0.7,0.1,1,2.3,75.9,1473,1381,13,57.1,1.7,3.5,73.9,15.2,25861,23.4,53229,1908,3.7,72.5,71600,11.5,45307,2.42,17367,37478,17.1,3264,28959,54761,1911,3.5,65735,4218,14321,2455724,37358,2549,42071,3.6,6302,131131,7741,7.7,0,0,0,0,32.1,2020839,1058280,1160387,10413,472,40958,74992,1647650,14568,608.46,184.6,1,15
34424,36583,-5.9,-2159,36583,2129,6.1,8181,23.5,16.1,5607,52.4,21134,13265,58,87,0,220,405,20819,60.8,38.2,0.2,0.3,0,0.6,1.2,59.9,409,494,0,63.6,0.8,2.3,64.2,9.5,9207,22,16440,184,1.1,75.7,58900,7.7,14522,2.48,15147,33904,15.6,850,24403,15531,895,5.8,14854,-1708,1676,447945,30157,615,9288,-19.4,1891,26403,2051,0,0,0,0,0,19.5,750354,15514,241756,6686,753,40696,92810,256664,7383,597.17,61.3,1,17
24545,23986,2.3,559,23988,1347,5.5,5242,21.3,18,4428,51.2,22814,1374,111,67,0,194,268,22564,92.9,5.6,0.5,0.3,0,0.8,1.1,91.9,276,286,0,63.4,1.1,2.1,63.5,9.7,5774,30,14602,577,4.1,81.7,76100,3.9,9719,2.43,15543,37376,18.9,608,24771,12003,448,3.7,8853,889,1415,238618,26953,368,3784,10.8,1577,9206,1610,0,0,0,0,0,32.9,217684,35935,141575,5820,34,4874,121406,174200,7093,553.12,43.4,1,19
