METROPOLITAN STATISTICAL AREAS AND COMPONENTS, November 2007, WITH CODES

(Metropolitan statistical areas and metropolitan divisions defined by the Office of Management and Budget, November 2007)

Source:                 U.S. Census Bureau, Population Division
Internet Release Date:  June 24, 2008
Last Revised:           

                FIPS
CBSA   Div      State/
Code   Code     County  Metropolitan Statistical Area and Division Titles and Components
10180                   Abilene, TX Metropolitan Statistical Area
10180           48059         Callahan County, TX
10180           48253         Jones County, TX
10180           48441         Taylor County, TX

10380                   Aguadilla-Isabela-San Sebastián, PR Metropolitan Statistical Area
10380           72003         Aguada Municipio, PR
10380           72005         Aguadilla Municipio, PR
10380           72011         Añasco Municipio, PR
10380           72071         Isabela Municipio, PR
10380           72081         Lares Municipio, PR
10380           72099         Moca Municipio, PR
10380           72117         Rincón Municipio, PR
10380           72131         San Sebastián Municipio, PR

10420                   Akron, OH Metropolitan Statistical Area
10420           39133         Portage County, OH
10420           39153         Summit County, OH

10500                   Albany, GA Metropolitan Statistical Area
10500           13007         Baker County, GA
10500           13095         Dougherty County, GA
10500           13177         Lee County, GA
10500           13273         Terrell County, GA
10500           13321         Worth County, GA

10580                   Albany-Schenectady-Troy, NY Metropolitan Statistical Area
10580           36001         Albany County, NY
10580           36083         Rensselaer County, NY
10580           36091         Saratoga County, NY
10580           36093         Schenectady County, NY
10580           36095         Schoharie County, NY

10740                   Albuquerque, NM Metropolitan Statistical Area
10740           35001         Bernalillo County, NM
10740           35043         Sandoval County, NM
10740           35057         Torrance County, NM
10740           35061         Valencia County, NM

10780                   Alexandria, LA Metropolitan Statistical Area
10780           22043         Grant Parish, LA
10780           22079         Rapides Parish, LA

10900                   Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area
10900           34041         Warren County, NJ
10900           42025         Carbon County, PA
10900           42077         Lehigh County, PA
10900           42095         Northampton County, PA

11020                   Altoona, PA Metropolitan Statistical Area
11020           42013         Blair County, PA

11100                   Amarillo, TX Metropolitan Statistical Area
11100           48011         Armstrong County, TX
11100           48065         Carson County, TX
11100           48375         Potter County, TX
11100           48381         Randall County, TX

11180                   Ames, IA Metropolitan Statistical Area
11180           19169         Story County, IA

11260                   Anchorage, AK Metropolitan Statistical Area
11260           02020         Anchorage Municipality, AK
11260           02170         Matanuska-Susitna Borough, AK

11300                   Anderson, IN Metropolitan Statistical Area
11300           18095         Madison County, IN

11340                   Anderson, SC Metropolitan Statistical Area
11340           45007         Anderson County, SC

11460                   Ann Arbor, MI Metropolitan Statistical Area
11460           26161         Washtenaw County, MI

11500                   Anniston-Oxford, AL Metropolitan Statistical Area
11500           01015         Calhoun County, AL

11540                   Appleton, WI Metropolitan Statistical Area
11540           55015         Calumet County, WI
11540           55087         Outagamie County, WI

11700                   Asheville, NC Metropolitan Statistical Area
11700           37021         Buncombe County, NC
11700           37087         Haywood County, NC
11700           37089         Henderson County, NC
11700           37115         Madison County, NC

12020                   Athens-Clarke County, GA Metropolitan Statistical Area
12020           13059         Clarke County, GA
12020           13195         Madison County, GA
12020           13219         Oconee County, GA
12020           13221         Oglethorpe County, GA

12060                   Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area
12060           13013         Barrow County, GA
12060           13015         Bartow County, GA
12060           13035         Butts County, GA
12060           13045         Carroll County, GA
12060           13057         Cherokee County, GA
12060           13063         Clayton County, GA
12060           13067         Cobb County, GA
12060           13077         Coweta County, GA
12060           13085         Dawson County, GA
12060           13089         DeKalb County, GA
12060           13097         Douglas County, GA
12060           13113         Fayette County, GA
12060           13117         Forsyth County, GA
12060           13121         Fulton County, GA
12060           13135         Gwinnett County, GA
12060           13143         Haralson County, GA
12060           13149         Heard County, GA
12060           13151         Henry County, GA
12060           13159         Jasper County, GA
12060           13171         Lamar County, GA
12060           13199         Meriwether County, GA
12060           13217         Newton County, GA
12060           13223         Paulding County, GA
12060           13227         Pickens County, GA
12060           13231         Pike County, GA
12060           13247         Rockdale County, GA
12060           13255         Spalding County, GA
12060           13297         Walton County, GA

12100                   Atlantic City-Hammonton, NJ Metropolitan Statistical Area
12100           34001         Atlantic County, NJ

12220                   Auburn-Opelika, AL Metropolitan Statistical Area
12220           01081         Lee County, AL

12260                   Augusta-Richmond County, GA-SC Metropolitan Statistical Area
12260           13033         Burke County, GA
12260           13073         Columbia County, GA
12260           13189         McDuffie County, GA
12260           13245         Richmond County, GA
12260           45003         Aiken County, SC
12260           45037         Edgefield County, SC

12420                   Austin-Round Rock, TX Metropolitan Statistical Area
12420           48021         Bastrop County, TX
12420           48055         Caldwell County, TX
12420           48209         Hays County, TX
12420           48453         Travis County, TX
12420           48491         Williamson County, TX

12540                   Bakersfield, CA Metropolitan Statistical Area
12540           06029         Kern County, CA

12580                   Baltimore-Towson, MD Metropolitan Statistical Area
12580           24003         Anne Arundel County, MD
12580           24005         Baltimore County, MD
12580           24013         Carroll County, MD
12580           24025         Harford County, MD
12580           24027         Howard County, MD
12580           24035         Queen Anne's County, MD
12580           24510         Baltimore city, MD

12620                   Bangor, ME Metropolitan Statistical Area
12620           23019         Penobscot County, ME

12700                   Barnstable Town, MA Metropolitan Statistical Area
12700           25001         Barnstable County, MA

12940                   Baton Rouge, LA Metropolitan Statistical Area
12940           22005         Ascension Parish, LA
12940           22033         East Baton Rouge Parish, LA
12940           22037         East Feliciana Parish, LA
12940           22047         Iberville Parish, LA
12940           22063         Livingston Parish, LA
12940           22077         Pointe Coupee Parish, LA
12940           22091         St. Helena Parish, LA
12940           22121         West Baton Rouge Parish, LA
12940           22125         West Feliciana Parish, LA

12980                   Battle Creek, MI Metropolitan Statistical Area
12980           26025         Calhoun County, MI

13020                   Bay City, MI Metropolitan Statistical Area
13020           26017         Bay County, MI

13140                   Beaumont-Port Arthur, TX Metropolitan Statistical Area
13140           48199         Hardin County, TX
13140           48245         Jefferson County, TX
13140           48361         Orange County, TX

13380                   Bellingham, WA Metropolitan Statistical Area
13380           53073         Whatcom County, WA

13460                   Bend, OR Metropolitan Statistical Area
13460           41017         Deschutes County, OR

13740                   Billings, MT Metropolitan Statistical Area
13740           30009         Carbon County, MT
13740           30111         Yellowstone County, MT

13780                   Binghamton, NY Metropolitan Statistical Area
13780           36007         Broome County, NY
13780           36107         Tioga County, NY

13820                   Birmingham-Hoover, AL Metropolitan Statistical Area
13820           01007         Bibb County, AL
13820           01009         Blount County, AL
13820           01021         Chilton County, AL
13820           01073         Jefferson County, AL
13820           01115         St. Clair County, AL
13820           01117         Shelby County, AL
13820           01127         Walker County, AL

13900                   Bismarck, ND Metropolitan Statistical Area
13900           38015         Burleigh County, ND
13900           38059         Morton County, ND

13980                   Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area
13980           51071         Giles County, VA
13980           51121         Montgomery County, VA
13980           51155         Pulaski County, VA
13980           51750         Radford city, VA

14020                   Bloomington, IN Metropolitan Statistical Area
14020           18055         Greene County, IN
14020           18105         Monroe County, IN
14020           18119         Owen County, IN

14060                   Bloomington-Normal, IL Metropolitan Statistical Area
14060           17113         McLean County, IL

14260                   Boise City-Nampa, ID Metropolitan Statistical Area
14260           16001         Ada County, ID
14260           16015         Boise County, ID
14260           16027         Canyon County, ID
14260           16045         Gem County, ID
14260           16073         Owyhee County, ID

14460                   Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area
14460   14484              Boston-Quincy, MA Metropolitan Division
14460   14484   25021         Norfolk County, MA
14460   14484   25023         Plymouth County, MA
14460   14484   25025         Suffolk County, MA 
14460   15764              Cambridge-Newton-Framingham, MA Metropolitan Division
14460   15764   25017         Middlesex County, MA
14460   37764              Peabody, MA Metropolitan Division
14460   37764   25009         Essex County, MA
14460   40484              Rockingham County-Strafford County, NH Metropolitan Division
14460   40484   33015         Rockingham County, NH
