"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",23,23,0,0,0,0
"Albany","GA MSA",53,53,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",199,183,2,0,14,2
"Albuquerque","NM MSA",703,503,0,12,188,1
"Alexandria","LA MSA",36,36,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",243,165,0,4,74,3
"Altoona","PA MSA",8,8,0,0,0,0
"Amarillo","TX MSA",82,82,0,0,0,0
"Anchorage","AK MSA",223,113,98,0,12,1
"Anniston","AL MSA",26,26,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",180,149,6,0,25,3
"Asheville","NC MSA",201,141,14,0,46,5
"Athens","GA MSA",98,98,0,0,0,0
"Atlanta","GA MSA",6234,4652,6,4,1572,67
"Auburn-Opelika","AL MSA",69,50,2,0,17,1
"Augusta-Aiken","GA-SC MSA",296,196,0,0,100,13
"Austin-San Marcos","TX MSA",1779,713,10,29,1027,50
"Bakersfield","CA MSA",348,348,0,0,0,0
"Bangor","ME MSA",24,24,0,0,0,0
"Barnstable-Yarmouth","MA MSA",115,110,2,3,0,0
"Baton Rouge","LA MSA",419,143,0,0,276,14
"Beaumont-Port Arthur","TX MSA",55,55,0,0,0,0
"Bellingham","WA MSA",131,96,6,0,29,1
"Benton Harbor","MI MSA",14,14,0,0,0,0
"Billings","MT MSA",47,47,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",185,185,0,0,0,0
"Binghamton","NY MSA",8,8,0,0,0,0
"Birmingham","AL MSA",408,398,0,0,10,1
"Bismarck","ND MSA",152,62,4,4,82,4
"Bloomington","IN MSA",61,55,2,4,0,0
"Bloomington-Normal","IL MSA",123,93,0,0,30,4
"Boise City","ID MSA",523,515,4,4,0,0
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1652",1231,52,59,310,11,NA
"Brownsville-Harlingen-San Benito","TX MSA",200,193,2,0,5,1
"Bryan-College Station","TX MSA",130,90,34,6,0,0
"Buffalo-Niagara Falls","NY MSA",386,177,2,0,207,6
"Burlington","VT MSA",67,47,2,0,18,1
"Canton-Massillon","OH MSA",103,103,0,0,0,0
"Casper","WY MSA",12,12,0,0,0,0
"Cedar Rapids","IA MSA",126,85,10,7,24,1
"Champaign-Urbana","IL MSA",40,40,0,0,0,0
"Charleston-North Charleston","SC MSA",423,331,2,3,87,9
"Charleston","WV MSA",35,27,0,3,5,1
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1975,1271,10,39,655,60
"Charlottesville","VA MSA",244,102,2,0,140,12
"Chattanooga","TN-GA MSA",214,199,2,7,6,1
"Cheyenne","WY MSA",28,28,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",4319,3248,68,179,824,54
"Chico-Paradise","CA MSA",122,102,2,0,18,2
"Cincinnati-Hamilton","OH-KY- IN CMSA",1377,1054,6,24,293,26
"Clarksville-Hopkinsville","TN-KY MSA",119,111,4,4,0,0
"Cleveland-Akron","OH CMSA",968,900,6,32,30,3
"Colorado Springs","CO MSA",597,593,0,4,0,0
"Columbia","MO MSA",126,99,6,0,21,1
"Columbia","SC MSA",338,338,0,0,0,0
"Columbus","GA-AL MSA",124,104,4,0,16,1
"Columbus","OH MSA",1553,1127,34,82,310,26
"Corpus Christi","TX MSA",88,79,0,9,0,0
"Corvallis OR MSA","30",26,4,0,0,0,NA
"Cumberland","MD-WV MSA",12,12,0,0,0,0
"Dallas-Fort Worth","TX CMSA",5023,3870,8,19,1126,20
"Danville","VA MSA",28,28,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",111,71,4,0,36,3
"Dayton-Springfield","OH MSA",316,201,4,75,36,1
"Daytona Beach","FL MSA",643,391,12,19,221,10
"Decatur","Al MSA",29,29,0,0,0,0
"Decatur","IL MSA",27,16,0,0,11,1
"Denver-Boulder-Greeley","CO CMSA",3863,2122,24,42,1675,81
"Des Moines","IA MSA",325,277,6,8,34,4
"Detroit-Ann Arbor-Flint","MI CMSA",2553,1993,24,28,508,36
"Dothan","AL MSA",26,26,0,0,0,0
"Dover","DE MSA",89,89,0,0,0,0
"Dubuque","IA MSA",28,21,0,7,0,0
"Duluth-Superior","MN-WI MSA",76,71,2,3,0,0
"Eau Claire","WI MSA",183,77,14,44,48,5
"El Paso","TX MSA",346,344,2,0,0,0
"Elkhart-Goshen","IN MSA",78,70,2,0,6,1
"Elmira","NY MSA",6,6,0,0,0,0
"Enid","OK MSA",2,2,0,0,0,0
"Erie","PA MSA",47,34,0,8,5,1
"Eugene-Springfield","OR MSA",126,122,4,0,0,0
"Evansville-Henderson","IN-KY MSA",137,134,0,3,0,0
"Fargo-Moorhead","ND-MN MSA",133,86,0,12,35,2
"Fayetteville","NC MSA",116,116,0,0,0,0
"Fayetteville-Springdale- Rogers","AR MSA",305,256,24,3,22,4
"Flagstaff","AZ-UT MSA",58,58,0,0,0,0
"Florence","AL MSA",8,8,0,0,0,0
"Florence","SC MSA",60,52,0,0,8,1
"Fort Collins-Loveland","CO MSA",318,256,0,8,54,6
"Fort Myers-Cape Coral","FL MSA",912,540,38,100,234,19
"Fort Pierce-Port St. Lucie","FL MSA",601,288,0,8,305,12
"Fort Smith","AR-OK MSA",43,35,8,0,0,0
"Fort Walton Beach","FL MSA",130,104,0,0,26,3
"Fort Wayne","IN MSA",404,294,8,0,102,7
"Fresno","CA MSA",419,398,2,7,12,2
"Gadsden","AL MSA",9,9,0,0,0,0
"Gainesville","FL MSA",184,100,0,7,77,7
"Glens Falls","NY MSA",49,47,2,0,0,0
"Goldsboro","NC MSA",40,38,2,0,0,0
"Grand Forks","ND-MN MSA",14,12,2,0,0,0
"Grand Junction","CO MSA",131,97,0,4,30,1
"Grand Rapids-Muskegon- Holland","MI MSA",639,604,4,0,31,4
"Great Falls","MT MSA",8,8,0,0,0,0
"Green Bay","WI MSA",198,121,6,0,71,8
"Greensboro--Winston-Salem-- High Point","NC MSA",1149,868,10,0,271,21
"Greenville","NC MSA",259,81,34,0,144,11
"Greenville-Spartanburg- Anderson","SC MSA",676,628,2,0,46,2
"Harrisburg-Lebanon- Carlisle","PA MSA",165,165,0,0,0,0
"Hartford","CT MSA",337,318,6,8,5,1
"Hattiesburg","MS MSA",14,10,0,4,0,0
"Hickory-Morganton-Lenoir","NC MSA",235,198,6,8,23,2
