"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",14,14,0,0,0,0
"Albany","GA MSA",43,43,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",114,104,0,0,10,2
"Albuquerque","NM MSA",633,405,0,4,224,1
"Alexandria","LA MSA",26,26,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",119,115,0,4,0,0
"Altoona","PA MSA",1,1,0,0,0,0
"Amarillo","TX MSA",34,34,0,0,0,0
"Anchorage","AK MSA",99,59,24,0,16,3
"Anniston","AL MSA",23,23,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",122,102,2,0,18,2
"Asheville","NC MSA",95,85,10,0,0,0
"Athens","GA MSA",110,94,10,0,6,1
"Atlanta","GA MSA",4888,4192,22,4,670,33
"Auburn-Opelika","AL MSA",38,18,12,0,8,1
"Augusta-Aiken","GA-SC MSA",235,235,0,0,0,0
"Austin-San Marcos","TX MSA",1323,400,18,0,905,22
"Bakersfield","CA MSA",322,320,2,0,0,0
"Bangor","ME MSA",6,6,0,0,0,0
"Barnstable-Yarmouth","MA MSA",48,48,0,0,0,0
"Baton Rouge","LA MSA",122,100,0,0,22,3
"Beaumont-Port Arthur","TX MSA",57,55,2,0,0,0
"Bellingham","WA MSA",96,72,4,0,20,1
"Benton Harbor","MI MSA",10,10,0,0,0,0
"Billings","MT MSA",32,32,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",170,150,0,4,16,2
"Binghamton","NY MSA",6,6,0,0,0,0
"Birmingham","AL MSA",366,366,0,0,0,0
"Bismarck","ND MSA",19,15,4,0,0,0
"Bloomington","IN MSA",51,41,0,0,10,1
"Bloomington-Normal","IL MSA",110,66,0,0,44,2
"Boise City","ID MSA",370,340,6,24,0,0
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1272,885,46,13,328,15
"Brownsville-Harlingen-San Benito","TX MSA",266,242,8,11,5,1
"Bryan-College Station","TX MSA",192,118,24,24,26,1
"Buffalo-Niagara Falls","NY MSA",134,110,0,0,24,3
"Burlington","VT MSA",26,22,4,0,0,0
"Canton-Massillon","OH MSA",64,64,0,0,0,0
"Casper","WY MSA",11,11,0,0,0,0
"Cedar Rapids","IA MSA",62,43,4,0,15,1
"Champaign-Urbana","IL MSA",28,28,0,0,0,0
"Charleston-North Charleston","SC MSA",478,331,0,16,131,16
"Charleston","WV MSA",35,35,0,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1810,1456,14,12,328,21
"Charlottesville","VA MSA",117,115,2,0,0,0
"Chattanooga","TN-GA MSA",272,246,18,3,5,1
"Cheyenne","WY MSA",32,32,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",2775,2052,24,83,616,33
"Chico-Paradise","CA MSA",63,63,0,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",840,688,12,32,108,11
"Clarksville-Hopkinsville","TN-KY MSA",130,111,0,3,16,2
"Cleveland-Akron","OH CMSA",799,615,4,15,165,14
"Colorado Springs","CO MSA",362,343,0,19,0,0
"Columbia","MO MSA",105,76,10,3,16,2
"Columbia","SC MSA",587,335,8,12,232,9
"Columbus","GA-AL MSA",139,117,2,20,0,0
"Columbus","OH MSA",947,676,8,29,234,16
"Corpus Christi","TX MSA",77,62,2,8,5,1
"Corvallis","Corvallis OR MSA",32,32,0,0,0,0
"Cumberland","MD-WV MSA",11,11,0,0,0,0
"Dallas-Fort Worth","TX CMSA",3190,2797,34,4,355,36
"Danville","VA MSA",25,25,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",107,35,2,0,70,2
"Dayton-Springfield","OH MSA",156,146,6,4,0,0
"Daytona Beach","FL MSA",535,507,14,4,10,2
"Decatur","Al MSA",33,33,0,0,0,0
"Decatur","IL MSA",4,4,0,0,0,0
"Denver-Boulder-Greeley","CO CMSA",1554,1396,12,14,132,16
"Des Moines","IA MSA",702,170,0,4,528,35
"Detroit-Ann Arbor-Flint","MI CMSA",1418,1147,12,39,220,27
"Dothan","AL MSA",33,33,0,0,0,0
"Dover","DE MSA",75,75,0,0,0,0
"Dubuque","IA MSA",13,11,2,0,0,0
"Duluth-Superior","MN-WI MSA",25,20,0,0,5,1
"Eau Claire","WI MSA",88,32,0,8,48,6
"El Paso","TX MSA",317,239,4,24,50,10
"Elkhart-Goshen","IN MSA",62,62,0,0,0,0
"Elmira","NY MSA",7,7,0,0,0,0
"Enid","OK MSA",5,5,0,0,0,0
"Erie","PA MSA",30,30,0,0,0,0
"Eugene-Springfield","OR MSA",105,99,6,0,0,0
"Evansville-Henderson","IN-KY MSA",121,121,0,0,0,0
"Fargo-Moorhead","ND-MN MSA",28,4,0,0,24,2
"Fayetteville","NC MSA",253,69,2,4,178,17
"Fayetteville-Springdale- Rogers","AR MSA",218,160,10,16,32,2
"Flagstaff","AZ-UT MSA",40,38,2,0,0,0
"Florence","AL MSA",16,11,0,0,5,1
"Florence","SC MSA",55,47,2,0,6,1
"Fort Collins-Loveland","CO MSA",246,198,4,4,40,5
"Fort Myers-Cape Coral","FL MSA",1048,669,64,48,267,18
"Fort Pierce-Port St. Lucie","FL MSA",462,344,0,3,115,9
"Fort Smith","AR-OK MSA",49,39,10,0,0,0
"Fort Walton Beach","FL MSA",132,119,4,4,5,1
"Fort Wayne","IN MSA",162,156,6,0,0,0
"Fresno","CA MSA",221,216,0,0,5,1
"Gadsden","AL MSA",12,12,0,0,0,0
"Gainesville","FL MSA",216,84,0,0,132,6
"Glens Falls","NY MSA",73,17,0,16,40,5
"Goldsboro","NC MSA",35,35,0,0,0,0
"Grand Forks","ND-MN MSA",0,0,0,0,0,0
"Grand Junction","CO MSA",83,77,6,0,0,0
"Grand Rapids-Muskegon- Holland","MI MSA",392,340,4,14,34,4
"Great Falls","MT MSA",14,6,0,3,5,1
"Green Bay","WI MSA",95,57,6,0,32,4
"Greensboro--Winston-Salem-- High Point","NC MSA",818,684,8,3,123,3
"Greenville","NC MSA",129,69,26,0,34,4
"Greenville-Spartanburg- Anderson","SC MSA",524,508,16,0,0,0
"Harrisburg-Lebanon- Carlisle","PA MSA",206,116,0,0,90,1
"Hartford","CT MSA",271,184,0,3,84,14
"Hattiesburg","MS MSA",10,6,0,4,0,0
"Hickory-Morganton-Lenoir","NC MSA",316,293,10,0,13,2
"Honolulu","HI MSA",110,110,0,0,0,0
"Houma","LA MSA",68,66,2,0,0,0
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",3356,2576,20,51,709,54
"Huntington-Ashland","WV-KY- OH MSA",2,2,0,0,0,0
"Huntsville","AL MSA",108,108,0,0,0,0
"Indianapolis","IN MSA",976,805,18,8,145,13
"Iowa City","IA MSA",62,38,0,0,24,2
"Jackson","MI MSA",4,4,0,0,0,0
"Jackson","MS MSA",567,199,0,0,368,27
"Jackson","TN MSA",104,54,0,0,50,5
"Jacksonville","FL MSA",784,739,0,0,45,1
"Jacksonville","NC MSA",79,79,0,0,0,0
"Jamestown","NY MSA",0,0,0,0,0,0
"Janesville-Beloit","WI MSA",22,17,0,0,5,1
"Johnson City-Kingsport- Bristol","TN-VA MSA",183,94,0,0,89,9
"Johnstown","PA MSA",3,3,0,0,0,0
"Jonesboro","AR MSA",27,27,0,0,0,0
