"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",7,7,0,0,0,0
"Albany","GA MSA",41,41,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",221,198,0,0,23,4
"Albuquerque","NM MSA",549,509,0,33,7,1
"Alexandria","LA MSA",26,26,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",306,303,0,3,0,0
"Altoona","PA MSA",6,6,0,0,0,0
"Amarillo","TX MSA",84,84,0,0,0,0
"Anchorage","AK MSA",165,84,70,11,0,0
"Anniston","AL MSA",21,21,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",353,195,12,0,146,22
"Asheville","NC MSA",125,125,0,0,0,0
"Athens","GA MSA",343,123,0,0,220,8
"Atlanta","GA MSA",5503,3704,12,10,1777,43
"Auburn-Opelika","AL MSA",102,24,2,8,68,6
"Augusta-Aiken","GA-SC MSA",252,250,2,0,0,0
"Austin-San Marcos","TX MSA",1253,698,8,6,541,29
"Bakersfield","CA MSA",410,410,0,0,0,0
"Bangor","ME MSA",29,24,2,3,0,0
"Barnstable-Yarmouth","MA MSA",68,68,0,0,0,0
"Baton Rouge","LA MSA",144,136,0,0,8,1
"Beaumont-Port Arthur","TX MSA",31,31,0,0,0,0
"Bellingham","WA MSA",200,104,6,4,86,8
"Benton Harbor","MI MSA",21,21,0,0,0,0
"Billings","MT MSA",71,67,4,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",170,168,2,0,0,0
"Binghamton","NY MSA",9,9,0,0,0,0
"Birmingham","AL MSA",363,363,0,0,0,0
"Bismarck","ND MSA",59,52,0,7,0,0
"Bloomington","IN MSA",98,52,8,0,38,3
"Bloomington-Normal","IL MSA",563,86,0,7,470,27
"Boise City","ID MSA",678,500,8,13,157,2
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1428",1162,92,49,125,17,NA
"Brownsville-Harlingen-San Benito","TX MSA",281,253,16,12,0,0
"Bryan-College Station","TX MSA",312,62,10,0,240,16
"Buffalo-Niagara Falls","NY MSA",182,156,10,0,16,3
"Burlington","VT MSA",80,42,14,16,8,1
"Canton-Massillon","OH MSA",124,113,8,3,0,0
"Casper","WY MSA",11,11,0,0,0,0
"Cedar Rapids","IA MSA",148,86,6,7,49,5
"Champaign-Urbana","IL MSA",127,64,0,0,63,5
"Charleston-North Charleston","SC MSA",465,420,0,19,26,3
"Charleston","WV MSA",28,28,0,0,0,0
