"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",14,14,0,0,0,0
"Albany","GA MSA",56,48,0,0,8,1
"Albany-Schenectady-Troy","NY MSA",218,122,2,0,94,1
"Albuquerque","NM MSA",626,623,0,3,0,0
"Alexandria","LA MSA",32,32,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",172,158,0,4,10,1
"Altoona","PA MSA",5,5,0,0,0,0
"Amarillo","TX MSA",61,59,2,0,0,0
"Anchorage","AK MSA",95,78,14,3,0,0
"Anniston","AL MSA",10,10,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",140,121,10,0,9,1
"Asheville","NC MSA",112,109,0,3,0,0
"Athens","GA MSA",283,99,2,0,182,6
"Atlanta","GA MSA",5477,4038,38,142,1259,21
"Auburn-Opelika","AL MSA",81,35,4,0,42,3
"Augusta-Aiken","GA-SC MSA",263,255,0,0,8,1
"Austin-San Marcos","TX MSA",1045,689,10,40,306,25
"Bakersfield","CA MSA",476,416,60,0,0,0
"Bangor","ME MSA",30,30,0,0,0,0
"Barnstable-Yarmouth","MA MSA",51,51,0,0,0,0
"Baton Rouge","LA MSA",143,143,0,0,0,0
"Beaumont-Port Arthur","TX MSA",59,49,2,0,8,1
"Bellingham","WA MSA",137,110,4,3,20,1
"Benton Harbor","MI MSA",12,12,0,0,0,0
"Billings","MT MSA",36,36,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",348,170,4,12,162,1
"Binghamton","NY MSA",5,5,0,0,0,0
"Birmingham","AL MSA",436,436,0,0,0,0
"Bismarck","ND MSA",50,46,0,4,0,0
"Bloomington","IN MSA",143,51,2,0,90,8
"Bloomington-Normal","IL MSA",221,109,0,4,108,5
"Boise City","ID MSA",476,466,6,4,0,0
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1191",914,94,39,144,13,NA
"Brownsville-Harlingen-San Benito","TX MSA",240,225,4,3,8,1
"Bryan-College Station","TX MSA",184,126,18,0,40,5
"Buffalo-Niagara Falls","NY MSA",195,113,6,4,72,3
"Burlington","VT MSA",57,48,2,7,0,0
"Canton-Massillon","OH MSA",107,100,4,3,0,0
"Casper","WY MSA",13,13,0,0,0,0
"Cedar Rapids","IA MSA",158,78,0,8,72,3
