"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",23,21,2,0,0,0
"Albany","GA MSA",51,47,4,0,0,0
"Albany-Schenectady-Troy","NY MSA",209,203,0,0,6,1
"Albuquerque","NM MSA",703,636,2,0,65,3
"Alexandria","LA MSA",46,38,0,0,8,1
"Allentown-Bethlehem-Easton","PA MSA",264,244,0,3,17,3
"Altoona","PA MSA",3,3,0,0,0,0
"Amarillo","TX MSA",176,54,2,0,120,1
"Anchorage","AK MSA",282,81,166,0,35,7
"Anniston","AL MSA",13,13,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",291,164,6,8,113,9
"Asheville","NC MSA",148,137,4,7,0,0
"Athens","GA MSA",108,108,0,0,0,0
"Atlanta","GA MSA",6184,4823,14,7,1340,55
"Auburn-Opelika","AL MSA",56,56,0,0,0,0
"Augusta-Aiken","GA-SC MSA",310,310,0,0,0,0
"Austin-San Marcos","TX MSA",838,794,8,36,0,0
"Bakersfield","CA MSA",578,576,2,0,0,0
"Bangor","ME MSA",34,27,0,0,7,1
"Barnstable-Yarmouth","MA MSA",59,59,0,0,0,0
"Baton Rouge","LA MSA",528,132,0,0,396,17
"Beaumont-Port Arthur","TX MSA",46,46,0,0,0,0
"Bellingham","WA MSA",178,124,8,8,38,2
"Benton Harbor","MI MSA",23,15,0,8,0,0
"Billings","MT MSA",81,81,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",206,204,2,0,0,0
"Binghamton","NY MSA",13,13,0,0,0,0
"Birmingham","AL MSA",482,482,0,0,0,0
"Bismarck","ND MSA",80,72,0,8,0,0
"Bloomington","IN MSA",106,60,26,3,17,1
"Bloomington-Normal","IL MSA",79,69,0,0,10,2
"Boise City","ID MSA",653,578,20,16,39,1
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1348",1048,44,35,221,16,NA
"Brownsville-Harlingen-San Benito","TX MSA",245,217,8,20,0,0
"Bryan-College Station","TX MSA",60,60,0,0,0,0
"Buffalo-Niagara Falls","NY MSA",224,169,0,0,55,2
"Burlington","VT MSA",70,40,22,3,5,1
"Canton-Massillon","OH MSA",116,116,0,0,0,0
"Casper","WY MSA",20,20,0,0,0,0
"Cedar Rapids","IA MSA",85,62,8,15,0,0
"Champaign-Urbana","IL MSA",76,55,0,0,21,2
"Charleston","WV MSA",38,31,2,0,5,1
"Charleston-North Charleston","SC MSA",515,465,2,16,32,3
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1518,1387,6,23,102,7
"Charlottesville","VA MSA",90,90,0,0,0,0
"Chattanooga","TN-GA MSA",266,243,6,4,13,2
"Cheyenne","WY MSA",48,43,0,0,5,1
"Chicago-Gary-Kenosha IL-IN-WI CMSA","5036",3426,90,360,1160,61,NA
"Chico-Paradise","CA MSA",126,114,0,12,0,0
"Cincinnati-Hamilton OH-KY-IN CMSA","1256",1019,18,26,193,16,NA
"Clarksville-Hopkinsville","TN-KY MSA",145,126,0,3,16,2
"Cleveland-Akron OH CMSA","982",907,20,30,25,5,NA
"Colorado Springs","CO MSA",423,423,0,0,0,0
"Columbia","MO MSA",168,106,62,0,0,0
"Columbia","SC MSA",391,386,0,0,5,1
"Columbus","GA-AL MSA",321,99,10,8,204,12
"Columbus","OH MSA",1637,1058,34,124,421,31
"Corpus Christi","TX MSA",103,103,0,0,0,0
"Corvallis","OR MSA",27,27,0,0,0,0
"Cumberland","MD-WV MSA",16,16,0,0,0,0
"Dallas-Fort Worth TX CMSA","5093",3852,34,61,1146,61,NA
"Danville","VA MSA",30,22,8,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",68,44,0,0,24,1
"Dayton-Springfield","OH MSA",237,202,4,3,28,1
"Daytona Beach","FL MSA",693,631,22,3,37,3
"Decatur","Al MSA",35,35,0,0,0,0
"Decatur","IL MSA",13,13,0,0,0,0
"Denver-Boulder-Greeley CO CMSA","1881",1494,8,54,325,25,NA
"Des Moines","IA MSA",408,388,2,0,18,1
"Detroit-Ann Arbor-Flint MI CMSA","2906",2191,24,115,576,51,NA
"Dothan","AL MSA",35,35,0,0,0,0
"Dover","DE MSA",134,130,4,0,0,0
"Dubuque","IA MSA",21,19,2,0,0,0
"Duluth-Superior","MN-WI MSA",96,96,0,0,0,0
"Eau Claire","WI MSA",136,106,30,0,0,0
"El Paso","TX MSA",333,315,2,11,5,1
"Elkhart-Goshen","IN MSA",111,90,0,16,5,1
"Elmira","NY MSA",8,3,0,0,5,1
"Enid","OK MSA",16,7,4,0,5,1
"Erie","PA MSA",38,38,0,0,0,0
"Eugene-Springfield","OR MSA",165,151,10,4,0,0
"Evansville-Henderson","IN-KY MSA",136,127,4,0,5,1
"Fargo-Moorhead","ND-MN MSA",226,154,0,40,32,3
"Fayetteville","NC MSA",158,99,0,0,59,5
"Fayetteville-Springdale-Rogers","AR MSA",432,195,22,3,212,15
"Flagstaff","AZ MSA",331,79,0,0,252,17
"Florence","AL MSA",11,9,2,0,0,0
"Florence","SC MSA",44,44,0,0,0,0
"Fort Collins-Loveland","CO MSA",320,262,2,20,36,4
"Fort Myers-Cape Coral","FL MSA",1183,787,112,68,216,18
"Fort Pierce-Port St. Lucie","FL MSA",525,468,12,4,41,2
"Fort Smith","AR-OK MSA",50,38,8,4,0,0
"Fort Walton Beach","FL MSA",160,137,2,0,21,1
"Fort Wayne","IN MSA",304,268,2,4,30,1
"Fresno","CA MSA",535,519,6,4,6,1
"Gadsden","AL MSA",10,10,0,0,0,0
"Gainesville","FL MSA",163,136,22,0,5,1
"Glens Falls","NY MSA",68,57,2,4,5,1
"Goldsboro","NC MSA",51,51,0,0,0,0
"Grand Forks","ND-MN MSA",34,14,0,0,20,1
"Grand Junction","CO MSA",140,127,4,4,5,1
"Grand Rapids-Muskegon-Holland","MI MSA",745,612,16,10,107,8
"Great Falls","MT MSA",14,11,0,3,0,0
"Green Bay","WI MSA",186,109,12,3,62,5
"Greensboro--Winston-Salem--High Point","NC MSA",795,671,0,14,110,18
"Greenville","NC MSA",184,93,2,0,89,10
"Greenville-Spartanburg-Anderson","SC MSA",699,629,8,3,59,6
"Harrisburg-Lebanon-Carlisle","PA MSA",197,177,4,0,16,1
"Hartford","CT MSA",393,245,16,0,132,9
"Hattiesburg","MS MSA",8,8,0,0,0,0
"Hickory-Morganton","NC MSA",138,136,2,0,0,0
"Honolulu","HI MSA",121,121,0,0,0,0
"Houma","LA MSA",250,70,0,0,180,8
"Houston-Galveston-Brazoria TX CMSA","4637",2996,24,4,1613,90,NA
"Huntington-Ashland","WV-KY-OH MSA",1,1,0,0,0,0
"Huntsville","AL MSA",561,95,4,16,446,26
"Indianapolis","IN MSA",1262,1197,44,3,18,3
"Iowa City","IA MSA",51,47,0,4,0,0
"Jackson","MI MSA",10,10,0,0,0,0
"Jackson","MS MSA",290,268,0,0,22,3
