"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",10,10,0,0,0,0
"Akron","OH",274,241,0,10,23,1
"Albany","GA",65,55,10,0,0,0
"Albany-Schenectady-Troy","NY",178,147,8,0,23,2
"Albuquerque","NM",546,546,0,0,0,0
"Alexandria","LA",137,135,2,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",376,350,4,6,16,1
"Altoona","PA",22,3,8,0,11,2
"Amarillo","TX",53,53,0,0,0,0
"Ames","IA",124,26,4,0,94,3
"Anchorage","AK",138,113,10,0,15,3
"Anderson","IN",36,31,0,0,5,1
"Anderson","SC",128,126,2,0,0,0
"Ann Arbor","MI",262,168,0,3,91,10
"Anniston-Oxford","AL",17,17,0,0,0,0
"Appleton","WI",184,176,8,0,0,0
"Asheville","NC",308,274,4,24,6,1
"Athens-Clarke County","GA",105,105,0,0,0,0
"Atlanta-Sandy Springs-Marietta","GA",6423,5495,18,36,874,27
"Atlantic City","NJ",202,200,2,0,0,0
"Auburn-Opelika","AL",55,55,0,0,0,0
"Augusta-Richmond County","GA-SC",301,301,0,0,0,0
"Austin-Round Rock","TX",1889,1238,22,4,625,36
"Bakersfield","CA",576,561,6,0,9,1
"Baltimore-Towson","MD",1068,572,0,8,488,14
"Bangor","ME",36,32,0,4,0,0
"Barnstable Town","MA",94,80,0,14,0,0
"Baton Rouge","LA",470,362,2,3,103,3
"Battle Creek","MI",30,30,0,0,0,0
"Bay City","MI",5,5,0,0,0,0
"Beaumont-Port Arthur","TX",75,75,0,0,0,0
"Bellingham","WA",219,147,6,3,63,3
"Bend","OR",346,312,12,22,0,0
"Billings","MT",151,59,0,8,84,4
"Binghamton","NY",11,11,0,0,0,0
"Birmingham-Hoover","AL",594,594,0,0,0,0
"Bismarck","ND",78,74,0,4,0,0
"Blacksburg-Christiansburg-Radford","VA",82,80,2,0,0,0
"Bloomington","IN",107,64,14,3,26,2
"Bloomington-Normal","IL",70,38,0,8,24,3
"Boise City-Nampa","ID",832,697,18,108,9,1
"Boston-Cambridge-Quincy","MA-NH",1265,740,88,41,396,34
"Boulder","CO",127,125,2,0,0,0
"Bowling Green","KY",319,81,2,12,224,10
"Bremerton-Silverdale","WA",129,127,2,0,0,0
"Bridgeport-Stamford-Norwalk","CT",263,183,2,6,72,3
"Brownsville-Harlingen","TX",280,262,4,0,14,2
"Brunswick","GA",216,110,0,0,106,3
"Buffalo-Niagara Falls","NY",165,159,6,0,0,0
"Burlington","NC",82,82,0,0,0,0
"Burlington-South Burlington","VT",79,53,10,6,10,2
"Canton-Massillon","OH",119,110,0,4,5,1
"Cape Coral-Fort Myers","FL",1470,1108,18,4,340,18
"Carson City","NV",15,15,0,0,0,0
"Casper","WY",23,23,0,0,0,0
"Cedar Rapids","IA",141,87,12,18,24,2
"Champaign-Urbana","IL",94,74,0,0,20,1
"Charleston","WV",28,28,0,0,0,0
"Charleston-North Charleston","SC",704,634,0,6,64,4
"Charlotte-Gastonia-Concord","NC-SC",1717,1586,10,18,103,10
"Charlottesville","VA",213,125,8,4,76,4
"Chattanooga","TN-GA",246,223,4,6,13,2
"Cheyenne","WY",53,43,2,8,0,0
"Chicago-Naperville-Joliet","IL-IN-WI",4936,3826,44,224,842,33
"Chico","CA",124,118,6,0,0,0
"Cincinnati-Middletown","OH-KY-IN",1189,1035,12,33,109,12
"Clarksville","TN-KY",147,113,2,0,32,4
"Cleveland","TN",47,45,2,0,0,0
"Cleveland-Elyria-Mentor","OH",712,647,10,11,44,2
"Coeur d""Alene","ID",189,170,0,7,12,2
"College Station-Bryan","TX",62,62,0,0,0,0
"Colorado Springs","CO",584,584,0,0,0,0
"Columbia","MO",201,129,12,0,60,4
"Columbia","SC",595,526,0,0,69,4
"Columbus","GA-AL",132,114,18,0,0,0
"Columbus","IN",32,32,0,0,0,0
"Columbus","OH",1257,1086,10,12,149,15
"Corpus Christi","TX",141,137,4,0,0,0
"Corvallis","OR",31,31,0,0,0,0
"Cumberland","MD-WV",16,16,0,0,0,0
"Dallas-Fort Worth-Arlington","TX",4685,4340,32,24,289,6
"Dalton","GA",69,69,0,0,0,0
"Danville","IL",1,1,0,0,0,0
"Danville","VA",26,26,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL",75,71,4,0,0,0
"Dayton","OH",266,192,4,28,42,6
"Decatur","AL",31,31,0,0,0,0
"Decatur","IL",41,36,0,0,5,1
"Deltona-Daytona Beach-Ormond Beach","FL",487,436,0,0,51,4
"Denver-Aurora","CO",1843,1389,16,61,377,26
"Des Moines","IA",434,406,4,0,24,2
"Detroit-Warren-Livonia","MI",2197,1549,12,51,585,46
"Dothan","AL",35,35,0,0,0,0
"Dover","DE",226,166,0,0,60,3
"Dubuque","IA",29,25,4,0,0,0
"Duluth","MN-WI",133,124,4,0,5,1
"Durham","NC",657,399,6,0,252,14
"Eau Claire","WI",104,81,16,0,7,1
"El Centro","CA",252,240,0,4,8,1
"El Paso","TX",183,61,0,122,0,0
"Elizabethtown","KY",111,83,4,0,24,1
"Elkhart-Goshen","IN",169,104,12,0,53,2
"Elmira","NY",9,4,0,0,5,1
"Erie","PA",55,50,0,0,5,1
"Eugene-Springfield","OR",151,136,12,3,0,0
"Evansville","IN-KY",140,134,2,4,0,0
"Fairbanks","AK",39,25,6,8,0,0
"Fargo","ND-MN",260,164,2,4,90,3
"Farmington","NM",33,33,0,0,0,0
"Fayetteville","NC",397,209,0,0,188,11
"Fayetteville-Springdale-Rogers","AR-MO",828,321,16,32,459,43
"Flagstaff","AZ",69,69,0,0,0,0
"Flint","MI",199,199,0,0,0,0
"Florence","SC",24,24,0,0,0,0
"Fond du Lac","WI",17,17,0,0,0,0
"Fort Collins-Loveland","CO",214,185,4,11,14,2
"Fort Smith","AR-OK",62,48,10,4,0,0
"Fort Walton Beach-Crestview-Destin","FL",149,139,0,3,7,1
