"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",22,22,0,0,0,0
"Akron","OH",168,137,2,7,22,1
"Albany","GA",47,43,4,0,0,0
"Albany-Schenectady-Troy","NY",191,121,0,0,70,8
"Albuquerque","NM",473,470,0,3,0,0
"Alexandria","LA",14,14,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",299,276,0,15,8,1
"Altoona","PA",5,0,0,0,5,1
"Amarillo","TX",61,61,0,0,0,0
"Ames","IA",40,20,0,0,20,2
"Anchorage","AK",175,45,20,8,102,14
"Anderson","IN",33,33,0,0,0,0
"Anderson","SC",76,76,0,0,0,0
"Ann Arbor","MI",123,118,0,0,5,1
"Anniston-Oxford","AL",20,20,0,0,0,0
"Appleton","WI",47,47,0,0,0,0
"Asheville","NC",282,238,12,12,20,4
"Athens-Clarke County","GA",160,124,0,0,36,1
"Atlanta-Sandy Springs-Marietta","GA",6047,4272,14,27,1734,57
"Atlantic City","NJ",133,128,2,3,0,0
"Auburn-Opelika","AL",63,45,0,0,18,1
"Augusta-Richmond County","GA-SC",242,242,0,0,0,0
"Austin-Round Rock","TX",1053,941,14,36,62,1
"Bakersfield","CA",516,500,8,8,0,0
"Baltimore-Towson","MD",890,522,0,4,364,20
"Bangor","ME",36,36,0,0,0,0
"Barnstable Town","MA",91,74,2,7,8,1
"Baton Rouge","LA",423,314,0,3,106,4
"Battle Creek","MI",33,29,4,0,0,0
"Bay City","MI",4,4,0,0,0,0
"Beaumont-Port Arthur","TX",57,57,0,0,0,0
"Bellingham","WA",229,126,4,16,83,5
"Bend","OR",273,262,2,9,0,0
"Billings","MT",80,60,0,20,0,0
"Binghamton","NY",3,3,0,0,0,0
"Birmingham-Hoover","AL",562,490,0,0,72,5
"Bismarck","ND",23,23,0,0,0,0
"Blacksburg-Christiansburg-Radford","VA",54,48,6,0,0,0
"Bloomington","IN",84,43,18,3,20,1
"Bloomington-Normal","IL",42,39,0,3,0,0
"Boise City-Nampa","ID",763,722,14,14,13,2
"Boston-Cambridge-Quincy","MA-NH",1706,612,60,33,1001,30
"Boulder","CO",145,79,2,0,64,7
"Bowling Green","KY",68,62,0,0,6,1
"Bremerton-Silverdale","WA",80,75,0,0,5,1
"Bridgeport-Stamford-Norwalk","CT",144,130,2,4,8,1
"Brownsville-Harlingen","TX",261,225,4,24,8,1
"Brunswick","GA",65,63,2,0,0,0
"Buffalo-Niagara Falls","NY",102,86,0,0,16,2
"Burlington","NC",64,64,0,0,0,0
"Burlington-South Burlington","VT",47,35,4,8,0,0
"Canton-Massillon","OH",102,74,0,4,24,1
"Cape Coral-Fort Myers","FL",2242,1684,16,4,538,54
"Carson City","NV",38,10,0,0,28,1
"Casper","WY",14,14,0,0,0,0
"Cedar Rapids","IA",62,51,4,7,0,0
"Champaign-Urbana","IL",34,34,0,0,0,0
"Charleston","WV",18,18,0,0,0,0
"Charleston-North Charleston","SC",695,642,0,12,41,5
"Charlotte-Gastonia-Concord","NC-SC",1598,1269,6,4,319,17
"Charlottesville","VA",157,105,4,0,48,3
"Chattanooga","TN-GA",224,202,4,4,14,2
"Cheyenne","WY",52,35,0,12,5,1
"Chicago-Naperville-Joliet","IL-IN-WI",3431,2264,62,207,898,52
"Cincinnati-Middletown","OH-KY-IN",771,694,10,20,47,7
"Clarksville","TN-KY",180,96,0,68,16,2
"Cleveland","TN",70,54,2,6,8,1
"Cleveland-Elyria-Mentor","OH",412,387,4,16,5,1
"Coeur d""Alene","ID",229,160,2,0,67,7
"College Station-Bryan","TX",88,70,6,0,12,2
"Colorado Springs","CO",863,553,4,20,286,16
"Columbia","MO",157,155,2,0,0,0
"Columbia","SC",575,455,0,40,80,6
"Columbus","GA-AL",170,170,0,0,0,0
"Columbus","IN",18,18,0,0,0,0
"Columbus","OH",938,627,0,142,169,16
"Corpus Christi","TX",147,114,2,4,27,3
"Corvallis","OR",49,21,0,0,28,4
"Cumberland","MD-WV",11,11,0,0,0,0
"Dallas-Fort Worth-Arlington","TX",3969,3103,22,0,844,34
"Dalton","GA",73,52,2,3,16,2
"Danville","IL",0,0,0,0,0,0
"Danville","VA",93,17,0,0,76,15
"Davenport-Moline-Rock Island","IA-IL",58,58,0,0,0,0
"Decatur","AL",11,11,0,0,0,0
"Decatur","IL",6,6,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",541,377,4,32,128,11
"Denver-Aurora","CO",1686,1256,16,54,360,20
"Des Moines","IA",324,282,2,0,40,4
"Detroit-Warren-Livonia","MI",1015,850,12,27,126,14
"Dothan","AL",27,24,0,3,0,0
"Dover","DE",163,163,0,0,0,0
"Dubuque","IA",35,29,6,0,0,0
"Duluth","MN-WI",59,50,4,0,5,1
"Durham","NC",328,324,4,0,0,0
"Eau Claire","WI",83,22,10,0,51,3
"El Centro","CA",173,136,0,24,13,1
"El Paso","TX",284,284,0,0,0,0
"Elizabethtown","KY",52,48,4,0,0,0
"Elkhart-Goshen","IN",90,85,0,0,5,1
"Elmira","NY",2,2,0,0,0,0
"Erie","PA",16,16,0,0,0,0
"Eugene-Springfield","OR",104,97,4,3,0,0
"Evansville","IN-KY",66,66,0,0,0,0
"Fairbanks","AK",4,4,0,0,0,0
"Fargo","ND-MN",23,23,0,0,0,0
"Farmington","NM",34,30,0,4,0,0
"Fayetteville","NC",397,249,0,0,148,8
"Fayetteville-Springdale-Rogers","AR-MO",472,267,60,34,111,8
"Flagstaff","AZ",68,68,0,0,0,0
"Flint","MI",135,135,0,0,0,0
"Florence","SC",19,19,0,0,0,0
"Fond du Lac","WI",8,8,0,0,0,0
"Fort Collins-Loveland","CO",226,185,4,4,33,5
"Fort Smith","AR-OK",56,48,4,4,0,0
"Fort Walton Beach-Crestview-Destin","FL",251,164,0,0,87,3
"Fort Wayne","IN",183,157,2,0,24,3
"Fresno","CA",552,352,0,0,200,22
"Gadsden","AL",9,9,0,0,0,0
"Gainesville","FL",156,96,2,0,58,5
"Gainesville","GA",89,89,0,0,0,0
"Glens Falls","NY",60,50,0,4,6,1
"Goldsboro","NC",47,47,0,0,0,0
"Grand Forks","ND-MN",1,1,0,0,0,0
"Grand Junction","CO",82,82,0,0,0,0
"Grand Rapids-Wyoming","MI",270,259,6,0,5,1
"Great Falls","MT",48,12,0,0,36,3
"Greeley","CO",279,251,0,11,17,2
"Green Bay","WI",120,76,30,0,14,1
"Greensboro-High Point","NC",324,318,0,0,6,1
"Greenville","NC",262,121,4,0,137,12
"Greenville","SC",456,289,2,0,165,19
"Gulfport-Biloxi","MS",104,78,0,16,10,1
"Hagerstown-Martinsburg","MD-WV",218,200,4,4,10,2
"Hanford-Corcoran","CA",84,62,2,6,14,2
"Harrisburg-Carlisle","PA",108,106,2,0,0,0
"Harrisonburg","VA",99,97,2,0,0,0
"Hartford-West Hartford-East Hartford","CT",413,212,8,0,193,5
"Hattiesburg","MS",2,2,0,0,0,0
"Hickory-Lenoir-Morganton","NC",175,121,6,0,48,1
"Hinesville-Fort Stewart","GA",27,27,0,0,0,0
"Holland-Grand Haven","MI",159,112,8,29,10,1
"Honolulu","HI",73,73,0,0,0,0
"Hot Springs","AR",10,10,0,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",66,61,0,0,5,1
"Houston-Baytown-Sugar Land","TX",3025,2848,26,0,151,14
"Huntington-Ashland","WV-KY-OH",3,3,0,0,0,0
"Huntsville","AL",260,169,0,0,91,7
"Idaho Falls","ID",111,91,0,20,0,0
"Indianapolis","IN",1431,742,30,30,629,43
"Iowa City","IA",45,45,0,0,0,0
"Ithaca","NY",16,9,0,0,7,1
"Jackson","MI",16,16,0,0,0,0
"Jackson","MS",254,226,0,0,28,3
"Jackson","TN",42,42,0,0,0,0
"Jacksonville","FL",1896,1307,10,3,576,32
"Jacksonville","NC",98,84,14,0,0,0
"Janesville","WI",48,34,6,0,8,1
"Jefferson City","MO",22,20,2,0,0,0
"Johnson City","TN",59,59,0,0,0,0
"Johnstown","PA",1,1,0,0,0,0
"Jonesboro","AR",37,37,0,0,0,0
"Joplin","MO",17,17,0,0,0,0
"Kalamazoo-Portage","MI",81,69,0,7,5,1
"Kankakee-Bradley","IL",39,35,0,4,0,0
"Kansas City","MO-KS",1543,1098,68,97,280,21
"Kennewick-Richland-Pasco","WA",181,144,2,0,35,2
"Killeen-Temple-Fort Hood","TX",237,173,24,40,0,0
"Kingsport-Bristol-Bristol","TN-VA",75,75,0,0,0,0
"Kingston","NY",24,22,2,0,0,0
"Knoxville","TN",226,226,0,0,0,0
"Kokomo","IN",26,19,2,0,5,1
"La Crosse","WI-MN",130,33,4,0,93,4
"Lafayette","IN",119,119,0,0,0,0
"Lafayette","LA",112,104,2,0,6,1
"Lake Charles","LA",73,45,6,3,19,2
"Lakeland","FL",461,433,0,0,28,3
"Lancaster","PA",170,119,6,18,27,4
"Lansing-East Lansing","MI",64,64,0,0,0,0
"Laredo","TX",139,129,0,4,6,1
"Las Cruces","NM",164,106,2,0,56,4
"Las Vegas-Paradise","NV",2002,1934,0,18,50,3
"Lawrence","KS",133,69,64,0,0,0
"Lawton","OK",11,11,0,0,0,0
"Lebanon","PA",43,43,0,0,0,0
"Lewiston","ID-WA",7,5,2,0,0,0
"Lewiston-Auburn","ME",33,31,2,0,0,0
"Lexington-Fayette","KY",357,267,2,14,74,5
"Lima","OH",4,4,0,0,0,0
"Lincoln","NE",499,142,2,0,355,28
"Little Rock-North Little Rock","AR",622,222,0,0,400,25
"Logan","UT-ID",45,40,2,3,0,0
"Longview","TX",22,22,0,0,0,0
"Longview","WA",23,18,0,0,5,1
"Los Angeles-Long Beach-Santa Ana","CA",3586,1134,46,130,2276,55
"Louisville","KY-IN",582,421,0,3,158,10
"Lubbock","TX",88,88,0,0,0,0
"Lynchburg","VA",69,69,0,0,0,0
"Macon","GA",71,71,0,0,0,0
"Madera","CA",132,126,2,4,0,0
"Madison","WI",445,233,26,47,139,10
"Manchester-Nashua","NH",121,108,6,0,7,1
"Mansfield","OH",8,4,4,0,0,0
"McAllen-Edinburg-Pharr","TX",561,381,6,83,91,4
"Medford","OR",203,172,2,11,18,2
"Memphis","TN-MS-AR",693,633,0,0,60,4
"Merced","CA",227,222,2,3,0,0
"Miami-Fort Lauderdale-Miami Beach","FL",3689,1777,40,27,1845,41
"Michigan City-La Porte","IN",22,19,0,3,0,0
"Midland","TX",18,18,0,0,0,0
"Milwaukee-Waukesha-West Allis","WI",352,281,20,11,40,3
"Minneapolis-St. Paul-Bloomington","MN-WI",2014,1422,20,22,550,22
"Missoula","MT",70,36,6,6,22,2
"Mobile","AL",146,146,0,0,0,0
"Modesto","CA",324,320,4,0,0,0
"Monroe","LA",31,31,0,0,0,0
"Monroe","MI",166,161,0,0,5,1
"Montgomery","AL",121,121,0,0,0,0
"Morgantown","WV",2,2,0,0,0,0
"Morristown","TN",41,41,0,0,0,0
"Mount Vernon-Anacortes","WA",86,65,2,0,19,1
"Muncie","IN",65,23,6,36,0,0
"Muskegon-Norton Shores","MI",57,55,2,0,0,0
"Myrtle Beach-Conway-North Myrtle Beach","SC",1194,354,0,21,819,45
"Napa","CA",56,56,0,0,0,0
"Naples-Marco Island","FL",382,245,8,36,93,4
"Nashville-Davidson--Murfreesboro","TN",1625,1025,20,3,577,26
"New Haven-Milford","CT",156,126,0,0,30,1
"New Orleans-Metairie-Kenner","LA",529,506,20,3,0,0
"New York-Northern New Jersey-Long Island","NY-NJ-PA",4934,1541,564,656,2173,82
"Niles-Benton Harbor","MI",14,11,0,3,0,0
"Norwich-New London","CT",188,131,2,38,17,3
"Ocala","FL",581,572,2,7,0,0
"Ocean City","NJ",244,118,58,33,35,4
"Odessa","TX",13,13,0,0,0,0
"Ogden-Clearfield","UT",240,221,2,12,5,1
"Oklahoma City","OK",834,566,4,0,264,12
"Olympia","WA",169,167,2,0,0,0
"Omaha-Council Bluffs","NE-IA",338,334,4,0,0,0
"Orlando","FL",2064,1780,10,13,261,22
"Oshkosh-Neenah","WI",31,7,4,0,20,1
"Owensboro","KY",22,22,0,0,0,0
"Oxnard-Thousand Oaks-Ventura","CA",537,265,0,0,272,6
"Palm Bay-Melbourne-Titusville","FL",492,359,0,7,126,11
"Panama City-Lynn Haven","FL",197,151,26,20,0,0
"Parkersburg-Marietta","WV-OH",7,7,0,0,0,0
"Pascagoula","MS",69,69,0,0,0,0
"Pensacola-Ferry Pass-Brent","FL",212,160,0,0,52,8
"Peoria","IL",70,42,16,7,5,1
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",1275,1004,12,32,227,18
"Phoenix-Mesa-Scottsdale","AZ",5284,3958,18,92,1216,57
"Pine Bluff","AR",17,11,0,0,6,1
"Pittsburgh","PA",423,340,6,32,45,8
"Pittsfield","MA",23,9,14,0,0,0
"Pocatello","ID",69,15,0,0,54,9
"Port St. Lucie-Fort Pierce","FL",853,662,2,27,162,10
"Portland-South Portland-Biddeford","ME",278,252,6,10,10,2
"Portland-Vancouver-Beaverton","OR-WA",1092,849,26,45,172,12
"Prescott","AZ",273,268,2,3,0,0
"Providence-New Bedford-Fall River","RI-MA",292,229,8,7,48,5
"Provo-Orem","UT",291,271,8,0,12,1
"Pueblo","CO",87,87,0,0,0,0
"Punta Gorda","FL",361,284,8,4,65,6
"Racine","WI",103,90,0,8,5,1
"Raleigh-Cary","NC",991,946,0,0,45,7
"Rapid City","SD",68,68,0,0,0,0
"Reading","PA",57,52,0,0,5,1
"Redding","CA",132,66,0,3,63,1
"Reno-Sparks","NV",397,301,0,4,92,12
"Richmond","VA",708,617,0,19,72,2
"Riverside-San Bernardino-Ontario","CA",3815,2792,16,49,958,43
"Roanoke","VA",95,95,0,0,0,0
"Rochester","MN",169,169,0,0,0,0
"Rochester","NY",164,113,16,23,12,2
"Rockford","IL",369,209,0,160,0,0
"Rocky Mount","NC",43,39,4,0,0,0
"Rome","GA",45,35,6,4,0,0
"Sacramento--Arden-Arcade--Roseville","CA",1734,1358,4,0,372,21
"Saginaw-Saginaw Township North","MI",23,23,0,0,0,0
"Salem","OR",150,132,4,4,10,2
"Salinas","CA",75,75,0,0,0,0
"Salisbury","MD",62,53,2,0,7,1
"Salt Lake City","UT",484,381,10,18,75,4
"San Angelo","TX",19,19,0,0,0,0
"San Antonio","TX",1535,968,30,16,521,27
"San Diego-Carlsbad-San Marcos","CA",1106,488,18,45,555,29
"San Francisco-Oakland-Fremont","CA",1437,395,8,13,1021,23
"San Jose-Sunnyvale-Santa Clara","CA",593,341,0,0,252,9
"San Luis Obispo-Paso Robles","CA",182,162,2,3,15,3
"Sandusky","OH",5,5,0,0,0,0
"Santa Barbara-Santa Maria-Goleta","CA",138,106,2,0,30,2
"Santa Cruz-Watsonville","CA",60,60,0,0,0,0
"Santa Fe","NM",45,45,0,0,0,0
"Santa Rosa-Petaluma","CA",285,245,4,0,36,5
"Sarasota-Bradenton-Venice","FL",1135,719,16,7,393,15
"Savannah","GA",231,218,0,7,6,1
"Scranton--Wilkes-Barre","PA",39,32,0,7,0,0
"Seattle-Tacoma-Bellevue","WA",1926,1134,46,108,638,38
"Sheboygan","WI",11,11,0,0,0,0
"Sherman-Denison","TX",11,11,0,0,0,0
"Shreveport-Bossier City","LA",130,127,0,3,0,0
"Sioux City","IA-NE-SD",16,13,0,3,0,0
"Sioux Falls","SD",146,81,0,0,65,2
"South Bend-Mishawaka","IN-MI",68,68,0,0,0,0
