"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",22,22,0,0,0,0
"Akron","OH",189,162,2,8,17,1
"Albany","GA",58,53,2,3,0,0
"Albany-Schenectady-Troy","NY",264,145,0,0,119,13
"Albuquerque","NM",683,652,0,4,27,2
"Alexandria","LA",67,67,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",433,419,0,0,14,2
"Altoona","PA",0,0,0,0,0,0
"Amarillo","TX",59,59,0,0,0,0
"Ames","IA",204,47,0,0,157,5
"Anchorage","AK",342,111,32,15,184,9
"Anderson","IN",38,38,0,0,0,0
"Anderson","SC",170,115,0,0,55,5
"Ann Arbor","MI",88,80,2,0,6,1
"Anniston-Oxford","AL",16,16,0,0,0,0
"Appleton","WI",200,113,0,0,87,5
"Asheville","NC",280,274,6,0,0,0
"Athens-Clarke County","GA",198,93,10,0,95,1
"Atlanta-Sandy Springs-Marietta","GA",5549,4834,14,4,697,22
"Atlantic City","NJ",184,157,4,3,20,3
"Auburn-Opelika","AL",135,117,4,0,14,1
"Augusta-Richmond County","GA-SC",309,309,0,0,0,0
"Austin-Round Rock","TX",2330,1474,16,4,836,8
"Bakersfield","CA",613,572,6,10,25,4
"Baltimore-Towson","MD",858,732,8,20,98,6
"Bangor","ME",33,33,0,0,0,0
"Barnstable Town","MA",89,76,0,0,13,1
"Baton Rouge","LA",390,368,0,7,15,2
"Battle Creek","MI",5,5,0,0,0,0
"Bay City","MI",6,6,0,0,0,0
"Beaumont-Port Arthur","TX",145,41,0,0,104,1
"Bellingham","WA",196,115,2,8,71,4
"Bend","OR",403,379,8,16,0,0
"Billings","MT",62,55,0,0,7,1
"Binghamton","NY",2,2,0,0,0,0
"Birmingham-Hoover","AL",740,665,2,56,17,3
"Bismarck","ND",101,90,0,11,0,0
"Bloomington","IN",91,52,16,3,20,1
"Bloomington-Normal","IL",87,75,0,0,12,1
"Boise City-Nampa","ID",912,849,12,51,0,0
"Boston-Cambridge-Quincy","MA-NH",1235,636,76,27,496,32
"Boulder","CO",82,73,0,0,9,1
"Bowling Green","KY",81,75,6,0,0,0
"Bremerton-Silverdale","WA",99,99,0,0,0,0
"Bridgeport-Stamford-Norwalk","CT",178,119,2,3,54,5
"Brownsville-Harlingen","TX",279,266,6,7,0,0
"Brunswick","GA",141,61,0,0,80,3
"Buffalo-Niagara Falls","NY",134,132,2,0,0,0
"Burlington","NC",97,97,0,0,0,0
"Burlington-South Burlington","VT",76,57,8,4,7,1
"Canton-Massillon","OH",100,95,0,0,5,1
"Cape Coral-Fort Myers","FL",2288,1892,26,8,362,24
"Carson City","NV",8,8,0,0,0,0
"Casper","WY",37,37,0,0,0,0
"Cedar Rapids","IA",148,111,6,31,0,0
"Champaign-Urbana","IL",142,90,4,0,48,3
"Charleston","WV",38,38,0,0,0,0
"Charleston-North Charleston","SC",715,669,2,3,41,3
"Charlotte-Gastonia-Concord","NC-SC",1931,1596,2,20,313,9
"Charlottesville","VA",156,156,0,0,0,0
"Chattanooga","TN-GA",244,211,2,18,13,2
"Cheyenne","WY",78,67,0,4,7,1
"Chicago-Naperville-Joliet","IL-IN-WI",4585,3177,70,258,1080,65
"Cincinnati-Middletown","OH-KY-IN",1204,993,6,20,185,16
"Clarksville","TN-KY",313,223,10,64,16,2
"Cleveland","TN",38,38,0,0,0,0
"Cleveland-Elyria-Mentor","OH",630,576,10,22,22,4
"Coeur d""Alene","ID",290,244,6,4,36,6
"College Station-Bryan","TX",104,84,14,0,6,1
"Colorado Springs","CO",793,744,10,11,28,3
"Columbia","MO",181,119,50,12,0,0
"Columbia","SC",629,560,2,0,67,4
"Columbus","GA-AL",271,127,0,16,128,17
"Columbus","IN",25,25,0,0,0,0
"Columbus","OH",1265,947,24,39,255,28
"Corpus Christi","TX",137,135,2,0,0,0
"Corvallis","OR",16,16,0,0,0,0
"Cumberland","MD-WV",21,21,0,0,0,0
"Dallas-Fort Worth-Arlington","TX",5548,4341,32,8,1167,43
"Dalton","GA",85,73,2,3,7,1
"Danville","IL",1,1,0,0,0,0
"Danville","VA",22,22,0,0,0,0
"Davenport-Moline-Rock Island","IA-IL",97,81,4,0,12,1
"Decatur","AL",27,27,0,0,0,0
"Decatur","IL",11,11,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",834,517,4,0,313,34
"Denver-Aurora","CO",1535,1389,14,3,129,12
"Des Moines","IA",650,447,0,0,203,5
"Detroit-Warren-Livonia","MI",1770,1446,12,29,283,21
"Dothan","AL",37,37,0,0,0,0
"Dover","DE",282,201,0,0,81,1
"Dubuque","IA",40,31,6,3,0,0
"Duluth","MN-WI",91,69,2,3,17,1
"Durham","NC",448,446,2,0,0,0
"Eau Claire","WI",134,62,4,16,52,6
"El Centro","CA",114,106,0,0,8,1
"El Paso","TX",344,342,2,0,0,0
"Elizabethtown","KY",76,68,0,0,8,1
"Elkhart-Goshen","IN",99,99,0,0,0,0
"Elmira","NY",4,2,2,0,0,0
"Erie","PA",86,26,0,0,60,1
"Eugene-Springfield","OR",176,150,14,7,5,1
"Evansville","IN-KY",123,113,2,0,8,1
"Fairbanks","AK",24,20,4,0,0,0
"Fargo","ND-MN",192,174,0,0,18,1
"Farmington","NM",37,37,0,0,0,0
"Fayetteville","NC",538,238,0,4,296,17
"Fayetteville-Springdale-Rogers","AR-MO",457,430,18,3,6,1
"Flagstaff","AZ",50,48,2,0,0,0
"Flint","MI",97,97,0,0,0,0
