"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",20,20,0,0,0,0
"Akron","OH",166,140,2,8,16,1
"Albany","GA",53,46,4,3,0,0
"Albany-Schenectady-Troy","NY",228,92,0,20,116,10
"Albuquerque","NM",652,619,0,7,26,1
"Alexandria","LA",61,61,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",462,354,2,0,106,4
"Altoona","PA",1,1,0,0,0,0
"Amarillo","TX",46,46,0,0,0,0
"Ames","IA",22,22,0,0,0,0
"Anchorage","AK",157,58,32,25,42,3
"Anderson","IN",27,27,0,0,0,0
"Anderson","SC",103,103,0,0,0,0
"Ann Arbor","MI",85,80,0,0,5,1
"Anniston-Oxford","AL",21,13,0,8,0,0
"Appleton","WI",67,55,12,0,0,0
"Asheville","NC",264,244,4,0,16,2
"Athens-Clarke County","GA",117,117,0,0,0,0
"Atlanta-Sandy Springs-Marietta","GA",5428,4856,4,7,561,17
"Atlantic City","NJ",180,176,4,0,0,0
"Auburn-Opelika","AL",78,78,0,0,0,0
"Augusta-Richmond County","GA-SC",219,219,0,0,0,0
"Austin-Round Rock","TX",1992,1449,56,3,484,20
"Bakersfield","CA",662,591,22,35,14,2
"Baltimore-Towson","MD",993,794,2,0,197,11
"Bangor","ME",38,38,0,0,0,0
"Barnstable Town","MA",134,116,2,0,16,1
"Baton Rouge","LA",413,393,0,4,16,2
"Battle Creek","MI",7,7,0,0,0,0
"Bay City","MI",9,9,0,0,0,0
"Beaumont-Port Arthur","TX",44,44,0,0,0,0
"Bellingham","WA",116,112,4,0,0,0
"Bend","OR",336,316,14,6,0,0
"Billings","MT",48,35,0,4,9,1
"Binghamton","NY",6,4,2,0,0,0
"Birmingham-Hoover","AL",598,588,0,0,10,2
"Bismarck","ND",64,56,0,8,0,0
"Bloomington","IN",91,49,18,4,20,2
"Bloomington-Normal","IL",60,49,0,0,11,1
"Boise City-Nampa","ID",1078,947,26,43,62,3
"Boston-Cambridge-Quincy","MA-NH",1632,765,64,38,765,30
"Boulder","CO",79,69,0,0,10,1
"Bowling Green","KY",107,107,0,0,0,0
"Bremerton-Silverdale","WA",142,109,0,0,33,6
"Bridgeport-Stamford-Norwalk","CT",165,158,2,0,5,1
"Brownsville-Harlingen","TX",249,227,8,14,0,0
"Brunswick","GA",81,72,0,0,9,1
"Buffalo-Niagara Falls","NY",144,126,6,12,0,0
"Burlington","NC",93,88,0,0,5,1
"Burlington-South Burlington","VT",65,44,8,0,13,2
"Canton-Massillon","OH",108,103,0,0,5,1
"Cape Coral-Fort Myers","FL",2083,1580,8,48,447,45
"Carson City","NV",45,9,0,0,36,2
"Casper","WY",20,20,0,0,0,0
"Cedar Rapids","IA",179,93,2,72,12,1
"Champaign-Urbana","IL",60,60,0,0,0,0
