"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",25,25,0,0,0,0
"Akron","OH",220,194,2,11,13,1
"Albany","GA",68,58,6,4,0,0
"Albany-Schenectady-Troy","NY",275,151,2,8,114,11
"Albuquerque","NM",732,700,0,6,26,1
"Alexandria","LA",64,64,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",518,500,4,0,14,2
"Altoona","PA",2,2,0,0,0,0
"Amarillo","TX",83,83,0,0,0,0
"Ames","IA",42,42,0,0,0,0
"Anchorage","AK",209,104,50,9,46,4
"Anderson","IN",66,66,0,0,0,0
"Anderson","SC",256,105,4,0,147,7
"Ann Arbor","MI",77,72,0,0,5,1
"Anniston-Oxford","AL",15,15,0,0,0,0
"Appleton","WI",94,92,2,0,0,0
"Asheville","NC",334,261,12,28,33,3
"Athens-Clarke County","GA",144,129,0,15,0,0
"Atlanta-Sandy Springs-Marietta","GA",5883,5354,32,4,493,18
"Atlantic City","NJ",195,188,4,3,0,0
"Auburn-Opelika","AL",74,62,12,0,0,0
"Augusta-Richmond County","GA-SC",320,320,0,0,0,0
"Austin-Round Rock","TX",1676,1526,68,20,62,5
"Bakersfield","CA",702,574,26,88,14,1
"Baltimore-Towson","MD",957,854,2,8,93,9
"Bangor","ME",88,39,0,49,0,0
"Barnstable Town","MA",116,97,0,0,19,1
"Baton Rouge","LA",458,440,0,3,15,2
"Battle Creek","MI",13,13,0,0,0,0
"Bay City","MI",7,7,0,0,0,0
"Beaumont-Port Arthur","TX",138,42,0,0,96,1
"Bellingham","WA",304,124,0,4,176,7
"Bend","OR",462,374,10,6,72,1
"Billings","MT",45,45,0,0,0,0
"Binghamton","NY",11,11,0,0,0,0
"Birmingham-Hoover","AL",597,592,0,0,5,1
"Bismarck","ND",66,54,4,0,8,1
"Bloomington","IN",95,53,18,3,21,2
"Bloomington-Normal","IL",59,59,0,0,0,0
"Boise City-Nampa","ID",1047,1009,18,20,0,0
"Boston-Cambridge-Quincy","MA-NH",1983,724,88,36,1135,60
"Boulder","CO",108,71,0,6,31,3
"Bowling Green","KY",81,81,0,0,0,0
"Bremerton-Silverdale","WA",112,112,0,0,0,0
"Bridgeport-Stamford-Norwalk","CT",249,128,2,0,119,5
"Brownsville-Harlingen","TX",262,253,6,3,0,0
"Brunswick","GA",96,84,2,0,10,1
"Buffalo-Niagara Falls","NY",137,137,0,0,0,0
"Burlington","NC",100,100,0,0,0,0
"Burlington-South Burlington","VT",79,67,8,4,0,0
"Canton-Massillon","OH",102,97,0,0,5,1
"Cape Coral-Fort Myers","FL",2506,2122,22,0,362,36
"Carson City","NV",10,6,0,4,0,0
"Casper","WY",23,23,0,0,0,0
"Cedar Rapids","IA",98,81,6,11,0,0
"Champaign-Urbana","IL",154,149,2,3,0,0
"Charleston","WV",48,37,0,0,11,2
"Charleston-North Charleston","SC",1031,674,2,35,320,19
"Charlotte-Gastonia-Concord","NC-SC",1905,1646,4,24,231,19
"Charlottesville","VA",167,114,2,3,48,3
"Chattanooga","TN-GA",235,206,6,3,20,3
"Cheyenne","WY",87,74,0,4,9,1
"Chicago-Naperville-Joliet","IL-IN-WI",4476,3472,74,263,667,58
"Chico","CA",148,146,2,0,0,0
"Cincinnati-Middletown","OH-KY-IN",1214,979,16,31,188,18
"Clarksville","TN-KY",426,258,0,64,104,13
"Cleveland","TN",69,66,0,3,0,0
"Cleveland-Elyria-Mentor","OH",717,590,28,18,81,10
"Coeur d""Alene","ID",202,183,8,3,8,1
"College Station-Bryan","TX",98,98,0,0,0,0
"Colorado Springs","CO",603,578,4,4,17,2
"Columbia","MO",180,160,16,4,0,0
"Columbia","SC",761,693,2,0,66,4
"Columbus","GA-AL",166,133,2,3,28,2
"Columbus","IN",25,25,0,0,0,0
"Columbus","OH",1468,897,16,190,365,50
"Corpus Christi","TX",181,179,2,0,0,0
"Corvallis","OR",20,18,2,0,0,0
"Cumberland","MD-WV",18,14,4,0,0,0
"Dallas-Fort Worth-Arlington","TX",5304,4508,50,20,726,36
"Dalton","GA",96,72,2,7,15,2
"Danville","IL",0,0,0,0,0,0
"Danville","VA",27,24,0,3,0,0
"Davenport-Moline-Rock Island","IA-IL",71,62,4,0,5,1
"Dayton","OH",283,253,8,0,22,2
"Decatur","AL",39,39,0,0,0,0
"Decatur","IL",13,5,0,0,8,1
"Deltona-Daytona Beach-Ormond Beach","FL",575,512,0,0,63,5
"Denver-Aurora","CO",1995,1746,36,14,199,13
"Des Moines","IA",554,519,0,3,32,3
"Detroit-Warren-Livonia","MI",1558,1353,6,14,185,17
"Dothan","AL",54,54,0,0,0,0
"Dover","DE",177,165,0,12,0,0
"Dubuque","IA",42,39,0,3,0,0
"Duluth","MN-WI",114,93,4,3,14,1
"Durham","NC",381,353,2,0,26,5
"Eau Claire","WI",97,59,30,0,8,1
"El Centro","CA",67,58,0,0,9,1
"El Paso","TX",301,301,0,0,0,0
"Elizabethtown","KY",69,65,4,0,0,0
"Elkhart-Goshen","IN",104,104,0,0,0,0
"Elmira","NY",3,3,0,0,0,0
"Erie","PA",63,41,18,4,0,0
"Eugene-Springfield","OR",150,141,6,3,0,0
"Evansville","IN-KY",191,113,4,4,70,5
"Fairbanks","AK",41,29,4,8,0,0
"Fargo","ND-MN",261,133,2,13,113,7
"Farmington","NM",59,59,0,0,0,0
"Fayetteville","NC",393,241,0,0,152,7
"Fayetteville-Springdale-Rogers","AR-MO",454,302,28,10,114,11
"Flagstaff","AZ",145,75,0,0,70,1
"Flint","MI",121,121,0,0,0,0
"Florence","SC",40,40,0,0,0,0
"Florence-Muscle Shoals","AL",33,31,2,0,0,0
"Fond du Lac","WI",102,28,0,0,74,2
"Fort Collins-Loveland","CO",280,229,4,17,30,4
"Fort Smith","AR-OK",58,42,12,4,0,0
"Fort Walton Beach-Crestview-Destin","FL",235,169,0,0,66,2
"Fort Wayne","IN",278,224,0,0,54,6
"Fresno","CA",552,453,10,12,77,10
"Gadsden","AL",21,21,0,0,0,0
"Gainesville","FL",137,99,0,4,34,2
"Gainesville","GA",114,114,0,0,0,0
"Glens Falls","NY",58,58,0,0,0,0
"Goldsboro","NC",51,51,0,0,0,0
"Grand Forks","ND-MN",29,29,0,0,0,0
"Grand Junction","CO",168,168,0,0,0,0
"Grand Rapids-Wyoming","MI",356,332,4,3,17,2
"Great Falls","MT",18,18,0,0,0,0
"Greeley","CO",425,412,2,6,5,1
"Green Bay","WI",194,166,6,0,22,2
"Greensboro-High Point","NC",633,517,2,3,111,6
"Greenville","NC",163,107,10,0,46,4
"Greenville","SC",512,486,2,0,24,2
"Gulfport-Biloxi","MS",205,172,6,6,21,2
"Hagerstown-Martinsburg","MD-WV",364,330,34,0,0,0
"Hanford-Corcoran","CA",84,84,0,0,0,0
"Harrisburg-Carlisle","PA",166,160,6,0,0,0
"Harrisonburg","VA",122,108,14,0,0,0
"Hartford-West Hartford-East Hartford","CT",360,310,4,0,46,5
"Hattiesburg","MS",7,7,0,0,0,0
"Hickory-Lenoir-Morganton","NC",172,131,0,0,41,1
"Hinesville-Fort Stewart","GA",24,24,0,0,0,0
"Holland-Grand Haven","MI",145,110,8,12,15,3
"Honolulu","HI",472,245,0,20,207,17
"Hot Springs","AR",15,15,0,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",60,60,0,0,0,0
"Houston-Baytown-Sugar Land","TX",6127,5010,28,11,1078,77
"Huntington-Ashland","WV-KY-OH",6,6,0,0,0,0
"Huntsville","AL",256,256,0,0,0,0
"Idaho Falls","ID",198,162,0,36,0,0
"Indianapolis","IN",1341,1128,14,31,168,14
"Iowa City","IA",125,66,0,0,59,2
"Ithaca","NY",13,11,2,0,0,0
"Jackson","MI",34,34,0,0,0,0
"Jackson","MS",319,281,0,4,34,3
"Jackson","TN",49,49,0,0,0,0
"Jacksonville","FL",2380,1958,6,56,360,22
"Jacksonville","NC",163,163,0,0,0,0
"Janesville","WI",63,49,6,3,5,1
"Jefferson City","MO",41,33,0,3,5,1
"Johnson City","TN",78,70,0,3,5,1
"Johnstown","PA",3,3,0,0,0,0
"Jonesboro","AR",61,61,0,0,0,0
"Joplin","MO",20,20,0,0,0,0
"Kalamazoo-Portage","MI",78,78,0,0,0,0
"Kankakee-Bradley","IL",15,15,0,0,0,0
"Kansas City","MO-KS",1148,965,18,64,101,7
"Kennewick-Richland-Pasco","WA",284,189,2,20,73,3
"Killeen-Temple-Fort Hood","TX",303,235,6,44,18,1
"Kingsport-Bristol-Bristol","TN-VA",98,98,0,0,0,0
"Kingston","NY",128,54,0,0,74,7
"Knoxville","TN",419,382,2,4,31,2
"Kokomo","IN",26,26,0,0,0,0
"La Crosse","WI-MN",53,44,2,0,7,1
"Lafayette","IN",87,79,0,0,8,1
"Lafayette","LA",232,232,0,0,0,0
"Lake Charles","LA",66,55,2,0,9,1
"Lakeland","FL",1041,972,22,0,47,4
"Lancaster","PA",172,142,0,4,26,4
"Lansing-East Lansing","MI",104,87,6,0,11,1
"Laredo","TX",217,167,2,4,44,2
"Las Cruces","NM",169,138,2,0,29,2
"Las Vegas-Paradise","NV",4614,3278,0,111,1225,50
"Lawrence","KS",38,28,10,0,0,0
"Lawton","OK",14,14,0,0,0,0
"Lebanon","PA",71,69,2,0,0,0
"Lewiston","ID-WA",7,5,2,0,0,0
"Lewiston-Auburn","ME",38,33,0,0,5,1
"Lexington-Fayette","KY",407,369,0,4,34,1
"Lima","OH",5,5,0,0,0,0
"Lincoln","NE",166,146,8,0,12,1
"Little Rock-North Little Rock","AR",411,363,0,0,48,3
"Logan","UT-ID",105,97,0,3,5,1
"Longview","TX",23,23,0,0,0,0
"Longview","WA",35,31,4,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",3869,1593,56,70,2150,64
"Louisville","KY-IN",874,764,4,3,103,5
"Lubbock","TX",307,99,28,20,160,14
"Lynchburg","VA",190,165,0,0,25,3
"Macon","GA",65,65,0,0,0,0
"Madera","CA",231,231,0,0,0,0
"Madison","WI",519,263,10,22,224,16
"Manchester-Nashua","NH",153,135,0,8,10,1
"Mansfield","OH",26,22,0,4,0,0
"McAllen-Edinburg-Pharr","TX",872,548,4,192,128,16
"Medford","OR",156,142,6,3,5,1
"Memphis","TN-MS-AR",1073,994,2,0,77,2
"Merced","CA",259,249,0,4,6,1
"Miami-Fort Lauderdale-Miami Beach","FL",4401,1973,52,127,2249,70
"Michigan City-La Porte","IN",26,26,0,0,0,0
"Midland","TX",37,37,0,0,0,0
"Milwaukee-Waukesha-West Allis","WI",502,330,24,31,117,14
"Minneapolis-St. Paul-Bloomington","MN-WI",2126,1726,12,16,372,24
"Missoula","MT",62,38,0,0,24,2
"Mobile","AL",144,139,0,0,5,1
"Modesto","CA",259,234,0,0,25,1
"Monroe","LA",45,45,0,0,0,0
"Monroe","MI",50,50,0,0,0,0
"Montgomery","AL",163,163,0,0,0,0
"Morgantown","WV",21,3,4,0,14,1
"Morristown","TN",79,52,22,0,5,1
"Mount Vernon-Anacortes","WA",74,74,0,0,0,0
"Muncie","IN",26,24,2,0,0,0
"Muskegon-Norton Shores","MI",45,35,10,0,0,0
"Myrtle Beach-Conway-North Myrtle Beach","SC",1027,654,8,13,352,13
"Napa","CA",53,53,0,0,0,0
"Naples-Marco Island","FL",638,323,14,28,273,21
"Nashville-Davidson--Murfreesboro","TN",1713,1332,18,0,363,16
"New Haven-Milford","CT",178,129,4,4,41,2
"New Orleans-Metairie-Kenner","LA",560,501,30,3,26,3
"New York-Northern New Jersey-Long Island","NY-NJ-PA",7617,1686,672,622,4637,137
"Niles-Benton Harbor","MI",10,10,0,0,0,0
