"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf","Monthly_Coverage_Percent"
"Abilene","TX",19,19,0,0,0,0,98
"Akron","OH",36,31,0,0,5,1,68
"Albany","GA",15,13,2,0,0,0,96
"Albany-Schenectady-Troy","NY",102,44,0,20,38,4,75
"Albuquerque","NM",120,93,0,11,16,1,100
"Alexandria","LA",55,55,0,0,0,0,99
"Allentown-Bethlehem-Easton","PA-NJ",96,96,0,0,0,0,100
"Altoona","PA",1,1,0,0,0,0,9
"Amarillo","TX",41,37,0,4,0,0,97
"Ames","IA",5,5,0,0,0,0,94
"Anchorage","AK",23,19,0,4,0,0,100
"Anderson","IN",4,4,0,0,0,0,64
"Anderson","SC",16,16,0,0,0,0,89
"Ann Arbor","MI",13,8,0,0,5,1,71
"Anniston-Oxford","AL",66,16,4,0,46,1,83
"Appleton","WI",25,23,2,0,0,0,81
"Asheville","NC",199,93,0,0,106,6,94
"Athens-Clarke County","GA",40,24,2,0,14,1,79
"Atlanta-Sandy Springs-Marietta","GA",590,474,2,7,107,5,100
"Atlantic City-Hammonton","NJ",23,23,0,0,0,0,100
"Auburn-Opelika","AL",54,49,0,0,5,1,100
"Augusta-Richmond County","GA-SC",93,93,0,0,0,0,75
"Austin-Round Rock","TX",785,493,8,11,273,8,100
"Bakersfield","CA",78,63,6,4,5,1,86
"Baltimore-Towson","MD",212,196,2,0,14,1,100
"Bangor","ME",12,12,0,0,0,0,53
"Barnstable Town","MA",22,17,0,0,5,1,87
"Baton Rouge","LA",174,174,0,0,0,0,93
"Battle Creek","MI",0,0,0,0,0,0,68
"Bay City","MI",2,2,0,0,0,0,17
"Beaumont-Port Arthur","TX",222,102,0,0,120,4,71
"Bellingham","WA",21,21,0,0,0,0,77
"Bend","OR",38,38,0,0,0,0,100
"Billings","MT",14,14,0,0,0,0,92
"Binghamton","NY",2,2,0,0,0,0,15
"Birmingham-Hoover","AL",182,171,0,0,11,2,100
"Bismarck","ND",4,4,0,0,0,0,98
"Bloomington","IN",25,19,0,0,6,1,85
"Bloomington-Normal","IL",48,10,0,0,38,3,86
"Boise City-Nampa","ID",135,123,0,12,0,0,100
"Boston-Cambridge-Quincy","MA-NH",355,221,28,14,92,8,100
"Boulder","CO",10,7,0,3,0,0,72
"Bowling Green","KY",31,21,0,0,10,1,99
"Bradenton-Sarasota-Venice","FL",107,85,0,4,18,1,100
"Bremerton-Silverdale","WA",28,28,0,0,0,0,79
"Bridgeport-Stamford-Norwalk","CT",43,26,4,7,6,1,89
