"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",1822,1822,0,0,0
"Albany","GA MSA",4201,3865,336,0,0
"Albany-Schenectady-Troy","NY MSA",26021,24845,187,0,989
"Albuquerque","NM MSA",45774,45125,0,649,0
"Alexandria","LA MSA",3506,3506,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",19463,19021,147,295,0
"Altoona","PA MSA",981,981,0,0,0
"Amarillo","TX MSA",6235,5978,0,0,257
"Anchorage","AK MSA",26080,19787,5709,584,0
"Anniston","AL MSA",1833,1604,0,0,229
"Appleton-Oshkosh-Neenah","WI MSA",25937,23491,1299,360,787
"Asheville","NC MSA",14745,14007,150,0,588
"Athens","GA MSA",14019,13346,673,0,0
"Atlanta","GA MSA",584149,513524,2435,4035,64155
"Auburn-Opelika","AL MSA",5999,4761,1238,0,0
"Augusta-Aiken","GA-SC MSA",21735,21735,0,0,0
"Austin-San Marcos","TX MSA",140566,99311,0,0,41255
"Bakersfield","CA MSA",32592,31913,0,299,380
"Bangor","ME MSA",2635,2459,0,176,0
"Barnstable-Yarmouth","MA MSA",23827,21678,532,1238,379
"Baton Rouge","LA MSA",9909,9451,0,0,458
"Beaumont-Port Arthur","TX MSA",6477,5965,0,512,0
"Bellingham","WA MSA",15358,12633,422,987,1316
"Benton Harbor","MI MSA",390,390,0,0,0
"Billings","MT MSA",4657,4657,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",19798,17963,60,0,1775
"Binghamton","NY MSA",2577,2577,0,0,0
"Birmingham","AL MSA",61747,60396,0,0,1351
"Bismarck","ND MSA",8487,5760,1002,1725,0
"Bloomington","IN MSA",7515,6048,556,597,314
"Bloomington-Normal","IL MSA",6041,4403,0,720,918
"Boise City","ID MSA",71890,70482,344,1064,0
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","205800",183639,3558,3493,15110,NA
"Brownsville-Harlingen-San Benito","TX MSA",11078,10620,178,280,0
"Bryan-College Station","TX MSA",11800,9915,559,0,1326
"Buffalo-Niagara Falls","NY MSA",36864,27011,210,0,9643
