"","City","State","Total","1_Units","2_Units","3-4_Units"
"1","Abilene* TX MSA","2137",2137,0,0,0
"2","Albany* GA MSA","4052",4052,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","25401",21908,0,0,3493
"4","Albuquerque* NM MSA","34408",34408,0,0,0
"5","Alexandria* LA MSA","2930",2930,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","21415",19440,147,328,1500
"7","Altoona* PA MSA","96",96,0,0,0
"8","Amarillo* TX MSA","4376",4376,0,0,0
"9","Anchorage* AK MSA","21118",14476,6286,356,0
"10","Anniston* AL MSA","1418",1189,0,0,229
"11","Appleton-Oshkosh-Neenah* WI  MSA","25274",20744,1512,0,3018
"12","Asheville* NC MSA","14158",12316,1000,842,0
"13","Athens* GA MSA","10793",10793,0,0,0
"14","Atlanta  GA MSA","429908",418924,721,1714,8549
"15","Auburn-Opelika* AL MSA","3055",2370,74,198,413
"16","Augusta-Aiken* GA-SC MSA","19781",19781,0,0,0
"17","Austin-San Marcos* TX MSA","135176",79117,1714,1070,53275
"18","Bakersfield* CA MSA","28029",27843,32,154,0
"19","Bangor* ME MSA","1779",1779,0,0,0
"20","Barnstable-Yarmouth* MA MSA","21238",21238,0,0,0
"21","Baton Rouge* LA MSA","10090",8716,0,0,1374
"22","Beaumont-Port Arthur* TX MSA","5331",5331,0,0,0
"23","Bellingham* WA MSA","13864",11330,632,322,1580
"24","Benton Harbor* MI MSA","1310",1310,0,0,0
"25","Billings* MT MSA","3999",3869,130,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","17596",17054,345,197,0
"27","Binghamton* NY MSA","985",985,0,0,0
"28","Birmingham* AL MSA","53871",48712,0,0,5159
"29","Bismarck* ND MSA","7472",5220,1832,420,0
"30","Bloomington* IN MSA","7553",6892,661,0,0
"31","Bloomington-Normal* IL MSA","6222",5222,0,0,1000
"32","Boise City* ID MSA","65057",64027,0,424,606
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","206046",187230,6773,4373,7670
"34","Brownsville-Harlingen-San  Benito* TX MSA","10460",9051,299,795,315
"35","Bryan-College Station* TX MSA","5794",5688,0,106,0
"36","Buffalo-Niagara Falls* NY MSA","18595",17891,425,0,279
"37","Burlington* VT MSA","9667",8720,0,515,432
"38","Canton-Massillon* OH MSA","14747",14220,527,0,0
"39","Casper* WY MSA","1613",1613,0,0,0
"40","Cedar Rapids* IA MSA","12008",9437,200,0,2371
"41","Champaign-Urbana* IL MSA","5374",5374,0,0,0
"42","Charleston-North  Charleston* SC MSA","68137",60724,2612,466,4335
"43","Charleston* WV MSA","4362",4362,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","146079",118182,532,3366,23999
"45","Charlottesville* VA MSA","14464",14464,0,0,0
"46","Chattanooga* TN-GA MSA","21871",21318,60,245,248
"47","Cheyenne* WY MSA","2908",2908,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","521756",437922,5975,14514,63345
"49","Chico-Paradise* CA MSA","10622",10622,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","107119",89844,592,2135,14548
"51","Clarksville-Hopkinsville*  TN-KY MSA","7208",6708,0,140,360
"52","Cleveland-Akron  OH CMSA","159601",128271,2311,2335,26684
"53","Colorado Springs* CO MSA","68919",57557,0,0,11362
"54","Columbia* MO MSA","15288",14668,620,0,0
"55","Columbia* SC MSA","27440",27440,0,0,0
"56","Columbus* GA-AL MSA","14592",14011,0,0,581
"57","Columbus  OH MSA","130369",100596,571,4495,24707
"58","Corpus Christi* TX MSA","6488",5268,0,511,709
"59","Corvallis OR MSA*","3346",3346,0,0,0
"60","Cumberland* MD-WV MSA","249",249,0,0,0
"61","Dallas-Fort Worth  TX CMSA","489294",448555,797,569,39373
"62","Danville* VA MSA","4255",2519,0,56,1680
"63","Davenport-Moline-Rock  Island* IA-IL MSA","4924",4924,0,0,0
"64","Dayton-Springfield* OH MSA","28362",24274,518,3170,400
"65","Daytona Beach* FL MSA","35733",35026,325,382,0
"66","Decatur* Al MSA","3687",3582,0,0,105
"67","Decatur* IL MSA","1731",1586,145,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","303919",246115,5639,2682,49483
"69","Des Moines* IA MSA","31786",26848,2461,1132,1345
"70","Detroit-Ann Arbor-Flint  MI  CMSA","321693",287151,3392,5435,25715
"71","Dothan* AL MSA","7693",1833,0,0,5860
"72","Dover* DE MSA","8267",8267,0,0,0
"73","Dubuque* IA MSA","2795",2672,123,0,0
"74","Duluth-Superior* MN-WI MSA","11978",10934,0,0,1044
"75","Eau Claire* WI MSA","17309",13347,775,0,3187
"76","El Paso* TX MSA","15127",13158,709,346,914
"77","Elkhart-Goshen* IN MSA","12693",10303,330,672,1388
"78","Elmira* NY MSA","1178",661,0,94,423
"79","Enid* OK MSA","428",428,0,0,0
"80","Erie* PA MSA","4348",4194,0,154,0
"81","Eugene-Springfield* OR MSA","17767",17240,298,229,0
"82","Evansville-Henderson* IN-KY  MSA","12119",11415,279,0,425
"83","Fargo-Moorhead* ND-MN MSA","10455",9575,880,0,0
"84","Fayetteville* NC MSA","6196",6196,0,0,0
"85","Fayetteville-Springdale-  Rogers* AR MSA","24188",17290,542,268,6088
"86","Flagstaff* AZ-UT MSA","9686",9686,0,0,0
"87","Florence* AL MSA","694",694,0,0,0
"88","Florence* SC MSA","3907",3648,42,0,217
"89","Fort Collins-Loveland* CO MSA","34422",32398,551,0,1473
"90","Fort Myers-Cape Coral* FL MSA","83470",63692,3832,3775,12171
"91","Fort Pierce-Port St. Lucie*  FL MSA","30104",28103,0,0,2001
"92","Fort Smith* AR-OK MSA","6101",5320,131,0,650
"93","Fort Walton Beach* FL MSA","14061",10820,0,0,3241
"94","Fort Wayne* IN MSA","31884",30959,104,0,821
"95","Fresno  CA MSA","53028",53028,0,0,0
"96","Gadsden* AL MSA","377",377,0,0,0
"97","Gainesville* FL MSA","13190",8631,49,0,4510
"98","Glens Falls* NY MSA","4656",4304,154,0,198
"99","Goldsboro* NC MSA","3768",3368,0,400,0
"100","Grand Forks* ND-MN MSA","1481",1346,135,0,0
"101","Grand Junction* CO MSA","10770",9634,293,843,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","65957",63964,690,800,503
"103","Great Falls* MT MSA","1018",909,0,0,109
"104","Green Bay* WI MSA","12260",10878,1124,0,258
"105","Greensboro--Winston-Salem--  High Point  NC MSA","84862",82769,520,323,1250
"106","Greenville* NC MSA","3512",2610,252,0,650
"107","Greenville-Spartanburg-  Anderson* SC MSA","61764",60336,680,0,748
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","16487",13315,0,0,3172
"109","Hartford* CT MSA","30982",30600,0,327,55
"110","Hattiesburg* MS MSA","951",951,0,0,0
"111","Hickory-Morganton-Lenoir*  NC MSA","19537",17779,120,0,1638
"112","Honolulu  HI MSA","24957",24957,0,0,0
"113","Houma* LA MSA","7230",7200,30,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","310010",278839,1306,12613,17252
"115","Huntington-Ashland* WV-KY-  OH MSA","957",957,0,0,0
"116","Huntsville* AL MSA","5198",5198,0,0,0
"117","Indianapolis  IN MSA","155698",144883,2784,2263,5768
"118","Iowa City* IA MSA","8460",6318,174,0,1968
"119","Jackson* MI MSA","1051",1051,0,0,0
"120","Jackson* MS MSA","23250",20819,0,0,2431
"121","Jackson* TN MSA","4256",4256,0,0,0
"122","Jacksonville  FL MSA","87855",79401,0,0,8454
"123","Jacksonville* NC MSA","5111",4861,72,0,178
"124","Jamestown* NY MSA","88",88,0,0,0
"125","Janesville-Beloit* WI MSA","3347",1632,230,225,1260
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","8837",7895,180,0,762
"127","Johnstown* PA MSA","1814",1011,221,0,582
"128","Jonesboro* AR MSA","2967",2839,0,128,0
"129","Joplin* MO MSA","1300",1300,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","15053",14075,600,0,378
"131","Kansas City  MO-KS MSA","157599",111216,5545,1429,39409
"132","Killeen-Temple* TX MSA","15831",12160,935,2576,160
"133","Knoxville* TN MSA","31269",28872,240,1492,665
"134","Kokomo* IN MSA","6454",4505,1392,0,557
"135","La Crosse* WI-MN MSA","3735",3226,140,194,175
"136","Lafayette* LA MSA","10424",10424,0,0,0
"137","Lafayette* IN MSA","10758",8474,384,0,1900
"138","Lake Charles* LA MSA","5274",5124,150,0,0
"139","Lakeland-Winter Haven* FL MSA","29903",29903,0,0,0
"140","Lancaster* PA MSA","14119",13136,0,0,983
"141","Lansing-East Lansing* MI MSA","16169",15862,0,0,307
"142","Laredo* TX MSA","7871",6829,98,88,856
