"","City","State","Total","1_Units","2_Units","3-4_Units"
"1","Abilene* TX MSA","2221",2071,150,0,0
"2","Albany* GA MSA","6157",5109,1048,0,0
"3","Albany-Schenectady-Troy* NY  MSA","30060",26036,0,150,3874
"4","Albuquerque* NM MSA","44715",44066,0,649,0
"5","Alexandria* LA MSA","2748",2748,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","24493",23195,0,1298,0
"7","Altoona* PA MSA","314",314,0,0,0
"8","Amarillo* TX MSA","6365",6365,0,0,0
"9","Anchorage* AK MSA","11856",8943,2091,0,822
"10","Anniston* AL MSA","2440",2440,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","17644",13335,781,0,3528
"12","Asheville* NC MSA","33386",17705,519,1853,13309
"13","Athens* GA MSA","15357",15357,0,0,0
"14","Atlanta  GA MSA","467978",394630,554,1404,71390
"15","Auburn-Opelika* AL MSA","2940",2710,230,0,0
"16","Augusta-Aiken* GA-SC MSA","37420",28182,60,0,9178
"17","Austin-San Marcos* TX MSA","111107",69953,11078,1530,28546
"18","Bakersfield* CA MSA","33769",33669,100,0,0
"19","Bangor* ME MSA","2921",2559,0,362,0
"20","Barnstable-Yarmouth* MA MSA","17569",17569,0,0,0
"21","Baton Rouge* LA MSA","21911",9721,0,0,12190
"22","Beaumont-Port Arthur* TX MSA","4279",4279,0,0,0
"23","Bellingham* WA MSA","12769",10542,417,242,1568
"24","Benton Harbor* MI MSA","1647",1647,0,0,0
"25","Billings* MT MSA","2935",2935,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","11843",11843,0,0,0
"27","Binghamton* NY MSA","1229",1229,0,0,0
"28","Birmingham* AL MSA","49044",49044,0,0,0
"29","Bismarck* ND MSA","2022",2022,0,0,0
"30","Bloomington* IN MSA","6034",4774,1260,0,0
"31","Bloomington-Normal* IL MSA","8165",6448,0,116,1601
"32","Boise City* ID MSA","70255",58302,341,1111,10501
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","187494",150492,5016,9276,22710
"34","Brownsville-Harlingen-San  Benito* TX MSA","13408",12746,279,157,226
"35","Bryan-College Station* TX MSA","19453",4902,0,0,14551
"36","Buffalo-Niagara Falls* NY MSA","32525",30005,1280,0,1240
"37","Burlington* VT MSA","5505",4812,163,530,0
"38","Canton-Massillon* OH MSA","13594",13454,140,0,0
"39","Casper* WY MSA","1542",1542,0,0,0
"40","Cedar Rapids* IA MSA","5343",4298,526,0,519
"41","Champaign-Urbana* IL MSA","8314",6134,0,0,2180
"42","Charleston-North  Charleston* SC MSA","51152",48047,0,857,2248
"43","Charleston* WV MSA","2932",2932,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","222434",207640,493,493,13808
"45","Charlottesville* VA MSA","26005",18125,180,0,7700
"46","Chattanooga* TN-GA MSA","26921",23385,118,50,3368
"47","Cheyenne* WY MSA","5678",5386,0,0,292
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","477325",393530,5313,8242,70240
"49","Chico-Paradise* CA MSA","7237",7237,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","108275",99462,1304,1201,6308
"51","Clarksville-Hopkinsville*  TN-KY MSA","6654",5369,0,125,1160
"52","Cleveland-Akron  OH CMSA","101328",97259,405,712,2952
"53","Colorado Springs* CO MSA","53997",39283,360,316,14038
"54","Columbia* MO MSA","12753",7424,680,0,4649
"55","Columbia* SC MSA","36261",31832,0,0,4429
"56","Columbus* GA-AL MSA","12550",11645,189,0,716
"57","Columbus  OH MSA","154365",123883,968,4244,25270
"58","Corpus Christi* TX MSA","6920",6661,0,259,0
"59","Corvallis OR MSA*","3527",3527,0,0,0
"60","Cumberland* MD-WV MSA","787",787,0,0,0
"61","Dallas-Fort Worth  TX CMSA","515162",386583,589,7266,120724
"62","Danville* VA MSA","2044",2044,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","4179",4179,0,0,0
"64","Dayton-Springfield* OH MSA","37111",34121,2027,963,0
"65","Daytona Beach* FL MSA","85489",83241,1592,0,656
"66","Decatur* Al MSA","1847",1847,0,0,0
"67","Decatur* IL MSA","849",849,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","301107",242850,1083,3772,53402
"69","Des Moines* IA MSA","40224",38464,174,405,1181
"70","Detroit-Ann Arbor-Flint  MI  CMSA","239741",201239,1154,1890,35458
"71","Dothan* AL MSA","1799",1799,0,0,0
"72","Dover* DE MSA","11023",11023,0,0,0
"73","Dubuque* IA MSA","2229",1712,216,0,301
"74","Duluth-Superior* MN-WI MSA","3631",3508,123,0,0
"75","Eau Claire* WI MSA","2441",2141,300,0,0
"76","El Paso* TX MSA","14590",13772,80,260,478
"77","Elkhart-Goshen* IN MSA","17678",9546,0,0,8132
"78","Elmira* NY MSA","889",795,0,94,0
"79","Enid* OK MSA","1590",1590,0,0,0
"80","Erie* PA MSA","2675",2173,0,502,0
"81","Eugene-Springfield* OR MSA","15979",15031,514,0,434
"82","Evansville-Henderson* IN-KY  MSA","10311",10062,124,125,0
"83","Fargo-Moorhead* ND-MN MSA","1726",1726,0,0,0
"84","Fayetteville* NC MSA","21090",13521,110,0,7459
"85","Fayetteville-Springdale-  Rogers* AR MSA","20353",17624,0,469,2260
"86","Flagstaff* AZ-UT MSA","8867",8867,0,0,0
"87","Florence* AL MSA","553",468,85,0,0
"88","Florence* SC MSA","511",511,0,0,0
"89","Fort Collins-Loveland* CO MSA","30153",25703,0,297,4153
"90","Fort Myers-Cape Coral* FL MSA","110578",90162,4382,2194,13840
"91","Fort Pierce-Port St. Lucie*  FL MSA","40793",39993,0,0,800
"92","Fort Smith* AR-OK MSA","3101",2601,500,0,0
"93","Fort Walton Beach* FL MSA","37144",29357,0,0,7787
"94","Fort Wayne* IN MSA","36066",31140,498,0,4428
"95","Fresno  CA MSA","52893",51766,408,719,0
"96","Gadsden* AL MSA","572",572,0,0,0
"97","Gainesville* FL MSA","9271",9271,0,0,0
"98","Glens Falls* NY MSA","6070",6070,0,0,0
"99","Goldsboro* NC MSA","2333",2333,0,0,0
"100","Grand Forks* ND-MN MSA","1566",481,0,0,1085
"101","Grand Junction* CO MSA","8718",8718,0,0,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","66843",64340,200,477,1826
"103","Great Falls* MT MSA","957",957,0,0,0
"104","Green Bay* WI MSA","12479",8919,707,0,2853
"105","Greensboro--Winston-Salem--  High Point  NC MSA","103599",95204,666,700,7029
"106","Greenville* NC MSA","22116",11825,1654,0,8637
"107","Greenville-Spartanburg-  Anderson* SC MSA","61859",60743,0,446,670
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","15931",14765,0,120,1046
"109","Hartford* CT MSA","30994",30291,211,0,492
"110","Hattiesburg* MS MSA","555",555,0,0,0
"111","Hickory-Morganton-Lenoir*  NC MSA","20918",19676,180,0,1062
"112","Honolulu  HI MSA","18863",17157,199,0,1507
"113","Houma* LA MSA","5697",5621,76,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","418916",308048,0,140,110728
"115","Huntington-Ashland* WV-KY-  OH MSA","475",271,0,204,0
"116","Huntsville* AL MSA","4518",4518,0,0,0
"117","Indianapolis  IN MSA","150920",118676,4469,1850,25925
"118","Iowa City* IA MSA","6788",4784,0,400,1604
"119","Jackson* MI MSA","1551",1283,268,0,0
"120","Jackson* MS MSA","16532",15814,0,0,718
"121","Jackson* TN MSA","2406",2406,0,0,0
"122","Jacksonville  FL MSA","161069",139606,0,309,21154
"123","Jacksonville* NC MSA","7652",7652,0,0,0
"124","Jamestown* NY MSA","88",88,0,0,0
"125","Janesville-Beloit* WI MSA","8512",2498,863,390,4761
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","9627",9627,0,0,0
"127","Johnstown* PA MSA","348",348,0,0,0
"128","Jonesboro* AR MSA","2901",2901,0,0,0
"129","Joplin* MO MSA","896",896,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","13367",11802,0,131,1434
"131","Kansas City  MO-KS MSA","183147",131337,1847,5440,44523
"132","Killeen-Temple* TX MSA","12749",11428,285,1036,0
"133","Knoxville* TN MSA","29182",26397,307,358,2120
"134","Kokomo* IN MSA","3554",3554,0,0,0
"135","La Crosse* WI-MN MSA","3361",2273,1088,0,0
"136","Lafayette* LA MSA","20436",10246,0,0,10190
"137","Lafayette* IN MSA","9080",8980,100,0,0
"138","Lake Charles* LA MSA","6663",5067,0,0,1596
"139","Lakeland-Winter Haven* FL MSA","27345",27175,170,0,0
"140","Lancaster* PA MSA","12449",12449,0,0,0
"141","Lansing-East Lansing* MI MSA","14725",12874,0,0,1851
"142","Laredo* TX MSA","9590",8496,0,0,1094
"143","Las Cruces* NM MSA","22999",16908,125,0,5966
"144","Las Vegas  NV-AZ MSA","398450",349402,2185,2944,43919
"145","Lawrence* KS MSA","9502",7156,2346,0,0
"146","Lawton* OK MSA","74",74,0,0,0
"147","Lewiston-Auburn* ME MSA","1246",976,270,0,0
"148","Lexington* KY MSA","28991",27781,1210,0,0
"149","Lima* OH MSA","1043",843,200,0,0
"150","Lincoln* NE MSA","14930",13066,285,0,1579
"151","Little Rock-North Little  Rock* AR MSA","36004",31727,125,1352,2800
"152","Longview-Marshall* TX MSA","1600",1600,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","721895",623660,5728,9559,82948
"154","Louisville  KY-IN MSA","45475",42214,101,0,3160
"155","Lubbock* TX MSA","10187",9401,786,0,0
"156","Lynchburg* VA MSA","15367",15217,150,0,0
"157","Macon* GA MSA","16560",16348,212,0,0
"158","Madison* WI MSA","41689",28136,1414,1563,10576
"159","Mansfield* OH MSA","1899",1899,0,0,0
"160","McAllen-Edinburg-Mission*  TX MSA","26427",22661,225,449,3092
"161","Medford-Ashland* OR MSA","18871",17547,0,563,761
"162","Melbourne-Titusville-Palm  Bay* FL MSA","64972",53490,239,0,11243
"163","Memphis  TN-AR-MS MSA","68701",60230,0,0,8471
"164","Merced* CA MSA","34855",34855,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","168562",103917,1058,1143,62444
"166","Milwaukee-Racine  WI CMSA","82652",60981,3468,201,18002
"167","Minneapolis-St. Paul  MN-WI  MSA","334696",240844,3613,5208,85031
"168","Missoula* MT MSA","3432",1441,563,786,642
"169","Mobile* AL MSA","31382",28447,136,293,2506
"170","Modesto* CA MSA","24396",23609,506,0,281
"171","Monroe* LA MSA","5262",5262,0,0,0
"172","Montgomery* AL MSA","11214",11214,0,0,0
"173","Muncie* IN MSA","2813",2813,0,0,0
"174","Myrtle Beach* SC MSA","41790",29481,0,235,12074
