"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",850,850,0,0,0
"Albany","GA MSA",4926,4926,0,0,0
"Albany-Schenectady-Troy","NY MSA",33443,32297,0,0,1146
"Albuquerque","NM MSA",58438,56758,0,1430,250
"Alexandria","LA MSA",4178,4178,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",37372,37140,0,232,0
"Altoona","PA MSA",907,907,0,0,0
"Amarillo","TX MSA",11357,11357,0,0,0
"Anchorage","AK MSA",29875,18043,10457,1375,0
"Anniston","AL MSA",3085,3085,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",39054,30549,1335,0,7170
"Asheville","NC MSA",21519,21519,0,0,0
"Athens","GA MSA",26951,15633,0,0,11318
"Atlanta","GA MSA",512999,402217,757,628,109397
"Auburn-Opelika","AL MSA",8937,3653,106,619,4559
"Augusta-Aiken","GA-SC MSA",30236,30106,130,0,0
"Austin-San Marcos","TX MSA",111848,84655,554,437,26202
"Bakersfield","CA MSA",50804,50804,0,0,0
"Bangor","ME MSA",3545,3225,60,260,0
"Barnstable-Yarmouth","MA MSA",18740,18740,0,0,0
"Baton Rouge","LA MSA",13197,12756,0,0,441
"Beaumont-Port Arthur","TX MSA",4283,4283,0,0,0
"Bellingham","WA MSA",21928,17023,532,249,4124
"Benton Harbor","MI MSA",4108,4108,0,0,0
"Billings","MT MSA",9288,9078,210,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",18587,18489,98,0,0
"Binghamton","NY MSA",1530,1530,0,0,0
"Birmingham","AL MSA",50229,50229,0,0,0
"Bismarck","ND MSA",9706,9017,0,689,0
"Bloomington","IN MSA",10106,7350,678,0,2078
"Bloomington-Normal","IL MSA",25997,10014,0,270,15713
"Boise City","ID MSA",89329,74894,630,721,13084
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","230381",207545,8526,5176,9134,NA
"Brownsville-Harlingen-San Benito","TX MSA",20501,18947,937,617,0
"Bryan-College Station","TX MSA",18474,6609,735,0,11130
"Buffalo-Niagara Falls","NY MSA",27248,26142,660,0,446
