"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",1931,1759,172,0,0
"Albany","GA MSA",4466,4069,397,0,0
"Albany-Schenectady-Troy","NY MSA",29263,28207,0,0,1056
"Albuquerque","NM MSA",46261,45965,0,296,0
"Alexandria","LA MSA",5258,5258,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",27676,27445,0,231,0
"Altoona","PA MSA",673,673,0,0,0
"Amarillo","TX MSA",6067,6067,0,0,0
"Anchorage","AK MSA",15002,10344,0,4658,0
"Anniston","AL MSA",1822,1822,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",23069,16825,606,365,5273
"Asheville","NC MSA",19071,17888,217,452,514
"Athens","GA MSA",14386,14386,0,0,0
"Atlanta","GA MSA",484533,429203,4180,586,50564
"Auburn-Opelika","AL MSA",7110,4388,524,276,1922
"Augusta-Aiken","GA-SC MSA",26867,26867,0,0,0
"Austin-San Marcos","TX MSA",88971,75315,1461,0,12195
"Bakersfield","CA MSA",65470,58337,102,818,6213
"Bangor","ME MSA",3448,2749,699,0,0
"Barnstable-Yarmouth","MA MSA",12470,12470,0,0,0
"Baton Rouge","LA MSA",15440,15138,0,302,0
"Beaumont-Port Arthur","TX MSA",4297,4297,0,0,0
"Bellingham","WA MSA",35127,14538,0,639,19950
"Benton Harbor","MI MSA",1446,1406,0,40,0
"Billings","MT MSA",5898,3200,86,0,2612
"Biloxi-Gulfport-Pascagoula","MS MSA",20565,20565,0,0,0
"Binghamton","NY MSA",1200,1200,0,0,0
"Birmingham","AL MSA",57709,57219,0,0,490
"Bismarck","ND MSA",7102,4702,0,0,2400
"Bloomington","IN MSA",9684,6718,1619,236,1111
"Bloomington-Normal","IL MSA",8623,4508,0,0,4115
"Boise City","ID MSA",73890,70595,279,1266,1750
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","238923",177840,8476,7880,44727,NA
"Brownsville-Harlingen-San Benito","TX MSA",18109,17564,58,0,487
"Bryan-College Station","TX MSA",11323,11323,0,0,0
"Buffalo-Niagara Falls","NY MSA",22382,20537,345,0,1500
"Burlington","VT MSA",7821,4886,681,166,2088
"Canton-Massillon","OH MSA",15289,15289,0,0,0
"Casper","WY MSA",1134,1134,0,0,0
"Cedar Rapids","IA MSA",8509,6051,653,0,1805
"Champaign-Urbana","IL MSA",8508,8508,0,0,0
"Charleston","WV MSA",1992,1992,0,0,0
"Charleston-North Charleston","SC MSA",59059,56017,0,0,3042
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",151664,141477,962,1010,8215
"Charlottesville","VA MSA",17537,16837,700,0,0
"Chattanooga","TN-GA MSA",24602,23612,273,134,583
