"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",3956,3831,125,0,0
"Albany","GA MSA",5614,5305,309,0,0
"Albany-Schenectady-Troy","NY MSA",42023,41675,0,0,348
"Albuquerque","NM MSA",77189,70247,109,0,6833
"Alexandria","LA MSA",5896,5420,0,0,476
"Allentown-Bethlehem-Easton","PA MSA",33102,31062,0,231,1809
"Altoona","PA MSA",642,642,0,0,0
"Amarillo","TX MSA",14946,8691,236,0,6019
"Anchorage","AK MSA",45982,18929,21738,0,5315
"Anniston","AL MSA",1633,1633,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",32772,26983,556,401,4832
"Asheville","NC MSA",23513,22821,362,330,0
"Athens","GA MSA",17352,17352,0,0,0
"Atlanta","GA MSA",642754,560906,4326,216,77306
"Auburn-Opelika","AL MSA",8618,8618,0,0,0
"Augusta-Aiken","GA-SC MSA",39970,39970,0,0,0
"Austin-San Marcos","TX MSA",114298,111397,397,2504,0
"Bakersfield","CA MSA",82625,82515,110,0,0
"Bangor","ME MSA",3393,3043,0,0,350
"Barnstable-Yarmouth","MA MSA",15085,15085,0,0,0
"Baton Rouge","LA MSA",29917,13927,0,0,15990
"Beaumont-Port Arthur","TX MSA",6282,6282,0,0,0
"Bellingham","WA MSA",26742,22387,923,692,2740
"Benton Harbor","MI MSA",3843,2916,0,927,0
"Billings","MT MSA",11585,11585,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",22031,21895,136,0,0
"Binghamton","NY MSA",2051,2051,0,0,0
"Birmingham","AL MSA",71944,71944,0,0,0
"Bismarck","ND MSA",13672,12537,0,1135,0
"Bloomington","IN MSA",12307,8787,2339,236,945
"Bloomington-Normal","IL MSA",8940,8144,0,0,796
"Boise City","ID MSA",90918,85777,1710,931,2500
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",215226,191628,4307,3037,16254
"Brownsville-Harlingen-San Benito","TX MSA",16994,15613,435,946,0
"Bryan-College Station","TX MSA",7175,7175,0,0,0
"Buffalo-Niagara Falls","NY MSA",35084,31134,0,0,3950
"Burlington","VT MSA",9117,6308,2409,180,220
"Canton-Massillon","OH MSA",19916,19916,0,0,0
"Casper","WY MSA",3408,3408,0,0,0
"Cedar Rapids","IA MSA",8262,6574,733,955,0
"Champaign-Urbana","IL MSA",11504,9204,0,0,2300
"Charleston","WV MSA",4713,4162,221,0,330
"Charleston-North Charleston","SC MSA",75730,73009,131,488,2102
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",200563,193593,341,2062,4567
"Charlottesville","VA MSA",17254,17254,0,0,0
"Chattanooga","TN-GA MSA",35099,34138,267,67,627
"Cheyenne","WY MSA",6165,5875,0,0,290
"Chicago-Gary-Kenosha","Chicago-Gary-Kenosha IL-IN-WI CMSA",750340,626059,9418,25616,89247
"Chico-Paradise","CA MSA",16687,15718,0,969,0
"Cincinnati-Hamilton","Cincinnati-Hamilton OH-KY-IN CMSA",156684,141367,1294,1675,12348
"Clarksville-Hopkinsville","TN-KY MSA",11869,10977,0,332,560
"Cleveland-Akron","Cleveland-Akron OH CMSA",171988,164246,2030,3274,2438
"Colorado Springs","CO MSA",53321,53321,0,0,0
"Columbia","MO MSA",22299,16920,5379,0,0
"Columbia","SC MSA",38565,38438,0,0,127
"Columbus","GA-AL MSA",28623,14910,680,556,12477
"Columbus","OH MSA",211144,179649,3305,9826,18364
"Corpus Christi","TX MSA",10342,10342,0,0,0
"Corvallis","OR MSA",6357,6357,0,0,0
"Cumberland","MD-WV MSA",1577,1577,0,0,0
"Dallas-Fort Worth","Worth TX CMSA",663394,582536,1734,6070,73054
"Danville","VA MSA",3265,2754,511,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",9246,7146,0,0,2100
"Dayton-Springfield","OH MSA",35469,33362,407,450,1250
"Daytona Beach","FL MSA",92938,88069,1471,209,3189
"Decatur","Al MSA",4177,4177,0,0,0
"Decatur","IL MSA",2138,2138,0,0,0
"Denver-Boulder-Greeley","Denver-Boulder-Greeley CO CMSA",309285,281209,683,4933,22460
"Des Moines","IA MSA",61359,59430,347,0,1582
"Detroit-Ann Arbor-Flint","Arbor-Flint MI CMSA",390086,331546,2652,10975,44913
"Dothan","AL MSA",2750,2750,0,0,0
"Dover","DE MSA",15675,15495,180,0,0
"Dubuque","IA MSA",4211,4067,144,0,0
"Duluth-Superior","MN-WI MSA",13687,13687,0,0,0
"Eau Claire","WI MSA",17784,15764,2020,0,0
"El Paso","TX MSA",18637,17722,72,417,426
"Elkhart-Goshen","IN MSA",13457,12657,0,650,150
"Elmira","NY MSA",809,392,0,0,417
"Enid","OK MSA",1965,1297,448,0,220
"Erie","PA MSA",5461,5461,0,0,0
"Eugene-Springfield","OR MSA",25374,24261,829,284,0
"Evansville-Henderson","IN-KY MSA",18523,18056,279,0,188
"Fargo-Moorhead","ND-MN MSA",22177,17712,0,2420,2045
"Fayetteville","NC MSA",17356,13853,0,0,3503
"Fayetteville-Springdale-Rogers","AR MSA",37600,25862,1760,160,9818
"Flagstaff","AZ MSA",24257,10936,0,0,13321
"Florence","AL MSA",1315,1228,87,0,0
"Florence","SC MSA",6077,6077,0,0,0
"Fort Collins-Loveland","CO MSA",43005,38237,168,2355,2245
"Fort Myers-Cape Coral","FL MSA",151080,114967,11618,6056,18439
"Fort Pierce-Port St. Lucie","FL MSA",76202,72279,1240,525,2158
