"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX",1120,1120,0,0,0
"Akron","OH",48154,46671,0,679,804
"Albany","GA",6667,6243,424,0,0
"Albany-Schenectady-Troy","NY",30198,28108,958,0,1132
"Albuquerque","NM",70485,70485,0,0,0
"Alexandria","LA",12812,12712,100,0,0
"Allentown-Bethlehem-Easton","PA-NJ",54970,53948,274,448,300
"Altoona","PA",1216,386,80,0,750
"Amarillo","TX",7757,7757,0,0,0
"Ames","IA",9035,5306,395,0,3334
"Anchorage","AK",29220,25805,1065,0,2350
"Anderson","IN",5049,4731,0,0,318
"Anderson","SC",16125,16000,125,0,0
"Ann Arbor","MI",35236,29451,0,304,5481
"Anniston-Oxford","AL",2065,2065,0,0,0
"Appleton","WI",32227,31511,716,0,0
"Asheville","NC",47210,44575,137,2048,450
"Athens-Clarke County","GA",14664,14664,0,0,0
"Atlanta-Sandy Springs-Marietta","GA",751891,694271,4731,2960,49929
"Atlantic City","NJ",23951,23850,101,0,0
"Auburn-Opelika","AL",10355,10355,0,0,0
"Augusta-Richmond County","GA-SC",42314,42314,0,0,0
"Austin-Round Rock","TX",197058,149695,2246,139,44978
"Bakersfield","CA",81783,80876,421,0,486
"Baltimore-Towson","MD",111549,78625,0,598,32326
"Bangor","ME",5135,4811,0,324,0
"Barnstable Town","MA",24905,23745,0,1160,0
"Baton Rouge","LA",44824,39172,30,273,5349
"Battle Creek","MI",4013,4013,0,0,0
"Bay City","MI",503,503,0,0,0
"Beaumont-Port Arthur","TX",11546,11546,0,0,0
"Bellingham","WA",32834,25797,969,288,5780
"Bend","OR",70460,66205,1206,3049,0
"Billings","MT",12897,8491,0,512,3894
"Binghamton","NY",1561,1561,0,0,0
"Birmingham-Hoover","AL",91098,91098,0,0,0
"Bismarck","ND",11784,11192,0,592,0
"Blacksburg-Christiansburg-Radford","VA",10505,10255,250,0,0
"Bloomington","IN",12144,9159,1259,237,1489
"Bloomington-Normal","IL",7988,5649,0,677,1662
"Boise City-Nampa","ID",126018,117172,1829,6410,607
"Boston-Cambridge-Quincy","MA-NH",230077,155358,9851,3576,61292
"Boulder","CO",23845,23604,241,0,0
"Bowling Green","KY",27933,12052,145,898,14838
"Bremerton-Silverdale","WA",24173,23998,175,0,0
"Bridgeport-Stamford-Norwalk","CT",76279,68625,170,700,6784
"Brownsville-Harlingen","TX",20946,20251,186,0,509
"Brunswick","GA",45998,19998,0,0,26000
"Buffalo-Niagara Falls","NY",30898,30378,520,0,0
"Burlington","NC",8579,8579,0,0,0
"Burlington-South Burlington","VT",11984,9860,1002,549,573
"Canton-Massillon","OH",20495,19940,0,318,237
"Cape Coral-Fort Myers","FL",209035,169676,1217,180,37962
"Carson City","NV",2748,2748,0,0,0
"Casper","WY",5115,5115,0,0,0
"Cedar Rapids","IA",14438,10584,914,1269,1671
"Champaign-Urbana","IL",12000,10925,0,0,1075
"Charleston","WV",4108,4108,0,0,0
"Charleston-North Charleston","SC",100005,96600,0,524,2881
"Charlotte-Gastonia-Concord","NC-SC",246146,236253,1181,1467,7245
"Charlottesville","VA",31675,22524,766,314,8071
"Chattanooga","TN-GA",31133,30288,179,222,444
"Cheyenne","WY",5849,5259,175,415,0
"Chicago-Naperville-Joliet","IL-IN-WI",795293,686331,4800,20696,83466
"Chico","CA",14866,14296,570,0,0
"Cincinnati-Middletown","OH-KY-IN",164657,155798,830,2518,5511
"Clarksville","TN-KY",12541,11193,90,0,1258
"Cleveland","TN",6267,6157,110,0,0
"Cleveland-Elyria-Mentor","OH",123026,117015,1244,813,3954
"Coeur d""Alene","ID",34369,33306,0,581,482
"College Station-Bryan","TX",8955,8955,0,0,0
"Colorado Springs","CO",94981,94981,0,0,0
"Columbia","MO",25165,21468,697,0,3000
"Columbia","SC",67125,63218,0,0,3907
"Columbus","GA-AL",17924,16895,1029,0,0
"Columbus","IN",4758,4758,0,0,0
"Columbus","OH",201318,182239,595,1011,17473
"Corpus Christi","TX",17526,17213,313,0,0
"Corvallis","OR",7293,7293,0,0,0
"Cumberland","MD-WV",2412,2412,0,0,0
"Dallas-Fort Worth-Arlington","TX",719229,698134,2007,322,18766
"Dalton","GA",7474,7474,0,0,0
"Danville","IL",83,83,0,0,0
"Danville","VA",3615,3615,0,0,0
"Davenport-Moline-Rock Island","IA-IL",11586,11041,545,0,0
