"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX",3151,3151,0,0,0
"Akron","OH",25512,24184,198,361,769
"Albany","GA",5399,5138,261,0,0
"Albany-Schenectady-Troy","NY",29600,25597,0,0,4003
"Albuquerque","NM",59665,59578,0,87,0
"Alexandria","LA",2825,2825,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",42151,40575,0,952,624
"Altoona","PA",250,0,0,0,250
"Amarillo","TX",11176,11176,0,0,0
"Ames","IA",4982,4314,0,0,668
"Anchorage","AK",23900,8095,2876,761,12168
"Anderson","IN",6044,6044,0,0,0
"Anderson","SC",11521,11521,0,0,0
"Ann Arbor","MI",23135,22833,0,0,302
"Anniston-Oxford","AL",2503,2503,0,0,0
"Appleton","WI",8154,8154,0,0,0
"Asheville","NC",49281,44463,1180,1141,2497
"Athens-Clarke County","GA",22593,21497,0,0,1096
"Atlanta-Sandy Springs-Marietta","GA",689155,581914,1165,3082,102994
"Atlantic City","NJ",18546,17591,401,554,0
"Auburn-Opelika","AL",9201,8074,0,0,1127
"Augusta-Richmond County","GA-SC",36110,36110,0,0,0
"Austin-Round Rock","TX",132814,123892,1154,2597,5171
"Bakersfield","CA",74392,73280,475,637,0
"Baltimore-Towson","MD",96024,71608,0,299,24117
"Bangor","ME",5258,5258,0,0,0
"Barnstable Town","MA",23444,21697,204,748,795
"Baton Rouge","LA",40450,34672,0,273,5505
"Battle Creek","MI",5274,4492,782,0,0
"Bay City","MI",674,674,0,0,0
"Beaumont-Port Arthur","TX",8444,8444,0,0,0
"Bellingham","WA",30223,21596,577,1648,6402
"Bend","OR",57035,55832,222,981,0
"Billings","MT",12278,10974,0,1304,0
"Binghamton","NY",875,875,0,0,0
"Birmingham-Hoover","AL",84323,79866,0,0,4457
"Bismarck","ND",3630,3630,0,0,0
"Blacksburg-Christiansburg-Radford","VA",7939,7564,375,0,0
"Bloomington","IN",9135,6133,1619,237,1146
"Bloomington-Normal","IL",5945,5761,0,184,0
"Boise City-Nampa","ID",129702,126428,1537,861,876
"Boston-Cambridge-Quincy","MA-NH",248393,148373,6684,3774,89562
"Boulder","CO",24350,18399,203,0,5748
"Bowling Green","KY",10428,9428,0,0,1000
"Bremerton-Silverdale","WA",12982,12631,0,0,351
"Bridgeport-Stamford-Norwalk","CT",54795,53639,170,100,886
"Brownsville-Harlingen","TX",19254,17906,114,813,421
"Brunswick","GA",10432,10309,123,0,0
"Buffalo-Niagara Falls","NY",16863,16128,0,0,735
"Burlington","NC",8197,8197,0,0,0
"Burlington-South Burlington","VT",7193,6099,294,800,0
"Canton-Massillon","OH",15506,13538,0,318,1650
"Cape Coral-Fort Myers","FL",356497,282111,1067,212,73107
"Carson City","NV",3121,2288,0,0,833
"Casper","WY",2623,2623,0,0,0
"Cedar Rapids","IA",6604,5764,366,474,0
"Champaign-Urbana","IL",5727,5727,0,0,0
"Charleston","WV",2280,2280,0,0,0
"Charleston-North Charleston","SC",109186,105374,0,1053,2759
"Charlotte-Gastonia-Concord","NC-SC",207709,186069,210,299,21131
"Charlottesville","VA",24002,19050,476,0,4476
"Chattanooga","TN-GA",27745,26950,179,148,468
"Cheyenne","WY",5162,4268,0,622,272
"Chicago-Naperville-Joliet","IL-IN-WI",586483,475554,7009,19880,84040
"Chico","CA",12991,12991,0,0,0
"Cincinnati-Middletown","OH-KY-IN",117014,112084,886,1651,2393
"Clarksville","TN-KY",11709,8914,0,2295,500
"Cleveland","TN",8884,8026,150,300,408
"Cleveland-Elyria-Mentor","OH",83839,82599,254,782,204
"Coeur d""Alene","ID",28914,25739,158,0,3017
"College Station-Bryan","TX",10617,9475,430,0,712
"Colorado Springs","CO",102229,77000,270,2526,22433
"Columbia","MO",18462,18314,148,0,0
"Columbia","SC",66208,55376,0,6355,4477
"Columbus","GA-AL",19904,19904,0,0,0
"Columbus","IN",2791,2791,0,0,0
"Columbus","OH",133272,114036,0,11775,7461
"Corpus Christi","TX",13253,11913,113,241,986
"Corvallis","OR",6636,3800,0,0,2836
"Cumberland","MD-WV",1168,1168,0,0,0
"Dallas-Fort Worth-Arlington","TX",580140,523557,703,0,55880
"Dalton","GA",7401,6248,199,164,790
"Danville","IL",0,0,0,0,0
"Danville","VA",5014,2104,0,0,2910
"Davenport-Moline-Rock Island","IA-IL",10317,10317,0,0,0
"Dayton","OH",31467,31020,447,0,0
"Decatur","AL",1594,1594,0,0,0
"Decatur","IL",665,665,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",78533,63514,219,4670,10130
"Denver-Aurora","CO",284534,249814,1842,5201,27677
"Des Moines","IA",51024,46284,361,0,4379
"Detroit-Warren-Livonia","MI",165027,147075,1207,2389,14356
"Dothan","AL",1952,1790,0,162,0
"Dover","DE",20349,20349,0,0,0
"Dubuque","IA",4655,4161,494,0,0
"Duluth","MN-WI",8365,7761,335,0,269
"Durham","NC",64915,64586,329,0,0
"Eau Claire","WI",8454,4065,819,0,3570
"El Centro","CA",29397,26878,0,2144,375
"El Paso","TX",29220,29220,0,0,0
"Elizabethtown","KY",6745,6447,298,0,0
"Elkhart-Goshen","IN",12502,12377,0,0,125
"Elmira","NY",408,408,0,0,0
"Erie","PA",3070,3070,0,0,0
"Eugene-Springfield","OR",18473,17642,543,288,0
"Evansville","IN-KY",7264,7264,0,0,0
"Fairbanks","AK",1023,1023,0,0,0
"Fargo","ND-MN",4031,4031,0,0,0
"Farmington","NM",5018,4540,0,478,0
"Fayetteville","NC",49377,32018,0,0,17359
"Fayetteville-Springdale-Rogers","AR-MO",54622,40888,6265,2087,5382
"Flagstaff","AZ",12492,12492,0,0,0
"Flint","MI",15564,15564,0,0,0
"Florence","SC",1824,1824,0,0,0
"Fond du Lac","WI",1329,1329,0,0,0
"Fort Collins-Loveland","CO",37267,32357,569,196,4145
"Fort Smith","AR-OK",7953,7501,322,130,0
"Fort Walton Beach-Crestview-Destin","FL",57636,26422,0,0,31214
"Fort Wayne","IN",27639,26511,195,0,933
"Fresno","CA",81753,66900,0,0,14853
"Gadsden","AL",894,894,0,0,0
"Gainesville","FL",17595,14083,200,0,3312
"Gainesville","GA",16818,16818,0,0,0
"Glens Falls","NY",7782,7539,0,104,139
"Goldsboro","NC",6336,6336,0,0,0
"Grand Forks","ND-MN",164,164,0,0,0
"Grand Junction","CO",12655,12655,0,0,0
"Grand Rapids-Wyoming","MI",43222,42572,395,0,255
"Great Falls","MT",3202,1832,0,0,1370
"Greeley","CO",53280,50446,0,1268,1566
"Green Bay","WI",13396,10787,2035,0,574
"Greensboro-High Point","NC",52845,52612,0,0,233
"Greenville","NC",18163,11496,220,0,6447
"Greenville","SC",42477,32645,110,0,9722
"Gulfport-Biloxi","MS",13290,10593,0,1197,1500
"Hagerstown-Martinsburg","MD-WV",26589,25348,685,180,376
"Hanford-Corcoran","CA",7650,6570,97,246,737
"Harrisburg-Carlisle","PA",18467,18427,40,0,0
"Harrisonburg","VA",13498,13378,120,0,0
"Hartford-West Hartford-East Hartford","CT",45434,34349,375,0,10710
"Hattiesburg","MS",395,395,0,0,0
"Hickory-Lenoir-Morganton","NC",24266,21041,325,0,2900
"Hinesville-Fort Stewart","GA",2875,2875,0,0,0
"Holland-Grand Haven","MI",23205,18830,628,3355,392
"Honolulu","HI",17517,17517,0,0,0
"Hot Springs","AR",1093,1093,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",6321,5913,0,0,408
"Houston-Baytown-Sugar Land","TX",377573,367435,1241,0,8897
"Huntington-Ashland","WV-KY-OH",268,268,0,0,0
"Huntsville","AL",10578,6260,0,0,4318
"Idaho Falls","ID",10335,9438,0,897,0
"Indianapolis","IN",180236,131111,3483,2841,42801
"Iowa City","IA",8784,8784,0,0,0
"Ithaca","NY",1946,1503,0,0,443
"Jackson","MI",2132,2132,0,0,0
"Jackson","MS",32759,31727,0,0,1032
"Jackson","TN",5049,5049,0,0,0
"Jacksonville","FL",289293,227178,462,465,61188
"Jacksonville","NC",9256,8616,640,0,0
"Janesville","WI",5775,4202,673,0,900
"Jefferson City","MO",2998,2843,155,0,0
"Johnson City","TN",9015,9015,0,0,0
"Johnstown","PA",205,205,0,0,0
"Jonesboro","AR",3807,3807,0,0,0
"Joplin","MO",1945,1945,0,0,0
"Kalamazoo-Portage","MI",14271,12742,0,1025,504
"Kankakee-Bradley","IL",6062,5611,0,451,0
"Kansas City","MO-KS",216874,185439,5986,7347,18102
"Kennewick-Richland-Pasco","WA",26641,24254,196,0,2191
"Killeen-Temple-Fort Hood","TX",26527,23068,1638,1821,0
"Kingsport-Bristol-Bristol","TN-VA",6751,6751,0,0,0
"Kingston","NY",4258,4218,40,0,0
"Knoxville","TN",30066,30066,0,0,0
"Kokomo","IN",3630,3030,300,0,300
"La Crosse","WI-MN",12271,5861,410,0,6000
"Lafayette","IN",18106,18106,0,0,0
"Lafayette","LA",14140,13711,114,0,315
"Lake Charles","LA",7149,5768,241,115,1025
"Lakeland","FL",59109,56288,0,0,2821
"Lancaster","PA",21898,17944,386,1993,1575
"Lansing-East Lansing","MI",10301,10301,0,0,0
"Laredo","TX",11247,10859,0,163,225
"Las Cruces","NM",22111,19797,117,0,2197
"Las Vegas-Paradise","NV",245347,241239,0,1285,2823
"Lawrence","KS",16645,10588,6057,0,0
"Lawton","OK",1332,1332,0,0,0
"Lebanon","PA",4879,4879,0,0,0
"Lewiston","ID-WA",1129,860,269,0,0
"Lewiston-Auburn","ME",4040,3732,308,0,0
"Lexington-Fayette","KY",38652,35925,110,1037,1580
"Lima","OH",1113,1113,0,0,0
"Lincoln","NE",40289,24962,170,0,15157
"Little Rock-North Little Rock","AR",57966,39822,0,0,18144
"Logan","UT-ID",6477,6077,150,250,0
"Longview","TX",3528,3528,0,0,0
"Longview","WA",2734,2553,0,0,181
"Los Angeles-Long Beach-Santa Ana","CA",473388,256244,5285,14487,197372
"Louisville","KY-IN",71335,60751,0,119,10465
"Lubbock","TX",12342,12342,0,0,0
"Lynchburg","VA",13275,12525,0,0,750
"Macon","GA",7385,7385,0,0,0
"Madera","CA",22200,21917,123,160,0
"Madison","WI",87492,48179,3050,4095,32168
"Manchester-Nashua","NH",20785,19835,492,0,458
"Mansfield","OH",1137,777,360,0,0
"McAllen-Edinburg-Pharr","TX",53702,41542,216,5860,6084
"Medford","OR",29666,27455,164,820,1227
"Memphis","TN-MS-AR",101424,96535,0,0,4889
"Merced","CA",40408,39695,343,370,0
"Miami-Fort Lauderdale-Miami Beach","FL",464690,306712,2190,5082,150706
"Michigan City-La Porte","IN",2756,2627,0,129,0
"Midland","TX",2677,2677,0,0,0
"Milwaukee-Waukesha-West Allis","WI",74438,68172,2105,890,3271
"Minneapolis-St. Paul-Bloomington","MN-WI",355579,277848,3141,2167,72423
"Missoula","MT",4212,2731,420,309,752
"Mobile","AL",21479,21479,0,0,0
"Modesto","CA",55800,55444,356,0,0
"Monroe","LA",4717,4717,0,0,0
"Monroe","MI",16536,16356,0,0,180
"Montgomery","AL",13012,13012,0,0,0
"Morgantown","WV",242,242,0,0,0
"Morristown","TN",4041,4041,0,0,0
"Mount Vernon-Anacortes","WA",11206,10191,257,0,758
