"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX",3210,3210,0,0,0
"Akron","OH",32009,30443,220,744,602
"Albany","GA",6381,6076,127,178,0
"Albany-Schenectady-Troy","NY",54139,34038,0,0,20101
"Albuquerque","NM",82392,80876,0,223,1293
"Alexandria","LA",8093,8093,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",66944,65673,0,0,1271
"Altoona","PA",0,0,0,0,0
"Amarillo","TX",10421,10421,0,0,0
"Ames","IA",23789,9189,0,0,14600
"Anchorage","AK",57218,26676,5265,1640,23637
"Anderson","IN",6419,6419,0,0,0
"Anderson","SC",16421,13756,0,0,2665
"Ann Arbor","MI",12343,11826,155,0,362
"Anniston-Oxford","AL",2422,2422,0,0,0
"Appleton","WI",22946,19146,0,0,3800
"Asheville","NC",53446,52869,577,0,0
"Athens-Clarke County","GA",25061,16484,881,0,7696
"Atlanta-Sandy Springs-Marietta","GA",743465,687251,870,576,54768
"Atlantic City","NJ",27051,24133,764,692,1462
"Auburn-Opelika","AL",16764,15591,277,0,896
"Augusta-Richmond County","GA-SC",37415,37415,0,0,0
"Austin-Round Rock","TX",252770,204305,757,139,47569
"Bakersfield","CA",84814,82039,390,816,1569
"Baltimore-Towson","MD",115492,104313,628,1614,8937
"Bangor","ME",4955,4955,0,0,0
"Barnstable Town","MA",22489,20714,0,0,1775
"Baton Rouge","LA",41166,38839,0,608,1719
"Battle Creek","MI",531,531,0,0,0
"Bay City","MI",860,860,0,0,0
"Beaumont-Port Arthur","TX",14430,6465,0,0,7965
"Bellingham","WA",27391,20716,259,746,5670
"Bend","OR",83374,79465,965,2944,0
"Billings","MT",10145,9194,0,0,951
"Binghamton","NY",350,350,0,0,0
"Birmingham-Hoover","AL",114740,109928,36,1892,2884
"Bismarck","ND",15645,14415,0,1230,0
"Bloomington","IN",10654,7837,1439,237,1141
"Bloomington-Normal","IL",9758,9415,0,0,343
"Boise City-Nampa","ID",149621,145921,1329,2371,0
"Boston-Cambridge-Quincy","MA-NH",198737,133897,9739,3218,51883
"Boulder","CO",13807,13147,0,0,660
"Bowling Green","KY",11438,10967,471,0,0
"Bremerton-Silverdale","WA",19031,19031,0,0,0
"Bridgeport-Stamford-Norwalk","CT",50043,44545,186,271,5041
"Brownsville-Harlingen","TX",21910,21223,325,362,0
"Brunswick","GA",13974,12590,0,0,1384
"Buffalo-Niagara Falls","NY",24122,23962,160,0,0
"Burlington","NC",11388,11388,0,0,0
"Burlington-South Burlington","VT",11571,9802,885,390,494
"Canton-Massillon","OH",17991,17752,0,0,239
"Cape Coral-Fort Myers","FL",373654,315913,1605,623,55513
"Carson City","NV",2515,2515,0,0,0
"Casper","WY",6136,6136,0,0,0
"Cedar Rapids","IA",16003,12981,484,2538,0
"Champaign-Urbana","IL",15666,13747,377,0,1542
"Charleston","WV",5683,5683,0,0,0
"Charleston-North Charleston","SC",113789,109129,120,362,4178
"Charlotte-Gastonia-Concord","NC-SC",274561,248211,200,1745,24405
"Charlottesville","VA",34580,34580,0,0,0
"Chattanooga","TN-GA",31262,28750,89,1501,922
"Cheyenne","WY",10214,9542,0,261,411
"Chicago-Naperville-Joliet","IL-IN-WI",846854,689281,8125,24250,125198
"Chico","CA",16121,16121,0,0,0
"Cincinnati-Middletown","OH-KY-IN",186165,173653,425,1593,10494
"Clarksville","TN-KY",23805,21070,400,2175,160
"Cleveland","TN",6279,6279,0,0,0
"Cleveland-Elyria-Mentor","OH",130048,124322,965,2702,2059
"Coeur d""Alene","ID",42876,39430,471,329,2646
"College Station-Bryan","TX",14963,13129,1432,0,402
"Colorado Springs","CO",112092,105957,1434,1804,2897
"Columbia","MO",21839,18082,3307,450,0
"Columbia","SC",72072,66456,102,0,5514
"Columbus","GA-AL",24427,18071,0,750,5606
"Columbus","IN",4289,4289,0,0,0
"Columbus","OH",200055,175788,3068,3731,17468
"Corpus Christi","TX",16605,16425,180,0,0
"Corvallis","OR",3240,3240,0,0,0
"Cumberland","MD-WV",3073,3073,0,0,0
"Dallas-Fort Worth-Arlington","TX",811615,732417,2286,1187,75725
"Dalton","GA",10214,9583,88,174,369
"Danville","IL",120,120,0,0,0
"Danville","VA",2734,2734,0,0,0
"Davenport-Moline-Rock Island","IA-IL",14333,13459,338,0,536
"Dayton","OH",42515,42115,400,0,0
"Decatur","AL",3219,3219,0,0,0
"Decatur","IL",1525,1525,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",119272,88473,359,0,30440
"Denver-Aurora","CO",311014,298080,1200,322,11412
"Des Moines","IA",89575,75423,0,0,14152
"Detroit-Warren-Livonia","MI",264134,237729,1231,3561,21613
"Dothan","AL",2646,2646,0,0,0
"Dover","DE",31011,25011,0,0,6000
"Dubuque","IA",6734,6024,461,249,0
"Duluth","MN-WI",10611,8342,218,239,1812
"Durham","NC",76525,76260,265,0,0
"Eau Claire","WI",13583,9963,370,1060,2190
"El Centro","CA",12731,12459,0,0,272
"El Paso","TX",37949,37853,96,0,0
"Elizabethtown","KY",9535,9135,0,0,400
"Elkhart-Goshen","IN",14315,14315,0,0,0
"Elmira","NY",481,361,120,0,0
"Erie","PA",9143,4300,0,0,4843
"Eugene-Springfield","OR",29783,26919,1964,471,429
"Evansville","IN-KY",16293,15731,147,0,415
"Fairbanks","AK",3267,2867,400,0,0
"Fargo","ND-MN",24617,23627,0,0,990
"Farmington","NM",7560,7560,0,0,0
"Fayetteville","NC",50862,31789,0,262,18811
"Fayetteville-Springdale-Rogers","AR-MO",64119,61518,2276,132,193
"Flagstaff","AZ",9401,9249,152,0,0
"Flint","MI",19468,19468,0,0,0
"Florence","SC",4067,4067,0,0,0
"Florence-Muscle Shoals","AL",2407,2407,0,0,0
"Fond du Lac","WI",3012,2344,0,668,0
"Fort Collins-Loveland","CO",56356,48773,0,546,7037
"Fort Smith","AR-OK",5085,4635,450,0,0
"Fort Walton Beach-Crestview-Destin","FL",43717,20987,0,0,22730
"Fort Wayne","IN",46670,37135,777,355,8403
"Fresno","CA",71532,64514,712,1099,5207
"Gadsden","AL",2465,2465,0,0,0
"Gainesville","FL",35338,22236,0,0,13102
"Gainesville","GA",23540,23540,0,0,0
"Glens Falls","NY",8790,8674,0,0,116
"Goldsboro","NC",4674,4674,0,0,0
"Grand Forks","ND-MN",9948,2657,0,0,7291
"Grand Junction","CO",18700,17566,294,0,840
"Grand Rapids-Wyoming","MI",43379,41240,0,255,1884
"Great Falls","MT",2642,2531,111,0,0
"Greeley","CO",76923,73412,0,976,2535
"Green Bay","WI",30063,22398,2562,935,4168
"Greensboro-High Point","NC",77258,72236,109,161,4752
"Greenville","NC",16909,14213,262,0,2434
"Greenville","SC",50577,48221,477,0,1879
