"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX",5520,5520,0,0,0
"Akron","OH",11869,11800,0,69,0
"Albany","GA",3096,2758,150,0,188
"Albany-Schenectady-Troy","NY",14053,13453,600,0,0
"Albuquerque","NM",48780,45957,0,343,2480
"Alexandria","LA",4755,4755,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",24530,22545,0,840,1145
"Altoona","PA",0,0,0,0,0
"Amarillo","TX",6281,5230,0,0,1051
"Ames","IA",3007,3007,0,0,0
"Anchorage","AK",6725,4355,897,609,864
"Anderson","IN",1656,1656,0,0,0
"Anderson","SC",12495,12495,0,0,0
"Ann Arbor","MI",2369,2369,0,0,0
"Anniston-Oxford","AL",1235,1235,0,0,0
"Appleton","WI",6125,5485,0,0,640
"Asheville","NC",32570,30452,0,500,1618
"Athens-Clarke County","GA",11563,11563,0,0,0
"Atlanta-Sandy Springs-Marietta","GA",276796,248263,678,1368,26487
"Atlantic City-Hammonton","NJ",7570,6321,304,667,278
"Auburn-Opelika","AL",15275,14009,0,0,1266
"Augusta-Richmond County","GA-SC",17129,17129,0,0,0
"Austin-Round Rock","TX",204229,140566,1539,1147,60977
"Bakersfield","CA",23232,21092,158,1982,0
"Baltimore-Towson","MD",50655,46423,0,0,4232
"Bangor","ME",3129,3129,0,0,0
"Barnstable Town","MA",10390,10390,0,0,0
"Baton Rouge","LA",43558,28262,0,0,15296
"Battle Creek","MI",727,727,0,0,0
"Bay City","MI",132,132,0,0,0
"Beaumont-Port Arthur","TX",21471,5234,362,0,15875
"Bellingham","WA",8760,7225,0,0,1535
"Bend","OR",17342,15829,0,1513,0
"Billings","MT",5327,5327,0,0,0
"Binghamton","NY",917,917,0,0,0
"Birmingham-Hoover","AL",48471,42651,0,0,5820
"Bismarck","ND",12477,10166,0,520,1791
"Bloomington","IN",5605,4585,1020,0,0
"Bloomington-Normal","IL",2617,2444,0,0,173
"Boise City-Nampa","ID",67777,64038,209,3530,0
"Boston-Cambridge-Quincy","MA-NH",104705,57319,2609,3297,41480
"Boulder","CO",6368,5544,0,0,824
"Bowling Green","KY",6542,6130,0,412,0
"Bradenton-Sarasota-Venice","FL",58411,50662,0,1295,6454
"Bremerton-Silverdale","WA",9478,9478,0,0,0
