"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX",14,10,4,0,0,1
"Akron","OH",93,46,0,3,44,1
"Albany","GA",24,22,2,0,0,1
"Albany-Schenectady-Troy","NY",39,39,0,0,0,1
"Albuquerque","NM",204,163,0,0,41,1
"Alexandria","LA",41,41,0,0,0,1
"Allentown-Bethlehem-Easton","PA-NJ",118,113,0,0,5,1
"Altoona","PA",3,3,0,0,0,1
"Amarillo","TX",48,48,0,0,0,1
"Ames","IA",19,6,0,0,13,1
"Anchorage","AK",56,17,4,3,32,1
"Anderson","IN",22,6,16,0,0,1
"Anderson","SC",46,46,0,0,0,1
"Ann Arbor","MI",23,18,0,0,5,1
"Anniston-Oxford","AL",12,12,0,0,0,1
"Appleton","WI",18,16,2,0,0,1
"Asheville","NC",159,159,0,0,0,1
"Athens-Clarke County","GA",37,37,0,0,0,1
"Atlanta-Sandy Springs-Marietta","GA",2232,1421,0,11,800,1
"Atlantic City-Hammonton","NJ",49,49,0,0,0,1
"Auburn-Opelika","AL",80,80,0,0,0,1
"Augusta-Richmond County","GA-SC",198,164,2,0,32,1
"Austin-Round Rock","TX",1534,855,32,63,584,1
"Bakersfield","CA",267,147,6,32,82,1
"Baltimore-Towson","MD",636,223,0,0,413,1
"Bangor","ME",5,5,0,0,0,1
"Barnstable Town","MA",60,60,0,0,0,1
"Baton Rouge","LA",283,271,0,0,12,1
"Battle Creek","MI",3,3,0,0,0,1
"Bay City","MI",1,1,0,0,0,1
"Beaumont-Port Arthur","TX",221,41,4,0,176,1
"Bellingham","WA",29,13,0,0,16,1
"Bend","OR",40,40,0,0,0,1
"Billings","MT",19,19,0,0,0,1
"Binghamton","NY",3,3,0,0,0,1
"Birmingham-Hoover","AL",262,192,0,0,70,1
"Bismarck","ND",8,8,0,0,0,1
"Bloomington","IN",31,23,8,0,0,1
"Bloomington-Normal","IL",29,15,0,0,14,1
"Boise City-Nampa","ID",233,221,0,12,0,1
"Boston-Cambridge-Quincy","MA-NH",400,254,12,16,118,1
"Boulder","CO",21,11,0,0,10,1
"Bowling Green","KY",32,32,0,0,0,1
"Bradenton-Sarasota-Venice","FL",148,112,2,0,34,1
"Bremerton-Silverdale","WA",45,45,0,0,0,1
"Bridgeport-Stamford-Norwalk","CT",253,79,4,0,170,1
"Brownsville-Harlingen","TX",104,104,0,0,0,1
"Brunswick","GA",38,38,0,0,0,1
"Buffalo-Niagara Falls","NY",46,46,0,0,0,1
"Burlington","NC",75,75,0,0,0,1
"Burlington-South Burlington","VT",25,23,2,0,0,1
"Canton-Massillon","OH",22,22,0,0,0,1
"Cape Coral-Fort Myers","FL",220,102,0,0,118,1
"Carson City","NV",1,1,0,0,0,1
"Casper","WY",23,19,0,4,0,1
"Cedar Rapids","IA",16,13,0,3,0,1
"Champaign-Urbana","IL",37,9,2,0,26,1
"Charleston","WV",16,16,0,0,0,1
"Charleston-North Charleston-Summerville","SC",349,321,0,0,28,1
"Charlotte-Gastonia-Concord","NC-SC",1525,702,0,12,811,1
"Charlottesville","VA",62,62,0,0,0,1
"Chattanooga","TN-GA",123,94,2,0,27,1
"Cheyenne","WY",16,16,0,0,0,1
"Chicago-Naperville-Joliet","IL-IN-WI",2016,592,26,43,1355,1
"Chico","CA",57,53,0,4,0,1
"Cincinnati-Middletown","OH-KY-IN",355,260,10,0,85,1
"Clarksville","TN-KY",98,71,0,27,0,1
"Cleveland","TN",20,18,2,0,0,1
"Cleveland-Elyria-Mentor","OH",177,153,4,0,20,1
"Coeur dAlene","ID",46,34,0,0,12,1
"College Station-Bryan","TX",97,51,32,0,14,1
"Colorado Springs","CO",156,156,0,0,0,1
"Columbia","MO",42,30,0,12,0,1
"Columbia","SC",344,288,0,9,47,1
"Columbus","GA-AL",87,55,2,3,27,1
"Columbus","IN",14,14,0,0,0,1
"Columbus","OH",353,224,10,4,115,1
"Corpus Christi","TX",194,86,0,0,108,1
"Corvallis","OR",0,0,0,0,0,1
"Cumberland","MD-WV",7,7,0,0,0,1
"Dallas-Fort Worth-Arlington","TX",3834,1342,28,67,2397,1
"Dalton","GA",32,23,0,3,6,1
"Danville","IL",0,0,0,0,0,1
"Danville","VA",13,8,0,0,5,1
"Davenport-Moline-Rock Island","IA-IL",14,14,0,0,0,1
"Dayton","OH",70,70,0,0,0,1
"Decatur","AL",7,7,0,0,0,1
"Decatur","IL",0,0,0,0,0,1
"Deltona-Daytona Beach-Ormond Beach","FL",99,68,0,0,31,1
"Denver-Aurora","CO",924,312,6,0,606,1
"Des Moines-West Des Moines","IA",325,104,2,0,219,1
"Detroit-Warren-Livonia","MI",171,148,0,0,23,1
"Dothan","AL",20,20,0,0,0,1
"Dover","DE",100,100,0,0,0,1
"Dubuque","IA",7,7,0,0,0,1
"Duluth","MN-WI",23,13,0,0,10,1
"Durham","NC",230,167,0,0,63,1
"Eau Claire","WI",27,9,2,0,16,1
"El Centro","CA",13,13,0,0,0,1
"El Paso","TX",305,175,2,128,0,1
"Elizabethtown","KY",23,23,0,0,0,1
"Elkhart-Goshen","IN",28,28,0,0,0,1
"Elmira","NY",0,0,0,0,0,1
"Erie","PA",9,9,0,0,0,1
"Eugene-Springfield","OR",47,45,2,0,0,1
"Evansville","IN-KY",45,28,0,7,10,1
"Fairbanks","AK",9,7,2,0,0,1
"Fargo","ND-MN",5,5,0,0,0,1
"Farmington","NM",20,20,0,0,0,1
"Fayetteville","NC",113,107,0,0,6,1
"Fayetteville-Springdale-Rogers","AR-MO",166,127,12,0,27,1
"Flagstaff","AZ",29,29,0,0,0,1
"Flint","MI",8,8,0,0,0,1
