"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX",5150,5150,0,0,0,1
"Akron","OH",17081,16445,0,69,567,1
"Albany","GA",5707,5215,255,237,0,1
"Albany-Schenectady-Troy","NY",16340,13018,800,0,2522,1
"Albuquerque","NM",61891,60528,0,310,1053,1
"Alexandria","LA",7011,7011,0,0,0,1
"Allentown-Bethlehem-Easton","PA-NJ",41998,40948,0,0,1050,1
"Altoona","PA",425,425,0,0,0,1
"Amarillo","TX",16140,16140,0,0,0,1
"Ames","IA",3063,1973,0,0,1090,1
"Anchorage","AK",11158,8076,1540,1542,0,1
"Anderson","IN",3369,3369,0,0,0,1
"Anderson","SC",12381,12381,0,0,0,1
"Ann Arbor","MI",8386,8084,0,0,302,1
"Anniston-Oxford","AL",2523,2523,0,0,0,1
"Appleton","WI",7288,7038,250,0,0,1
"Asheville","NC",49712,47327,166,1367,852,1
"Athens-Clarke County","GA",16374,16374,0,0,0,1
"Atlanta-Sandy Springs-Marietta","GA",814322,667397,1093,8430,137402,1
"Atlantic City","NJ",29230,27458,514,1258,0,1
"Auburn-Opelika","AL",25730,24956,774,0,0,1
"Augusta-Richmond County","GA-SC",40137,40137,0,0,0,1
"Austin-Round Rock","TX",263880,243615,1359,8667,10239,1
"Bakersfield","CA",55304,53760,227,813,504,1
"Baltimore-Towson","MD",83116,77654,157,0,5305,1
"Bangor","ME",2411,2141,270,0,0,1
"Barnstable Town","MA",15661,13550,0,609,1502,1
"Baton Rouge","LA",40847,38303,0,197,2347,1
"Battle Creek","MI",1099,1099,0,0,0,1
"Bay City","MI",630,630,0,0,0,1
"Beaumont-Port Arthur","TX",7271,5050,0,0,2221,1
"Bellingham","WA",14225,14225,0,0,0,1
"Bend","OR",52698,51941,757,0,0,1
"Billings","MT",6182,6182,0,0,0,1
"Binghamton","NY",0,0,0,0,0,1
"Birmingham-Hoover","AL",113069,106955,400,0,5714,1
"Bismarck","ND",2659,2208,0,451,0,1
"Bloomington","IN",6677,4220,1079,237,1141,1
"Bloomington-Normal","IL",5467,5181,0,0,286,1
"Boise City-Nampa","ID",135023,133115,162,1746,0,1
"Boston-Cambridge-Quincy","MA-NH",142323,104230,5238,1190,31665,1
"Boulder","CO",11769,11402,0,0,367,1
"Bowling Green","KY",11266,8367,100,501,2298,1
"Bremerton-Silverdale","WA",13584,13194,390,0,0,1
"Bridgeport-Stamford-Norwalk","CT",33112,32269,435,0,408,1
"Brownsville-Harlingen","TX",28287,19625,235,194,8233,1
"Brunswick","GA",15828,13226,0,0,2602,1
"Buffalo-Niagara Falls","NY",14183,14183,0,0,0,1
"Burlington","NC",17783,11836,0,0,5947,1
"Burlington-South Burlington","VT",5806,4973,540,293,0,1
"Canton-Massillon","OH",11139,10900,0,0,239,1
"Cape Coral-Fort Myers","FL",334540,287717,0,6347,40476,1
"Carson City","NV",913,913,0,0,0,1
"Casper","WY",2805,2805,0,0,0,1
"Cedar Rapids","IA",5319,4750,0,569,0,1
"Champaign-Urbana","IL",4928,4928,0,0,0,1
"Charleston","WV",2551,2551,0,0,0,1
"Charleston-North Charleston","SC",114900,105942,0,815,8143,1
"Charlotte-Gastonia-Concord","NC-SC",257101,254783,200,613,1505,1
"Charlottesville","VA",23766,20285,257,232,2992,1
"Chattanooga","TN-GA",35098,34524,179,0,395,1
"Cheyenne","WY",7533,6979,0,261,293,1
"Chicago-Naperville-Joliet","IL-IN-WI",582672,427214,5990,19187,130281,1
"Chico","CA",7886,7011,875,0,0,1
"Cincinnati-Middletown","OH-KY-IN",111573,104069,387,1749,5368,1
"Clarksville","TN-KY",13359,13074,0,0,285,1
"Cleveland","TN",7819,7469,180,170,0,1
"Cleveland-Elyria-Mentor","OH",58689,55622,0,3067,0,1
"Coeur dAlene","ID",25477,24072,1405,0,0,1
"College Station-Bryan","TX",16517,13817,0,0,2700,1
"Colorado Springs","CO",64690,63748,150,792,0,1
