"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month","Year"
"Abilene","TX MSA",16,16,0,0,0,1,2000
"Albany","GA MSA",138,42,0,0,96,1,2000
"Albany-Schenectady-Troy","NY MSA",85,75,0,0,10,1,2000
"Albuquerque","NM MSA",371,337,0,4,30,1,2000
"Alexandria","LA MSA",29,29,0,0,0,1,2000
"Allentown-Bethlehem-Easton","PA MSA",98,70,0,4,24,1,2000
"Altoona","PA MSA",4,4,0,0,0,1,2000
"Amarillo","TX MSA",40,40,0,0,0,1,2000
"Anchorage","AK MSA",43,39,4,0,0,1,2000
"Anniston","AL MSA",19,13,0,0,6,1,2000
"Appleton-Oshkosh-Neenah","WI MSA",93,71,8,0,14,1,2000
"Asheville","NC MSA",109,77,4,0,28,1,2000
"Athens","GA MSA",95,65,30,0,0,1,2000
"Atlanta","GA MSA",5019,3447,28,0,1544,1,2000
"Augusta-Aiken","GA-SC MSA",176,170,0,0,6,1,2000
"Austin-San Marcos","TX MSA",1267,600,2,16,649,1,2000
"Bakersfield","CA MSA",215,188,0,7,20,1,2000
"Bangor","ME MSA",9,9,0,0,0,1,2000
"Barnstable-Yarmouth","MA MSA",104,92,0,0,12,1,2000
"Baton Rouge","LA MSA",134,101,0,0,33,1,2000
"Beaumont-Port Arthur","TX MSA",37,37,0,0,0,1,2000
"Bellingham","WA MSA",70,61,4,0,5,1,2000
"Benton Harbor","MI MSA",2,2,0,0,0,1,2000
"Billings","MT MSA",14,14,0,0,0,1,2000
"Biloxi-Gulfport-Pascagoula","MS MSA",154,154,0,0,0,1,2000
"Binghamton","NY MSA",4,4,0,0,0,1,2000
"Birmingham","AL MSA",327,327,0,0,0,1,2000
"Bismarck","ND MSA",1,1,0,0,0,1,2000
"Bloomington","IN MSA",45,35,2,8,0,1,2000
"Bloomington-Normal","IL MSA",61,43,0,0,18,1,2000
"Boise City","ID MSA",384,371,0,13,0,1,2000
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",995,817,40,31,107,1,2000
"Brownsville-Harlingen-San Benito","TX MSA",145,128,4,7,6,1,2000
"Bryan-College Station","TX MSA",75,41,34,0,0,1,2000
"Buffalo-Niagara Falls","NY MSA",135,85,4,0,46,1,2000
"Burlington","VT MSA",38,28,4,0,6,1,2000
"Canton-Massillon","OH MSA",58,56,2,0,0,1,2000
"Casper","WY MSA",7,7,0,0,0,1,2000
"Cedar Rapids","IA MSA",58,22,12,4,20,1,2000
"Champaign-Urbana","IL MSA",25,13,0,0,12,1,2000
"Charleston-North Charleston","SC MSA",363,290,8,0,65,1,2000
"Charleston","WV MSA",23,23,0,0,0,1,2000
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1811,1107,26,4,674,1,2000
"Charlottesville","VA MSA",86,84,2,0,0,1,2000
"Chattanooga","TN-GA MSA",159,152,2,0,5,1,2000
"Cheyenne","WY MSA",33,22,2,0,9,1,2000
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",1999,1648,14,89,248,1,2000
"Chico-Paradise","CA MSA",70,70,0,0,0,1,2000
"Cincinnati-Hamilton","OH-KY- IN CMSA",704,633,2,14,55,1,2000
"Clarksville-Hopkinsville","TN-KY MSA",100,67,2,8,23,1,2000
"Cleveland-Akron","OH CMSA",558,455,8,14,81,1,2000
"Colorado Springs","CO MSA",320,274,2,12,32,1,2000
"Columbia","MO MSA",58,56,2,0,0,1,2000
"Columbia","SC MSA",299,299,0,0,0,1,2000
"Columbus","GA-AL MSA",80,74,2,4,0,1,2000
"Columbus","OH MSA",796,576,12,23,185,1,2000
"Corpus Christi","TX MSA",117,51,4,56,6,1,2000
"Cumberland","MD-WV MSA",10,10,0,0,0,1,2000
"Dallas-Fort Worth","TX CMSA",2858,2355,10,0,493,1,2000
"Danville","VA MSA",19,19,0,0,0,1,2000
"Davenport-Moline-Rock Island","IA-IL MSA",47,41,0,0,6,1,2000
"Dayton-Springfield","OH MSA",88,84,0,4,0,1,2000
"Daytona Beach","FL MSA",511,323,10,3,175,1,2000
