"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","10",10,0,0,0,0
"2","Albany* GA MSA","31",31,0,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","179",160,2,0,17,2
"4","Albuquerque* NM MSA","408",396,0,12,0,0
"5","Alexandria* LA MSA","27",27,0,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","172",160,0,12,0,0
"7","Altoona* PA MSA","7",7,0,0,0,0
"8","Amarillo* TX MSA","34",34,0,0,0,0
"9","Anchorage* AK MSA","141",79,12,0,50,5
"10","Anniston* AL MSA","57",10,0,0,47,8
"11","Appleton-Oshkosh-Neenah* WI  MSA","192",102,16,3,71,9
"12","Asheville* NC MSA","91",87,4,0,0,0
"13","Athens* GA MSA","63",61,2,0,0,0
"14","Atlanta  GA MSA","4763",3624,12,8,1119,32
"15","Auburn-Opelika* AL MSA","23",20,0,3,0,0
"16","Augusta-Aiken* GA-SC MSA","163",153,0,0,10,1
"17","Austin-San Marcos* TX MSA","1854",792,20,28,1014,47
"18","Bakersfield* CA MSA","244",244,0,0,0,0
"19","Bangor* ME MSA","15",15,0,0,0,0
"20","Barnstable-Yarmouth* MA MSA","75",75,0,0,0,0
"21","Baton Rouge* LA MSA","119",103,0,0,16,2
"22","Beaumont-Port Arthur* TX MSA","39",35,4,0,0,0
"23","Bellingham* WA MSA","121",80,4,3,34,2
"24","Benton Harbor* MI MSA","5",5,0,0,0,0
"25","Billings* MT MSA","37",37,0,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","189",177,0,0,12,1
"27","Binghamton* NY MSA","4",4,0,0,0,0
"28","Birmingham* AL MSA","289",289,0,0,0,0
"29","Bismarck* ND MSA","46",38,4,4,0,0
"30","Bloomington* IN MSA","37",27,0,0,10,2
"31","Bloomington-Normal* IL MSA","49",47,2,0,0,0
"32","Boise City* ID MSA","527",491,0,36,0,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1323",1124,56,25,118,15
"34","Brownsville-Harlingen-San  Benito* TX MSA","180",125,4,7,44,2
"35","Bryan-College Station* TX MSA","45",45,0,0,0,0
"36","Buffalo-Niagara Falls* NY MSA","185",131,2,0,52,4
"37","Burlington* VT MSA","39",39,0,0,0,0
"38","Canton-Massillon* OH MSA","84",82,2,0,0,0
"39","Casper* WY MSA","11",11,0,0,0,0
"40","Cedar Rapids* IA MSA","143",96,6,19,22,2
"41","Champaign-Urbana* IL MSA","119",29,0,0,90,3
"42","Charleston-North  Charleston* SC MSA","549",243,2,0,304,41
"43","Charleston* WV MSA","26",26,0,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","1492",1083,12,8,389,30
"45","Charlottesville* VA MSA","95",95,0,0,0,0
"46","Chattanooga* TN-GA MSA","165",152,2,3,8,1
"47","Cheyenne* WY MSA","23",23,0,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","3717",2704,52,132,829,61
