"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","14",12,2,0,0,0
"2","Albany* GA MSA","42",42,0,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","86",79,2,0,5,1
"4","Albuquerque* NM MSA","523",197,0,0,326,2
"5","Alexandria* LA MSA","17",17,0,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","144",129,0,0,15,1
"7","Altoona* PA MSA","4",4,0,0,0,0
"8","Amarillo* TX MSA","45",45,0,0,0,0
"9","Anchorage* AK MSA","96",50,46,0,0,0
"10","Anniston* AL MSA","16",11,0,0,5,1
"11","Appleton-Oshkosh-Neenah* WI  MSA","109",83,10,0,16,1
"12","Asheville* NC MSA","163",81,0,8,74,1
"13","Athens* GA MSA","98",84,14,0,0,0
"14","Atlanta  GA MSA","5534",3849,8,34,1643,59
"15","Auburn-Opelika* AL MSA","184",30,8,0,146,4
"16","Augusta-Aiken* GA-SC MSA","171",171,0,0,0,0
"17","Austin-San Marcos* TX MSA","825",678,10,0,137,7
"18","Bakersfield* CA MSA","233",233,0,0,0,0
"19","Bangor* ME MSA","4",4,0,0,0,0
"20","Barnstable-Yarmouth* MA MSA","74",74,0,0,0,0
"21","Baton Rouge* LA MSA","101",101,0,0,0,0
"22","Beaumont-Port Arthur* TX MSA","30",30,0,0,0,0
"23","Bellingham* WA MSA","128",74,2,3,49,3
"24","Benton Harbor* MI MSA","9",9,0,0,0,0
"25","Billings* MT MSA","31",31,0,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","146",144,2,0,0,0
"27","Binghamton* NY MSA","2",2,0,0,0,0
"28","Birmingham* AL MSA","308",308,0,0,0,0
"29","Bismarck* ND MSA","5",5,0,0,0,0
"30","Bloomington* IN MSA","40",32,8,0,0,0
"31","Bloomington-Normal* IL MSA","60",60,0,0,0,0
"32","Boise City* ID MSA","437",385,12,4,36,2
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1095",811,22,3,259,26
"34","Brownsville-Harlingen-San  Benito* TX MSA","165",137,4,15,9,1
"35","Bryan-College Station* TX MSA","61",61,0,0,0,0
"36","Buffalo-Niagara Falls* NY MSA","102",86,2,0,14,2
"37","Burlington* VT MSA","49",44,2,3,0,0
"38","Canton-Massillon* OH MSA","54",54,0,0,0,0
"39","Casper* WY MSA","10",10,0,0,0,0
"40","Cedar Rapids* IA MSA","62",32,2,4,24,2
"41","Champaign-Urbana* IL MSA","10",10,0,0,0,0
"42","Charleston-North  Charleston* SC MSA","391",379,0,4,8,1
"43","Charleston* WV MSA","29",24,0,0,5,1
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","2277",1513,18,55,691,87
"45","Charlottesville* VA MSA","107",97,10,0,0,0
"46","Chattanooga* TN-GA MSA","173",156,8,3,6,1
"47","Cheyenne* WY MSA","12",12,0,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","2843",1694,36,118,995,42
"49","Chico-Paradise* CA MSA","88",62,8,13,5,1
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","714",649,10,7,48,7
"51","Clarksville-Hopkinsville*  TN-KY MSA","107",81,0,4,22,2
"52","Cleveland-Akron  OH CMSA","536",490,4,13,29,3
"53","Colorado Springs* CO MSA","608",382,2,4,220,7
"54","Columbia* MO MSA","53",51,2,0,0,0
"55","Columbia* SC MSA","324",322,2,0,0,0
"56","Columbus* GA-AL MSA","96",88,0,8,0,0
"57","Columbus  OH MSA","867",528,10,17,312,30
"58","Corpus Christi* TX MSA","74",52,2,12,8,1
"59","Corvallis OR MSA*","72",17,6,0,49,5
"60","Cumberland* MD-WV MSA","9",9,0,0,0,0
"61","Dallas-Fort Worth  TX CMSA","3712",2777,18,11,906,62
"62","Danville* VA MSA","23",23,0,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","23",23,0,0,0,0
"64","Dayton-Springfield* OH MSA","122",116,2,4,0,0
"65","Daytona Beach* FL MSA","360",290,22,0,48,2
"66","Decatur* Al MSA","28",23,0,0,5,1
"67","Decatur* IL MSA","1",1,0,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","2394",1726,76,22,570,55
"69","Des Moines* IA MSA","145",108,4,4,29,2
"70","Detroit-Ann Arbor-Flint  MI  CMSA","1386",1100,20,45,221,22
"71","Dothan* AL MSA","19",19,0,0,0,0
"72","Dover* DE MSA","48",48,0,0,0,0
"73","Dubuque* IA MSA","13",9,0,4,0,0
"74","Duluth-Superior* MN-WI MSA","39",39,0,0,0,0
"75","Eau Claire* WI MSA","21",13,0,0,8,1
"76","El Paso* TX MSA","398",398,0,0,0,0
"77","Elkhart-Goshen* IN MSA","48",48,0,0,0,0
"78","Elmira* NY MSA","12",2,0,0,10,2
"79","Enid* OK MSA","0",0,0,0,0,0
"80","Erie* PA MSA","31",17,0,8,6,1
"81","Eugene-Springfield* OR MSA","90",84,6,0,0,0
"82","Evansville-Henderson* IN-KY  MSA","80",71,4,0,5,1
"83","Fargo-Moorhead* ND-MN MSA","16",4,0,0,12,1
"84","Fayetteville* NC MSA","68",68,0,0,0,0
"85","Fayetteville-Springdale-  Rogers* AR MSA","132",125,4,3,0,0
"86","Flagstaff* AZ-UT MSA","31",31,0,0,0,0
"87","Florence* AL MSA","3",3,0,0,0,0
"88","Florence* SC MSA","53",43,0,0,10,2
"89","Fort Collins-Loveland* CO MSA","314",206,6,4,98,7
"90","Fort Myers-Cape Coral* FL MSA","609",384,22,34,169,12
"91","Fort Pierce-Port St. Lucie*  FL MSA","226",218,2,0,6,1
"92","Fort Smith* AR-OK MSA","23",20,0,3,0,0
"93","Fort Walton Beach* FL MSA","116",100,2,3,11,1
"94","Fort Wayne* IN MSA","98",98,0,0,0,0
"95","Fresno  CA MSA","234",232,2,0,0,0
