"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","11",11,0,0,0,0
"2","Albany* GA MSA","43",43,0,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","196",145,0,0,51,6
"4","Albuquerque* NM MSA","591",591,0,0,0,0
"5","Alexandria* LA MSA","30",30,0,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","202",190,0,3,9,1
"7","Altoona* PA MSA","3",3,0,0,0,0
"8","Amarillo* TX MSA","34",34,0,0,0,0
"9","Anchorage* AK MSA","229",139,84,0,6,1
"10","Anniston* AL MSA","22",22,0,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","331",124,8,7,192,20
"12","Asheville* NC MSA","118",86,14,0,18,2
"13","Athens* GA MSA","97",73,24,0,0,0
"14","Atlanta  GA MSA","5520",3904,8,20,1588,91
"15","Auburn-Opelika* AL MSA","25",23,2,0,0,0
"16","Augusta-Aiken* GA-SC MSA","221",221,0,0,0,0
"17","Austin-San Marcos* TX MSA","533",480,6,34,13,2
"18","Bakersfield* CA MSA","238",226,2,4,6,1
"19","Bangor* ME MSA","21",21,0,0,0,0
"20","Barnstable-Yarmouth* MA MSA","166",122,2,0,42,1
"21","Baton Rouge* LA MSA","176",98,2,4,72,9
"22","Beaumont-Port Arthur* TX MSA","38",38,0,0,0,0
"23","Bellingham* WA MSA","145",111,8,3,23,2
"24","Benton Harbor* MI MSA","19",19,0,0,0,0
"25","Billings* MT MSA","56",56,0,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","181",139,2,0,40,1
"27","Binghamton* NY MSA","11",11,0,0,0,0
"28","Birmingham* AL MSA","390",361,0,0,29,2
"29","Bismarck* ND MSA","44",38,2,4,0,0
"30","Bloomington* IN MSA","60",47,4,4,5,1
"31","Bloomington-Normal* IL MSA","148",84,0,0,64,4
"32","Boise City* ID MSA","455",443,8,4,0,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1720",1180,48,67,425,22
"34","Brownsville-Harlingen-San  Benito* TX MSA","238",219,6,8,5,1
"35","Bryan-College Station* TX MSA","63",55,8,0,0,0
"36","Buffalo-Niagara Falls* NY MSA","198",167,0,0,31,2
"37","Burlington* VT MSA","180",67,6,19,88,8
"38","Canton-Massillon* OH MSA","94",89,0,0,5,1
"39","Casper* WY MSA","13",13,0,0,0,0
"40","Cedar Rapids* IA MSA","103",91,0,12,0,0
"41","Champaign-Urbana* IL MSA","29",25,0,4,0,0
"42","Charleston-North  Charleston* SC MSA","397",310,4,10,73,9
"43","Charleston* WV MSA","38",35,0,3,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","1653",1353,6,4,290,30
"45","Charlottesville* VA MSA","98",91,2,0,5,1
"46","Chattanooga* TN-GA MSA","192",178,2,7,5,1
"47","Cheyenne* WY MSA","23",23,0,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","3896",2945,74,157,720,54
"49","Chico-Paradise* CA MSA","115",115,0,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","1160",914,36,13,197,21
"51","Clarksville-Hopkinsville*  TN-KY MSA","109",81,0,4,24,3
"52","Cleveland-Akron  OH CMSA","919",859,14,25,21,3
"53","Colorado Springs* CO MSA","700",504,0,0,196,21
"54","Columbia* MO MSA","105",73,4,4,24,1
"55","Columbia* SC MSA","244",244,0,0,0,0
"56","Columbus* GA-AL MSA","482",83,0,0,399,7
"57","Columbus  OH MSA","1419",952,8,133,326,25
"58","Corpus Christi* TX MSA","111",94,2,15,0,0
"59","Corvallis OR MSA*","19",17,2,0,0,0
"60","Cumberland* MD-WV MSA","14",14,0,0,0,0
"61","Dallas-Fort Worth  TX CMSA","4484",3271,14,4,1195,62
"62","Danville* VA MSA","14",14,0,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","46",44,2,0,0,0
"64","Dayton-Springfield* OH MSA","238",199,2,28,9,1
"65","Daytona Beach* FL MSA","517",430,12,0,75,6
"66","Decatur* Al MSA","22",22,0,0,0,0
"67","Decatur* IL MSA","18",18,0,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","3098",1588,14,42,1454,60
"69","Des Moines* IA MSA","204",198,2,4,0,0
"70","Detroit-Ann Arbor-Flint  MI  CMSA","2901",1932,28,39,902,50
"71","Dothan* AL MSA","33",33,0,0,0,0
"72","Dover* DE MSA","84",84,0,0,0,0
"73","Dubuque* IA MSA","25",21,4,0,0,0
"74","Duluth-Superior* MN-WI MSA","65",60,2,3,0,0
"75","Eau Claire* WI MSA","116",94,22,0,0,0
"76","El Paso* TX MSA","333",331,2,0,0,0
"77","Elkhart-Goshen* IN MSA","131",107,0,0,24,1
"78","Elmira* NY MSA","4",4,0,0,0,0
"79","Enid* OK MSA","5",3,2,0,0,0
"80","Erie* PA MSA","28",28,0,0,0,0
"81","Eugene-Springfield* OR MSA","108",104,4,0,0,0
"82","Evansville-Henderson* IN-KY  MSA","102",102,0,0,0,0
"83","Fargo-Moorhead* ND-MN MSA","68",60,2,0,6,1
"84","Fayetteville* NC MSA","85",82,0,3,0,0
"85","Fayetteville-Springdale-  Rogers* AR MSA","218",206,0,12,0,0
"86","Flagstaff* AZ-UT MSA","156",156,0,0,0,0
"87","Florence* AL MSA","10",10,0,0,0,0
"88","Florence* SC MSA","52",46,0,0,6,1
"89","Fort Collins-Loveland* CO MSA","282",238,0,4,40,4
"90","Fort Myers-Cape Coral* FL MSA","813",532,46,54,181,14
"91","Fort Pierce-Port St. Lucie*  FL MSA","320",300,4,8,8,1
"92","Fort Smith* AR-OK MSA","49",39,2,8,0,0
"93","Fort Walton Beach* FL MSA","95",87,0,0,8,1
"94","Fort Wayne* IN MSA","223",214,4,0,5,1
"95","Fresno  CA MSA","276",267,4,0,5,1
"96","Gadsden* AL MSA","7",7,0,0,0,0
"97","Gainesville* FL MSA","132",81,2,4,45,4
"98","Glens Falls* NY MSA","39",37,2,0,0,0
"99","Goldsboro* NC MSA","32",32,0,0,0,0
"100","Grand Forks* ND-MN MSA","27",9,2,0,16,1
"101","Grand Junction* CO MSA","110",110,0,0,0,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","686",561,26,10,89,11
"103","Great Falls* MT MSA","7",7,0,0,0,0
"104","Green Bay* WI MSA","211",71,6,0,134,10
"105","Greensboro--Winston-Salem--  High Point  NC MSA","799",690,8,12,89,7
"106","Greenville* NC MSA","85",53,8,0,24,1
"107","Greenville-Spartanburg-  Anderson* SC MSA","498",464,14,0,20,2
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","169",169,0,0,0,0
"109","Hartford* CT MSA","387",334,20,7,26,5
"110","Hattiesburg* MS MSA","23",10,0,0,13,2
"111","Hickory-Morganton-Lenoir*  NC MSA","144",144,0,0,0,0
"112","Honolulu  HI MSA","128",122,0,0,6,1
"113","Houma* LA MSA","70",70,0,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","3201",2584,4,8,605,14
"115","Huntington-Ashland* WV-KY-  OH MSA","3",3,0,0,0,0
"116","Huntsville* AL MSA","266",86,0,0,180,9
"117","Indianapolis  IN MSA","1318",1254,54,0,10,2
"118","Iowa City* IA MSA","24",24,0,0,0,0
"119","Jackson* MI MSA","19",19,0,0,0,0
"120","Jackson* MS MSA","187",187,0,0,0,0
"121","Jackson* TN MSA","44",44,0,0,0,0
"122","Jacksonville  FL MSA","1443",1206,2,0,235,18
"123","Jacksonville* NC MSA","49",39,0,4,6,1
"124","Jamestown* NY MSA","2",2,0,0,0,0
"125","Janesville-Beloit* WI MSA","41",26,2,3,10,2
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","79",77,2,0,0,0
"127","Johnstown* PA MSA","3",3,0,0,0,0
"128","Jonesboro* AR MSA","22",22,0,0,0,0
"129","Joplin* MO MSA","12",12,0,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","91",77,0,0,14,2
"131","Kansas City  MO-KS MSA","1153",811,28,10,304,16
"132","Killeen-Temple* TX MSA","202",132,22,48,0,0
"133","Knoxville* TN MSA","331",296,0,7,28,3
"134","Kokomo* IN MSA","48",39,4,0,5,1
"135","La Crosse* WI-MN MSA","27",27,0,0,0,0
"136","Lafayette* LA MSA","82",82,0,0,0,0
"137","Lafayette* IN MSA","92",81,0,4,7,1
"138","Lake Charles* LA MSA","75",75,0,0,0,0
"139","Lakeland-Winter Haven* FL MSA","524",306,2,0,216,15
"140","Lancaster* PA MSA","103",94,0,4,5,1
"141","Lansing-East Lansing* MI MSA","105",105,0,0,0,0
"142","Laredo* TX MSA","162",128,0,6,28,1
