"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","18",18,0,0,0,0
"2","Albany* GA MSA","45",43,2,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","188",166,0,3,19,3
"4","Albuquerque* NM MSA","628",608,0,20,0,0
"5","Alexandria* LA MSA","32",32,0,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","223",168,4,3,48,4
"7","Altoona* PA MSA","2",2,0,0,0,0
"8","Amarillo* TX MSA","67",67,0,0,0,0
"9","Anchorage* AK MSA","181",80,60,29,12,2
"10","Anniston* AL MSA","29",27,2,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","251",136,16,4,95,11
"12","Asheville* NC MSA","173",159,0,4,10,1
"13","Athens* GA MSA","92",92,0,0,0,0
"14","Atlanta  GA MSA","4639",4424,4,15,196,16
"15","Auburn-Opelika* AL MSA","43",43,0,0,0,0
"16","Augusta-Aiken* GA-SC MSA","220",220,0,0,0,0
"17","Austin-San Marcos* TX MSA","834",561,12,3,258,21
"18","Bakersfield* CA MSA","389",389,0,0,0,0
"19","Bangor* ME MSA","22",22,0,0,0,0
"20","Barnstable-Yarmouth* MA MSA","86",81,0,0,5,1
"21","Baton Rouge* LA MSA","221",109,0,0,112,7
"22","Beaumont-Port Arthur* TX MSA","32",32,0,0,0,0
"23","Bellingham* WA MSA","114",87,6,3,18,1
"24","Benton Harbor* MI MSA","20",20,0,0,0,0
"25","Billings* MT MSA","68",60,0,0,8,1
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","193",193,0,0,0,0
"27","Binghamton* NY MSA","10",8,2,0,0,0
"28","Birmingham* AL MSA","412",401,0,0,11,1
"29","Bismarck* ND MSA","70",64,2,4,0,0
"30","Bloomington* IN MSA","51",51,0,0,0,0
"31","Bloomington-Normal* IL MSA","86",64,6,0,16,2
"32","Boise City* ID MSA","497",450,8,34,5,1
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1593",1201,56,47,289,22
"34","Brownsville-Harlingen-San  Benito* TX MSA","247",202,4,36,5,1
"35","Bryan-College Station* TX MSA","88",74,2,0,12,2
"36","Buffalo-Niagara Falls* NY MSA","237",175,6,12,44,5
"37","Burlington* VT MSA","59",47,4,3,5,1
"38","Canton-Massillon* OH MSA","86",78,8,0,0,0
"39","Casper* WY MSA","12",12,0,0,0,0
"40","Cedar Rapids* IA MSA","241",68,4,4,165,5
"41","Champaign-Urbana* IL MSA","76",76,0,0,0,0
"42","Charleston-North  Charleston* SC MSA","422",362,4,7,49,8
"43","Charleston* WV MSA","30",24,6,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","1920",1579,10,12,319,27
"45","Charlottesville* VA MSA","131",103,2,0,26,2
"46","Chattanooga* TN-GA MSA","227",213,6,3,5,1
"47","Cheyenne* WY MSA","32",32,0,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","3562",2990,72,134,366,41
"49","Chico-Paradise* CA MSA","116",96,0,20,0,0
