"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","21",19,2,0,0,0
"2","Albany* GA MSA","53",47,6,0,0,0
"3","Albany-Schenectady-Troy* NY MSA","194",176,2,0,16,2
"4","Albuquerque* NM MSA","693",570,0,13,110,6
"5","Alexandria* LA MSA","29",29,0,0,0,0
"6","Allentown-Bethlehem-Easton* PA MSA","235",220,0,15,0,0
"7","Altoona* PA MSA","6",6,0,0,0,0
"8","Amarillo* TX MSA","56",56,0,0,0,0
"9","Anchorage* AK MSA","531",189,248,94,0,0
"10","Anniston* AL MSA","21",21,0,0,0,0
"11","Appleton-Oshkosh-Neenah* WI MSA","281",186,14,3,78,7
"12","Asheville* NC MSA","177",147,8,8,14,2
"13","Athens* GA MSA","80",80,0,0,0,0
"14","Atlanta* GA MSA","4831",4622,26,14,169,7
"15","Auburn-Opelika* AL MSA","110",39,8,4,59,6
"16","Augusta-Aiken* GA-SC MSA","311",311,0,0,0,0
"17","Austin-San Marcos* TX MSA","961",646,14,0,301,14
"18","Bakersfield* CA MSA","484",484,0,0,0,0
"19","Bangor* ME MSA","41",37,4,0,0,0
"20","Barnstable-Yarmouth* MA MSA","71",71,0,0,0,0
"21","Baton Rouge* LA MSA","523",152,0,12,359,10
"22","Beaumont-Port Arthur* TX MSA","68",68,0,0,0,0
"23","Bellingham* WA MSA","232",133,4,0,95,8
"24","Benton Harbor* MI MSA","11",11,0,0,0,0
"25","Billings* MT MSA","140",70,0,0,70,2
"26","Biloxi-Gulfport-Pascagoula* MS MSA","207",207,0,0,0,0
"27","Binghamton* NY MSA","8",8,0,0,0,0
"28","Birmingham* AL MSA","466",454,0,0,12,2
"29","Bismarck* ND MSA","81",67,2,12,0,0
"30","Bloomington* IN MSA","97",59,18,3,17,1
"31","Bloomington-Normal* IL MSA","76",68,0,0,8,1
"32","Boise City* ID MSA","655",583,8,64,0,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1517",1082,112,45,278,18
"34","Brownsville-Harlingen-San Benito*  TX MSA","308",273,4,19,12,2
"35","Bryan-College Station* TX MSA","206",128,44,0,34,2
"36","Buffalo-Niagara Falls* NY MSA","302",203,0,0,99,1
"37","Burlington* VT MSA","57",41,4,7,5,1
"38","Canton-Massillon* OH MSA","114",114,0,0,0,0
"39","Casper* WY MSA","17",17,0,0,0,0
"40","Cedar Rapids* IA MSA","357",94,10,16,237,25
"41","Champaign-Urbana* IL MSA","101",73,6,0,22,1
"42","Charleston* WV MSA","18",18,0,0,0,0
"43","Charleston-North Charleston* SC MSA","651",571,2,11,67,7
"44","Charlotte-Gastonia-Rock Hill*  NC-SC MSA","1878",1472,32,7,367,19
"45","Charlottesville* VA MSA","162",116,0,0,46,3
"46","Chattanooga* TN-GA MSA","256",229,6,3,18,3
"47","Cheyenne* WY MSA","39",39,0,0,0,0
"48","Chicago-Gary-Kenosha IL-IN-WI CMSA","4154",3091,100,147,816,57
"49","Chico-Paradise* CA MSA","112",109,0,3,0,0
"50","Cincinnati-Hamilton OH-KY-IN CMSA","1316",1027,8,37,244,18
"51","Clarksville-Hopkinsville* TN-KY MSA","146",140,6,0,0,0
"52","Cleveland-Akron OH CMSA","887",818,14,40,15,3
"53","Colorado Springs* CO MSA","433",433,0,0,0,0
"54","Columbia* MO MSA","201",187,14,0,0,0
"55","Columbia* SC MSA","448",422,2,0,24,2
"56","Columbus* GA-AL MSA","113",109,0,4,0,0
"57","Columbus* OH MSA","1510",1057,12,105,336,26
"58","Corpus Christi* TX MSA","130",117,4,9,0,0
"59","Corvallis* OR MSA","26",26,0,0,0,0
"60","Cumberland* MD-WV MSA","23",23,0,0,0,0
"61","Dallas-Fort Worth TX CMSA","4540",3629,24,19,868,55
"62","Danville* VA MSA","26",21,0,0,5,1
"63","Davenport-Moline-Rock Island*  IA-IL MSA","61",59,2,0,0,0
"64","Dayton-Springfield* OH MSA","359",215,4,40,100,2
"65","Daytona Beach* FL MSA","732",672,32,0,28,2
"66","Decatur* Al MSA","49",49,0,0,0,0
"67","Decatur* IL MSA","21",21,0,0,0,0
"68","Denver-Boulder-Greeley CO CMSA","2098",1646,42,19,391,26
"69","Des Moines* IA MSA","394",386,0,0,8,1
"70","Detroit-Ann Arbor-Flint MI CMSA","2655",2099,52,12,492,33
"71","Dothan* AL MSA","34",34,0,0,0,0
"72","Dover* DE MSA","228",224,4,0,0,0
"73","Dubuque* IA MSA","42",33,4,0,5,1
"74","Duluth-Superior* MN-WI MSA","79",67,12,0,0,0
"75","Eau Claire* WI MSA","114",100,14,0,0,0
"76","El Paso* TX MSA","337",320,4,8,5,1
"77","Elkhart-Goshen* IN MSA","126",110,8,8,0,0
"78","Elmira* NY MSA","9",4,0,0,5,1
"79","Enid* OK MSA","9",9,0,0,0,0
"80","Erie* PA MSA","49",35,2,0,12,2
"81","Eugene-Springfield* OR MSA","104",96,8,0,0,0
"82","Evansville-Henderson* IN-KY MSA","140",136,4,0,0,0
"83","Fargo-Moorhead* ND-MN MSA","408",139,0,7,262,11
"84","Fayetteville* NC MSA","126",122,0,4,0,0
"85","Fayetteville-Springdale-Rogers*  AR MSA","827",253,2,24,548,45
"86","Flagstaff* AZ MSA","62",62,0,0,0,0
"87","Florence* AL MSA","11",11,0,0,0,0
"88","Florence* SC MSA","51",46,0,0,5,1
"89","Fort Collins-Loveland* CO MSA","236",194,8,15,19,3
"90","Fort Myers-Cape Coral* FL MSA","1251",787,88,104,272,21
"91","Fort Pierce-Port St. Lucie* FL MSA","952",670,0,0,282,16
"92","Fort Smith* AR-OK MSA","177",45,0,56,76,7
"93","Fort Walton Beach* FL MSA","178",157,0,0,21,1
"94","Fort Wayne* IN MSA","292",274,0,0,18,2
"95","Fresno* CA MSA","472",439,4,9,20,4
"96","Gadsden* AL MSA","6",6,0,0,0,0
"97","Gainesville* FL MSA","165",101,0,0,64,8
"98","Glens Falls* NY MSA","58",58,0,0,0,0
"99","Goldsboro* NC MSA","42",42,0,0,0,0
"100","Grand Forks* ND-MN MSA","25",25,0,0,0,0
"101","Grand Junction* CO MSA","138",127,2,4,5,1
"102","Grand Rapids-Muskegon-Holland*  MI MSA","649",582,22,12,33,4
"103","Great Falls* MT MSA","24",12,0,0,12,1
"104","Green Bay* WI MSA","147",95,10,3,39,3
"105","Greensboro--Winston-Salem--High Point*  NC MSA","993",776,4,4,209,8
"106","Greenville* NC MSA","75",73,2,0,0,0
"107","Greenville-Spartanburg-Anderson*  SC MSA","720",579,26,0,115,6
"108","Harrisburg-Lebanon-Carlisle* PA MSA","161",157,0,4,0,0
"109","Hartford* CT MSA","346",308,18,0,20,2
"110","Hattiesburg* MS MSA","6",6,0,0,0,0
"111","Hickory-Morganton* NC MSA","129",118,2,0,9,1
"112","Honolulu* HI MSA","98",90,8,0,0,0
"113","Houma* LA MSA","71",71,0,0,0,0
"114","Houston-Galveston-Brazoria TX CMSA","5922",3662,4,0,2256,87
"115","Huntington-Ashland* WV-KY-OH MSA","5",5,0,0,0,0
"116","Huntsville* AL MSA","125",115,0,0,10,1
"117","Indianapolis* IN MSA","1407",1151,18,4,234,10
"118","Iowa City* IA MSA","73",63,2,0,8,1
"119","Jackson* MI MSA","9",9,0,0,0,0
"120","Jackson* MS MSA","287",263,0,0,24,3
"121","Jackson* TN MSA","29",29,0,0,0,0
"122","Jacksonville* FL MSA","1227",890,0,7,330,16
"123","Jacksonville* NC MSA","86",86,0,0,0,0
"124","Jamestown* NY MSA","1",1,0,0,0,0
"125","Janesville-Beloit* WI MSA","38",28,2,3,5,1
"126","Johnson City-Kingsport-Bristol*  TN-VA MSA","125",106,6,0,13,2
"127","Johnstown* PA MSA","5",5,0,0,0,0
"128","Jonesboro* AR MSA","33",33,0,0,0,0
"129","Joplin* MO MSA","13",13,0,0,0,0
"130","Kalamazoo-Battle Creek* MI MSA","109",94,6,9,0,0
"131","Kansas City* MO-KS MSA","1302",1040,28,75,159,6
"132","Killeen-Temple* TX MSA","216",176,0,40,0,0
"133","Knoxville* TN MSA","295",283,2,3,7,1
"134","Kokomo* IN MSA","44",37,2,0,5,1
"135","La Crosse* WI-MN MSA","65",28,2,3,32,4
"136","Lafayette* IN MSA","108",80,4,0,24,1
"137","Lafayette* LA MSA","152",152,0,0,0,0
"138","Lake Charles* LA MSA","109",107,2,0,0,0
"139","Lakeland-Winter Haven* FL MSA","590",531,4,0,55,5
"140","Lancaster* PA MSA","140",109,0,7,24,2
"141","Lansing-East Lansing* MI MSA","148",138,0,0,10,2
"142","Laredo* TX MSA","172",140,2,4,26,2
"143","Las Cruces* NM MSA","106",106,0,0,0,0
"144","Las Vegas* NV-AZ MSA","2986",2576,38,38,334,48
"145","Lawrence* KS MSA","97",44,10,3,40,3
"146","Lawton* OK MSA","13",13,0,0,0,0
"147","Lewiston-Auburn* ME MSA","38",38,0,0,0,0
"148","Lexington* KY MSA","349",329,16,4,0,0
"149","Lima* OH MSA","3",3,0,0,0,0
"150","Lincoln* NE MSA","382",284,2,0,96,12
"151","Little Rock-North Little Rock*  AR MSA","479",287,0,56,136,14
"152","Longview-Marshall* TX MSA","20",20,0,0,0,0
"153","Los Angeles-Riverside-Orange County  CA CMSA","7759",5158,74,151,2376,103
"154","Louisville* KY-IN MSA","578",551,0,0,27,2
"155","Lubbock* TX MSA","154",108,46,0,0,0
"156","Lynchburg* VA MSA","111",111,0,0,0,0
"157","Macon* GA MSA","166",164,2,0,0,0
"158","Madison* WI MSA","426",234,18,16,158,6
"159","Mansfield* OH MSA","72",43,2,27,0,0
"160","McAllen-Edinburg-Mission* TX MSA","861",576,8,40,237,18
"161","Medford-Ashland* OR MSA","127",102,4,16,5,1
"162","Melbourne-Titusville-Palm Bay*  FL MSA","526",487,2,3,34,2
"163","Memphis* TN-AR-MS MSA","668",652,0,0,16,1
"164","Merced* CA MSA","197",197,0,0,0,0
"165","Miami-Fort Lauderdale FL CMSA","2125",1147,32,21,925,62
"166","Milwaukee-Racine WI CMSA","561",423,24,3,111,7
"167","Minneapolis-St. Paul* MN-WI MSA","2278",1878,32,83,285,23
"168","Missoula* MT MSA","68",38,18,12,0,0
"169","Mobile* AL MSA","360",348,0,0,12,1
"170","Modesto* CA MSA","338",315,6,7,10,2
"171","Monroe* LA MSA","41",38,0,3,0,0
"172","Montgomery* AL MSA","135",130,0,0,5,1
"173","Muncie* IN MSA","20",20,0,0,0,0
"174","Myrtle Beach* SC MSA","368",250,0,8,110,12
"175","Naples* FL MSA","593",341,16,28,208,19
"176","Nashville* TN MSA","1114",927,6,12,169,12
"177","New London-Norwich* CT-RI MSA","101",90,2,0,9,1
"178","New Orleans* LA MSA","432",405,14,8,5,1
"179","New York-Northern New Jersey-Long  Island NY-NJ-CT-","5681",2430,688,317,2246,93
"180","Norfolk-Virginia Beach-Newport News*  VA-NC MSA","678",597,2,4,75,6
"181","Ocala* FL MSA","511",509,2,0,0,0
"182","Odessa-Midland* TX MSA","48",48,0,0,0,0
"183","Oklahoma City* OK MSA","653",653,0,0,0,0
"184","Omaha* NE-IA MSA","502",440,2,0,60,3
"185","Orlando* FL MSA","2576",1928,8,4,636,58
"186","Owensboro* KY MSA","94",58,0,36,0,0
"187","Panama City* FL MSA","368",116,8,0,244,2
"188","Parkersburg-Marietta* WV-OH MSA","16",13,0,3,0,0
"189","Pensacola* FL MSA","565",313,4,0,248,31
"190","Peoria-Pekin* IL MSA","121",113,8,0,0,0
"191","Philadelphia-Wilmington-Atlantic  City PA-NJ-DE-MD","1887",1622,24,44,197,24
"192","Phoenix-Mesa* AZ MSA","4384",3933,10,7,434,29
"193","Pine Bluff* AR MSA","13",11,2,0,0,0
"194","Pittsburgh* PA MSA","622",447,4,23,148,12
"195","Pittsfield* MA MSA","1",1,0,0,0,0
"196","Pocatello* ID MSA","13",13,0,0,0,0
"197","Portland* ME MSA","158",133,14,6,5,1
"198","Portland-Salem OR-WA CMSA","1902",1096,54,59,693,24
"199","Providence-Fall River-Warwick*  RI-MA MSA","228",205,10,7,6,1
"200","Provo-Orem* UT MSA","264",226,4,6,28,3
"201","Pueblo* CO MSA","118",110,4,4,0,0
"202","Punta Gorda* FL MSA","147",118,0,23,6,1
"203","Raleigh-Durham-Chapel Hill* NC MSA","1424",1243,24,3,154,8
"204","Rapid City* SD MSA","51",51,0,0,0,0
"205","Reading* PA MSA","94",77,2,15,0,0
"206","Redding* CA MSA","97",89,4,4,0,0
"207","Reno* NV MSA","419",332,0,0,87,5
"208","Richland-Kennewick-Pasco* WA MSA","206",169,2,6,29,2
"209","Richmond-Petersburg* VA MSA","610",544,4,32,30,5
"210","Roanoke* VA MSA","70",70,0,0,0,0
"211","Rochester* MN MSA","211",135,0,0,76,2
"212","Rochester* NY MSA","215",191,6,0,18,3
"213","Rockford* IL MSA","207",153,2,52,0,0
"214","Rocky Mount* NC MSA","95",95,0,0,0,0
"215","Sacramento-Yolo CA CMSA","1860",1521,16,16,307,20
"216","Saginaw-Bay City-Midland* MI MSA","41",41,0,0,0,0
"217","Salinas* CA MSA","231",94,0,4,133,10
"218","Salt Lake City-Ogden* UT MSA","911",770,12,41,88,9
"219","San Angelo* TX MSA","27",27,0,0,0,0
"220","San Antonio* TX MSA","817",791,6,4,16,2
"221","San Diego* CA MSA","1619",1002,18,70,529,14
"222","San Francisco-Oakland-San Jose  CA CMSA","2364",1296,28,29,1011,33
"223","San Luis Obispo-Atascadero-Paso Robles*  CA MSA","201",190,0,3,8,1
"224","Santa Barbara-Santa Maria-Lompoc*  CA MSA","169",88,6,19,56,5
"225","Santa Fe* NM MSA","73",73,0,0,0,0
"226","Sarasota-Bradenton* FL MSA","807",785,0,16,6,1
"227","Savannah* GA MSA","133",125,2,0,6,1
"228","Scranton--Wilkes-Barre--Hazleton*  PA MSA","74",55,0,12,7,1
"229","Seattle-Tacoma-Bremerton WA CMSA","2612",1655,116,70,771,35
"230","Sharon* PA MSA","15",12,0,3,0,0
"231","Sheboygan* WI MSA","12",10,2,0,0,0
"232","Sherman-Denison* TX MSA","14",14,0,0,0,0
"233","Shreveport-Bossier City* LA MSA","336",104,0,0,232,29
"234","Sioux City* IA-NE MSA","15",15,0,0,0,0
"235","Sioux Falls* SD MSA","312",185,4,0,123,6
"236","South Bend* IN MSA","88",88,0,0,0,0
"237","Spokane* WA MSA","145",121,2,0,22,1
"238","Springfield* IL MSA","55",41,14,0,0,0
"239","Springfield* MA MSA","102",83,16,3,0,0
"240","Springfield* MO MSA","240",195,12,3,30,2
"241","St. Cloud* MN MSA","90",70,0,3,17,2
"242","St. Joseph* MO MSA","16",12,4,0,0,0
"243","St. Louis* MO-IL MSA","1234",1067,30,25,112,7
"244","State College* PA MSA","46",41,0,0,5,1
"245","Steubenville-Weirton* OH-WV MSA","56",6,0,0,50,7
"246","Stockton-Lodi* CA MSA","491",483,0,3,5,1
"247","Sumter* SC MSA","38",32,6,0,0,0
"248","Syracuse* NY MSA","128",122,0,0,6,1
"249","Tallahassee* FL MSA","250",152,12,6,80,13
"250","Tampa-St. Petersburg-Clearwater*  FL MSA","2919",1685,58,19,1157,66
"251","Terre Haute* IN MSA","22",19,0,3,0,0
"252","Texarkana TX-Texarkana* AR MSA","17",13,4,0,0,0
"253","Toledo* OH MSA","224",204,4,4,12,2
"254","Topeka* KS MSA","51",51,0,0,0,0
"255","Tucson* AZ MSA","378",376,2,0,0,0
"256","Tulsa* OK MSA","285",268,0,8,9,1
"257","Tuscaloosa* AL MSA","81",75,0,0,6,1
"258","Tyler* TX MSA","44",34,0,0,10,2
"259","Utica-Rome* NY MSA","7",7,0,0,0,0
"260","Victoria* TX MSA","10",10,0,0,0,0
"261","Visalia-Tulare-Porterville* CA MSA","146",146,0,0,0,0
"262","Waco* TX MSA","57",41,16,0,0,0
"263","Washington-Baltimore  DC-MD-VA-WV CMSA","4673",4117,10,8,538,27
