"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","32",32,0,0,0,0
"2","Akron,* OH","299",261,8,7,23,1
"3","Albany, GA","183",77,10,0,96,13
"4","Albany-Schenectady-Troy, NY","172",162,0,0,10,2
"5","Albuquerque,* NM","625",608,0,3,14,1
"6","Alexandria, LA","42",42,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","473",458,2,7,6,1
"8","Altoona, PA","29",29,0,0,0,0
"9","Amarillo, TX","74",74,0,0,0,0
"10","Ames, IA","93",41,0,0,52,3
"11","Anchorage,* AK","263",117,40,16,90,3
"12","Anderson,* IN","82",52,0,7,23,4
"13","Anderson,* SC","85",83,2,0,0,0
"14","Ann Arbor,* MI","320",199,2,4,115,11
"15","Anniston-Oxford, AL","22",22,0,0,0,0
"16","Appleton, WI","154",152,2,0,0,0
"17","Asheville, NC","290",276,6,8,0,0
"18","Athens-Clarke County, GA","181",177,4,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","5625",5041,32,9,543,19
"20","Atlantic City,* NJ","196",164,2,3,27,4
"21","Auburn-Opelika,* AL","149",97,16,4,32,2
"22","Augusta-Richmond County, GA-SC","328",308,20,0,0,0
"23","Austin-Round Rock,* TX","1435",1386,6,4,39,3
"24","Bakersfield, CA","622",616,2,4,0,0
"25","Baltimore-Towson,* MD","871",748,2,11,110,10
"26","Bangor, ME","42",40,2,0,0,0
"27","Barnstable Town, MA","186",93,0,9,84,3
"28","Baton Rouge, LA","326",326,0,0,0,0
"29","Battle Creek, MI","17",17,0,0,0,0
"30","Bay City, MI","7",7,0,0,0,0
"31","Beaumont-Port Arthur, TX","69",69,0,0,0,0
"32","Bellingham, WA","280",150,10,8,112,3
"33","Bend,* OR","337",278,36,23,0,0
"34","Billings, MT","64",64,0,0,0,0
"35","Binghamton, NY","20",13,0,0,7,1
"36","Birmingham-Hoover,* AL","745",705,0,0,40,5
"37","Bismarck, ND","203",94,6,8,95,5
"38","Blacksburg-Christiansburg-Radford,  VA","85",73,2,0,10,2
"39","Bloomington, IN","113",67,22,3,21,2
"40","Bloomington-Normal, IL","88",88,0,0,0,0
"41","Boise City-Nampa,* ID","729",686,8,24,11,1
"42","Boston-Cambridge-Quincy,* MA-NH","1305",770,44,31,460,38
"43","Boulder,* CO","136",119,2,0,15,2
"44","Bowling Green, KY","90",90,0,0,0,0
"45","Bremerton-Silverdale,* WA","139",133,6,0,0,0
"46","Bridgeport-Stamford-Norwalk,* CT","194",163,0,3,28,3
"47","Brownsville-Harlingen, TX","267",242,6,8,11,2
"48","Brunswick, GA","86",81,2,3,0,0
"49","Buffalo-Niagara Falls, NY","179",166,4,4,5,1
"50","Burlington,* NC","159",135,0,0,24,1
"51","Burlington-South Burlington, VT","127",77,8,7,35,1
"52","Canton-Massillon, OH","132",123,0,4,5,1
"53","Cape Coral-Fort Myers,* FL","1786",1093,160,114,419,31
"54","Carson City,* NV","9",9,0,0,0,0
"55","Casper,* WY","29",29,0,0,0,0
"56","Cedar Rapids, IA","222",112,12,11,87,6
"57","Champaign-Urbana, IL","108",76,0,0,32,2
"58","Charleston, WV","26",24,2,0,0,0
"59","Charleston-North Charleston,* SC","748",647,4,10,87,8
"60","Charlotte-Gastonia-Concord,* NC-SC","2164",1894,26,10,234,27
"61","Charlottesville,* VA","162",120,4,6,32,1
"62","Chattanooga, TN-GA","297",263,8,8,18,3
"63","Cheyenne, WY","63",45,2,16,0,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","3809",3293,76,59,381,NA
"65","Cincinnati-Middletown,* OH-KY-IN","1389",1147,8,35,199,18
