"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","13",13,0,0,0,0
"2","Akron,* OH","282",238,2,7,35,3
"3","Albany, GA","63",46,0,0,17,1
"4","Albany-Schenectady-Troy, NY","345",142,0,0,203,13
"5","Albuquerque,* NM","573",558,0,15,0,0
"6","Alexandria, LA","35",35,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","308",298,0,10,0,0
"8","Altoona, PA","3",3,0,0,0,0
"9","Amarillo, TX","310",54,0,0,256,11
"10","Ames, IA","32",24,8,0,0,0
"11","Anchorage,* AK","133",43,20,18,52,6
"12","Anderson,* IN","51",41,0,3,7,1
"13","Anderson,* SC","88",84,4,0,0,0
"14","Ann Arbor,* MI","206",172,2,19,13,2
"15","Anniston-Oxford, AL","17",17,0,0,0,0
"16","Appleton, WI","86",76,10,0,0,0
"17","Asheville, NC","286",272,8,0,6,1
"18","Athens-Clarke County, GA","179",113,2,0,64,2
"19","Atlanta-Sandy Springs-Marietta, GA","5828",4359,22,25,1422,26
"20","Atlantic City,* NJ","184",168,10,6,0,0
"21","Auburn-Opelika,* AL","67",67,0,0,0,0
"22","Augusta-Richmond County, GA-SC","226",226,0,0,0,0
"23","Austin-Round Rock,* TX","1374",1085,32,4,253,11
"24","Bakersfield, CA","490",456,24,0,10,1
"25","Baltimore-Towson,* MD","873",791,2,7,73,6
"26","Bangor, ME","30",28,2,0,0,0
"27","Barnstable Town, MA","82",72,0,10,0,0
"28","Baton Rouge, LA","687",347,0,0,340,38
"29","Battle Creek, MI","21",21,0,0,0,0
"30","Bay City, MI","12",12,0,0,0,0
"31","Beaumont-Port Arthur, TX","50",50,0,0,0,0
"32","Bellingham, WA","251",146,2,12,91,3
"33","Bend,* OR","361",249,10,6,96,11
"34","Billings, MT","54",39,0,15,0,0
"35","Binghamton, NY","21",16,0,0,5,1
"36","Birmingham-Hoover, AL","411",405,6,0,0,0
"37","Bismarck, ND","82",69,2,11,0,0
"38","Blacksburg-Christiansburg-Radford,  VA","58",56,2,0,0,0
"39","Bloomington, IN","109",57,22,3,27,2
"40","Bloomington-Normal, IL","143",58,2,0,83,1
"41","Boise City-Nampa,* ID","789",691,14,70,14,2
"42","Boston-Cambridge-Quincy, MA-NH","1282",669,106,54,453,23
"43","Boulder,* CO","99",86,0,3,10,1
"44","Bowling Green, KY","36",36,0,0,0,0
