"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","29",15,14,0,0,0
"2","Akron, OH","92",69,4,3,16,1
"3","Albany, GA","45",43,2,0,0,0
"4","Albany-Schenectady-Troy, NY","205",86,0,20,99,11
"5","Albuquerque,* NM","524",497,0,3,24,1
"6","Alexandria, LA","55",55,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","296",281,2,6,7,1
"8","Altoona, PA","4",2,2,0,0,0
"9","Amarillo, TX","81",81,0,0,0,0
"10","Ames, IA","39",15,0,0,24,2
"11","Anchorage,* AK","242",95,36,42,69,5
"12","Anderson, IN","23",23,0,0,0,0
"13","Anderson, SC","80",80,0,0,0,0
"14","Ann Arbor, MI","122",43,2,0,77,7
"15","Anniston-Oxford, AL","15",15,0,0,0,0
"16","Appleton, WI","44",42,2,0,0,0
"17","Asheville, NC","381",228,2,3,148,17
"18","Athens-Clarke County, GA","71",71,0,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","5221",4653,6,7,555,21
"20","Atlantic City,* NJ","110",110,0,0,0,0
"21","Auburn-Opelika,* AL","180",172,0,8,0,0
"22","Augusta-Richmond County, GA-SC","208",208,0,0,0,0
"23","Austin-Round Rock,* TX","2069",1466,54,12,537,34
"24","Bakersfield, CA","462",421,6,12,23,4
"25","Baltimore-Towson,* MD","780",676,2,4,98,7
"26","Bangor, ME","23",19,0,4,0,0
"27","Barnstable Town, MA","83",67,0,3,13,1
"28","Baton Rouge, LA","408",369,0,4,35,4
"29","Battle Creek, MI","4",4,0,0,0,0
"30","Bay City, MI","4",4,0,0,0,0
"31","Beaumont-Port Arthur, TX","27",27,0,0,0,0
"32","Bellingham, WA","96",79,0,17,0,0
"33","Bend,* OR","214",212,2,0,0,0
"34","Billings, MT","31",31,0,0,0,0
"35","Binghamton, NY","2",2,0,0,0,0
"36","Birmingham-Hoover,* AL","428",423,0,0,5,1
"37","Bismarck, ND","11",11,0,0,0,0
"38","Bloomington, IN","64",31,12,3,18,1
"39","Bloomington-Normal, IL","41",32,0,0,9,1
"40","Boise City-Nampa,* ID","653",635,0,12,6,1
"41","Boston-Cambridge-Quincy,* MA-NH","1714",584,64,6,1060,55
"42","Boulder, CO","43",31,0,3,9,1
"43","Bowling Green, KY","67",67,0,0,0,0
"44","Bremerton-Silverdale, WA","89",89,0,0,0,0
"45","Bridgeport-Stamford-Norwalk, CT","369",113,0,3,253,3
"46","Brownsville-Harlingen, TX","252",213,4,10,25,3
"47","Brunswick, GA","73",64,0,0,9,1
"48","Buffalo-Niagara Falls, NY","105",59,2,0,44,3
"49","Burlington, NC","123",123,0,0,0,0
"50","Burlington-South Burlington, VT","37",26,6,0,5,1
"51","Canton-Massillon, OH","48",43,0,0,5,1
"52","Cape Coral-Fort Myers,* FL","2189",1215,0,0,974,58
"53","Carson City,* NV","15",11,4,0,0,0
"54","Casper,* WY","5",5,0,0,0,0
"55","Cedar Rapids, IA","42",26,6,10,0,0
"56","Champaign-Urbana, IL","265",57,0,0,208,3
"57","Charleston, WV","22",22,0,0,0,0
"58","Charleston-North Charleston,* SC","813",613,0,3,197,9
"59","Charlotte-Gastonia-Concord,* NC-SC","1465",1385,0,8,72,6
"60","Charlottesville,* VA","49",49,0,0,0,0
"61","Chattanooga, TN-GA","203",190,4,0,9,1
"62","Cheyenne, WY","63",51,2,4,6,1
"63","Chicago-Naperville-Joliet,* IL-IN-WI","3988",2332,82,246,1328,NA
"64","Cincinnati-Middletown,* OH-KY-IN","718",577,10,7,124,11
"65","Clarksville, TN-KY","102",82,0,4,16,2
"66","Cleveland, TN","42",42,0,0,0,0
"67","Cleveland-Elyria-Mentor,* OH","329",320,2,7,0,0
"68","Coeur d""Alene, ID","155",108,14,7,26,2
"69","College Station-Bryan, TX","76",56,8,0,12,2
"70","Colorado Springs,* CO","490",407,8,11,64,8
"71","Columbia, MO","88",84,0,4,0,0
"72","Columbia,* SC","555",504,2,0,49,2
"73","Columbus, GA-AL","151",118,0,4,29,2
"74","Columbus, IN","19",19,0,0,0,0
"75","Columbus,* OH","707",471,14,112,110,16
"76","Corpus Christi, TX","137",129,8,0,0,0
"77","Corvallis, OR","33",16,0,0,17,1
"78","Cumberland, MD-WV","4",4,0,0,0,0
"79","Dallas-Fort Worth-Arlington,* TX","5458",3903,48,7,1500,71
"80","Dalton,* GA","62",51,2,3,6,1
"81","Danville, IL","0",0,0,0,0,0
"82","Danville,* VA","23",18,0,0,5,1
"83","Davenport-Moline-Rock Island,  IA-IL","36",32,4,0,0,NA
"84","Decatur, AL","15",15,0,0,0,0
"85","Decatur, IL","2",2,0,0,0,0
"86","Deltona-Daytona Beach-Ormond Beach,*  FL","820",287,0,0,533,5
"87","Denver-Aurora,* CO","1690",1386,10,3,291,18
"88","Des Moines,* IA","268",244,0,0,24,1
"89","Detroit-Warren-Livonia,* MI","681",604,4,19,54,5
"90","Dothan, AL","41",41,0,0,0,0
"91","Dover,* DE","163",139,0,0,24,2
"92","Dubuque, IA","15",11,4,0,0,0
"93","Duluth, MN-WI","57",38,4,3,12,1
"94","Durham,* NC","261",261,0,0,0,0
"95","Eau Claire, WI","19",13,2,4,0,0
"96","El Centro,* CA","85",77,0,0,8,1
"97","El Paso, TX","260",254,0,0,6,1
"98","Elizabethtown, KY","70",68,2,0,0,0
"99","Elkhart-Goshen, IN","61",61,0,0,0,0
"100","Elmira, NY","1",1,0,0,0,0
"101","Erie, PA","74",15,0,0,59,3
"102","Eugene-Springfield,* OR","186",94,8,0,84,6
"103","Evansville, IN-KY","84",64,0,0,20,2
"104","Fairbanks,* AK","5",5,0,0,0,0
"105","Fargo, ND-MN","261",9,0,0,252,6
"106","Farmington,* NM","27",21,2,4,0,0
"107","Fayetteville, NC","356",154,2,8,192,13
"108","Fayetteville-Springdale-Rogers,  AR-MO","597",458,20,6,113,10
"109","Flagstaff, AZ","62",62,0,0,0,0
"110","Flint, MI","47",47,0,0,0,0
"111","Florence, SC","30",30,0,0,0,0
"112","Florence-Muscle Shoals, AL","23",23,0,0,0,0
"113","Fond du Lac, WI","22",22,0,0,0,0
"114","Fort Collins-Loveland,* CO","115",101,8,6,0,0
"115","Fort Smith, AR-OK","56",56,0,0,0,0
"116","Fort Walton Beach-Crestview-Destin,*  FL","260",82,0,0,178,2
"117","Fort Wayne,* IN","108",101,2,0,5,1
"118","Fresno, CA","299",222,6,9,62,12
"119","Gadsden, AL","4",4,0,0,0,0
"120","Gainesville, FL","150",117,0,0,33,2
"121","Gainesville, GA","109",109,0,0,0,0
"122","Glens Falls, NY","35",35,0,0,0,0
"123","Goldsboro,* NC","23",23,0,0,0,0
"124","Grand Forks, ND-MN","1",1,0,0,0,0
"125","Grand Junction,* CO","129",123,6,0,0,0
"126","Grand Rapids-Wyoming,* MI","206",188,2,3,13,1
"127","Great Falls, MT","9",9,0,0,0,0
"128","Greeley,* CO","276",268,0,8,0,0
"129","Green Bay, WI","74",58,2,0,14,1
"130","Greensboro-High Point,* NC","498",379,0,4,115,11
"131","Greenville, NC","129",85,36,0,8,1
"132","Greenville,* SC","377",343,0,0,34,2
"133","Gulfport-Biloxi, MS","93",88,0,0,5,1
"134","Hagerstown-Martinsburg, MD-WV","213",174,10,7,22,3
"135","Hanford-Corcoran, CA","60",60,0,0,0,0
"136","Harrisburg-Carlisle, PA","103",103,0,0,0,0
"137","Harrisonburg,* VA","60",60,0,0,0,0
"138","Hartford-West Hartford-East Hartford,  CT","270",183,14,0,73,8
"139","Hattiesburg, MS","40",8,0,4,28,2
"140","Hickory-Lenoir-Morganton, NC","91",87,4,0,0,0
"141","Hinesville-Fort Stewart, GA","6",6,0,0,0,0
"142","Holland-Grand Haven, MI","98",58,4,4,32,3
"143","Honolulu,* HI","313",177,0,8,128,4
"144","Hot Springs, AR","11",11,0,0,0,0
"145","Houma-Bayou Cane-Thibodaux, LA","111",111,0,0,0,0
"146","Houston-Baytown-Sugar Land,* TX","3595",3314,46,66,169,11
"147","Huntington-Ashland, WV-KY-OH","4",4,0,0,0,0
"148","Huntsville, AL","325",233,0,12,80,10
"149","Idaho Falls, ID","108",88,8,12,0,0
"150","Indianapolis,* IN","1092",763,26,4,299,32
"151","Iowa City, IA","52",39,0,0,13,1
"152","Ithaca, NY","4",4,0,0,0,0
"153","Jackson, MI","10",10,0,0,0,0
"154","Jackson, MS","306",273,0,0,33,3
"155","Jackson, TN","48",48,0,0,0,0
"156","Jacksonville,* FL","1742",1128,4,0,610,54
"157","Jacksonville, NC","93",83,10,0,0,0
"158","Janesville, WI","42",36,2,4,0,0
"159","Jefferson City, MO","19",16,0,3,0,0
"160","Johnson City, TN","165",98,0,3,64,7
"161","Johnstown, PA","1",1,0,0,0,0
"162","Jonesboro, AR","37",37,0,0,0,0
"163","Joplin, MO","69",17,8,0,44,4
"164","Kalamazoo-Portage, MI","63",63,0,0,0,0
"165","Kankakee-Bradley, IL","4",4,0,0,0,0
"166","Kansas City,* MO-KS","1042",726,36,69,211,24
"167","Kennewick-Richland-Pasco, WA","205",136,0,14,55,4
"168","Killeen-Temple-Fort Hood, TX","349",323,6,3,17,1
"169","Kingsport-Bristol-Bristol, TN-VA","71",71,0,0,0,0
"170","Kingston, NY","22",22,0,0,0,0
"171","Knoxville, TN","390",337,2,8,43,2
"172","Kokomo, IN","11",11,0,0,0,0
"173","La Crosse, WI-MN","13",11,2,0,0,0
"174","Lafayette, IN","61",61,0,0,0,0
"175","Lafayette, LA","177",177,0,0,0,0
"176","Lake Charles, LA","29",19,2,0,8,1
"177","Lakeland,* FL","925",896,2,27,0,0
"178","Lancaster, PA","84",79,0,0,5,1
"179","Lansing-East Lansing, MI","96",82,0,0,14,1
"180","Laredo,* TX","165",126,2,0,37,1
"181","Las Cruces,* NM","151",147,0,4,0,0
"182","Las Vegas-Paradise,* NV","2936",2399,0,16,521,64
"183","Lawrence, KS","49",26,16,0,7,1
"184","Lawton, OK","9",9,0,0,0,0
"185","Lebanon, PA","36",36,0,0,0,0
"186","Lewiston, ID-WA","8",6,2,0,0,0
"187","Lewiston-Auburn, ME","23",23,0,0,0,0
"188","Lexington-Fayette, KY","338",279,0,3,56,2
"189","Lima, OH","4",4,0,0,0,0
"190","Lincoln, NE","147",96,4,0,47,3
"191","Little Rock-North Little Rock, AR","854",300,2,0,552,46
"192","Logan, UT-ID","34",31,0,3,0,0
"193","Longview, TX","23",23,0,0,0,0
"194","Longview, WA","29",24,0,0,5,1
"195","Los Angeles-Long Beach-Santa Ana,*  CA","2360",1137,54,37,1132,56
"196","Louisville,* KY-IN","231",228,0,3,0,0
"197","Lubbock, TX","82",60,22,0,0,0
"198","Lynchburg, VA","92",92,0,0,0,0
"199","Macon, GA","58",58,0,0,0,0
"200","Madera, CA","102",102,0,0,0,0
"201","Madison,* WI","207",114,30,18,45,4
"202","Manchester-Nashua, NH","139",130,2,0,7,1
"203","Mansfield, OH","7",7,0,0,0,0
"204","McAllen-Edinburg-Pharr,* TX","524",467,6,17,34,3
"205","Medford,* OR","181",123,0,0,58,7
"206","Memphis, TN-MS-AR","920",626,0,0,294,4
"207","Merced, CA","267",263,0,4,0,0
"208","Miami-Fort Lauderdale-Miami Beach,  FL","2868",1645,52,48,1123,52
"209","Michigan City-La Porte, IN","15",15,0,0,0,0
"210","Midland,* TX","33",33,0,0,0,0
"211","Milwaukee-Waukesha-West Allis,* WI","299",201,12,8,78,6
"212","Minneapolis-St. Paul-Bloomington,*  MN-WI","1507",1209,6,25,267,9
"213","Missoula,* MT","17",17,0,0,0,0
"214","Mobile, AL","179",179,0,0,0,0
"215","Modesto, CA","144",114,4,7,19,1
"216","Monroe, LA","42",40,2,0,0,0
"217","Monroe, MI","29",29,0,0,0,0
"218","Montgomery, AL","91",91,0,0,0,0
"219","Morgantown, WV","13",1,0,4,8,1
"220","Morristown, TN","35",33,2,0,0,0
"221","Mount Vernon-Anacortes, WA","76",76,0,0,0,0
"222","Muncie, IN","11",11,0,0,0,0
"223","Muskegon-Norton Shores, MI","11",11,0,0,0,0
