"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","19",19,0,0,0,0
"2","Akron, OH","120",85,8,3,24,1
"3","Albany, GA","51",46,2,3,0,0
"4","Albany-Schenectady-Troy, NY","144",109,0,0,35,5
"5","Albuquerque,* NM","533",502,0,3,28,1
"6","Alexandria, LA","54",54,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","399",349,2,6,42,2
"8","Altoona, PA","3",3,0,0,0,0
"9","Amarillo, TX","59",59,0,0,0,0
"10","Ames, IA","18",18,0,0,0,0
"11","Anchorage,* AK","90",45,22,12,11,2
"12","Anderson, IN","23",23,0,0,0,0
"13","Anderson, SC","138",126,0,0,12,1
"14","Ann Arbor, MI","76",51,0,0,25,5
"15","Anniston-Oxford, AL","14",14,0,0,0,0
"16","Appleton, WI","54",54,0,0,0,0
"17","Asheville, NC","281",248,10,0,23,2
"18","Athens-Clarke County, GA","83",83,0,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","5055",4436,8,11,600,16
"20","Atlantic City,* NJ","147",138,2,7,0,0
"21","Auburn-Opelika,* AL","195",123,0,0,72,2
"22","Augusta-Richmond County, GA-SC","214",212,2,0,0,0
"23","Austin-Round Rock,* TX","1694",1516,22,7,149,9
"24","Bakersfield, CA","651",416,4,59,172,12
"25","Baltimore-Towson,* MD","819",672,0,4,143,10
"26","Bangor, ME","23",17,2,4,0,0
"27","Barnstable Town, MA","95",77,2,3,13,1
"28","Baton Rouge, LA","462",430,0,4,28,4
"29","Battle Creek, MI","10",10,0,0,0,0
"30","Bay City, MI","2",2,0,0,0,0
"31","Beaumont-Port Arthur, TX","23",23,0,0,0,0
"32","Bellingham, WA","161",89,4,8,60,1
"33","Bend,* OR","326",287,0,10,29,3
"34","Billings, MT","37",37,0,0,0,0
"35","Binghamton, NY","3",3,0,0,0,0
"36","Birmingham-Hoover,* AL","611",601,0,0,10,2
"37","Bismarck, ND","61",51,6,4,0,0
"38","Bloomington, IN","87",42,16,3,26,2
"39","Bloomington-Normal, IL","64",52,0,0,12,1
"40","Boise City-Nampa,* ID","818",787,4,27,0,0
"41","Boston-Cambridge-Quincy,* MA-NH","1234",628,62,18,526,31
"42","Boulder, CO","59",44,0,3,12,1
"43","Bowling Green, KY","79",67,4,8,0,0
"44","Bremerton-Silverdale, WA","325",85,0,0,240,1
"45","Bridgeport-Stamford-Norwalk, CT","345",131,6,0,208,3
"46","Brownsville-Harlingen, TX","220",207,10,3,0,0
"47","Brunswick, GA","73",67,0,0,6,1
"48","Buffalo-Niagara Falls, NY","66",66,0,0,0,0
"49","Burlington, NC","110",110,0,0,0,0
"50","Burlington-South Burlington, VT","42",31,8,3,0,0
"51","Canton-Massillon, OH","76",71,0,0,5,1
"52","Cape Coral-Fort Myers,* FL","1800",1370,2,0,428,44
"53","Carson City,* NV","5",5,0,0,0,0
"54","Casper,* WY","42",42,0,0,0,0
