"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","44",42,2,0,0,0
"2","Akron, OH","171",146,2,4,19,1
"3","Albany, GA","53",47,2,4,0,0
"4","Albany-Schenectady-Troy, NY","187",117,0,27,43,3
"5","Albuquerque,* NM","561",525,0,6,30,1
"6","Alexandria, LA","68",68,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","419",390,4,3,22,2
"8","Altoona, PA","2",2,0,0,0,0
"9","Amarillo, TX","80",80,0,0,0,0
"10","Ames, IA","42",25,0,0,17,1
"11","Anchorage,* AK","159",98,8,3,50,7
"12","Anderson, IN","36",30,0,0,6,1
"13","Anderson, SC","117",117,0,0,0,0
"14","Ann Arbor, MI","63",53,0,0,10,2
"15","Anniston-Oxford, AL","20",20,0,0,0,0
"16","Appleton, WI","81",79,2,0,0,0
"17","Asheville, NC","345",297,4,15,29,3
"18","Athens-Clarke County, GA","94",70,2,0,22,2
"19","Atlanta-Sandy Springs-Marietta,* GA","6188",5637,22,11,518,26
"20","Atlantic City,* NJ","146",133,0,0,13,2
"21","Auburn-Opelika,* AL","126",126,0,0,0,0
"22","Augusta-Richmond County, GA-SC","248",248,0,0,0,0
"23","Austin-Round Rock,* TX","2155",1631,80,9,435,8
"24","Bakersfield, CA","772",651,22,39,60,8
"25","Baltimore-Towson,* MD","911",719,0,26,166,11
"26","Bangor, ME","42",36,2,4,0,0
"27","Barnstable Town, MA","67",56,0,0,11,1
"28","Baton Rouge, LA","502",441,2,3,56,6
"29","Battle Creek, MI","18",11,0,0,7,1
"30","Bay City, MI","7",7,0,0,0,0
"31","Beaumont-Port Arthur, TX","521",41,0,0,480,2
"32","Bellingham, WA","128",101,0,3,24,3
"33","Bend,* OR","407",371,12,24,0,0
"34","Billings, MT","85",85,0,0,0,0
"35","Binghamton, NY","10",10,0,0,0,0
"36","Birmingham-Hoover,* AL","587",507,12,0,68,1
"37","Bismarck, ND","221",65,0,12,144,13
"38","Bloomington, IN","49",49,0,0,0,0
"39","Bloomington-Normal, IL","71",59,0,0,12,1
"40","Boise City-Nampa,* ID","835",703,6,114,12,2
"41","Boston-Cambridge-Quincy,* MA-NH","1517",646,76,96,699,32
"42","Boulder, CO","52",37,0,3,12,1
"43","Bowling Green, KY","104",82,6,0,16,1
"44","Bremerton-Silverdale, WA","111",85,0,0,26,1
"45","Bridgeport-Stamford-Norwalk, CT","106",97,4,0,5,1
"46","Brownsville-Harlingen, TX","272",270,2,0,0,0
"47","Brunswick, GA","89",83,0,0,6,1
"48","Buffalo-Niagara Falls, NY","206",97,2,0,107,1
"49","Burlington, NC","123",123,0,0,0,0
"50","Burlington-South Burlington, VT","67",51,4,7,5,1
"51","Canton-Massillon, OH","80",74,0,0,6,1
"52","Cape Coral-Fort Myers,* FL","1667",1369,8,0,290,30
"53","Carson City,* NV","3",3,0,0,0,0
"54","Casper, WY","45",45,0,0,0,0
"55","Cedar Rapids, IA","92",76,10,6,0,0
"56","Champaign-Urbana, IL","221",103,0,12,106,12
