"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","10",10,0,0,0,0,91
"2","Akron, OH","50",36,0,3,11,1,69
"3","Albany, GA","25",19,2,4,0,0,84
"4","Albany-Schenectady-Troy, NY","84",62,2,4,16,2,59
"5","Albuquerque,  NM","164",164,0,0,0,0,100
"6","Alexandria, LA","30",30,0,0,0,0,97
"7","Allentown-Bethlehem-Easton,  PA-NJ","146",131,0,0,15,2,100
"8","Altoona, PA","1",1,0,0,0,0,7
"9","Amarillo, TX","35",35,0,0,0,0,79
"10","Ames, IA","53",13,0,0,40,2,92
"11","Anchorage,  AK","12",10,2,0,0,0,100
"12","Anderson, IN","8",8,0,0,0,0,73
"13","Anderson, SC","51",51,0,0,0,0,90
"14","Ann Arbor, MI","28",23,0,0,5,1,72
"15","Anniston-Oxford, AL","7",7,0,0,0,0,78
"16","Appleton, WI","14",14,0,0,0,0,79
"17","Asheville, NC","210",189,0,0,21,1,88
"18","Athens-Clarke County, GA","35",29,0,0,6,1,73
"19","Atlanta-Sandy Springs-Marietta,  GA","1780",1153,2,31,594,26,100
"20","Atlantic City-Hammonton,  NJ","70",50,2,0,18,1,100
"21","Auburn-Opelika,  AL","50",50,0,0,0,0,100
"22","Augusta-Richmond County, GA-SC","446",112,2,0,332,17,80
"23","Austin-Round Rock,  TX","1223",654,40,4,525,28,100
"24","Bakersfield, CA","184",135,6,35,8,1,90
"25","Baltimore-Towson,  MD","616",242,0,0,374,8,100
"26","Bangor, ME","7",7,0,0,0,0,49
"27","Barnstable Town, MA","62",55,2,0,5,1,88
"28","Baton Rouge, LA","260",210,0,0,50,7,94
"29","Battle Creek, MI","1",1,0,0,0,0,55
"30","Bay City, MI","1",1,0,0,0,0,21
"31","Beaumont-Port Arthur, TX","21",21,0,0,0,0,76
"32","Bellingham, WA","35",19,0,0,16,1,69
"33","Bend,  OR","67",63,0,4,0,0,100
"34","Billings, MT","36",36,0,0,0,0,90
"35","Binghamton, NY","1",1,0,0,0,0,18
