"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","34",34,0,0,0,0
"2","Akron, OH","61",50,0,0,11,1
"3","Albany, GA","38",33,2,3,0,0
"4","Albany-Schenectady-Troy, NY","43",43,0,0,0,0
"5","Albuquerque,* NM","389",359,0,3,27,1
"6","Alexandria, LA","22",22,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","144",136,0,3,5,1
"8","Altoona, PA","1",1,0,0,0,0
"9","Amarillo, TX","70",70,0,0,0,0
"10","Ames, IA","4",4,0,0,0,0
"11","Anchorage,* AK","110",19,26,0,65,2
"12","Anderson, IN","7",7,0,0,0,0
"13","Anderson, SC","73",73,0,0,0,0
"14","Ann Arbor, MI","25",20,0,0,5,1
"15","Anniston-Oxford, AL","12",12,0,0,0,0
"16","Appleton, WI","38",38,0,0,0,0
"17","Asheville, NC","300",257,2,24,17,1
"18","Athens-Clarke County, GA","230",110,0,0,120,8
"19","Atlanta-Sandy Springs-Marietta,* GA","3964",3108,14,51,791,21
"20","Atlantic City,* NJ","133",131,2,0,0,0
"21","Auburn-Opelika,* AL","141",119,12,0,10,1
"22","Augusta-Richmond County, GA-SC","175",175,0,0,0,0
"23","Austin-Round Rock,* TX","1921",1322,38,32,529,26
"24","Bakersfield, CA","449",302,28,15,104,3
"25","Baltimore-Towson,* MD","541",408,8,12,113,8
"26","Bangor, ME","5",5,0,0,0,0
"27","Barnstable Town, MA","74",63,0,0,11,2
"28","Baton Rouge, LA","329",284,0,0,45,3
"29","Battle Creek, MI","9",4,0,0,5,1
"30","Bay City, MI","1",1,0,0,0,0
"31","Beaumont-Port Arthur, TX","73",48,0,0,25,5
"32","Bellingham, WA","44",36,4,4,0,0
"33","Bend,* OR","175",172,0,3,0,0
"34","Billings, MT","32",32,0,0,0,0
"35","Binghamton, NY","0",0,0,0,0,0
"36","Birmingham-Hoover,* AL","439",439,0,0,0,0
"37","Bismarck, ND","15",15,0,0,0,0
"38","Bloomington, IN","32",24,0,8,0,0
"39","Bloomington-Normal, IL","76",18,0,3,55,7
"40","Boise City-Nampa,* ID","437",371,30,36,0,0
"41","Boston-Cambridge-Quincy,* MA-NH","499",236,26,3,234,18
"42","Boulder, CO","37",31,0,0,6,1
"43","Bowling Green, KY","141",75,2,0,64,8
"44","Bremerton-Silverdale, WA","79",55,0,0,24,1
"45","Bridgeport-Stamford-Norwalk, CT","51",37,2,0,12,2
"46","Brownsville-Harlingen, TX","160",143,2,15,0,0
"47","Brunswick, GA","57",52,0,0,5,1
"48","Buffalo-Niagara Falls, NY","62",62,0,0,0,0
"49","Burlington, NC","103",103,0,0,0,0
"50","Burlington-South Burlington, VT","34",24,2,3,5,1
"51","Canton-Massillon, OH","31",31,0,0,0,0
"52","Cape Coral-Fort Myers,* FL","684",524,6,4,150,15
"53","Carson City,* NV","0",0,0,0,0,0
"54","Casper, WY","16",16,0,0,0,0
"55","Cedar Rapids, IA","48",40,0,8,0,0
"56","Champaign-Urbana, IL","66",12,0,0,54,2
"57","Charleston, WV","23",23,0,0,0,0
"58","Charleston-North Charleston,* SC","499",489,0,0,10,2
"59","Charlotte-Gastonia-Concord,* NC-SC","1605",1337,0,4,264,12
"60","Charlottesville, VA","74",74,0,0,0,0
"61","Chattanooga, TN-GA","161",151,4,0,6,1
"62","Cheyenne, WY","18",18,0,0,0,0
"63","Chicago-Naperville-Joliet,* IL-IN-WI","2834",1100,24,72,1638,NA
"64","Cincinnati-Middletown,* OH-KY-IN","411",364,2,7,38,5
"65","Clarksville, TN-KY","178",99,2,4,73,7
"66","Cleveland, TN","44",32,4,3,5,1
"67","Cleveland-Elyria-Mentor,* OH","219",206,2,6,5,1
"68","Coeur dAlene, ID","93",74,0,0,19,1
"69","College Station-Bryan, TX","71",61,10,0,0,0
"70","Colorado Springs,* CO","229",219,6,4,0,0
"71","Columbia, MO","44",38,2,4,0,0
"72","Columbia,* SC","519",473,2,0,44,2
"73","Columbus, GA-AL","127",97,2,3,25,2
"74","Columbus, IN","7",7,0,0,0,0
"75","Columbus,* OH","513",345,0,32,136,18
"76","Corpus Christi, TX","134",101,8,3,22,1
"77","Corvallis, OR","9",9,0,0,0,0
"78","Cumberland, MD-WV","7",7,0,0,0,0
"79","Dallas-Fort Worth-Arlington,* TX","2992",2204,34,8,746,30
"80","Dalton, GA","56",44,2,3,7,1
"81","Danville, IL","0",0,0,0,0,0
"82","Danville, VA","14",14,0,0,0,0
"83","Davenport-Moline-Rock Island,  IA-IL","25",25,0,0,0,NA
"84","Decatur, AL","26",26,0,0,0,0
"85","Decatur, IL","0",0,0,0,0,0
"86","Deltona-Daytona Beach-Ormond Beach,*  FL","274",223,2,0,49,6
"87","Denver-Aurora,* CO","1330",633,4,21,672,14
"88","Des Moines-West Des Moines,* IA","120",112,0,0,8,1
"89","Detroit-Warren-Livonia,* MI","360",316,4,3,37,4
"90","Dothan, AL","30",30,0,0,0,0
"91","Dover,* DE","122",122,0,0,0,0
"92","Dubuque, IA","16",14,2,0,0,0
"93","Duluth, MN-WI","21",16,0,0,5,1
"94","Durham,* NC","253",245,8,0,0,0
"95","Eau Claire, WI","16",12,4,0,0,0
"96","El Centro, CA","82",75,0,0,7,1
"97","El Paso, TX","275",263,0,0,12,1
"98","Elizabethtown, KY","46",28,0,12,6,1
"99","Elkhart-Goshen, IN","35",35,0,0,0,0
"100","Elmira, NY","2",2,0,0,0,0
"101","Erie, PA","12",12,0,0,0,0
"102","Eugene-Springfield, OR","108",82,8,0,18,1
"103","Evansville, IN-KY","65",39,6,4,16,2
"104","Fairbanks,* AK","11",11,0,0,0,0
"105","Fargo, ND-MN","8",8,0,0,0,0
"106","Farmington,* NM","30",30,0,0,0,0
"107","Fayetteville, NC","232",208,0,0,24,1
"108","Fayetteville-Springdale-Rogers,  AR-MO","308",195,28,52,33,2
"109","Flagstaff, AZ","28",28,0,0,0,0
"110","Flint, MI","28",28,0,0,0,0
"111","Florence, SC","46",46,0,0,0,0
"112","Florence-Muscle Shoals, AL","22",22,0,0,0,0
"113","Fond du Lac, WI","4",4,0,0,0,0
"114","Fort Collins-Loveland,* CO","117",88,0,0,29,2
"115","Fort Smith, AR-OK","67",43,14,0,10,1
"116","Fort Walton Beach-Crestview-Destin,  FL","115",60,0,3,52,2
"117","Fort Wayne,* IN","56",56,0,0,0,0
"118","Fresno, CA","329",217,6,6,100,8
"119","Gadsden, AL","13",13,0,0,0,0
"120","Gainesville, FL","88",60,0,0,28,1
"121","Gainesville, GA","168",168,0,0,0,0
"122","Glens Falls, NY","9",9,0,0,0,0
"123","Goldsboro, NC","44",44,0,0,0,0
"124","Grand Forks, ND-MN","0",0,0,0,0,0
"125","Grand Junction,* CO","99",99,0,0,0,0
"126","Grand Rapids-Wyoming,* MI","111",98,0,3,10,1
"127","Great Falls, MT","16",16,0,0,0,0
"128","Greeley,* CO","167",167,0,0,0,0
"129","Green Bay, WI","62",48,4,0,10,1
"130","Greensboro-High Point,* NC","393",263,6,0,124,9
