"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","31",29,2,0,0,0
"2","Akron, OH","129",114,2,0,13,1
"3","Albany, GA","54",48,2,4,0,0
"4","Albany-Schenectady-Troy, NY","423",85,2,0,336,28
"5","Albuquerque,* NM","415",391,0,4,20,1
"6","Alexandria, LA","45",45,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","282",263,4,3,12,2
"8","Altoona, PA","2",2,0,0,0,0
"9","Amarillo, TX","66",66,0,0,0,0
"10","Ames, IA","38",21,0,0,17,1
"11","Anchorage,* AK","62",27,30,0,5,1
"12","Anderson, IN","18",10,8,0,0,0
"13","Anderson, SC","172",172,0,0,0,0
"14","Ann Arbor, MI","39",32,2,0,5,1
"15","Anniston-Oxford, AL","11",11,0,0,0,0
"16","Appleton, WI","34",30,4,0,0,0
"17","Asheville, NC","389",353,4,0,32,2
"18","Athens-Clarke County, GA","97",76,4,6,11,2
"19","Atlanta-Sandy Springs-Marietta,* GA","5021",3877,52,62,1030,31
"20","Atlantic City,* NJ","96",52,0,4,40,1
"21","Auburn-Opelika,* AL","139",139,0,0,0,0
"22","Augusta-Richmond County, GA-SC","233",233,0,0,0,0
"23","Austin-Round Rock,* TX","1448",1384,14,8,42,3
"24","Bakersfield, CA","559",429,90,18,22,1
"25","Baltimore-Towson,* MD","657",309,22,0,326,10
"26","Bangor, ME","14",14,0,0,0,0
"27","Barnstable Town, MA","68",56,0,3,9,1
"28","Baton Rouge, LA","414",412,2,0,0,0
"29","Battle Creek, MI","11",6,0,0,5,1
"30","Bay City, MI","4",4,0,0,0,0
"31","Beaumont-Port Arthur, TX","58",54,0,4,0,0
"32","Bellingham, WA","101",67,4,0,30,1
"33","Bend,* OR","226",175,2,7,42,5
"34","Billings, MT","48",48,0,0,0,0
"35","Binghamton, NY","4",4,0,0,0,0
"36","Birmingham-Hoover,* AL","534",534,0,0,0,0
"37","Bismarck, ND","75",59,0,16,0,0
"38","Bloomington, IN","101",81,0,0,20,1
"39","Bloomington-Normal, IL","48",40,0,0,8,1
"40","Boise City-Nampa,* ID","720",605,12,70,33,4
"41","Boston-Cambridge-Quincy,* MA-NH","804",381,66,34,323,20
"42","Boulder, CO","33",22,0,0,11,1
"43","Bowling Green, KY","71",71,0,0,0,0
"44","Bremerton-Silverdale, WA","134",113,18,3,0,0
"45","Bridgeport-Stamford-Norwalk, CT","90",67,4,0,19,3
"46","Brownsville-Harlingen, TX","185",165,4,11,5,1
"47","Brunswick, GA","70",64,0,0,6,1
"48","Buffalo-Niagara Falls, NY","134",84,0,0,50,1
"49","Burlington, NC","168",168,0,0,0,0
"50","Burlington-South Burlington, VT","88",41,2,3,42,7
"51","Canton-Massillon, OH","59",54,0,0,5,1
"52","Cape Coral-Fort Myers,* FL","1172",702,2,4,464,24
"53","Carson City,* NV","7",7,0,0,0,0
"54","Casper, WY","40",40,0,0,0,0
"55","Cedar Rapids, IA","99",78,6,15,0,0
"56","Champaign-Urbana, IL","262",46,0,4,212,5
"57","Charleston, WV","36",25,0,0,11,2
"58","Charleston-North Charleston,* SC","567",487,0,3,77,5
"59","Charlotte-Gastonia-Concord,* NC-SC","1625",1556,0,7,62,5
"60","Charlottesville, VA","122",122,0,0,0,0
"61","Chattanooga, TN-GA","238",226,6,0,6,1
"62","Cheyenne, WY","55",40,0,3,12,1
"63","Chicago-Naperville-Joliet,* IL-IN-WI","3323",1902,66,91,1264,NA
"64","Cincinnati-Middletown,* OH-KY-IN","795",612,6,21,156,18
"65","Clarksville, TN-KY","216",158,16,20,22,4
"66","Cleveland, TN","41",36,2,3,0,0
"67","Cleveland-Elyria-Mentor,* OH","324",310,6,3,5,1
"68","Coeur dAlene, ID","306",114,0,8,184,22
"69","College Station-Bryan, TX","286",78,34,15,159,7
"70","Colorado Springs,* CO","392",354,8,8,22,1
"71","Columbia, MO","135",103,32,0,0,0
"72","Columbia,* SC","582",532,0,0,50,2
"73","Columbus, GA-AL","136",107,0,4,25,3
"74","Columbus, IN","22",22,0,0,0,0
"75","Columbus,* OH","436",374,6,14,42,6
"76","Corpus Christi, TX","144",117,4,0,23,2
"77","Corvallis, OR","9",9,0,0,0,0
"78","Cumberland, MD-WV","16",16,0,0,0,0
"79","Dallas-Fort Worth-Arlington,* TX","3879",2776,36,70,997,47
"80","Dalton, GA","67",53,2,3,9,1
"81","Danville, IL","0",0,0,0,0,0
"82","Danville, VA","16",16,0,0,0,0
"83","Davenport-Moline-Rock Island,  IA-IL","80",48,0,0,32,NA
"84","Decatur, AL","20",20,0,0,0,0
"85","Decatur, IL","0",0,0,0,0,0
"86","Deltona-Daytona Beach-Ormond Beach,*  FL","311",246,12,4,49,6
"87","Denver-Aurora,* CO","1041",708,4,0,329,11
"88","Des Moines-West Des Moines,* IA","490",255,0,8,227,9
"89","Detroit-Warren-Livonia,* MI","460",416,4,0,40,5
"90","Dothan, AL","41",41,0,0,0,0
"91","Dover,* DE","109",109,0,0,0,0
"92","Dubuque, IA","39",37,2,0,0,0
"93","Duluth, MN-WI","55",42,0,3,10,2
"94","Durham,* NC","257",253,4,0,0,0
"95","Eau Claire, WI","34",34,0,0,0,0
"96","El Centro, CA","127",121,0,0,6,1
"97","El Paso, TX","259",254,0,0,5,1
"98","Elizabethtown, KY","48",46,2,0,0,0
"99","Elkhart-Goshen, IN","69",69,0,0,0,0
"100","Elmira, NY","2",2,0,0,0,0
"101","Erie, PA","89",87,2,0,0,0
"102","Eugene-Springfield, OR","104",104,0,0,0,0
"103","Evansville, IN-KY","111",75,2,0,34,1
"104","Fairbanks,* AK","4",4,0,0,0,0
"105","Fargo, ND-MN","42",42,0,0,0,0
"106","Farmington,* NM","36",36,0,0,0,0
"107","Fayetteville, NC","275",247,0,4,24,1
"108","Fayetteville-Springdale-Rogers,  AR-MO","430",265,34,15,116,4
"109","Flagstaff, AZ","34",34,0,0,0,0
"110","Flint, MI","37",37,0,0,0,0
"111","Florence, SC","57",57,0,0,0,0
"112","Florence-Muscle Shoals, AL","33",33,0,0,0,0
"113","Fond du Lac, WI","12",12,0,0,0,0
"114","Fort Collins-Loveland,* CO","104",104,0,0,0,0
"115","Fort Smith, AR-OK","121",99,22,0,0,0
"116","Fort Walton Beach-Crestview-Destin,  FL","131",72,0,0,59,2
