"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","21",21,0,0,0,0,98
"2","Akron, OH","71",56,0,3,12,1,68
"3","Albany, GA","28",23,2,3,0,0,85
"4","Albany-Schenectady-Troy, NY","162",64,0,0,98,6,75
"5","Albuquerque,  NM","260",223,0,4,33,1,100
"6","Alexandria, LA","35",35,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","175",170,0,0,5,1,100
"8","Altoona, PA","1",1,0,0,0,0,9
"9","Amarillo, TX","80",41,0,0,39,3,97
"10","Ames, IA","20",12,0,0,8,1,94
"11","Anchorage,  AK","49",33,12,4,0,0,100
"12","Anderson, IN","8",8,0,0,0,0,64
"13","Anderson, SC","155",92,4,15,44,6,89
"14","Ann Arbor, MI","23",18,0,0,5,1,71
"15","Anniston-Oxford, AL","20",20,0,0,0,0,83
"16","Appleton, WI","93",43,2,0,48,1,81
"17","Asheville, NC","181",161,0,7,13,2,94
"18","Athens-Clarke County, GA","53",47,2,4,0,0,79
"19","Atlanta-Sandy Springs-Marietta,  GA","1913",1703,8,26,176,9,100
"20","Atlantic City-Hammonton,  NJ","150",143,2,0,5,1,100
"21","Auburn-Opelika,  AL","101",91,6,4,0,0,100
"22","Augusta-Richmond County, GA-SC","131",131,0,0,0,0,75
"23","Austin-Round Rock,  TX","1117",1027,20,0,70,6,100
"24","Bakersfield, CA","200",149,14,37,0,0,86
"25","Baltimore-Towson,  MD","398",384,0,0,14,2,100
"26","Bangor, ME","18",18,0,0,0,0,53
"27","Barnstable Town, MA","44",34,0,0,10,2,87
"28","Baton Rouge, LA","627",244,2,3,378,31,93
"29","Battle Creek, MI","9",3,0,0,6,1,68
"30","Bay City, MI","3",3,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","57",57,0,0,0,0,71
"32","Bellingham, WA","55",37,0,7,11,1,77
"33","Bend,  OR","77",77,0,0,0,0,100
"34","Billings, MT","40",40,0,0,0,0,92
"35","Binghamton, NY","3",3,0,0,0,0,15
"36","Birmingham-Hoover,  AL","567",305,10,0,252,10,100
"37","Bismarck, ND","138",71,0,8,59,3,98
"38","Bloomington, IN","47",29,2,0,16,1,85
"39","Bloomington-Normal, IL","34",27,0,0,7,1,86
"40","Boise City-Nampa,  ID","351",305,18,28,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","672",327,18,11,316,20,100
"42","Boulder, CO","65",11,2,0,52,2,72
"43","Bowling Green, KY","42",40,2,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","195",165,2,4,24,1,100
"45","Bremerton-Silverdale, WA","57",45,0,0,12,1,79
"46","Bridgeport-Stamford-Norwalk, CT","68",49,0,0,19,2,89
"47","Brownsville-Harlingen, TX","101",95,6,0,0,0,83
"48","Brunswick, GA","43",43,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","87",74,0,8,5,1,78
"50","Burlington, NC","78",78,0,0,0,0,95
"51","Burlington-South Burlington, VT","41",22,6,8,5,1,86
"52","Canton-Massillon, OH","42",37,0,0,5,1,82
"53","Cape Coral-Fort Myers,  FL","153",117,6,0,30,4,100
"54","Carson City,  NV","0",0,0,0,0,0,100
"55","Casper, WY","42",42,0,0,0,0,85
"56","Cedar Rapids, IA","84",74,4,6,0,0,91
"57","Champaign-Urbana, IL","63",16,0,3,44,2,83
"58","Charleston, WV","20",20,0,0,0,0,47
"59","Charleston-North Charleston-Summerville,  SC","482",471,0,0,11,2,NA
"60","Charlottesville, VA","112",64,0,0,48,3,70
"61","Chattanooga, TN-GA","117",104,2,0,11,1,75
"62","Cheyenne, WY","18",18,0,0,0,0,98
"63","Chicago-Naperville-Joliet,  IL-IN-WI","2520",970,6,77,1467,33,NA
"64","Cincinnati-Middletown,  OH-KY-IN","472",374,10,23,65,9,100
"65","Clarksville, TN-KY","101",90,0,11,0,0,22
"66","Cleveland, TN","43",32,2,4,5,1,74
"67","Cleveland-Elyria-Mentor,  OH","242",202,0,6,34,4,100
"68","Coeur dAlene, ID","121",87,14,0,20,1,99
"69","College Station-Bryan, TX","213",123,28,0,62,4,99
"70","Colorado Springs,  CO","181",181,0,0,0,0,100
"71","Columbia, MO","64",56,0,8,0,0,100
"72","Columbia,  SC","447",376,2,0,69,4,100
"73","Columbus, GA-AL","87",65,0,3,19,2,73
"74","Columbus, IN","18",18,0,0,0,0,99
"75","Columbus,  OH","565",398,12,80,75,5,100
"76","Corpus Christi, TX","98",90,8,0,0,0,83
