"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","17",17,0,0,0,0,98
"2","Akron, OH","78",62,0,3,13,1,68
"3","Albany, GA","20",15,2,3,0,0,96
"4","Albany-Schenectady-Troy, NY","128",66,0,7,55,5,75
"5","Albuquerque,  NM","181",141,0,3,37,2,100
"6","Alexandria, LA","28",28,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","152",150,2,0,0,0,100
"8","Altoona, PA","3",3,0,0,0,0,9
"9","Amarillo, TX","0",0,0,0,0,0,97
"10","Ames, IA","18",9,0,0,9,1,94
"11","Anchorage,  AK","42",16,6,4,16,1,100
"12","Anderson, IN","4",4,0,0,0,0,64
"13","Anderson, SC","39",39,0,0,0,0,89
"14","Ann Arbor, MI","20",15,0,0,5,1,71
"15","Anniston-Oxford, AL","9",9,0,0,0,0,83
"16","Appleton, WI","42",36,6,0,0,0,81
"17","Asheville, NC","162",155,0,7,0,0,94
"18","Athens-Clarke County, GA","70",30,0,0,40,2,79
"19","Atlanta-Sandy Springs-Marietta,  GA","1707",881,6,23,797,25,100
"20","Atlantic City-Hammonton,  NJ","54",49,0,0,5,1,100
"21","Auburn-Opelika,  AL","45",39,0,0,6,1,100
"22","Augusta-Richmond County, GA-SC","105",105,0,0,0,0,75
"23","Austin-Round Rock,  TX","1318",598,14,0,706,32,100
"24","Bakersfield, CA","142",125,4,8,5,1,86
"25","Baltimore-Towson,  MD","419",268,0,0,151,4,100
"26","Bangor, ME","14",14,0,0,0,0,53
"27","Barnstable Town, MA","34",34,0,0,0,0,87
"28","Baton Rouge, LA","316",166,8,0,142,6,93
"29","Battle Creek, MI","1",1,0,0,0,0,68
"30","Bay City, MI","2",2,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","284",38,0,0,246,12,71
"32","Bellingham, WA","43",29,0,4,10,1,77
"33","Bend,  OR","69",59,4,0,6,1,100
"34","Billings, MT","92",92,0,0,0,0,92
"35","Binghamton, NY","4",4,0,0,0,0,15
"36","Birmingham-Hoover,  AL","240",204,0,0,36,4,100
"37","Bismarck, ND","49",35,2,12,0,0,98
"38","Bloomington, IN","21",7,2,0,12,2,85
"39","Bloomington-Normal, IL","23",14,0,0,9,1,86
"40","Boise City-Nampa,  ID","191",189,2,0,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","435",312,12,15,96,12,100
"42","Boulder, CO","27",14,0,0,13,2,72
"43","Bowling Green, KY","59",23,0,36,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","209",116,0,0,93,9,100
"45","Bremerton-Silverdale, WA","34",34,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","71",52,2,7,10,2,89
"47","Brownsville-Harlingen, TX","91",65,2,0,24,4,83
"48","Brunswick, GA","32",32,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","84",76,0,0,8,1,78
"50","Burlington, NC","44",44,0,0,0,0,95
"51","Burlington-South Burlington, VT","40",17,18,0,5,1,86
"52","Canton-Massillon, OH","27",20,2,0,5,1,82
