"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","21",19,2,0,0,0,91
"2","Akron, OH","35",27,0,0,8,1,69
"3","Albany, GA","22",22,0,0,0,0,84
"4","Albany-Schenectady-Troy, NY","52",49,0,3,0,0,59
"5","Albuquerque,  NM","310",225,0,24,61,3,100
"6","Alexandria, LA","32",32,0,0,0,0,97
"7","Allentown-Bethlehem-Easton,  PA-NJ","151",141,0,0,10,2,100
"8","Altoona, PA","0",0,0,0,0,0,7
"9","Amarillo, TX","62",62,0,0,0,0,79
"10","Ames, IA","6",6,0,0,0,0,92
"11","Anchorage,  AK","36",13,0,7,16,1,100
"12","Anderson, IN","2",2,0,0,0,0,73
"13","Anderson, SC","36",36,0,0,0,0,90
"14","Ann Arbor, MI","22",12,0,0,10,1,72
"15","Anniston-Oxford, AL","16",14,2,0,0,0,78
"16","Appleton, WI","33",33,0,0,0,0,79
"17","Asheville, NC","183",183,0,0,0,0,88
"18","Athens-Clarke County, GA","55",28,0,0,27,1,73
"19","Atlanta-Sandy Springs-Marietta,  GA","1808",1693,6,23,86,7,100
"20","Atlantic City-Hammonton,  NJ","66",56,0,0,10,2,100
"21","Auburn-Opelika,  AL","57",57,0,0,0,0,100
"22","Augusta-Richmond County, GA-SC","127",127,0,0,0,0,80
"23","Austin-Round Rock,  TX","1497",759,50,0,688,27,100
"24","Bakersfield, CA","202",150,8,31,13,2,90
"25","Baltimore-Towson,  MD","280",226,0,0,54,3,100
"26","Bangor, ME","11",7,0,4,0,0,49
"27","Barnstable Town, MA","34",34,0,0,0,0,88
"28","Baton Rouge, LA","243",171,0,0,72,9,94
"29","Battle Creek, MI","1",1,0,0,0,0,55
"30","Bay City, MI","1",1,0,0,0,0,21
"31","Beaumont-Port Arthur, TX","32",32,0,0,0,0,76
"32","Bellingham, WA","46",26,2,3,15,1,69
"33","Bend,  OR","63",61,2,0,0,0,100
"34","Billings, MT","76",76,0,0,0,0,90
"35","Binghamton, NY","1",1,0,0,0,0,18
"36","Birmingham-Hoover,  AL","363",298,0,0,65,4,100
"37","Bismarck, ND","42",24,0,0,18,3,98
"38","Bloomington, IN","22",19,0,3,0,0,86
"39","Bloomington-Normal, IL","31",26,0,0,5,1,84
"40","Boise City-Nampa,  ID","279",257,2,20,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","359",205,16,10,128,15,100
"42","Boulder, CO","35",20,0,0,15,2,78
"43","Bowling Green, KY","28",28,0,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","228",177,0,36,15,2,100
"45","Bremerton-Silverdale, WA","98",52,0,8,38,2,84
"46","Bridgeport-Stamford-Norwalk, CT","75",57,18,0,0,0,90
"47","Brownsville-Harlingen, TX","117",107,0,4,6,1,86
"48","Brunswick, GA","38",38,0,0,0,0,80
"49","Buffalo-Niagara Falls, NY","65",65,0,0,0,0,78
"50","Burlington, NC","71",67,0,4,0,0,92
"51","Burlington-South Burlington, VT","18",18,0,0,0,0,82
"52","Canton-Massillon, OH","28",23,0,0,5,1,82
"53","Cape Coral-Fort Myers,  FL","136",118,2,0,16,2,100
"54","Carson City,  NV","1",1,0,0,0,0,100
"55","Casper, WY","13",13,0,0,0,0,86
"56","Cedar Rapids, IA","31",23,0,8,0,0,86
"57","Champaign-Urbana, IL","112",16,0,0,96,6,66
"58","Charleston, WV","10",10,0,0,0,0,43
"59","Charleston-North Charleston-Summerville,  SC","317",264,2,3,48,3,NA
"60","Charlottesville, VA","54",45,0,0,9,1,66
"61","Chattanooga, TN-GA","108",93,2,0,13,1,82
"62","Cheyenne, WY","14",14,0,0,0,0,100
"63","Chicago-Naperville-Joliet,  IL-IN-WI","957",523,20,67,347,14,NA
"64","Cincinnati-Middletown,  OH-KY-IN","275",215,0,20,40,5,100
"65","Clarksville, TN-KY","76",74,2,0,0,0,54
"66","Cleveland, TN","25",23,2,0,0,0,81
"67","Cleveland-Elyria-Mentor,  OH","168",165,0,3,0,0,100
"68","Coeur dAlene, ID","65",46,0,0,19,1,97
"69","College Station-Bryan, TX","127",92,0,6,29,5,98
"70","Colorado Springs,  CO","148",148,0,0,0,0,100
"71","Columbia, MO","67",67,0,0,0,0,100
"72","Columbia,  SC","332",291,0,4,37,2,100
"73","Columbus, GA-AL","82",60,0,3,19,2,88
"74","Columbus, IN","11",11,0,0,0,0,99
"75","Columbus,  OH","162",143,0,19,0,0,100
"76","Corpus Christi, TX","105",99,6,0,0,0,89
"77","Corvallis, OR","4",4,0,0,0,0,69
"78","Cumberland, MD-WV","6",6,0,0,0,0,20
"79","Dallas-Fort Worth-Arlington,  TX","2415",1735,40,12,628,17,100
"80","Dalton, GA","28",23,0,0,5,1,88
"81","Danville, IL","0",0,0,0,0,0,11
"82","Danville, VA","9",9,0,0,0,0,81
"83","Davenport-Moline-Rock Island,  IA-IL","12",12,0,0,0,0,NA
"84","Decatur, AL","25",13,0,0,12,1,77
"85","Decatur, IL","0",0,0,0,0,0,67
"86","Deltona-Daytona Beach-Ormond Beach,  FL","205",68,0,0,137,3,NA
"87","Des Moines-West Des Moines,  IA","129",129,0,0,0,0,100
"88","Detroit-Warren-Livonia,  MI","241",131,0,0,110,2,100
"89","Dothan, AL","19",19,0,0,0,0,87
"90","Dover,  DE","55",55,0,0,0,0,100
"91","Dubuque, IA","11",7,4,0,0,0,84
"92","Duluth, MN-WI","19",14,0,0,5,1,69
"93","Durham,  NC","207",152,2,0,53,3,100
"94","Eau Claire, WI","10",4,6,0,0,0,92
"95","El Centro, CA","43",38,0,0,5,1,85
"96","El Paso, TX","409",257,0,0,152,9,90
"97","Elizabethtown, KY","21",15,6,0,0,0,59
"98","Elkhart-Goshen, IN","29",29,0,0,0,0,97
"99","Elmira, NY","0",0,0,0,0,0,20
"100","Erie, PA","3",3,0,0,0,0,57
"101","Eugene-Springfield, OR","140",67,2,0,71,3,100
"102","Evansville, IN-KY","35",30,0,0,5,1,88
"103","Fairbanks,  AK","9",7,2,0,0,0,100
"104","Fargo, ND-MN","8",8,0,0,0,0,79
"105","Farmington,  NM","21",17,0,4,0,0,100
"106","Fayetteville, NC","444",130,0,0,314,19,96
"107","Fayetteville-Springdale-Rogers,  AR-MO","752",93,10,23,626,44,91
"108","Flagstaff, AZ","13",13,0,0,0,0,93
"109","Flint, MI","38",6,0,0,32,1,61
"110","Florence, SC","34",34,0,0,0,0,97
"111","Florence-Muscle Shoals, AL","70",30,0,0,40,3,94
"112","Fond du Lac, WI","15",6,4,0,5,1,56
"113","Fort Collins-Loveland,  CO","55",47,0,0,8,1,100
"114","Fort Smith, AR-OK","41",33,0,0,8,1,90
"115","Fort Walton Beach-Crestview-Destin,  FL","26",26,0,0,0,0,55
"116","Fort Wayne,  IN","27",27,0,0,0,0,100
"117","Fresno, CA","94",84,0,3,7,1,76
"118","Gadsden, AL","7",7,0,0,0,0,62
"119","Gainesville, FL","109",40,2,32,35,2,99
"120","Gainesville, GA","72",72,0,0,0,0,82
"121","Glens Falls, NY","14",9,0,0,5,1,84
"122","Goldsboro, NC","40",40,0,0,0,0,83
"123","Grand Forks, ND-MN","3",1,2,0,0,0,988
"124","Grand Junction,  CO","114",42,0,0,72,9,100
"125","Grand Rapids-Wyoming,  MI","87",70,2,3,12,2,100
"126","Great Falls, MT","9",9,0,0,0,0,62
"127","Greeley,  CO","89",73,0,3,13,1,100
"128","Green Bay, WI","43",33,0,0,10,2,80
"129","Greensboro-High Point,  NC","376",244,0,0,132,6,100
"130","Greenville, NC","73",63,10,0,0,0,99
"131","Greenville,  SC","351",286,0,11,54,7,100
"132","Gulfport-Biloxi, MS","499",205,28,132,134,9,96
"133","Hagerstown-Martinsburg, MD-WV","119",87,0,8,24,2,91
"134","Hanford-Corcoran, CA","21",12,0,4,5,1,82
"135","Harrisburg-Carlisle, PA","80",78,2,0,0,0,67
"136","Harrisonburg,  VA","28",28,0,0,0,0,100
"137","Hartford-West Hartford-East Hartford,  CT","85",58,2,0,25,4,84
"138","Hattiesburg, MS","16",0,0,0,16,2,80
"139","Hickory-Lenoir-Morganton, NC","94",86,0,0,8,1,97
"140","Hinesville-Fort Stewart, GA","5",5,0,0,0,0,35
"141","Holland-Grand Haven, MI","16",16,0,0,0,0,79
"142","Honolulu,  HI","122",49,0,0,73,1,100
"143","Hot Springs, AR","5",5,0,0,0,0,100
"144","Houma-Bayou Cane-Thibodaux, LA","52",52,0,0,0,0,91
"145","Houston-Sugar Land-Baytown,  TX","3551",2671,24,11,845,22,100
"146","Huntington-Ashland, WV-KY-OH","10",5,0,0,5,1,0
"147","Huntsville, AL","194",194,0,0,0,0,98
"148","Idaho Falls, ID","29",29,0,0,0,0,99
"149","Indianapolis-Carmel,  IN","659",355,6,0,298,16,100
"150","Iowa City, IA","15",15,0,0,0,0,94
"151","Ithaca, NY","2",2,0,0,0,0,65
"152","Jackson, MI","3",3,0,0,0,0,59
"153","Jackson, MS","171",158,2,0,11,1,93
"154","Jackson, TN","22",22,0,0,0,0,94
"155","Jacksonville,  FL","440",400,0,0,40,2,100
"156","Jacksonville, NC","118",100,0,3,15,3,90
"157","Janesville, WI","15",11,4,0,0,0,83
"158","Jefferson City, MO","9",6,0,3,0,0,68
"159","Johnson City, TN","44",44,0,0,0,0,100
"160","Johnstown, PA","2",2,0,0,0,0,8
"161","Jonesboro, AR","16",16,0,0,0,0,93
"162","Joplin, MO","4",4,0,0,0,0,52
"163","Kalamazoo-Portage, MI","23",21,2,0,0,0,69
"164","Kankakee-Bradley, IL","1",1,0,0,0,0,23
"165","Kansas City,  MO-KS","669",216,30,24,399,20,100
"166","Kennewick-Pasco-Richland, WA","61",59,2,0,0,0,90
"167","Killeen-Temple-Fort Hood, TX","321",128,14,16,163,24,83
"168","Kingsport-Bristol-Bristol, TN-VA","46",33,2,0,11,2,70
"169","Kingston, NY","8",8,0,0,0,0,50
"170","Knoxville, TN","360",196,0,3,161,5,83
"171","Kokomo, IN","1",1,0,0,0,0,57
"172","La Crosse, WI-MN","8",8,0,0,0,0,0
"173","Lafayette, IN","19",19,0,0,0,0,89
"174","Lafayette, LA","94",70,2,0,22,1,87
"175","Lake Charles, LA","42",37,0,0,5,1,67
"176","Lake Havasu City-Kingman, AZ","79",46,2,31,0,0,99
"177","Lakeland-Winter Haven,  FL","287",280,0,7,0,0,100
"178","Lancaster, PA","60",35,0,0,25,1,58
"179","Lansing-East Lansing, MI","21",16,0,0,5,1,78
"180","Laredo,  TX","100",79,0,7,14,1,100
"181","Las Cruces,  NM","87",65,0,4,18,2,100
"182","Las Vegas-Paradise,  NV","1633",401,20,0,1212,30,100
"183","Lawrence, KS","11",11,0,0,0,0,94
"184","Lawton, OK","12",12,0,0,0,0,80
"185","Lebanon, PA","34",34,0,0,0,0,91
"186","Lewiston, ID-WA","9",2,2,0,5,1,72
"187","Lewiston-Auburn, ME","7",7,0,0,0,0,74
"188","Lexington-Fayette, KY","208",97,0,7,104,6,97
"189","Lima, OH","3",1,2,0,0,0,20
"190","Lincoln, NE","34",27,0,0,7,1,88
"191","Little Rock-North Little Rock, AR","182",160,6,8,8,1,90
"192","Logan, UT-ID","22",10,0,0,12,2,6
"193","Longview, TX","24",11,0,0,13,1,78
"194","Longview, WA","38",33,0,0,5,1,77
"195","Los Angeles-Long Beach-Santa Ana,  CA","2421",395,54,45,1927,48,NA
"196","Lubbock, TX","374",76,0,0,298,1,92
"197","Lynchburg, VA","91",91,0,0,0,0,81
"198","Macon, GA","268",28,0,0,240,3,50
"199","Madera, CA","15",15,0,0,0,0,78
"200","Madison,  WI","89",58,8,0,23,2,100
"201","Manchester-Nashua, NH","32",20,6,0,6,1,89
"202","Mansfield, OH","6",6,0,0,0,0,87
"203","McAllen-Edinburg-Mission,  TX","359",312,4,28,15,1,100
"204","Medford, OR","36",36,0,0,0,0,100
"205","Memphis,  TN-MS-AR","215",209,6,0,0,0,100
"206","Merced, CA","118",13,0,0,105,7,85
"207","Miami-Fort Lauderdale-Miami Beach,  FL","1243",347,24,14,858,16,NA
"208","Midland,  TX","45",45,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","328",88,0,3,237,5,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","286",254,2,0,30,3,NA
"211","Mobile, AL","321",129,0,0,192,10,98
"212","Modesto, CA","25",17,0,0,8,1,92
"213","Monroe, LA","25",20,0,0,5,1,68
"214","Monroe, MI","4",4,0,0,0,0,56
"215","Montgomery, AL","51",51,0,0,0,0,96
"216","Morgantown, WV","60",4,0,0,56,1,23
"217","Morristown, TN","16",16,0,0,0,0,87
"218","Mount Vernon-Anacortes, WA","25",25,0,0,0,0,80
"219","Muncie, IN","2",2,0,0,0,0,78
"220","Muskegon-Norton Shores, MI","3",3,0,0,0,0,55
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","249",171,2,0,76,4,100
"222","Napa, CA","6",6,0,0,0,0,86
"223","Naples-Marco Island,  FL","79",47,0,16,16,1,100
"224","Nashville-Davidson--Murfreesboro,  TN","536",530,6,0,0,0,NA
"225","New Orleans-Metairie-Kenner,  LA","480",296,4,0,180,1,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","2463",603,278,66,1516,63,NA
"227","Norwich-New London, CT","23",23,0,0,0,0,87
"228","Ocala,  FL","103",101,2,0,0,0,100
"229","Ocean City,  NJ","34",32,2,0,0,0,100
"230","Odessa,  TX","27",27,0,0,0,0,100
"231","Ogden-Clearfield, UT","107",96,0,3,8,1,86
"232","Oklahoma City,  OK","355",343,2,0,10,1,100
"233","Olympia, WA","71",67,4,0,0,0,93
"234","Omaha-Council Bluffs,  NE-IA","165",150,0,3,12,2,100
"235","Orlando-Kissimmee,  FL","846",611,0,0,235,15,100
"236","Oshkosh-Neenah, WI","11",9,2,0,0,0,87
"237","Owensboro, KY","15",15,0,0,0,0,96
"238","Oxnard-Thousand Oaks-Ventura, CA","155",61,0,0,94,3,97
"239","Palm Bay-Melbourne-Titusville,  FL","150",108,0,0,42,2,100
"240","Palm Coast, FL","19",19,0,0,0,0,100
"241","Panama City-Lynn Haven, FL","250",34,0,0,216,9,98
