"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","20",20,0,0,0,0,98
"2","Akron, OH","66",51,0,3,12,1,68
"3","Albany, GA","24",19,2,3,0,0,96
"4","Albany-Schenectady-Troy, NY","106",72,0,0,34,4,75
"5","Albuquerque,  NM","204",166,2,3,33,1,100
"6","Alexandria, LA","30",30,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","199",181,2,4,12,2,100
"8","Altoona, PA","0",0,0,0,0,0,9
"9","Amarillo, TX","41",41,0,0,0,0,97
"10","Ames, IA","19",12,0,0,7,1,94
"11","Anchorage,  AK","52",44,0,8,0,0,100
"12","Anderson, IN","5",5,0,0,0,0,64
"13","Anderson, SC","39",39,0,0,0,0,89
"14","Ann Arbor, MI","27",22,0,0,5,1,71
"15","Anniston-Oxford, AL","12",10,2,0,0,0,83
"16","Appleton, WI","49",45,4,0,0,0,81
"17","Asheville, NC","195",180,2,0,13,1,94
"18","Athens-Clarke County, GA","26",24,2,0,0,0,79
"19","Atlanta-Sandy Springs-Marietta,  GA","1509",873,0,6,630,12,100
"20","Atlantic City-Hammonton,  NJ","61",59,2,0,0,0,100
"21","Auburn-Opelika,  AL","61",54,4,3,0,0,100
"22","Augusta-Richmond County, GA-SC","109",107,2,0,0,0,75
"23","Austin-Round Rock,  TX","1094",766,12,11,305,7,100
"24","Bakersfield, CA","197",128,12,52,5,1,86
"25","Baltimore-Towson,  MD","763",275,0,0,488,9,100
"26","Bangor, ME","18",16,2,0,0,0,53
"27","Barnstable Town, MA","69",33,0,3,33,2,87
"28","Baton Rouge, LA","353",203,2,0,148,5,93
"29","Battle Creek, MI","8",3,0,0,5,1,68
"30","Bay City, MI","3",3,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","48",48,0,0,0,0,71
"32","Bellingham, WA","63",44,0,0,19,1,77
"33","Bend,  OR","88",81,2,0,5,1,100
"34","Billings, MT","47",47,0,0,0,0,92
"35","Binghamton, NY","5",5,0,0,0,0,15
"36","Birmingham-Hoover,  AL","420",194,0,0,226,2,100
"37","Bismarck, ND","60",51,0,0,9,1,98
"38","Bloomington, IN","27",25,2,0,0,0,85
"39","Bloomington-Normal, IL","23",15,0,0,8,1,86
"40","Boise City-Nampa,  ID","209",178,12,19,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","565",291,18,26,230,18,100
"42","Boulder, CO","26",13,0,8,5,1,72
"43","Bowling Green, KY","42",42,0,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","169",139,2,3,25,2,100
"45","Bremerton-Silverdale, WA","84",69,0,15,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","97",51,2,0,44,3,89
"47","Brownsville-Harlingen, TX","88",80,4,4,0,0,83
"48","Brunswick, GA","37",37,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","101",85,0,0,16,2,78
"50","Burlington, NC","66",66,0,0,0,0,95
"51","Burlington-South Burlington, VT","42",28,0,0,14,1,86
"52","Canton-Massillon, OH","34",29,0,0,5,1,82
"53","Cape Coral-Fort Myers,  FL","125",125,0,0,0,0,100
"54","Carson City,  NV","2",2,0,0,0,0,100
"55","Casper, WY","42",42,0,0,0,0,85
"56","Cedar Rapids, IA","103",61,6,30,6,1,91
"57","Champaign-Urbana, IL","29",25,0,4,0,0,83
"58","Charleston, WV","21",9,0,6,6,1,47
"59","Charleston-North Charleston-Summerville,  SC","414",312,6,0,96,6,NA
