"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","14",14,0,0,0,0,98
"2","Akron, OH","76",64,0,0,12,1,68
"3","Albany, GA","27",20,2,0,5,1,96
"4","Albany-Schenectady-Troy, NY","510",75,0,0,435,11,75
"5","Albuquerque,  NM","275",216,0,7,52,2,100
"6","Alexandria, LA","32",32,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","185",149,0,0,36,5,100
"8","Altoona, PA","0",0,0,0,0,0,9
"9","Amarillo, TX","35",35,0,0,0,0,97
"10","Ames, IA","40",12,0,0,28,1,94
"11","Anchorage,  AK","56",38,8,0,10,2,100
"12","Anderson, IN","9",9,0,0,0,0,64
"13","Anderson, SC","48",48,0,0,0,0,89
"14","Ann Arbor, MI","22",17,0,0,5,1,71
"15","Anniston-Oxford, AL","17",17,0,0,0,0,83
"16","Appleton, WI","43",43,0,0,0,0,81
"17","Asheville, NC","178",153,2,6,17,2,94
"18","Athens-Clarke County, GA","75",43,0,3,29,2,79
"19","Atlanta-Sandy Springs-Marietta,  GA","1994",1192,6,19,777,32,100
"20","Atlantic City-Hammonton,  NJ","85",56,2,0,27,2,100
"21","Auburn-Opelika,  AL","73",61,2,0,10,1,100
"22","Augusta-Richmond County, GA-SC","146",127,0,0,19,1,75
"23","Austin-Round Rock,  TX","1089",690,20,0,379,15,100
"24","Bakersfield, CA","178",145,10,16,7,1,86
"25","Baltimore-Towson,  MD","526",335,0,9,182,7,100
"26","Bangor, ME","105",8,0,0,97,2,53
"27","Barnstable Town, MA","63",26,0,0,37,3,87
"28","Baton Rouge, LA","359",231,4,4,120,7,93
"29","Battle Creek, MI","11",5,0,0,6,1,68
"30","Bay City, MI","2",2,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","56",56,0,0,0,0,71
"32","Bellingham, WA","47",47,0,0,0,0,77
"33","Bend,  OR","72",67,0,0,5,1,100
"34","Billings, MT","70",70,0,0,0,0,92
"35","Binghamton, NY","5",5,0,0,0,0,15
"36","Birmingham-Hoover,  AL","406",217,0,0,189,4,100
"37","Bismarck, ND","98",62,0,0,36,1,98
"38","Bloomington, IN","49",26,2,0,21,1,85
"39","Bloomington-Normal, IL","22",14,0,0,8,1,86
"40","Boise City-Nampa,  ID","261",230,12,19,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","1922",319,46,26,1531,69,100
"42","Boulder, CO","29",17,0,0,12,2,72
"43","Bowling Green, KY","55",47,8,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","164",149,2,3,10,1,100
"45","Bremerton-Silverdale, WA","61",61,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","93",41,2,0,50,2,89
"47","Brownsville-Harlingen, TX","99",91,0,8,0,0,83
"48","Brunswick, GA","39",39,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","95",69,0,0,26,3,78
"50","Burlington, NC","49",49,0,0,0,0,95
"51","Burlington-South Burlington, VT","68",22,4,0,42,2,86
"52","Canton-Massillon, OH","30",25,0,0,5,1,82
"53","Cape Coral-Fort Myers,  FL","147",113,2,8,24,3,100
"54","Carson City,  NV","1",1,0,0,0,0,100
"55","Casper, WY","59",43,0,16,0,0,85
"56","Cedar Rapids, IA","62",51,8,3,0,0,91
"57","Champaign-Urbana, IL","76",30,0,0,46,2,83
"58","Charleston, WV","10",10,0,0,0,0,47
"59","Charleston-North Charleston-Summerville,  SC","475",391,2,3,79,6,NA
"60","Charlottesville, VA","55",55,0,0,0,0,70
"61","Chattanooga, TN-GA","130",117,2,0,11,1,75
"62","Cheyenne, WY","18",18,0,0,0,0,98
"63","Chicago-Naperville-Joliet,  IL-IN-WI","1473",865,10,58,540,21,NA
"64","Cincinnati-Middletown,  OH-KY-IN","531",330,0,15,186,9,100
"65","Clarksville, TN-KY","103",96,0,7,0,0,22
"66","Cleveland, TN","36",25,2,4,5,1,74
"67","Cleveland-Elyria-Mentor,  OH","223",210,8,0,5,1,100
"68","Coeur dAlene, ID","88",56,4,0,28,2,99
"69","College Station-Bryan, TX","57",57,0,0,0,0,99
"70","Colorado Springs,  CO","262",140,0,0,122,3,100
"71","Columbia, MO","75",52,8,3,12,1,100
"72","Columbia,  SC","389",352,0,0,37,2,100
"73","Columbus, GA-AL","100",60,0,3,37,4,73
"74","Columbus, IN","15",15,0,0,0,0,99
"75","Columbus,  OH","459",282,2,0,175,11,100
"76","Corpus Christi, TX","106",96,2,8,0,0,83
"77","Corvallis, OR","3",3,0,0,0,0,54
"78","Cumberland, MD-WV","4",4,0,0,0,0,5
"79","Dallas-Fort Worth-Arlington,  TX","2999",1881,22,15,1081,31,100
"80","Dalton, GA","33",26,2,0,5,1,95
"81","Danville, IL","0",0,0,0,0,0,4
"82","Danville, VA","9",9,0,0,0,0,55
"83","Davenport-Moline-Rock Island,  IA-IL","34",27,2,0,5,1,NA
"84","Decatur, AL","11",11,0,0,0,0,67
"85","Decatur, IL","8",8,0,0,0,0,18
"86","Deltona-Daytona Beach-Ormond Beach,  FL","110",93,0,0,17,2,NA
"87","Des Moines-West Des Moines,  IA","347",148,2,0,197,7,100
"88","Detroit-Warren-Livonia,  MI","231",196,0,0,35,4,100
"89","Dothan, AL","40",40,0,0,0,0,85
"90","Dover,  DE","74",69,0,0,5,1,100
"91","Dubuque, IA","23",19,4,0,0,0,84
"92","Duluth, MN-WI","83",43,0,0,40,3,69
"93","Durham,  NC","207",191,4,0,12,1,100
"94","Eau Claire, WI","36",32,4,0,0,0,91
"95","El Centro, CA","29",21,0,3,5,1,71
"96","El Paso, TX","271",271,0,0,0,0,96
"97","Elizabethtown, KY","47",29,0,4,14,1,62
"98","Elkhart-Goshen, IN","46",41,0,0,5,1,97
"99","Elmira, NY","1",1,0,0,0,0,11
"100","Erie, PA","23",23,0,0,0,0,74
"101","Eugene-Springfield, OR","55",53,2,0,0,0,100
"102","Evansville, IN-KY","84",45,0,3,36,5,89
"103","Fairbanks,  AK","5",5,0,0,0,0,100
"104","Fargo, ND-MN","111",87,0,0,24,1,78
"105","Farmington,  NM","41",41,0,0,0,0,100
"106","Fayetteville, NC","141",117,0,0,24,1,93
"107","Fayetteville-Springdale-Rogers,  AR-MO","192",125,16,6,45,4,93
"108","Flagstaff, AZ","20",20,0,0,0,0,91
"109","Flint, MI","15",15,0,0,0,0,63
"110","Florence, SC","61",44,0,0,17,1,99
"111","Florence-Muscle Shoals, AL","24",17,2,0,5,1,88
"112","Fond du Lac, WI","13",6,2,0,5,1,44
"113","Fort Collins-Loveland,  CO","97",52,0,0,45,4,100
"114","Fort Smith, AR-OK","54",36,14,4,0,0,92
"115","Fort Walton Beach-Crestview-Destin,  FL","58",26,0,0,32,2,77
"116","Fort Wayne,  IN","80",78,2,0,0,0,100
"117","Fresno, CA","470",459,2,3,6,1,81
"118","Gadsden, AL","8",8,0,0,0,0,62
"119","Gainesville, FL","68",37,0,0,31,1,99
"120","Gainesville, GA","36",36,0,0,0,0,94
"121","Glens Falls, NY","28",26,2,0,0,0,77
"122","Goldsboro, NC","30",30,0,0,0,0,79
"123","Grand Forks, ND-MN","11",11,0,0,0,0,221
"124","Grand Junction,  CO","75",75,0,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","131",103,0,0,28,3,100
"126","Great Falls, MT","4",4,0,0,0,0,91
"127","Greeley,  CO","131",106,0,3,22,2,100
"128","Green Bay, WI","94",82,0,3,9,1,80
"129","Greensboro-High Point,  NC","378",177,0,0,201,11,100
"130","Greenville, NC","290",49,20,0,221,4,99
"131","Greenville,  SC","298",259,2,0,37,5,100
"132","Gulfport-Biloxi, MS","350",194,20,16,120,5,93
"133","Hagerstown-Martinsburg, MD-WV","119",59,0,0,60,5,96
"134","Hanford-Corcoran, CA","15",7,8,0,0,0,78
"135","Harrisburg-Carlisle, PA","87",87,0,0,0,0,54
"136","Harrisonburg,  VA","105",47,0,0,58,5,100
"137","Hartford-West Hartford-East Hartford,  CT","439",107,2,0,330,12,88
"138","Hattiesburg, MS","5",5,0,0,0,0,92
