"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","26",26,0,0,0,0,98
"2","Akron, OH","74",66,0,0,8,1,68
"3","Albany, GA","28",23,2,3,0,0,96
"4","Albany-Schenectady-Troy, NY","133",56,2,7,68,7,75
"5","Albuquerque,  NM","269",212,0,9,48,1,100
"6","Alexandria, LA","37",34,0,3,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","209",199,0,0,10,2,100
"8","Altoona, PA","1",1,0,0,0,0,9
"9","Amarillo, TX","48",48,0,0,0,0,97
"10","Ames, IA","18",13,0,0,5,1,94
"11","Anchorage,  AK","32",23,2,7,0,0,100
"12","Anderson, IN","6",6,0,0,0,0,64
"13","Anderson, SC","49",49,0,0,0,0,89
"14","Ann Arbor, MI","27",22,0,0,5,1,71
"15","Anniston-Oxford, AL","16",6,0,4,6,1,83
"16","Appleton, WI","42",42,0,0,0,0,81
"17","Asheville, NC","185",160,2,10,13,1,94
"18","Athens-Clarke County, GA","77",46,0,0,31,1,79
"19","Atlanta-Sandy Springs-Marietta,  GA","1757",1466,0,12,279,9,100
"20","Atlantic City-Hammonton,  NJ","101",61,0,0,40,3,100
"21","Auburn-Opelika,  AL","76",74,2,0,0,0,100
"22","Augusta-Richmond County, GA-SC","151",134,0,0,17,1,75
"23","Austin-Round Rock,  TX","1574",827,110,18,619,17,100
"24","Bakersfield, CA","172",150,10,7,5,1,86
"25","Baltimore-Towson,  MD","328",306,0,0,22,2,100
"26","Bangor, ME","16",9,2,0,5,1,53
"27","Barnstable Town, MA","34",25,0,0,9,1,87
"28","Baton Rouge, LA","354",249,2,0,103,4,93
"29","Battle Creek, MI","8",3,0,0,5,1,68
"30","Bay City, MI","3",3,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","38",38,0,0,0,0,71
"32","Bellingham, WA","80",58,2,6,14,1,77
"33","Bend,  OR","121",68,0,0,53,1,100
"34","Billings, MT","35",35,0,0,0,0,92
"35","Binghamton, NY","9",9,0,0,0,0,15
