"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","4",4,0,0,0,0,98
"2","Akron, OH","32",25,0,0,7,1,68
"3","Albany, GA","10",8,2,0,0,0,96
"4","Albany-Schenectady-Troy, NY","71",47,0,0,24,3,75
"5","Albuquerque,  NM","111",80,0,4,27,1,100
"6","Alexandria, LA","20",20,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","131",83,0,0,48,3,100
"8","Altoona, PA","1",1,0,0,0,0,9
"9","Amarillo, TX","32",32,0,0,0,0,97
"10","Ames, IA","52",4,0,0,48,4,94
"11","Anchorage,  AK","28",8,4,4,12,1,100
"12","Anderson, IN","5",5,0,0,0,0,64
"13","Anderson, SC","15",15,0,0,0,0,89
"14","Ann Arbor, MI","17",12,0,0,5,1,71
"15","Anniston-Oxford, AL","9",9,0,0,0,0,83
"16","Appleton, WI","16",16,0,0,0,0,81
"17","Asheville, NC","88",77,8,3,0,0,94
"18","Athens-Clarke County, GA","12",12,0,0,0,0,79
"19","Atlanta-Sandy Springs-Marietta,  GA","388",363,0,0,25,3,100
"20","Atlantic City-Hammonton,  NJ","18",18,0,0,0,0,100
"21","Auburn-Opelika,  AL","98",24,0,0,74,13,100
"22","Augusta-Richmond County, GA-SC","60",60,0,0,0,0,75
"23","Austin-Round Rock,  TX","713",281,0,8,424,12,100
"24","Bakersfield, CA","64",56,4,4,0,0,86
"25","Baltimore-Towson,  MD","202",202,0,0,0,0,100
"26","Bangor, ME","10",10,0,0,0,0,53
"27","Barnstable Town, MA","21",21,0,0,0,0,87
"28","Baton Rouge, LA","122",122,0,0,0,0,93
"29","Battle Creek, MI","1",1,0,0,0,0,68
"30","Bay City, MI","0",0,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","23",23,0,0,0,0,71
"32","Bellingham, WA","12",12,0,0,0,0,77
"33","Bend,  OR","35",33,2,0,0,0,100
"34","Billings, MT","48",48,0,0,0,0,92
"35","Binghamton, NY","2",2,0,0,0,0,15
"36","Birmingham-Hoover,  AL","102",95,0,0,7,1,100
"37","Bismarck, ND","26",26,0,0,0,0,98
"38","Bloomington, IN","58",48,10,0,0,0,85
"39","Bloomington-Normal, IL","48",16,0,0,32,1,86
"40","Boise City-Nampa,  ID","105",97,0,8,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","273",207,6,4,56,9,100
"42","Boulder, CO","11",6,0,0,5,1,72
"43","Bowling Green, KY","34",34,0,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","73",45,0,4,24,4,100
"45","Bremerton-Silverdale, WA","31",31,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","415",27,2,0,386,3,89
"47","Brownsville-Harlingen, TX","56",54,2,0,0,0,83
"48","Brunswick, GA","18",18,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","51",31,0,0,20,2,78
"50","Burlington, NC","45",41,4,0,0,0,95
